actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
182,PT10M18.00S,2020-01-14T01:11:31.2Z,2,REGULAR,foul,personal,[],203935,,,1610612741,28,17,2020-01-14T01:11:38Z,1790000,,,0,,M. Smart FOUL personal (2 PF),"[203935, 1627853]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,1204.0,2.0,0.0,Arcidiacono,1627853.0,,,,,,,,
184,PT10M04.00S,2020-01-14T01:12:11.4Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629632,10.726018396846255,39.28462009803921,1610612741,28,19,2020-01-14T01:12:18Z,1810000,54.0,48.0,1,left,C. White 8' layup (4 PTS),[1629632],1610612741.0,CHI,driving,,,White,C. White,,,,,7.59,Made,4.0,,,,,,,,,,,,,,,,,
186,PT09M51.00S,2020-01-14T01:12:29.5Z,2,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612738,28,19,2020-01-14T01:12:41Z,1830000,,,0,,D. Gafford FOUL personal (3 PF) (Tatum 2freethrow),"[1629655, 1628369]",1610612741.0,CHI,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,1199.0,3.0,0.0,Tatum,1628369.0,,,,,,,,
188,PT09M51.00S,2020-01-14T01:12:57.5Z,2,REGULAR,freethrow,1of2,[],1628369,,,1610612738,28,19,2020-01-14T01:12:57Z,1850000,,,0,,MISS J. Tatum freethrow 1of2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,
189,PT09M51.00S,2020-01-14T01:12:57.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,28,19,2020-01-14T01:12:57Z,1860000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,
190,PT09M51.00S,2020-01-14T01:12:58.4Z,2,REGULAR,substitution,out,[],1629655,,,1610612738,28,19,2020-01-14T01:13:09Z,1870000,,,0,,substitution out Gafford,[1629655],1610612741.0,CHI,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M51.00S,2020-01-14T01:12:58.4Z,2,REGULAR,substitution,in,[],1628436,,,1610612738,28,19,2020-01-14T01:13:09Z,1880000,,,0,,substitution in Kornet,[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M51.00S,2020-01-14T01:13:15.7Z,2,REGULAR,freethrow,2of2,[],1628369,,,1610612738,29,19,2020-01-14T01:13:15Z,1890000,,,0,,J. Tatum freethrow 2of2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
193,PT09M33.00S,2020-01-14T01:13:36.2Z,2,REGULAR,3pt,jumpshot,[],1629632,31.09395532194481,68.69638480392157,1610612741,29,19,2020-01-14T01:13:46Z,1900000,-93.0,240.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,
194,PT09M31.00S,2020-01-14T01:13:38.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,29,19,2020-01-14T01:13:46Z,1910000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,193.0,,,,,,,,,,,,,,,,
195,PT09M31.00S,2020-01-14T01:13:42.4Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,29,19,2020-01-14T01:13:42Z,1920000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT09M09.00S,2020-01-14T01:14:09.5Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,82.07950065703022,49.82383578431372,1610612738,31,19,2020-01-14T01:14:17Z,1930000,-1.0,116.0,1,right,J. Tatum 12' jumpshot (7 PTS),[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,12.15,Made,7.0,,,,,,,,,,,,,,,,,
197,PT08M59.00S,2020-01-14T01:14:18.7Z,2,REGULAR,3pt,jumpshot,[],1627853,28.86005256241787,25.06893382352941,1610612741,31,19,2020-01-14T01:14:27Z,1940000,125.0,219.0,1,left,MISS R. Arcidiacono 26' 3PT,[1627853],1610612741.0,CHI,,,,Arcidiacono,R. Arcidiacono,,,,,25.66,Missed,,,,,,,,,,,,,,,,,,
198,PT08M56.00S,2020-01-14T01:14:21.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,31,19,2020-01-14T01:15:03Z,1950000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,197.0,2.0,2.0,0.0,,,,,,,,,,,,,
199,PT08M49.00S,2020-01-14T01:14:28.2Z,2,REGULAR,2pt,jumpshot,"['fastbreak', 'pointsinthepaint']",202954,85.62746386333771,49.82383578431372,1610612738,33,19,2020-01-14T01:15:09Z,1960000,-1.0,83.0,1,right,B. Wanamaker 9' jumpshot (2 PTS) (J. Tatum 2 AST),"[202954, 1628369]",1610612738.0,BOS,drivingfloating,,,Wanamaker,B. Wanamaker,,,,,8.81,Made,2.0,,,,,,,,,,J. Tatum,1628369.0,2.0,,,,,
201,PT08M27.00S,2020-01-14T01:14:50.9Z,2,REGULAR,3pt,jumpshot,[],201152,6.521024967148489,95.65716911764706,1610612741,33,19,2020-01-14T01:14:58Z,1980000,-228.0,9.0,1,left,MISS T. Young 23' 3PT,[201152],1610612741.0,CHI,,,,Young,T. Young,,,,,22.87,Missed,,,,,,,,,,,,,,,,,,
202,PT08M25.00S,2020-01-14T01:14:52.9Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,33,19,2020-01-14T01:14:58Z,1990000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,201.0,2.0,2.0,0.0,,,,,,,,,,,,,
203,PT08M16.00S,2020-01-14T01:15:02.3Z,2,REGULAR,3pt,jumpshot,[],1628369,77.61169513797634,6.686580882352941,1610612738,36,19,2020-01-14T01:15:50Z,2000000,-217.0,158.0,1,right,J. Tatum 27' 3PT  (10 PTS),[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,27.14,Made,10.0,,,,,,,,,,,,,,,,,
204,PT08M14.00S,2020-01-14T01:15:09.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,36,19,2020-01-14T01:15:09Z,2010000,,,0,,timeout full,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M14.00S,2020-01-14T01:15:11.1Z,2,REGULAR,substitution,out,[],1628990,,,1610612741,36,19,2020-01-14T01:17:25Z,2020000,,,0,,substitution out Hutchison,[1628990],1610612741.0,CHI,,,,Hutchison,C. Hutchison,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M14.00S,2020-01-14T01:15:11.1Z,2,REGULAR,substitution,out,[],1627853,,,1610612741,36,19,2020-01-14T01:17:25Z,2030000,,,0,,substitution out Arcidiacono,[1627853],1610612741.0,CHI,,,,Arcidiacono,R. Arcidiacono,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M14.00S,2020-01-14T01:15:11.1Z,2,REGULAR,substitution,in,[],203897,,,1610612741,36,19,2020-01-14T01:17:25Z,2040000,,,0,,substitution in LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
208,PT08M14.00S,2020-01-14T01:15:11.1Z,2,REGULAR,substitution,in,[],203107,,,1610612741,36,19,2020-01-14T01:17:25Z,2050000,,,0,,substitution in Satoransky,[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M58.00S,2020-01-14T01:18:16.8Z,2,REGULAR,2pt,hook,['pointsinthepaint'],201152,12.828515111695138,58.892463235294116,1610612741,36,21,2020-01-14T01:18:25Z,2060000,-44.0,68.0,1,left,T. Young 9' hook (5 PTS) (Z. LaVine 1 AST),"[201152, 203897]",1610612741.0,CHI,driving,,,Young,T. Young,,,,,8.6,Made,5.0,,,,,,,,,,Z. LaVine,203897.0,1.0,,,,,
211,PT07M38.00S,2020-01-14T01:18:36.2Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,84.57621550591328,55.21599264705882,1610612738,36,21,2020-01-14T01:18:48Z,2080000,26.0,92.0,1,right,MISS J. Tatum 10' jumpshot,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,10.14,Missed,,,,,,,,,,,,,,,,,,
212,PT07M36.00S,2020-01-14T01:18:38.2Z,2,REGULAR,rebound,defensive,[],1628436,,,1610612741,36,21,2020-01-14T01:18:48Z,2090000,,,0,,L. Kornet REBOUND (Off:0 Def:3),[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,211.0,3.0,3.0,0.0,,,,,,,,,,,,,
213,PT07M18.00S,2020-01-14T01:18:56.0Z,2,REGULAR,2pt,hook,['pointsinthepaint'],201152,11.777266754270697,56.93167892156863,1610612741,36,23,2020-01-14T01:19:03Z,2100000,-35.0,58.0,1,left,T. Young 7' hook (7 PTS),[201152],1610612741.0,CHI,driving,,,Young,T. Young,,,,,7.25,Made,7.0,,,,,,,,,,,,,,,,,
214,PT06M57.00S,2020-01-14T01:19:17.2Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202683,92.9862023653088,52.51991421568627,1610612738,38,23,2020-01-14T01:19:28Z,2110000,13.0,13.0,1,right,E. Kanter layup (11 PTS),[202683],1610612738.0,BOS,drivingreverse,,,Kanter,E. Kanter,,,,,2.27,Made,11.0,,,,,,,,,,,,,,,,,
215,PT06M41.00S,2020-01-14T01:19:33.5Z,2,REGULAR,2pt,jumpshot,[],203897,23.73521681997372,34.627757352941174,1610612741,38,23,2020-01-14T01:19:40Z,2120000,77.0,171.0,1,left,MISS Z. LaVine 19' jumpshot,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,19.22,Missed,,,,,,,,,,,,,,,,,,
216,PT06M38.00S,2020-01-14T01:19:36.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,38,23,2020-01-14T01:19:40Z,2130000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,215.0,3.0,3.0,0.0,,,,,,,,,,,,,
217,PT06M19.00S,2020-01-14T01:19:56.1Z,2,REGULAR,3pt,jumpshot,[],202954,70.90998685939553,75.80422794117648,1610612738,41,23,2020-01-14T01:20:02Z,2140000,129.0,221.0,1,right,B. Wanamaker 26' 3PT  (5 PTS) (M. Smart 2 AST),"[202954, 203935]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,26.06,Made,5.0,,,,,,,,,,M. Smart,203935.0,2.0,,,,,
219,PT05M59.00S,2020-01-14T01:20:15.4Z,2,REGULAR,3pt,jumpshot,[],1628436,5.075558475689881,94.921875,1610612741,41,23,2020-01-14T01:20:25Z,2160000,-225.0,-5.0,1,left,MISS L. Kornet 22' 3PT,[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,22.46,Missed,,,,,,,,,,,,,,,,,,
220,PT05M57.00S,2020-01-14T01:20:17.4Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,41,23,2020-01-14T01:20:25Z,2170000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,219.0,4.0,4.0,0.0,,,,,,,,,,,,,
221,PT05M52.00S,2020-01-14T01:20:23.1Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1628369,66.83639947437582,41.98069852941176,1610612738,41,23,2020-01-14T01:20:33Z,2180000,-40.0,259.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,
222,PT05M51.00S,2020-01-14T01:20:24.1Z,2,REGULAR,rebound,defensive,[],1628436,,,1610612741,41,23,2020-01-14T01:20:33Z,2190000,,,0,,L. Kornet REBOUND (Off:0 Def:4),[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,221.0,4.0,4.0,0.0,,,,,,,,,,,,,
223,PT05M39.00S,2020-01-14T01:20:34.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],201152,7.703679369250986,57.421875,1610612741,41,25,2020-01-14T01:20:46Z,2200000,-37.0,20.0,1,left,T. Young layup (9 PTS),[201152],1610612741.0,CHI,driving,,,Young,T. Young,,,,,4.5,Made,9.0,,,,,,,,,,,,,,,,,
225,PT05M13.00S,2020-01-14T01:21:01.6Z,2,REGULAR,3pt,jumpshot,[],203935,93.77463863337714,95.65716911764706,1610612738,41,25,2020-01-14T01:21:09Z,2220000,228.0,6.0,1,right,MISS M. Smart 23' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.86,Missed,,,,,,,,,,,,,,,,,,
226,PT05M11.00S,2020-01-14T01:21:03.6Z,2,REGULAR,rebound,defensive,[],1629632,,,1610612741,41,25,2020-01-14T01:21:09Z,2230000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,225.0,1.0,1.0,0.0,,,,,,,,,,,,,
227,PT05M02.00S,2020-01-14T01:21:12.0Z,2,REGULAR,turnover,lostball,[],203897,,,1610612741,41,25,2020-01-14T01:21:20Z,2240000,,,0,,Z. LaVine TURNOVER lostball (2 TOV) Stolen,"[203897, 203935]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,2.0,Smart,203935.0,,
228,PT05M02.00S,2020-01-14T01:21:12.0Z,2,REGULAR,steal,,[],203935,,,1610612738,41,25,2020-01-14T01:21:38Z,2250000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
229,PT04M56.00S,2020-01-14T01:21:25.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,41,25,2020-01-14T01:21:25Z,2260000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,out,[],202683,,,1610612738,41,25,2020-01-14T01:24:03Z,2270000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
231,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,out,[],203935,,,1610612738,41,25,2020-01-14T01:24:03Z,2280000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
232,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,out,[],1628400,,,1610612738,41,25,2020-01-14T01:24:03Z,2290000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
233,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,out,[],1629632,,,1610612738,41,25,2020-01-14T01:24:03Z,2300000,,,0,,substitution out White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
234,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,out,[],1628436,,,1610612738,41,25,2020-01-14T01:24:03Z,2310000,,,0,,substitution out Kornet,[1628436],1610612741.0,CHI,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,
235,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,41,25,2020-01-14T01:24:03Z,2320000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
236,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,in,[],1629684,,,1610612738,41,25,2020-01-14T01:24:03Z,2330000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
237,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,in,[],202689,,,1610612738,41,25,2020-01-14T01:24:03Z,2340000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
238,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,in,[],1628374,,,1610612738,41,25,2020-01-14T01:24:03Z,2350000,,,0,,substitution in Markkanen,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
239,PT04M56.00S,2020-01-14T01:23:47.5Z,2,REGULAR,substitution,in,[],1627739,,,1610612738,41,25,2020-01-14T01:24:03Z,2360000,,,0,,substitution in Dunn,[1627739],1610612741.0,CHI,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,
240,PT04M43.00S,2020-01-14T01:24:27.5Z,2,REGULAR,3pt,jumpshot,['fromturnover'],1629684,67.23061760840999,40.75520833333333,1610612738,41,25,2020-01-14T01:24:34Z,2370000,-46.0,256.0,1,right,MISS G. Williams 27' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,
241,PT04M39.00S,2020-01-14T01:24:31.5Z,2,REGULAR,rebound,defensive,[],203897,,,1610612741,41,25,2020-01-14T01:24:34Z,2380000,,,0,,Z. LaVine REBOUND (Off:1 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,240.0,2.0,1.0,1.0,,,,,,,,,,,,,
242,PT04M19.00S,2020-01-14T01:24:51.1Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],203107,6.652431011826544,50.80422794117647,1610612741,41,27,2020-01-14T01:25:01Z,2390000,-4.0,10.0,1,left,T. Satoransky dunk (4 PTS),[203107],1610612741.0,CHI,driving,,,Satoransky,T. Satoransky,,,,,1.6,Made,4.0,,,,,,,,,,,,,,,,,
243,PT03M58.00S,2020-01-14T01:25:12.3Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629684,81.15965834428384,63.05912990196079,1610612738,43,27,2020-01-14T01:25:18Z,2400000,65.0,125.0,1,right,G. Williams 15' jumpshot (4 PTS) (B. Wanamaker 2 AST),"[1629684, 202954]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,14.56,Made,4.0,,,,,,,,,,B. Wanamaker,202954.0,2.0,,,,,
245,PT03M39.00S,2020-01-14T01:25:32.9Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612741,43,27,2020-01-14T01:25:42Z,2420000,,,0,,G. Williams FOUL personal (2 PF) (Satoransky 2freethrow),"[1629684, 203107]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,1204.0,2.0,0.0,Satoransky,203107.0,,,,,,,,
247,PT03M39.00S,2020-01-14T01:25:59.2Z,2,REGULAR,freethrow,1of2,[],203107,,,1610612741,43,28,2020-01-14T01:25:59Z,2440000,,,0,,T. Satoransky freethrow 1of2 (5 PTS),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
248,PT03M39.00S,2020-01-14T01:26:00.1Z,2,REGULAR,substitution,out,[],1628369,,,1610612741,43,28,2020-01-14T01:26:05Z,2450000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
249,PT03M39.00S,2020-01-14T01:26:00.1Z,2,REGULAR,substitution,out,[],202954,,,1610612741,43,28,2020-01-14T01:26:05Z,2460000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
250,PT03M39.00S,2020-01-14T01:26:00.1Z,2,REGULAR,substitution,in,[],202330,,,1610612741,43,28,2020-01-14T01:26:05Z,2470000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
251,PT03M39.00S,2020-01-14T01:26:00.1Z,2,REGULAR,substitution,in,[],203935,,,1610612741,43,28,2020-01-14T01:26:05Z,2480000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
252,PT03M39.00S,2020-01-14T01:26:17.2Z,2,REGULAR,freethrow,2of2,[],203107,,,1610612741,43,29,2020-01-14T01:26:17Z,2490000,,,0,,T. Satoransky freethrow 2of2 (6 PTS),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
253,PT03M22.00S,2020-01-14T01:26:37.3Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627759,90.88370565045992,61.83363970588235,1610612738,43,29,2020-01-14T01:26:46Z,2500000,59.0,33.0,1,right,MISS J. Brown 7' layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.07,Missed,,,,,,,,,,,,,,,,,,
254,PT03M20.00S,2020-01-14T01:26:39.3Z,2,REGULAR,rebound,defensive,[],203897,,,1610612741,43,29,2020-01-14T01:26:46Z,2510000,,,0,,Z. LaVine REBOUND (Off:1 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,253.0,3.0,2.0,1.0,,,,,,,,,,,,,
255,PT03M14.00S,2020-01-14T01:26:44.6Z,2,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",203897,8.229303547963205,49.08854166666667,1610612741,43,31,2020-01-14T01:26:57Z,2520000,5.0,25.0,1,left,Z. LaVine layup (4 PTS),[203897],1610612741.0,CHI,runningfingerroll,,,LaVine,Z. LaVine,,,,,3.07,Made,4.0,,,,,,,,,,,,,,,,,
256,PT02M58.00S,2020-01-14T01:27:00.6Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],1627759,93.9060446780552,50.55912990196079,1610612738,45,31,2020-01-14T01:27:07Z,2530000,3.0,5.0,1,right,J. Brown dunk (4 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.07,Made,4.0,,,,,,,,,,M. Smart,203935.0,3.0,,,,,
258,PT02M43.00S,2020-01-14T01:27:15.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628374,7.703679369250986,49.82383578431372,1610612741,45,33,2020-01-14T01:27:20Z,2550000,1.0,20.0,1,left,L. Markkanen layup (5 PTS),[1628374],1610612741.0,CHI,driving,,,Markkanen,L. Markkanen,,,,,2.54,Made,5.0,,,,,,,,,,,,,,,,,
259,PT02M23.00S,2020-01-14T01:27:35.7Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],1627759,93.24901445466492,51.049325980392155,1610612738,47,33,2020-01-14T01:27:45Z,2560000,5.0,11.0,1,right,J. Brown dunk (6 PTS) (G. Williams 1 AST),"[1627759, 1629684]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.73,Made,6.0,,,,,,,,,,G. Williams,1629684.0,1.0,,,,,
261,PT02M08.00S,2020-01-14T01:27:50.1Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628374,9.017739816031538,45.166973039215684,1610612741,47,33,2020-01-14T01:27:59Z,2580000,24.0,32.0,1,left,MISS L. Markkanen layup Blocked,"[1628374, 1629684]",1610612741.0,CHI,cutting,,,Markkanen,L. Markkanen,,,,,4.49,Missed,,,,,,,,,,,,,,,,,Williams,1629684.0
262,PT02M08.00S,2020-01-14T01:27:50.1Z,2,REGULAR,block,,[],1629684,,,1610612741,47,33,2020-01-14T01:27:52Z,2590000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
263,PT02M06.00S,2020-01-14T01:27:52.1Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,47,33,2020-01-14T01:27:59Z,2600000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,261.0,3.0,3.0,0.0,,,,,,,,,,,,,
264,PT02M02.00S,2020-01-14T01:27:56.3Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fastbreak']",203935,84.05059132720105,36.833639705882355,1610612738,49,33,2020-01-14T01:28:04Z,2610000,-66.0,97.0,1,right,M. Smart 12' jumpshot (5 PTS),[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,12.21,Made,5.0,,,,,,,,,,,,,,,,,
265,PT01M46.00S,2020-01-14T01:28:12.7Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],203107,7.440867279894875,63.549325980392155,1610612741,49,33,2020-01-14T01:28:24Z,2620000,-68.0,17.0,1,left,MISS T. Satoransky 7' jumpshot,[203107],1610612741.0,CHI,turnaround,,,Satoransky,T. Satoransky,,,,,7.15,Missed,,,,,,,,,,,,,,,,,,
266,PT01M44.00S,2020-01-14T01:28:14.7Z,2,REGULAR,rebound,defensive,[],202330,,,1610612738,49,33,2020-01-14T01:28:24Z,2630000,,,0,,G. Hayward REBOUND (Off:0 Def:3),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,265.0,3.0,3.0,0.0,,,,,,,,,,,,,
267,PT01M41.00S,2020-01-14T01:28:17.9Z,2,REGULAR,3pt,jumpshot,['fastbreak'],202689,68.15045992115637,63.30422794117647,1610612738,49,33,2020-01-14T01:28:34Z,2640000,67.0,247.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,
268,PT01M38.00S,2020-01-14T01:28:20.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,49,33,2020-01-14T01:28:34Z,2650000,,,0,,Team defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,267.0,,,,,,,,,,,,,,,,
269,PT01M38.00S,2020-01-14T01:28:25.0Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612741,49,33,2020-01-14T01:28:25Z,2660000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT01M38.00S,2020-01-14T01:28:25.9Z,2,REGULAR,substitution,out,[],1629684,,,1610612741,49,33,2020-01-14T01:28:36Z,2670000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
