actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
47,PT08M31.00S,2020-07-29T00:11:14.6Z,1,REGULAR,3pt,jumpshot,[],201935,80.76544021024968,92.9610906862745,1610612745,7,13,2020-07-29T00:11:19Z,470000,215.0,128.0,1,right,J. Harden 25' 3PT  (5 PTS) (R. Westbrook 1 AST),"[201935, 201566]",1610612745.0,HOU,,,,Harden,J. Harden,,,,,25.31,Made,5.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
49,PT08M15.00S,2020-07-29T00:11:30.1Z,1,REGULAR,3pt,jumpshot,[],1629035,33.590670170827856,48.10814950980392,1610612738,7,13,2020-07-29T00:11:35Z,490000,9.0,263.0,1,left,MISS C. Edwards 27' 3PT,[1629035],1610612738.0,BOS,pullup,,,Edwards,C. Edwards,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,
50,PT08M11.00S,2020-07-29T00:11:34.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612745,7,13,2020-07-29T00:11:35Z,500000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,
51,PT08M00.00S,2020-07-29T00:11:45.5Z,1,REGULAR,3pt,jumpshot,[],201569,93.24901445466492,94.43167892156863,1610612745,7,13,2020-07-29T00:11:51Z,510000,222.0,11.0,1,right,MISS E. Gordon 22' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,22.28,Missed,,,,,,,,,,,,,,,,,,
52,PT07M55.00S,2020-07-29T00:11:50.5Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,7,13,2020-07-29T00:11:51Z,520000,,,0,,S. Ojeleye REBOUND (Off:1 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,
53,PT07M52.00S,2020-07-29T00:11:58.2Z,1,REGULAR,foul,personal,['2freethrow'],201566,,,1610612738,7,13,2020-07-29T00:12:07Z,530000,,,0,,R. Westbrook FOUL personal (1 PF) (Ojeleye 2freethrow),"[201566, 1628400]",1610612745.0,HOU,shooting,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Ojeleye,1628400.0,,
55,PT07M52.00S,2020-07-29T00:12:25.3Z,1,REGULAR,freethrow,1of2,[],1628400,,,1610612738,7,13,2020-07-29T00:14:01Z,550000,,,0,,MISS S. Ojeleye freethrow 1of2,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT07M52.00S,2020-07-29T00:12:25.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,7,13,2020-07-29T00:14:01Z,560000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,
57,PT07M52.00S,2020-07-29T00:12:33.0Z,1,REGULAR,stoppage,bloodrule,[],0,,,1610612738,7,13,2020-07-29T00:12:33Z,570000,,,0,,stoppage bloodrule,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M52.00S,2020-07-29T00:12:25.3Z,1,REGULAR,freethrow,2of2,[],1628400,,,1610612738,7,13,2020-07-29T00:14:01Z,580000,,,0,,MISS S. Ojeleye freethrow 2of2,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,Missed,,,,,,,,,,,,,,,,,,
