actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
73,PT05M47.00S,2019-12-21T00:51:35.1Z,1,REGULAR,3pt,jumpshot,[],1628400,9.379106438896187,95.02910539215686,1610612738,15,13,2019-12-21T00:51:47Z,730000,-225.0,36.0,1,left,MISS S. Ojeleye 23' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,22.88,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M44.00S,2019-12-21T00:51:38.1Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612738,15,13,2019-12-21T00:51:47Z,740000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,,,,
75,PT05M40.00S,2019-12-21T00:51:41.9Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628400,6.225361366622863,51.40165441176471,1610612738,15,13,2019-12-21T00:51:55Z,750000,-7.0,6.0,1,left,MISS S. Ojeleye layup Blocked,"[1628400, 202693]",1610612738.0,BOS,putback,,,Ojeleye,S. Ojeleye,,,,,1.35,Missed,,,,,,,,,,,,,,,,,Morris,202693.0,
76,PT05M40.00S,2019-12-21T00:51:41.9Z,1,REGULAR,block,,[],202693,,,1610612738,15,13,2019-12-21T00:51:45Z,760000,,,0,,M. Morris BLOCK (1 BLK),[202693],1610612765.0,DET,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M38.00S,2019-12-21T00:51:43.9Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,15,13,2019-12-21T01:00:09Z,770000,,,0,,E. Kanter REBOUND (Off:2 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,75.0,2.0,0.0,2.0,,,,,,,
78,PT05M36.00S,2019-12-21T00:51:46.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202683,6.356767411300922,49.93106617647059,1610612738,15,13,2019-12-21T01:00:04Z,780000,0.0,7.0,1,left,MISS E. Kanter layup,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,1.28,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M34.00S,2019-12-21T00:51:48.8Z,1,REGULAR,rebound,defensive,[],202693,,,1610612765,15,13,2019-12-21T00:52:03Z,790000,,,0,,M. Morris REBOUND (Off:0 Def:1),[202693],1610612765.0,DET,,,,Morris,M. Morris,,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,
80,PT05M22.00S,2019-12-21T00:52:01.8Z,1,REGULAR,2pt,jumpshot,[],203503,91.37647831800263,18.558517156862735,1610612765,15,13,2019-12-21T00:52:09Z,800000,-157.0,29.0,1,right,MISS T. Snell 16' jumpshot,[203503],1610612765.0,DET,pullup,,,Snell,T. Snell,,,,,16.09,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M21.00S,2019-12-21T00:52:02.8Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,15,13,2019-12-21T00:52:09Z,810000,,,0,,E. Kanter REBOUND (Off:2 Def:1),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,80.0,3.0,1.0,2.0,,,,,,,
82,PT05M07.00S,2019-12-21T00:52:15.6Z,1,REGULAR,2pt,jumpshot,[],202683,21.337056504599218,27.872242647058826,1610612738,17,13,2019-12-21T00:52:21Z,820000,111.0,148.0,1,left,E. Kanter 19' jumpshot (2 PTS) (J. Brown 2 AST),"[202683, 1627759]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,18.93,Made,2.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
