actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
255,PT06M48.00S,2020-03-08T22:51:17.6Z,2,REGULAR,freethrow,1of2,['fromturnover'],1629057,,,1610612738,43,36,2020-03-08T22:51:17Z,2510000,,[BOS] Williams III freethrow 1of2: Made (3 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,: Made,,,,,,,,3.0,,,,,,,,,,,,,,,
256,PT06M48.00S,2020-03-08T22:51:18.5Z,2,REGULAR,substitution,out,[],202330,,,1610612738,43,36,2020-03-08T22:51:23Z,2520000,,[BOS] substitution Hayward replaced by Smart,"[202330, 203935]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart,203935.0,
258,PT06M48.00S,2020-03-08T22:51:35.1Z,2,REGULAR,freethrow,2of2,['fromturnover'],1629057,,,1610612738,44,36,2020-03-08T22:51:35Z,2540000,,[BOS] Williams III freethrow 2of2: Made (4 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,: Made,,,,,,,,4.0,,,,,,,,,,,,,,,
261,PT06M25.00S,2020-03-08T22:52:00.9Z,2,REGULAR,3pt,jumpshot,[],201568,33.722076215505915,33.40226715686275,1610612760,44,36,2020-03-08T22:52:09Z,2550000,left,[OKC] Gallinari 3pt jumpshot: Missed,[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,28.25,: Missed,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M23.00S,2020-03-08T22:52:02.9Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,44,36,2020-03-08T22:52:09Z,2560000,,[BOS] Smart defensive rebound (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,261.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
263,PT06M15.00S,2020-03-08T22:52:10.3Z,2,REGULAR,3pt,jumpshot,[],202689,66.43602168199737,37.212775735294116,1610612738,44,36,2020-03-08T22:52:27Z,2570000,right,[BOS] Walker 3pt jumpshot: Missed Block: Nader (2 BLK),"[202689, 1627846]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.6,: Missed,,,,,Nader,1627846.0,2.0,,,,,,,,,,,,,,,,
265,PT06M13.00S,2020-03-08T22:52:12.3Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,44,36,2020-03-08T22:52:27Z,2590000,,[BOS] Williams III offensive rebound (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,263.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
266,PT06M09.00S,2020-03-08T22:52:24.5Z,2,REGULAR,foul,personal,[],1627846,,,1610612738,44,36,2020-03-08T22:52:34Z,2600000,,[OKC] Nader foul personal (2 PF),"[1627846, 1629057]",1610612760.0,OKC,,,,Nader,A. Nader,,,,,,,,,,,,,,,,,,,,,,2715.0,2.0,0.0,Williams III,1629057.0,,,
268,PT06M09.00S,2020-03-08T22:52:32.2Z,2,REGULAR,substitution,out,[],202689,,,1610612738,44,36,2020-03-08T22:52:34Z,2620000,,[BOS] substitution Walker replaced by Tatum,"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatum,1628369.0,
270,PT05M59.00S,2020-03-08T22:52:53.9Z,2,REGULAR,3pt,jumpshot,['2ndchance'],203935,66.70499342969777,40.26501225490196,1610612738,44,36,2020-03-08T22:53:03Z,2640000,right,[BOS] Smart pullup 3pt jumpshot: Missed,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,27.04,: Missed,,,,,,,,,,,,,,,,,,,,,,,
271,PT05M56.00S,2020-03-08T22:52:56.9Z,2,REGULAR,rebound,defensive,[],203471,,,1610612760,44,36,2020-03-08T22:53:03Z,2650000,,[OKC] Schroder defensive rebound (Off:0 Def:1),[203471],1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,,,270.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
272,PT05M48.00S,2020-03-08T22:53:09.0Z,2,REGULAR,foul,technical,['1freethrow'],1629057,,,1610612760,44,36,2020-03-08T22:53:32Z,2660000,,[BOS] Team foul technical,[1629057],1610612738.0,BOS,defensive3second,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,2715.0,,,,,,,
273,PT05M48.00S,2020-03-08T22:53:33.2Z,2,REGULAR,freethrow,1of1,[],201568,,,1610612760,44,37,2020-03-08T22:53:33Z,2670000,,[OKC] Gallinari technical freethrow 1of1: Made (8 PTS),[201568],1610612760.0,OKC,technical,,,Gallinari,D. Gallinari,,,,,,: Made,,,,,,,,8.0,,,,,,,,,,,,,,,
274,PT05M48.00S,2020-03-08T22:53:41.9Z,2,REGULAR,substitution,out,[],1627846,,,1610612760,44,37,2020-03-08T22:53:44Z,2680000,,[OKC] substitution Nader replaced by Ferguson,"[1627846, 1628390]",1610612760.0,OKC,,,,Nader,A. Nader,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferguson,1628390.0,
276,PT05M40.00S,2020-03-08T22:53:59.1Z,2,REGULAR,3pt,jumpshot,[],101108,34.37910643889619,35.36305147058824,1610612760,44,37,2020-03-08T22:54:08Z,2700000,left,[OKC] Paul pullup 3pt jumpshot: Missed,[101108],1610612760.0,OKC,pullup,,,Paul,C. Paul,,,,,28.57,: Missed,,,,,,,,,,,,,,,,,,,,,,,
277,PT05M38.00S,2020-03-08T22:54:01.1Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,44,37,2020-03-08T22:54:08Z,2710000,,[BOS] Langford defensive rebound (Off:0 Def:3),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,276.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
278,PT05M28.00S,2020-03-08T22:54:11.5Z,2,REGULAR,3pt,jumpshot,[],203935,71.69842312746385,17.96109068627451,1610612738,44,37,2020-03-08T22:54:23Z,2720000,right,[BOS] Smart 3pt jumpshot: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.13,: Missed,,,,,,,,,,,,,,,,,,,,,,,
279,PT05M25.00S,2020-03-08T22:54:14.5Z,2,REGULAR,rebound,defensive,[],201568,,,1610612760,44,37,2020-03-08T22:54:23Z,2730000,,[OKC] Gallinari defensive rebound (Off:0 Def:2),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,278.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
280,PT05M21.00S,2020-03-08T22:54:18.4Z,2,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1628390,6.915243101182654,44.43167892156863,1610612760,44,39,2020-03-08T22:54:35Z,2740000,left,[OKC] Ferguson dunk: Made (4 PTS) assist: Schroder (2 AST),"[1628390, 203471]",1610612760.0,OKC,alleyoop,,,Ferguson,T. Ferguson,,,,,3.31,: Made,,,,,,,,4.0,Schroder,203471.0,2.0,,,,,,,,,,,,
282,PT05M02.00S,2020-03-08T22:54:37.2Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,81.68528252299606,36.58854166666667,1610612738,44,39,2020-03-08T22:55:01Z,2760000,right,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,14.2,: Missed,,,,,,,,,,,,,,,,,,,,,,,
283,PT05M00.00S,2020-03-08T22:54:39.2Z,2,REGULAR,rebound,defensive,[],201568,,,1610612760,44,39,2020-03-08T22:55:01Z,2770000,,[OKC] Gallinari defensive rebound (Off:0 Def:3),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,282.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
284,PT04M44.00S,2020-03-08T22:54:57.1Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612760,44,39,2020-03-08T22:55:09Z,2780000,,[BOS] Williams foul personal (3 PF) (Paul 2freethrow),"[1629684, 101108]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,1155.0,3.0,0.0,Paul,101108.0,,,
287,PT04M44.00S,2020-03-08T22:55:26.8Z,2,REGULAR,freethrow,1of2,[],101108,,,1610612760,44,40,2020-03-08T22:55:26Z,2800000,,[OKC] Paul freethrow 1of2: Made (5 PTS),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,: Made,,,,,,,,5.0,,,,,,,,,,,,,,,
288,PT04M44.00S,2020-03-08T22:55:27.4Z,2,REGULAR,substitution,out,[],1629684,,,1610612760,44,40,2020-03-08T22:55:32Z,2810000,,[BOS] substitution Williams replaced by Theis,"[1629684, 1628464]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,Theis,1628464.0,
289,PT04M44.00S,2020-03-08T22:55:27.4Z,2,REGULAR,substitution,out,[],1629057,,,1610612760,44,40,2020-03-08T22:55:32Z,2820000,,[BOS] substitution Williams III replaced by Hayward,"[1629057, 202330]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayward,202330.0,
292,PT04M44.00S,2020-03-08T22:55:47.6Z,2,REGULAR,freethrow,2of2,[],101108,,,1610612760,44,41,2020-03-08T22:55:47Z,2850000,,[OKC] Paul freethrow 2of2: Made (6 PTS),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,: Made,,,,,,,,6.0,,,,,,,,,,,,,,,
293,PT04M32.00S,2020-03-08T22:56:04.2Z,2,REGULAR,2pt,layup,['pointsinthepaint'],203935,94.95729303547962,53.50030637254902,1610612738,46,41,2020-03-08T22:56:10Z,2860000,right,[BOS] Smart layup: Made (10 PTS),[203935],1610612738.0,BOS,drivingfingerroll,,,Smart,M. Smart,,,,,1.75,: Made,,,,,,,,10.0,,,,,,,,,,,,,,,
294,PT04M06.00S,2020-03-08T22:56:29.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],201568,6.915243101182654,55.21599264705882,1610612760,46,41,2020-03-08T22:56:47Z,2870000,left,[OKC] Gallinari layup: Missed Block: Hayward (2 BLK),"[201568, 202330]",1610612760.0,OKC,driving,,,Gallinari,D. Gallinari,,,,,3.17,: Missed,,,,,Hayward,202330.0,2.0,,,,,,,,,,,,,,,,
296,PT04M03.00S,2020-03-08T22:56:32.5Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,46,41,2020-03-08T22:56:47Z,2890000,,[BOS] Theis defensive rebound (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,294.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
297,PT04M00.00S,2020-03-08T22:56:38.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201568,,,1610612738,46,41,2020-03-08T22:56:49Z,2900000,,[OKC] Gallinari foul personal (1 PF) (Smart inpenalty),"[201568, 203935]",1610612760.0,OKC,shooting,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Smart,203935.0,,,
299,PT04M00.00S,2020-03-08T22:57:01.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,46,41,2020-03-08T22:57:01Z,2920000,,[OKC] timeout full,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PT04M00.00S,2020-03-08T23:00:11.5Z,2,REGULAR,freethrow,1of2,['fastbreak'],203935,,,1610612738,47,41,2020-03-08T23:00:11Z,2930000,,[BOS] Smart freethrow 1of2: Made (11 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,,,,11.0,,,,,,,,,,,,,,,
301,PT04M00.00S,2020-03-08T23:00:22.0Z,2,REGULAR,freethrow,2of2,['fastbreak'],203935,,,1610612738,48,41,2020-03-08T23:00:22Z,2940000,,[BOS] Smart freethrow 2of2: Made (12 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,: Made,,,,,,,,12.0,,,,,,,,,,,,,,,
302,PT03M43.00S,2020-03-08T23:00:43.3Z,2,REGULAR,2pt,jumpshot,[],101108,13.091327201051248,74.82383578431373,1610612760,48,43,2020-03-08T23:00:51Z,2950000,left,[OKC] Paul jumpshot: Made (8 PTS),[101108],1610612760.0,OKC,stepback,,,Paul,C. Paul,,,,,14.56,: Made,,,,,,,,8.0,,,,,,,,,,,,,,,
303,PT03M33.00S,2020-03-08T23:00:53.3Z,2,REGULAR,3pt,jumpshot,[],202330,92.19776609724047,96.8826593137255,1610612738,51,43,2020-03-08T23:00:59Z,2960000,right,[BOS] Hayward 3pt shot: Made (9 PTS) assist: Smart (2 AST),"[202330, 203935]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,23.59,: Made,,,,,,,,9.0,Smart,203935.0,2.0,,,,,,,,,,,,
305,PT03M05.00S,2020-03-08T23:01:22.4Z,2,REGULAR,2pt,hook,['pointsinthepaint'],203457,8.492115637319317,53.50030637254902,1610612760,51,43,2020-03-08T23:01:29Z,2980000,left,[OKC] Noel hook: Missed,[203457],1610612760.0,OKC,driving,,,Noel,N. Noel,,,,,3.72,: Missed,,,,,,,,,,,,,,,,,,,,,,,
306,PT03M03.00S,2020-03-08T23:01:24.4Z,2,REGULAR,rebound,defensive,[],202330,,,1610612738,51,43,2020-03-08T23:01:29Z,2990000,,[BOS] Hayward defensive rebound (Off:0 Def:5),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,305.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
307,PT02M56.00S,2020-03-08T23:01:31.2Z,2,REGULAR,3pt,jumpshot,[],1628369,81.42247043363994,93.69638480392157,1610612738,54,43,2020-03-08T23:01:37Z,3000000,right,[BOS] Tatum 3pt shot: Made (10 PTS) assist: Hayward (2 AST),"[1628369, 202330]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.3,: Made,,,,,,,,10.0,Hayward,202330.0,2.0,,,,,,,,,,,,
309,PT02M37.00S,2020-03-08T23:01:49.3Z,2,REGULAR,2pt,jumpshot,[],201568,18.00262812089356,18.474264705882355,1610612760,54,45,2020-03-08T23:02:11Z,3020000,left,[OKC] Gallinari jumpshot: Made (10 PTS) assist: Schroder (3 AST),"[201568, 203471]",1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,19.94,: Made,,,,,,,,10.0,Schroder,203471.0,3.0,,,,,,,,,,,,
311,PT02M16.00S,2020-03-08T23:02:11.2Z,2,REGULAR,3pt,jumpshot,[],1628369,71.69842312746385,20.166973039215684,1610612738,57,45,2020-03-08T23:02:17Z,3040000,right,[BOS] Tatum 3pt shot: Made (13 PTS) assist: Theis (2 AST),"[1628369, 1628464]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.5,: Made,,,,,,,,13.0,Theis,1628464.0,2.0,,,,,,,,,,,,
313,PT02M01.00S,2020-03-08T23:02:25.6Z,2,REGULAR,2pt,jumpshot,[],203471,21.50131406044678,78.99050245098039,1610612760,57,45,2020-03-08T23:02:33Z,3060000,left,[OKC] Schroder jumpshot: Missed,[203471],1610612760.0,OKC,pullup,,,Schroder,D. Schroder,,,,,21.23,: Missed,,,,,,,,,,,,,,,,,,,,,,,
314,PT01M59.00S,2020-03-08T23:02:27.6Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,57,45,2020-03-08T23:02:33Z,3070000,,[BOS] Tatum defensive rebound (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,313.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
315,PT01M49.00S,2020-03-08T23:02:37.2Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202330,89.70105124835742,50.55912990196079,1610612738,57,45,2020-03-08T23:02:44Z,3080000,right,[BOS] Hayward layup: Missed Block: Paul (1 BLK),"[202330, 101108]",1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,4.99,: Missed,,,,,Paul,101108.0,1.0,,,,,,,,,,,,,,,,
317,PT01M46.00S,2020-03-08T23:02:40.2Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,57,45,2020-03-08T23:02:44Z,3100000,,[BOS] Langford offensive rebound (Off:1 Def:3),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,315.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
318,PT01M40.00S,2020-03-08T23:02:46.2Z,2,REGULAR,3pt,jumpshot,['2ndchance'],1628464,96.27135348226018,3.2552083333333335,1610612738,60,45,2020-03-08T23:02:55Z,3110000,right,[BOS] Theis 3pt shot: Made (5 PTS) assist: Smart (3 AST),"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,23.4,: Made,,,,,,,,5.0,Smart,203935.0,3.0,,,,,,,,,,,,
320,PT01M13.00S,2020-03-08T23:03:14.0Z,2,REGULAR,turnover,badpass,[],203457,,,1610612760,60,45,2020-03-08T23:03:20Z,3130000,,[OKC] Noel badpass turnover (2 TO) Steal: Tatum (2 STL),"[203457, 1628369]",1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,2.0,Tatum,1628369.0,2.0,,,,,,,,
322,PT01M08.00S,2020-03-08T23:03:18.4Z,2,REGULAR,3pt,jumpshot,"['fromturnover', 'fastbreak']",202330,74.06373193166885,15.510110294117647,1610612738,63,45,2020-03-08T23:03:28Z,3150000,right,[BOS] Hayward 3pt shot: Made (12 PTS) assist: Tatum (2 AST),"[202330, 1628369]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.16,: Made,,,,,,,,12.0,Tatum,1628369.0,2.0,,,,,,,,,,,,
324,PT00M51.80S,2020-03-08T23:03:36.9Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],203457,7.440867279894875,50.80422794117647,1610612760,63,47,2020-03-08T23:03:42Z,3170000,left,[OKC] Noel dunk: Made (2 PTS) assist: Schroder (4 AST),"[203457, 203471]",1610612760.0,OKC,cutting,,,Noel,N. Noel,,,,,2.32,: Made,,,,,,,,2.0,Schroder,203471.0,4.0,,,,,,,,,,,,
326,PT00M37.40S,2020-03-08T23:03:58.0Z,2,REGULAR,turnover,badpass,[],1629641,,,1610612738,63,47,2020-03-08T23:04:03Z,3190000,,[BOS] Langford badpass turnover (2 TO) Steal: Paul (1 STL),"[1629641, 101108]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,2.0,Paul,101108.0,1.0,,,,,,,,
328,PT00M33.70S,2020-03-08T23:04:02.2Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",101108,6.915243101182654,46.63756127450981,1610612760,63,49,2020-03-08T23:04:12Z,3210000,left,[OKC] Paul layup: Made (10 PTS),[101108],1610612760.0,OKC,runningfingerroll,,,Paul,C. Paul,,,,,2.46,: Made,,,,,,,,10.0,,,,,,,,,,,,,,,
329,PT00M29.40S,2020-03-08T23:04:16.4Z,2,REGULAR,foul,offensive,[],203935,,,1610612738,63,49,2020-03-08T23:04:24Z,3220000,,[BOS] Smart foul offensive (2 PF),"[203935, 203457]",1610612738.0,BOS,charge,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,2715.0,2.0,0.0,Noel,203457.0,,,
331,PT00M29.40S,2020-03-08T23:04:16.4Z,2,REGULAR,turnover,offensivefoul,[],203935,,,1610612738,63,49,2020-03-08T23:04:16Z,3240000,,[BOS] Smart offensivefoul turnover (1 TO),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1.0,,,,2715.0,,,,,,,
332,PT00M29.40S,2020-03-08T23:04:24.0Z,2,REGULAR,substitution,out,[],203457,,,1610612760,63,49,2020-03-08T23:04:26Z,3250000,,[OKC] substitution Noel replaced by Adams,"[203457, 203500]",1610612760.0,OKC,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,,,Adams,203500.0,
334,PT00M13.50S,2020-03-08T23:04:55.3Z,2,REGULAR,3pt,jumpshot,['fromturnover'],201568,7.046649145860711,3.2552083333333335,1610612760,63,52,2020-03-08T23:05:02Z,3270000,left,[OKC] Gallinari 3pt shot: Made (13 PTS) assist: Paul (6 AST),"[201568, 101108]",1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,23.45,: Made,,,,,,,,13.0,Paul,101108.0,6.0,,,,,,,,,,,,
336,PT00M00.30S,2020-03-08T23:05:11.5Z,2,REGULAR,2pt,jumpshot,[],1628369,88.51839684625493,77.27481617647058,1610612738,63,52,2020-03-08T23:05:20Z,3290000,right,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,14.94,: Missed,,,,,,,,,,,,,,,,,,,,,,,
337,PT00M00.30S,2020-03-08T23:05:11.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,63,52,2020-03-08T23:05:20Z,3300000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,336.0,,,,,,,,,,,,,,,,,,,,,,
338,PT00M00.00S,2020-03-08T23:05:14.8Z,2,REGULAR,period,end,[],0,,,1610612738,63,52,2020-03-08T23:05:14Z,3310000,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,PT12M00.00S,2020-03-08T23:19:37.4Z,3,REGULAR,substitution,out,['startperiod'],1629641,,,1610612738,63,52,2020-03-08T23:20:49Z,3320000,,[BOS] substitution Langford replaced by Walker,"[1629641, 202689]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,202689.0,
340,PT12M00.00S,2020-03-08T23:19:37.4Z,3,REGULAR,substitution,out,['startperiod'],203471,,,1610612738,63,52,2020-03-08T23:20:49Z,3330000,,[OKC] substitution Schroder replaced by Dort,"[203471, 1629652]",1610612760.0,OKC,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,,,Dort,1629652.0,
343,PT12M00.00S,2020-03-08T23:20:49.5Z,3,REGULAR,period,start,[],0,,,1610612738,63,52,2020-03-08T23:20:49Z,3360000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,PT11M42.00S,2020-03-08T23:21:07.2Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,11.777266754270697,64.03952205882352,1610612738,63,52,2020-03-08T23:21:42Z,3370000,left,[BOS] Hayward jumpshot: Missed,[202330],1610612738.0,BOS,turnaroundfadeaway,,,Hayward,G. Hayward,,,,,9.48,: Missed,,,,,,,,,,,,,,,,,,,,,,,
345,PT11M39.00S,2020-03-08T23:21:10.2Z,3,REGULAR,rebound,defensive,[],203500,,,1610612760,63,52,2020-03-08T23:21:16Z,3380000,,[OKC] Adams defensive rebound (Off:0 Def:2),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,344.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
347,PT11M30.00S,2020-03-08T23:21:28.9Z,3,REGULAR,violation,kickedball,[],1628464,,,1610612760,63,52,2020-03-08T23:21:50Z,3400000,,[BOS] Theis violation kickedball,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,2715.0,,,,,,,
349,PT11M18.00S,2020-03-08T23:21:51.6Z,3,REGULAR,3pt,jumpshot,[],1629652,91.5407358738502,95.90226715686273,1610612760,63,55,2020-03-08T23:22:45Z,3420000,right,[OKC] Dort 3pt shot: Made (6 PTS) assist: Adams (1 AST),"[1629652, 203500]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,23.18,: Made,,,,,,,,6.0,Adams,203500.0,1.0,,,,,,,,,,,,
351,PT10M59.00S,2020-03-08T23:22:10.5Z,3,REGULAR,3pt,jumpshot,[],202689,7.35873850197109,95.92524509803921,1610612738,63,55,2020-03-08T23:22:22Z,3440000,left,[BOS] Walker 3pt jumpshot: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.07,: Missed,,,,,,,,,,,,,,,,,,,,,,,
352,PT10M57.00S,2020-03-08T23:22:12.5Z,3,REGULAR,rebound,defensive,[],1629652,,,1610612760,63,55,2020-03-08T23:22:22Z,3450000,,[OKC] Dort defensive rebound (Off:0 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,351.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
353,PT10M47.00S,2020-03-08T23:22:22.5Z,3,REGULAR,2pt,jumpshot,[],101108,80.23981603153744,69.43167892156863,1610612760,63,57,2020-03-08T23:22:31Z,3460000,right,[OKC] Paul jumpshot: Made (12 PTS) assist: Dort (1 AST),"[101108, 1629652]",1610612760.0,OKC,,,,Paul,C. Paul,,,,,16.94,: Made,,,,,,,,12.0,Dort,1629652.0,1.0,,,,,,,,,,,,
355,PT10M23.00S,2020-03-08T23:22:46.1Z,3,REGULAR,3pt,jumpshot,[],1628369,10.200394218134035,2.5199142156862746,1610612738,63,57,2020-03-08T23:22:53Z,3480000,left,[BOS] Tatum 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.24,: Missed,,,,,,,,,,,,,,,,,,,,,,,
356,PT10M21.00S,2020-03-08T23:22:48.1Z,3,REGULAR,rebound,defensive,[],1629652,,,1610612760,63,57,2020-03-08T23:22:53Z,3490000,,[OKC] Dort defensive rebound (Off:0 Def:3),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,355.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
357,PT10M14.00S,2020-03-08T23:22:55.7Z,3,REGULAR,2pt,jumpshot,[],101108,82.47371879106439,74.33363970588235,1610612760,63,57,2020-03-08T23:23:15Z,3500000,right,[OKC] Paul jumpshot: Missed,[101108],1610612760.0,OKC,stepback,,,Paul,C. Paul,,,,,16.93,: Missed,,,,,,,,,,,,,,,,,,,,,,,
358,PT10M11.00S,2020-03-08T23:22:58.7Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,63,57,2020-03-08T23:23:15Z,3510000,,[BOS] Tatum defensive rebound (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,357.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
360,PT10M01.00S,2020-03-08T23:23:15.7Z,3,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612738,63,57,2020-03-08T23:23:25Z,3530000,,[OKC] Dort foul personal (2 PF) (Walker 2freethrow),"[1629652, 202689]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,2715.0,2.0,0.0,Walker,202689.0,,,
362,PT10M01.00S,2020-03-08T23:23:37.2Z,3,REGULAR,freethrow,1of2,[],202689,,,1610612738,64,57,2020-03-08T23:24:10Z,3550000,,[BOS] Walker freethrow 1of2: Made (12 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,: Made,,,,,,,,12.0,,,,,,,,,,,,,,,
