actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
16,PT10M34.00S,2020-03-08T22:11:48.5Z,1,REGULAR,2pt,jumpshot,[],201568,15.982260183968464,70.16697303921569,1610612760,0,2,2020-03-08T22:11:59Z,150000,left,[OKC] Gallinari jumpshot: Made (2 PTS),[201568],1610612760.0,OKC,turnaround,,,Gallinari,D. Gallinari,,,,,14.43,: Made,,,,,,,,2.0,,,,,,,,,,,,,,,
17,PT10M20.00S,2020-03-08T22:12:02.5Z,1,REGULAR,3pt,jumpshot,[],202689,66.83639947437582,47.372855392156865,1610612738,3,2,2020-03-08T22:12:08Z,160000,right,[BOS] Walker 3pt shot: Made (3 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.5,: Made,,,,,,,,3.0,,,,,,,,,,,,,,,
18,PT10M04.00S,2020-03-08T22:12:18.1Z,1,REGULAR,3pt,jumpshot,[],201568,7.178055190538765,3.990502450980392,1610612760,3,5,2020-03-08T22:12:23Z,170000,left,[OKC] Gallinari 3pt shot: Made (5 PTS) assist: Paul (1 AST),"[201568, 101108]",1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,23.09,: Made,,,,,,,,5.0,Paul,101108.0,1.0,,,,,,,,,,,,
20,PT09M49.00S,2020-03-08T22:12:32.8Z,1,REGULAR,3pt,jumpshot,[],203935,94.95729303547962,2.029718137254902,1610612738,6,5,2020-03-08T22:12:41Z,190000,right,[BOS] Smart 3pt shot: Made (3 PTS) assist: Theis (1 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.99,: Made,,,,,,,,3.0,Theis,1628464.0,1.0,,,,,,,,,,,,
22,PT09M28.00S,2020-03-08T22:12:58.0Z,1,REGULAR,turnover,badpass,[],1628390,,,1610612760,6,5,2020-03-08T22:13:55Z,210000,,[OKC] Ferguson badpass turnover (1 TO) Steal: Hayward (1 STL),"[1628390, 202330]",1610612760.0,OKC,,,,Ferguson,T. Ferguson,,,,,,,,,,,,,,,,,,1.0,Hayward,202330.0,1.0,,,,,,,,
24,PT09M17.00S,2020-03-08T22:13:04.7Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,69.20170827858082,29.235600490196077,1610612738,6,5,2020-03-08T22:13:16Z,230000,right,[BOS] Walker 3pt jumpshot: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.38,: Missed,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M15.00S,2020-03-08T22:13:06.7Z,1,REGULAR,rebound,defensive,[],101108,,,1610612760,6,5,2020-03-08T22:13:16Z,240000,,[OKC] Paul defensive rebound (Off:0 Def:2),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
26,PT09M08.00S,2020-03-08T22:13:15.0Z,1,REGULAR,2pt,jumpshot,['fastbreak'],101108,20.581471747700395,78.99050245098039,1610612760,6,7,2020-03-08T22:13:24Z,250000,left,[OKC] Paul jumpshot: Made (2 PTS),[101108],1610612760.0,OKC,fadeaway,,,Paul,C. Paul,,,,,20.61,: Made,,,,,,,,2.0,,,,,,,,,,,,,,,
27,PT08M55.00S,2020-03-08T22:13:27.0Z,1,REGULAR,3pt,jumpshot,[],1628464,67.88764783180025,47.127757352941174,1610612738,6,7,2020-03-08T22:13:34Z,260000,right,[BOS] Theis 3pt jumpshot: Missed,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,25.53,: Missed,,,,,,,,,,,,,,,,,,,,,,,
28,PT08M53.00S,2020-03-08T22:13:29.0Z,1,REGULAR,rebound,defensive,[],201568,,,1610612760,6,7,2020-03-08T22:13:34Z,270000,,[OKC] Gallinari defensive rebound (Off:0 Def:1),[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
29,PT08M50.00S,2020-03-08T22:13:34.8Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612760,6,7,2020-03-08T22:13:46Z,280000,,[BOS] Walker foul personal (1 PF) (Paul 2freethrow),"[202689, 101108]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Paul,101108.0,,,
31,PT08M50.00S,2020-03-08T22:14:05.7Z,1,REGULAR,freethrow,1of2,['fastbreak'],101108,,,1610612760,6,8,2020-03-08T22:14:05Z,300000,,[OKC] Paul freethrow 1of2: Made (3 PTS),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,: Made,,,,,,,,3.0,,,,,,,,,,,,,,,
32,PT08M50.00S,2020-03-08T22:14:13.1Z,1,REGULAR,freethrow,2of2,['fastbreak'],101108,,,1610612760,6,9,2020-03-08T22:14:13Z,310000,,[OKC] Paul freethrow 2of2: Made (4 PTS),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,: Made,,,,,,,,4.0,,,,,,,,,,,,,,,
33,PT08M41.00S,2020-03-08T22:14:26.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,93.38042049934296,57.176776960784316,1610612738,6,9,2020-03-08T22:14:38Z,320000,right,[BOS] Hayward layup: Missed Block: Adams (1 BLK),"[202330, 203500]",1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,3.9,: Missed,,,,,Adams,203500.0,1.0,,,,,,,,,,,,,,,,
35,PT08M40.00S,2020-03-08T22:14:27.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,9,2020-03-08T22:14:38Z,340000,,[BOS] Team offensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,
36,PT08M40.00S,2020-03-08T22:14:31.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,6,9,2020-03-08T22:14:31Z,350000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M31.00S,2020-03-08T22:14:46.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,92.59198423127464,47.61795343137255,1610612738,8,9,2020-03-08T22:14:51Z,360000,right,[BOS] Tatum layup: Made (2 PTS),[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,2.55,: Made,,,,,,,,2.0,,,,,,,,,,,,,,,
38,PT08M18.00S,2020-03-08T22:15:04.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612760,8,9,2020-03-08T22:15:04Z,370000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M10.00S,2020-03-08T22:15:27.0Z,1,REGULAR,foul,personal,[],1628464,,,1610612760,8,9,2020-03-08T22:15:42Z,380000,,[BOS] Theis foul personal (1 PF),"[1628464, 203500]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Adams,203500.0,,,
41,PT08M05.00S,2020-03-08T22:15:45.3Z,1,REGULAR,2pt,jumpshot,[],101108,12.040078843626807,78.99050245098039,1610612760,8,9,2020-03-08T22:28:00Z,400000,left,[OKC] Paul jumpshot: Missed,[101108],1610612760.0,OKC,pullup,,,Paul,C. Paul,,,,,15.94,: Missed,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M03.00S,2020-03-08T22:15:47.3Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,8,9,2020-03-08T22:15:58Z,410000,,[BOS] Hayward defensive rebound (Off:0 Def:3),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
43,PT07M50.00S,2020-03-08T22:16:00.2Z,1,REGULAR,2pt,jumpshot,[],202330,75.90341655716163,43.94148284313725,1610612738,8,9,2020-03-08T22:16:10Z,420000,right,[BOS] Hayward jumpshot: Missed,[202330],1610612738.0,BOS,stepback,,,Hayward,G. Hayward,,,,,18.2,: Missed,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M47.00S,2020-03-08T22:16:03.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612760,8,9,2020-03-08T22:16:10Z,430000,,[OKC] Paul defensive rebound (Off:0 Def:3),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
45,PT07M40.00S,2020-03-08T22:16:09.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201568,8.754927726675426,57.91207107843137,1610612760,8,9,2020-03-08T22:27:52Z,440000,left,[OKC] Gallinari jumpshot: Missed,[201568],1610612760.0,OKC,fadeaway,,,Gallinari,D. Gallinari,,,,,5.3,: Missed,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M38.00S,2020-03-08T22:16:11.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,9,2020-03-08T22:21:10Z,450000,,[BOS] Tatum defensive rebound (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
