actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
68,PT06M34.00S,2020-01-17T01:27:28.7Z,1,REGULAR,3pt,jumpshot,[],202689,34.773324572930356,53.74540441176471,1610612738,18,8,2020-01-17T01:27:32Z,680000,-19.0,274.0,1,left,MISS K. Walker 28' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,28.05,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M32.00S,2020-01-17T01:27:30.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,18,8,2020-01-17T01:27:32Z,690000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,,
70,PT06M23.00S,2020-01-17T01:27:40.1Z,1,REGULAR,2pt,jumpshot,[],201572,79.31997371879106,43.69638480392157,1610612749,20,8,2020-01-17T01:27:44Z,700000,-32.0,142.0,1,right,B. Lopez 15' jumpshot (11 PTS) (K. Middleton 2 AST),"[201572, 203114]",1610612749.0,MIL,turnaround,,,Lopez,B. Lopez,,,,,15.07,Made,,,,,,,,,,,,11.0,,,,K. Middleton,203114.0,2.0,
72,PT06M02.00S,2020-01-17T01:28:01.1Z,1,REGULAR,2pt,jumpshot,[],203935,23.078186596583443,48.59834558823529,1610612738,20,8,2020-01-17T01:28:05Z,720000,7.0,164.0,1,left,MISS M. Smart 17' jumpshot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,17.0,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2020-01-17T01:28:04.1Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,20,8,2020-01-17T01:28:05Z,730000,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,
74,PT05M55.00S,2020-01-17T01:28:12.2Z,1,REGULAR,foul,personal,[],202689,,,1610612749,20,8,2020-01-17T01:28:20Z,740000,,,0,,K. Walker FOUL personal (2 PF),"[202689, 202339]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,202037.0,2.0,0.0,Bledsoe,202339.0,,,,,,,,
76,PT05M55.00S,2020-01-17T01:28:21.6Z,1,REGULAR,substitution,out,[],202083,,,1610612749,20,8,2020-01-17T01:28:30Z,760000,,,0,,substitution out Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2020-01-17T01:28:21.6Z,1,REGULAR,substitution,out,[],202330,,,1610612749,20,8,2020-01-17T01:28:30Z,770000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2020-01-17T01:28:21.6Z,1,REGULAR,substitution,in,[],1628978,,,1610612749,20,8,2020-01-17T01:28:30Z,780000,,,0,,substitution in DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2020-01-17T01:28:21.6Z,1,REGULAR,substitution,in,[],1629750,,,1610612749,20,8,2020-01-17T01:28:30Z,790000,,,0,,substitution in Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
