actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,subsInPlayerName,subsInPersonId,blockPlayerName,blockPersonId,blockTotal,value
425,PT05M37.00S,2020-02-23T22:12:23.4Z,3,REGULAR,turnover,lostball,[],203076,,,1610612747,72,77,2020-02-23T22:12:26Z,4190000,,[LAL] Davis lostball turnover (6 TO) Steal: Tatum (1 STL),"[203076, 1628369]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,6.0,Tatum,1628369.0,1.0,,,,,,
427,PT05M34.00S,2020-02-23T22:12:27.0Z,3,REGULAR,3pt,jumpshot,"['fastbreak', 'fromturnover']",203935,24.753613666228645,12.67616421568627,1610612738,72,77,2020-02-23T22:14:24Z,4210000,left,[BOS] Smart 3pt jumpshot: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.33,: Missed,,,,,,,,,,,,,,,,,,,,,,,
428,PT05M33.00S,2020-02-23T22:12:28.0Z,3,REGULAR,rebound,defensive,[],2544,,,1610612747,72,77,2020-02-23T22:14:24Z,4220000,,[LAL] James defensive rebound (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,427.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
429,PT05M24.00S,2020-02-23T22:12:36.1Z,3,REGULAR,3pt,jumpshot,[],203076,67.7233902759527,62.67616421568628,1610612747,72,77,2020-02-23T22:12:40Z,4230000,right,[LAL] Davis 3pt jumpshot: Missed,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,26.41,: Missed,,,,,,,,,,,,,,,,,,,,,,,
430,PT05M22.00S,2020-02-23T22:12:38.1Z,3,REGULAR,rebound,defensive,[],202954,,,1610612738,72,77,2020-02-23T22:12:40Z,4240000,,[BOS] Wanamaker defensive rebound (Off:0 Def:2),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,429.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
431,PT05M07.00S,2020-02-23T22:12:53.2Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,11.087385019710908,62.92126225490196,1610612738,72,79,2020-02-23T22:14:56Z,4250000,left,[BOS] Tatum jumpshot: Made (35 PTS),[1628369],1610612738.0,BOS,pullupbank,,,Tatum,J. Tatum,,,,,8.63,: Made,35.0,,,,,,,,,,,,,,,,,,,,,,
432,PT04M49.00S,2020-02-23T22:13:17.2Z,3,REGULAR,turnover,outofbounds,[],201980,,,1610612747,72,79,2020-02-23T22:13:21Z,4260000,,[LAL] Green outofbounds turnover (1 TO),[201980],1610612747.0,LAL,step,,,Green,D. Green,,,,,,,,,,,,,,,1830.0,,,,,1.0,,,,,,,,,
433,PT04M49.00S,2020-02-23T22:13:20.7Z,3,REGULAR,substitution,out,[],201980,,,1610612738,72,79,2020-02-23T22:13:34Z,4270000,,[LAL] substitution Green replaced by Kuzma,"[201980, 1628398]",1610612747.0,LAL,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,Kuzma,1628398.0,,,,
434,PT04M49.00S,2020-02-23T22:13:20.7Z,3,REGULAR,substitution,out,[],2544,,,1610612738,72,79,2020-02-23T22:13:34Z,4280000,,[LAL] substitution James replaced by Rondo,"[2544, 200765]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,Rondo,200765.0,,,,
437,PT04M27.00S,2020-02-23T22:13:58.4Z,3,REGULAR,3pt,jumpshot,['fromturnover'],1629641,19.23455978975032,5.568321078431367,1610612738,72,79,2020-02-23T22:14:05Z,4310000,left,[BOS] Langford 3pt jumpshot: Missed,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,25.94,: Missed,,,,,,,,,,,,,,,,,,,,,,,
