actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
183,PT10M30.00S,2020-09-17T23:47:16.1Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,33,30,2020-09-17T23:47:17Z,1830000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,182.0,1.0,1.0,0.0,,,,,,,,,,,,,
184,PT10M23.00S,2020-09-17T23:47:23.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202683,94.82588699080158,47.61795343137255,1610612738,35,30,2020-09-17T23:47:26Z,1840000,-12.0,-4.0,1,right,E. Kanter layup (6 PTS) (J. Tatum 1 AST),"[202683, 1628369]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,1.2,Made,6.0,,,,,,,J. Tatum,1628369.0,1.0,,,,,,,,
186,PT10M09.00S,2020-09-17T23:47:36.4Z,2,REGULAR,3pt,jumpshot,[],1629639,4.5499342969776615,97.12775735294117,1610612748,35,33,2020-09-17T23:47:40Z,1860000,-236.0,-10.0,1,left,T. Herro 24' 3PT  (9 PTS) (A. Iguodala 1 AST),"[1629639, 2738]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,23.56,Made,9.0,,,,,,,A. Iguodala,2738.0,1.0,,,,,,,,
188,PT09M41.00S,2020-09-17T23:48:04.7Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,89.43823915900131,63.30422794117647,1610612738,35,33,2020-09-17T23:48:08Z,1880000,67.0,47.0,1,right,MISS M. Smart 8' jumpshot,[203935],1610612738.0,BOS,drivingfloating,,,Smart,M. Smart,,,,,8.46,Missed,,,,,,,,,,,,,,,,,,
189,PT09M39.00S,2020-09-17T23:48:06.7Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,35,33,2020-09-17T23:48:08Z,1890000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,188.0,2.0,2.0,0.0,,,,,,,,,,,,,
190,PT09M36.00S,2020-09-17T23:48:10.3Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1629639,31.61957950065703,40.01991421568628,1610612748,35,33,2020-09-17T23:48:15Z,1900000,50.0,245.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,runningpullup,,,Herro,T. Herro,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,
191,PT09M32.00S,2020-09-17T23:48:14.3Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,35,33,2020-09-17T23:48:15Z,1910000,,,0,,E. Kanter REBOUND (Off:0 Def:5),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,190.0,5.0,5.0,0.0,,,,,,,,,,,,,
192,PT09M25.00S,2020-09-17T23:48:20.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.1688567674113,48.10814950980392,1610612738,37,33,2020-09-17T23:51:30Z,1920000,-9.0,2.0,1,right,J. Tatum layup (9 PTS),[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,1.23,Made,9.0,,,,,,,,,,,,,,,,,
193,PT09M14.00S,2020-09-17T23:48:31.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628389,6.521024967148489,49.57873774509804,1610612748,37,33,2020-09-17T23:48:38Z,1930000,2.0,9.0,1,left,MISS B. Adebayo layup,[1628389],1610612748.0,MIA,cuttingfingerroll,,,Adebayo,B. Adebayo,,,,,1.45,Missed,,,,,,,,,,,,,,,,,,
194,PT09M12.00S,2020-09-17T23:48:33.0Z,2,REGULAR,rebound,defensive,[],202954,,,1610612738,37,33,2020-09-17T23:48:38Z,1940000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,193.0,1.0,1.0,0.0,,,,,,,,,,,,,
195,PT09M04.00S,2020-09-17T23:48:41.1Z,2,REGULAR,3pt,jumpshot,[],202954,69.33311432325887,23.353247549019606,1610612738,40,33,2020-09-17T23:48:46Z,1950000,-133.0,236.0,1,right,B. Wanamaker 28' 3PT  (3 PTS) (J. Tatum 2 AST),"[202954, 1628369]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,27.56,Made,3.0,,,,,,,J. Tatum,1628369.0,2.0,,,,,,,,
197,PT09M03.00S,2020-09-17T23:48:48.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,40,33,2020-09-17T23:48:48Z,1970000,,,0,,timeout full,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M03.00S,2020-09-17T23:51:47.7Z,2,REGULAR,substitution,out,[],203935,,,1610612748,40,33,2020-09-17T23:52:07Z,1980000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
199,PT09M03.00S,2020-09-17T23:51:47.7Z,2,REGULAR,substitution,in,[],1627759,,,1610612748,40,33,2020-09-17T23:52:07Z,1990000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M50.00S,2020-09-17T23:52:32.6Z,2,REGULAR,3pt,jumpshot,[],1629134,31.61957950065703,29.235600490196077,1610612748,40,33,2020-09-17T23:52:37Z,2000000,104.0,245.0,1,left,MISS K. Nunn 27' 3PT,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,27.09,Missed,,,,,,,,,,,,,,,,,,
201,PT08M46.00S,2020-09-17T23:52:36.6Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,40,33,2020-09-17T23:52:37Z,2010000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,200.0,2.0,2.0,0.0,,,,,,,,,,,,,
202,PT08M37.00S,2020-09-17T23:52:45.7Z,2,REGULAR,3pt,jumpshot,[],202954,70.38436268068331,25.314031862745097,1610612738,43,33,2020-09-17T23:52:58Z,2020000,-123.0,226.0,1,right,B. Wanamaker 26' 3PT  (6 PTS),[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,26.22,Made,6.0,,,,,,,,,,,,,,,,,
203,PT08M26.00S,2020-09-17T23:52:57.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],201609,5.732588699080158,51.53952205882353,1610612748,43,35,2020-09-17T23:53:03Z,2030000,-8.0,1.0,1,left,G. Dragic layup (7 PTS),[201609],1610612748.0,MIA,drivingreverse,,,Dragic,G. Dragic,,,,,1.03,Made,7.0,,,,,,,,,,,,,,,,,
204,PT08M10.00S,2020-09-17T23:53:12.1Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,89.04402102496715,50.06893382352941,1610612738,43,35,2020-09-17T23:53:17Z,2040000,0.0,50.0,1,right,MISS J. Brown 6' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,5.6,Missed,,,,,,,,,,,,,,,,,,
205,PT08M07.00S,2020-09-17T23:53:15.1Z,2,REGULAR,rebound,defensive,[],1629134,,,1610612748,43,35,2020-09-17T23:53:17Z,2050000,,,0,,K. Nunn REBOUND (Off:0 Def:2),[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,204.0,2.0,2.0,0.0,,,,,,,,,,,,,
206,PT08M00.00S,2020-09-17T23:53:23.2Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],1628389,6.915243101182654,50.314031862745104,1610612748,43,37,2020-09-17T23:53:28Z,2060000,-2.0,13.0,1,left,B. Adebayo dunk (2 PTS) (K. Nunn 2 AST),"[1628389, 1629134]",1610612748.0,MIA,alleyoop,,,Adebayo,B. Adebayo,,,,,1.81,Made,2.0,,,,,,,K. Nunn,1629134.0,2.0,,,,,,,,
208,PT07M37.00S,2020-09-17T23:53:48.2Z,2,REGULAR,turnover,outofbounds,[],1629684,,,1610612738,43,37,2020-09-17T23:53:54Z,2080000,,,0,,G. Williams TURNOVER outofbounds (1 TOV),[1629684],1610612738.0,BOS,badpass,,,Williams,G. Williams,,,,,,,,,,,,2714.0,1.0,,,,,,,,,,,
209,PT07M37.00S,2020-09-17T23:53:51.6Z,2,REGULAR,substitution,out,[],1628389,,,1610612748,43,37,2020-09-17T23:54:22Z,2090000,,,0,,substitution out Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M37.00S,2020-09-17T23:53:51.6Z,2,REGULAR,substitution,out,[],1629134,,,1610612748,43,37,2020-09-17T23:54:22Z,2100000,,,0,,substitution out Nunn,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M37.00S,2020-09-17T23:53:51.6Z,2,REGULAR,substitution,out,[],2738,,,1610612748,43,37,2020-09-17T23:54:22Z,2110000,,,0,,substitution out Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M37.00S,2020-09-17T23:53:51.6Z,2,REGULAR,substitution,in,[],202710,,,1610612748,43,37,2020-09-17T23:54:22Z,2120000,,,0,,substitution in Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M37.00S,2020-09-17T23:53:51.6Z,2,REGULAR,substitution,in,[],203482,,,1610612748,43,37,2020-09-17T23:54:22Z,2130000,,,0,,substitution in Olynyk,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M37.00S,2020-09-17T23:53:51.6Z,2,REGULAR,substitution,in,[],203109,,,1610612748,43,37,2020-09-17T23:54:22Z,2140000,,,0,,substitution in Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M19.00S,2020-09-17T23:54:38.3Z,2,REGULAR,2pt,jumpshot,['fromturnover'],201609,6.258212877792378,26.784620098039213,1610612748,43,37,2020-09-17T23:54:42Z,2150000,116.0,6.0,1,left,MISS G. Dragic 12' jumpshot,[201609],1610612748.0,MIA,stepback,,,Dragic,G. Dragic,,,,,11.67,Missed,,,,,,,,,,,,,,,,,,
216,PT07M16.00S,2020-09-17T23:54:41.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,43,37,2020-09-17T23:54:42Z,2160000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,215.0,3.0,3.0,0.0,,,,,,,,,,,,,
217,PT07M08.00S,2020-09-17T23:54:48.6Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,93.9060446780552,48.84344362745098,1610612738,43,37,2020-09-17T23:54:54Z,2170000,-6.0,5.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.18,Missed,,,,,,,,,,,,,,,,,,
218,PT07M07.00S,2020-09-17T23:54:50.6Z,2,REGULAR,rebound,offensive,[],202683,,,1610612738,43,37,2020-09-17T23:54:50Z,2180000,,,0,,E. Kanter REBOUND (Off:1 Def:5),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,217.0,6.0,5.0,1.0,,,,,,,,,,,,,
219,PT07M07.00S,2020-09-17T23:54:54.8Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",202683,86.28449408672799,42.22579656862745,1610612738,45,37,2020-09-17T23:54:58Z,2190000,-39.0,76.0,1,right,E. Kanter 9' jumpshot (8 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,9.07,Made,8.0,,,,,,,,,,,,,,,,,
220,PT07M07.00S,2020-09-17T23:54:57.7Z,2,REGULAR,foul,personal,['1freethrow'],203482,,,1610612738,45,37,2020-09-17T23:55:19Z,2200000,,,0,,K. Olynyk FOUL personal (2 PF) (Kanter 1freethrow),"[203482, 202683]",1610612748.0,MIA,shooting,,,Olynyk,K. Olynyk,,,,,,,,,,,,1148.0,,,,,2.0,0.0,Kanter,202683.0,,,,
222,PT07M07.00S,2020-09-17T23:55:07.6Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,45,37,2020-09-17T23:55:17Z,2220000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M07.00S,2020-09-17T23:55:07.6Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,45,37,2020-09-17T23:55:17Z,2230000,,,0,,substitution out Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M07.00S,2020-09-17T23:55:07.6Z,2,REGULAR,substitution,in,[],202689,,,1610612738,45,37,2020-09-17T23:55:17Z,2240000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M07.00S,2020-09-17T23:55:07.6Z,2,REGULAR,substitution,in,[],203935,,,1610612738,45,37,2020-09-17T23:55:17Z,2250000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M07.00S,2020-09-17T23:55:28.1Z,2,REGULAR,freethrow,1of1,['2ndchance'],202683,,,1610612738,46,37,2020-09-17T23:55:28Z,2260000,,,0,,E. Kanter freethrow 1of1 (9 PTS),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
227,PT06M53.00S,2020-09-17T23:55:46.7Z,2,REGULAR,foul,personal,[],202683,,,1610612748,46,37,2020-09-17T23:55:57Z,2270000,,,0,,E. Kanter FOUL personal (1 PF),"[202683, 202710]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,2714.0,,,,,1.0,0.0,Butler,202710.0,,,,
229,PT06M53.00S,2020-09-17T23:55:55.2Z,2,REGULAR,substitution,out,[],202683,,,1610612748,46,37,2020-09-17T23:56:04Z,2290000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M53.00S,2020-09-17T23:55:55.2Z,2,REGULAR,substitution,out,[],201609,,,1610612748,46,37,2020-09-17T23:56:04Z,2300000,,,0,,substitution out Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M53.00S,2020-09-17T23:55:55.2Z,2,REGULAR,substitution,in,[],1628464,,,1610612748,46,37,2020-09-17T23:56:04Z,2310000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M53.00S,2020-09-17T23:55:55.2Z,2,REGULAR,substitution,in,[],1629130,,,1610612748,46,37,2020-09-17T23:56:04Z,2320000,,,0,,substitution in Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M44.00S,2020-09-17T23:56:16.5Z,2,REGULAR,3pt,jumpshot,[],1629130,24.78646517739816,84.1375612745098,1610612748,46,37,2020-09-17T23:56:22Z,2330000,-171.0,180.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,
234,PT06M39.00S,2020-09-17T23:56:21.5Z,2,REGULAR,rebound,offensive,[],1629639,,,1610612748,46,37,2020-09-17T23:56:22Z,2340000,,,0,,T. Herro REBOUND (Off:1 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,233.0,3.0,2.0,1.0,,,,,,,,,,,,,
235,PT06M39.00S,2020-09-17T23:56:21.7Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1629639,6.521024967148489,48.10814950980392,1610612748,46,39,2020-09-17T23:56:28Z,2350000,9.0,9.0,1,left,T. Herro layup (11 PTS),[1629639],1610612748.0,MIA,putback,,,Herro,T. Herro,,,,,1.72,Made,11.0,,,,,,,,,,,,,,,,,
236,PT06M22.00S,2020-09-17T23:56:38.7Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627759,94.1688567674113,49.82383578431372,1610612738,46,39,2020-09-17T23:56:43Z,2360000,-1.0,2.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,0.79,Missed,,,,,,,,,,,,,,,,,,
237,PT06M19.00S,2020-09-17T23:56:41.4Z,2,REGULAR,rebound,offensive,[],202689,,,1610612738,46,39,2020-09-17T23:56:41Z,2370000,,,0,,K. Walker REBOUND (Off:1 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,236.0,2.0,1.0,1.0,,,,,,,,,,,,,
238,PT06M18.00S,2020-09-17T23:56:42.2Z,2,REGULAR,3pt,jumpshot,['2ndchance'],202689,66.5735873850197,47.127757352941174,1610612738,46,39,2020-09-17T23:56:48Z,2380000,-14.0,262.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,
239,PT06M13.00S,2020-09-17T23:56:46.8Z,2,REGULAR,rebound,offensive,[],202689,,,1610612738,46,39,2020-09-17T23:56:46Z,2390000,,,0,,K. Walker REBOUND (Off:2 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,238.0,3.0,1.0,2.0,,,,,,,,,,,,,
240,PT06M11.00S,2020-09-17T23:56:48.5Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",202689,81.2910643889619,41.24540441176471,1610612738,48,39,2020-09-17T23:56:52Z,2400000,-44.0,123.0,1,right,K. Walker 14' jumpshot (8 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,13.61,Made,8.0,,,,,,,,,,,,,,,,,
241,PT06M04.00S,2020-09-17T23:56:55.5Z,2,REGULAR,3pt,jumpshot,[],203109,25.443495400788436,13.304227941176471,1610612748,48,39,2020-09-17T23:57:00Z,2410000,183.0,187.0,1,left,MISS J. Crowder 27' 3PT,[203109],1610612748.0,MIA,pullup,,,Crowder,J. Crowder,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,
242,PT06M00.00S,2020-09-17T23:56:59.5Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,48,39,2020-09-17T23:57:00Z,2420000,,,0,,K. Walker REBOUND (Off:2 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,241.0,4.0,2.0,2.0,,,,,,,,,,,,,
243,PT05M55.00S,2020-09-17T23:57:05.0Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202689,94.56307490144546,49.82383578431372,1610612738,50,39,2020-09-17T23:57:10Z,2430000,-1.0,-1.0,1,right,K. Walker layup (10 PTS),[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,0.42,Made,10.0,,,,,,,,,,,,,,,,,
244,PT05M42.00S,2020-09-17T23:57:23.1Z,2,REGULAR,foul,offensive,[],203109,,,1610612748,50,39,2020-09-17T23:57:31Z,2440000,,,0,,J. Crowder FOUL offensive (1 PF),"[203109, 202689]",1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,1148.0,,,,,1.0,0.0,Walker,202689.0,,,,
246,PT05M42.00S,2020-09-17T23:57:23.1Z,2,REGULAR,turnover,offensivefoul,[],203109,,,1610612748,50,39,2020-09-17T23:57:23Z,2460000,,,0,,J. Crowder TURNOVER offensivefoul (1 TOV),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,1148.0,1.0,,,,,,,,,,,
247,PT05M31.00S,2020-09-17T23:57:48.1Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",203935,94.30026281208936,48.353247549019606,1610612738,52,39,2020-09-17T23:57:52Z,2470000,-8.0,1.0,1,right,M. Smart layup (10 PTS) (K. Walker 2 AST),"[203935, 202689]",1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,1.05,Made,10.0,,,,,,,K. Walker,202689.0,2.0,,,,,,,,
249,PT05M31.00S,2020-09-17T23:57:53.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,52,39,2020-09-17T23:57:53Z,2490000,,,0,,timeout full,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M31.00S,2020-09-18T00:00:30.9Z,2,REGULAR,substitution,out,[],203482,,,1610612748,52,39,2020-09-18T00:01:10Z,2500000,,,0,,substitution out Olynyk,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M31.00S,2020-09-18T00:00:30.9Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,52,39,2020-09-18T00:01:10Z,2510000,,,0,,substitution in Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
252,PT05M07.00S,2020-09-18T00:01:48.6Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628389,19.004599211563733,55.21599264705882,1610612748,52,41,2020-09-18T00:01:53Z,2520000,-26.0,126.0,1,left,B. Adebayo 13' jumpshot (4 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,13.42,Made,4.0,,,,,,,,,,,,,,,,,
253,PT04M44.00S,2020-09-18T00:02:10.5Z,2,REGULAR,2pt,jumpshot,[],202689,71.82982917214193,48.84344362745098,1610612738,54,41,2020-09-18T00:02:16Z,2530000,-6.0,212.0,1,right,K. Walker 22' jumpshot (12 PTS),[202689],1610612738.0,BOS,stepback,,,Walker,K. Walker,,,,,21.79,Made,12.0,,,,,,,,,,,,,,,,,
254,PT04M30.00S,2020-09-18T00:02:26.9Z,2,REGULAR,foul,personal,[],1628464,,,1610612748,54,41,2020-09-18T00:02:34Z,2540000,,,0,,D. Theis FOUL personal (2 PF),"[1628464, 1629639]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,2529.0,,,,,2.0,0.0,Herro,1629639.0,,,,
256,PT04M17.00S,2020-09-18T00:02:59.1Z,2,REGULAR,3pt,jumpshot,[],1629130,29.911300919842315,72.12775735294117,1610612748,54,41,2020-09-18T00:03:05Z,2560000,-111.0,229.0,1,left,MISS D. Robinson 26' 3PT Blocked,"[1629130, 202689]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.9,Missed,,,,,,,,,,,,,,,,,Walker,202689.0
257,PT04M17.00S,2020-09-18T00:02:59.1Z,2,REGULAR,block,,[],202689,,,1610612748,54,41,2020-09-18T00:03:01Z,2570000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M15.00S,2020-09-18T00:03:01.1Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,54,41,2020-09-18T00:03:05Z,2580000,,,0,,K. Walker REBOUND (Off:2 Def:3),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,256.0,5.0,3.0,2.0,,,,,,,,,,,,,
259,PT04M12.00S,2020-09-18T00:03:04.2Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",202689,94.1688567674113,48.10814950980392,1610612738,56,41,2020-09-18T00:03:09Z,2590000,-9.0,2.0,1,right,K. Walker layup (14 PTS),[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,1.23,Made,14.0,,,,,,,,,,,,,,,,,
260,PT03M55.00S,2020-09-18T00:03:21.0Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202710,10.200394218134035,49.333639705882355,1610612748,56,41,2020-09-18T00:03:25Z,2600000,3.0,43.0,1,left,MISS J. Butler layup,[202710],1610612748.0,MIA,cutting,,,Butler,J. Butler,,,,,4.9,Missed,,,,,,,,,,,,,,,,,,
261,PT03M52.00S,2020-09-18T00:03:24.0Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,56,41,2020-09-18T00:03:25Z,2610000,,,0,,D. Theis REBOUND (Off:0 Def:5),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,260.0,5.0,5.0,0.0,,,,,,,,,,,,,
262,PT03M40.00S,2020-09-18T00:03:36.2Z,2,REGULAR,3pt,jumpshot,[],202689,65.78515111695138,40.01991421568628,1610612738,56,41,2020-09-18T00:03:44Z,2620000,-50.0,269.0,1,right,MISS K. Walker 28' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.91,Missed,,,,,,,,,,,,,,,,,,
263,PT03M37.00S,2020-09-18T00:03:39.2Z,2,REGULAR,rebound,defensive,[],203109,,,1610612748,56,41,2020-09-18T00:03:44Z,2630000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,262.0,2.0,2.0,0.0,,,,,,,,,,,,,
264,PT03M35.00S,2020-09-18T00:03:41.6Z,2,REGULAR,3pt,jumpshot,['fastbreak'],1629639,28.86005256241787,74.08854166666666,1610612748,56,41,2020-09-18T00:03:54Z,2640000,-120.0,219.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,
265,PT03M35.00S,2020-09-18T00:03:41.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,56,41,2020-09-18T00:03:54Z,2650000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,
266,PT03M33.00S,2020-09-18T00:03:48.2Z,2,REGULAR,foul,personal,[],202710,,,1610612738,56,41,2020-09-18T00:03:59Z,2660000,,,0,,J. Butler FOUL personal (1 PF),"[202710, 1627759]",1610612748.0,MIA,looseball,,,Butler,J. Butler,,,,,,,,,,,,1148.0,,,,,1.0,0.0,Brown,1627759.0,,,,
268,PT03M33.00S,2020-09-18T00:03:56.5Z,2,REGULAR,substitution,out,[],203935,,,1610612738,56,41,2020-09-18T00:04:16Z,2680000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M33.00S,2020-09-18T00:03:56.5Z,2,REGULAR,substitution,out,[],1629639,,,1610612738,56,41,2020-09-18T00:04:16Z,2690000,,,0,,substitution out Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
