actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
64,PT07M20.00S,2020-08-30T17:28:31.9Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1627783,11.12023653088042,33.892463235294116,1610612761,5,11,2020-08-30T17:28:36Z,640000,81.0,52.0,1,left,MISS P. Siakam 10' jumpshot,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,9.89,Missed,,,,,,,,,,,,,,,,,,,
65,PT07M18.00S,2020-08-30T17:28:33.9Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,5,11,2020-08-30T17:28:36Z,650000,,,0,,D. Theis REBOUND (Off:0 Def:5),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,64.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
66,PT07M03.00S,2020-08-30T17:28:49.4Z,1,REGULAR,3pt,jumpshot,[],1627759,93.77463863337714,94.67677696078431,1610612738,5,11,2020-08-30T17:28:55Z,660000,223.0,6.0,1,right,MISS J. Brown 22' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.37,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M01.00S,2020-08-30T17:28:51.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,5,11,2020-08-30T17:28:55Z,670000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,
68,PT07M01.00S,2020-08-30T17:28:54.7Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,5,11,2020-08-30T17:28:54Z,680000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M01.00S,2020-08-30T17:28:55.9Z,1,REGULAR,substitution,out,[],201188,,,1610612761,5,11,2020-08-30T17:28:59Z,690000,,,0,,substitution out Gasol,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M01.00S,2020-08-30T17:28:55.9Z,1,REGULAR,substitution,in,[],201586,,,1610612761,5,11,2020-08-30T17:28:59Z,700000,,,0,,substitution in Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M48.00S,2020-08-30T17:29:24.6Z,1,REGULAR,turnover,outofbounds,[],200768,,,1610612761,5,11,2020-08-30T17:29:43Z,710000,,,0,,K. Lowry TURNOVER outofbounds (3 TOV),[200768],1610612761.0,TOR,lostball,,,Lowry,K. Lowry,,,,,,,,,,,,,,,101284.0,3.0,,,,,,,,,
72,PT06M48.00S,2020-08-30T17:29:27.3Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,5,11,2020-08-30T17:29:30Z,720000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M48.00S,2020-08-30T17:29:27.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612738,5,11,2020-08-30T17:29:30Z,730000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
