actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
92,PT03M24.00S,2020-09-12T01:40:22.1Z,1,REGULAR,3pt,jumpshot,[],1627759,68.28186596583443,48.59834558823529,1610612738,12,21,2020-09-12T01:40:26Z,920000,-7.0,246.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,
93,PT03M20.00S,2020-09-12T01:40:26.1Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612761,12,21,2020-09-12T01:40:26Z,930000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,,,,,
94,PT03M17.00S,2020-09-12T01:40:29.6Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1626181,6.521024967148489,51.049325980392155,1610612761,14,21,2020-09-12T01:40:34Z,940000,-5.0,9.0,1,left,N. Powell dunk (2 PTS),[1626181],1610612761.0,TOR,running,,,Powell,N. Powell,,,,,1.52,Made,,,,,2.0,,,,,,,,,,,,,
95,PT02M57.00S,2020-09-12T01:40:48.7Z,1,REGULAR,3pt,jumpshot,[],1627759,86.67871222076215,96.14736519607843,1610612738,14,21,2020-09-12T01:40:52Z,950000,231.0,73.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.36,Missed,,,,,,,,,,,,,,,,,,
96,PT02M56.00S,2020-09-12T01:40:49.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,14,21,2020-09-12T01:40:52Z,960000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,95.0,2.0,2.0,0.0,,,,,,,,,,,,,,
97,PT02M50.00S,2020-09-12T01:40:56.7Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",200768,6.783837056504599,50.06893382352941,1610612761,14,21,2020-09-12T01:41:03Z,970000,0.0,11.0,1,left,MISS K. Lowry layup,[200768],1610612761.0,TOR,drivingfingerroll,,,Lowry,K. Lowry,,,,,1.68,Missed,,,,,,,,,,,,,,,,,,
98,PT02M48.00S,2020-09-12T01:40:58.7Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,14,21,2020-09-12T01:41:03Z,980000,,,0,,O. Anunoby REBOUND (Off:1 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,97.0,3.0,2.0,1.0,,,,,,,,,,,,,,
99,PT02M45.00S,2020-09-12T01:41:02.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628384,7.178055190538765,48.59834558823529,1610612761,16,21,2020-09-12T01:41:06Z,990000,7.0,15.0,1,left,O. Anunoby layup (2 PTS),[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,2.17,Made,,,,,2.0,,,,,,,,,,,,,
100,PT02M45.00S,2020-09-12T01:41:06.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,21,2020-09-12T01:41:06Z,1000000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,out,[],1628384,,,1610612738,16,21,2020-09-12T01:44:45Z,1010000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,out,[],200768,,,1610612738,16,21,2020-09-12T01:44:45Z,1020000,,,0,,substitution out Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,16,21,2020-09-12T01:44:45Z,1030000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,out,[],203935,,,1610612738,16,21,2020-09-12T01:44:45Z,1040000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,in,[],1629744,,,1610612738,16,21,2020-09-12T01:44:45Z,1050000,,,0,,substitution in Thomas,[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,in,[],1627783,,,1610612738,16,21,2020-09-12T01:44:45Z,1060000,,,0,,substitution in Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,in,[],202689,,,1610612738,16,21,2020-09-12T01:44:45Z,1070000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M45.00S,2020-09-12T01:43:54.1Z,1,REGULAR,substitution,in,[],1628400,,,1610612738,16,21,2020-09-12T01:44:45Z,1080000,,,0,,substitution in Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M30.00S,2020-09-12T01:45:01.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.30026281208936,46.14736519607843,1610612738,16,21,2020-09-12T01:45:23Z,1090000,-19.0,1.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,2.04,Missed,,,,,,,,,,,,,,,,,,
110,PT02M30.00S,2020-09-12T01:45:01.0Z,1,REGULAR,rebound,defensive,[],201586,,,1610612761,16,21,2020-09-12T01:47:34Z,1100000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,
129,PT02M30.00S,2020-09-12T01:45:10.3Z,1,REGULAR,turnover,outofbounds,[],201586,,,1610612761,16,21,2020-09-12T01:47:53Z,1105000,,,0,,S. Ibaka TURNOVER outofbounds (1 TOV),[201586],1610612761.0,TOR,badpass,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,1.0,,,2534.0,,,,
112,PT02M28.00S,2020-09-12T01:45:24.0Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628464,92.59198423127464,51.294424019607845,1610612738,16,21,2020-09-12T01:47:53Z,1120000,6.0,17.0,1,right,MISS D. Theis layup,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,2.35,Missed,,,,,,,,,,,,,,,,,,
113,PT02M26.00S,2020-09-12T01:45:25.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,16,21,2020-09-12T01:45:25Z,1130000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,112.0,2.0,2.0,0.0,,,,,,,,,,,,,,
114,PT02M17.00S,2020-09-12T01:45:34.5Z,1,REGULAR,3pt,jumpshot,[],1629744,15.850854139290407,3.7454044117647056,1610612761,19,21,2020-09-12T01:45:39Z,1140000,231.0,96.0,1,left,M. Thomas 25' 3PT  (3 PTS) (F. VanVleet 2 AST),"[1629744, 1627832]",1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,25.28,Made,,,,,3.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,
116,PT01M57.00S,2020-09-12T01:45:59.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,19,21,2020-09-12T01:45:59Z,1160000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M52.00S,2020-09-12T01:46:10.8Z,1,REGULAR,3pt,jumpshot,[],202954,68.15045992115637,45.166973039215684,1610612738,19,21,2020-09-12T01:46:15Z,1170000,-24.0,247.0,1,right,MISS B. Wanamaker 25' 3PT,[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,
118,PT01M48.00S,2020-09-12T01:46:14.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,19,21,2020-09-12T01:46:15Z,1180000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,117.0,3.0,3.0,0.0,,,,,,,,,,,,,,
119,PT01M39.00S,2020-09-12T01:46:23.3Z,1,REGULAR,3pt,jumpshot,[],201586,32.802233902759525,44.921875,1610612761,22,21,2020-09-12T01:46:27Z,1190000,25.0,256.0,1,left,S. Ibaka 26' 3PT  (5 PTS) (F. VanVleet 3 AST),"[201586, 1627832]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,26.25,Made,,,,,5.0,F. VanVleet,1627832.0,3.0,,,,,,,,,,
121,PT01M26.00S,2020-09-12T01:46:36.2Z,1,REGULAR,2pt,jumpshot,[],1628464,95.22010512483574,30.215992647058826,1610612738,22,21,2020-09-12T01:46:39Z,1210000,-99.0,-8.0,1,right,MISS D. Theis 10' jumpshot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,9.89,Missed,,,,,,,,,,,,,,,,,,
122,PT01M24.00S,2020-09-12T01:46:38.2Z,1,REGULAR,rebound,defensive,[],1629744,,,1610612761,22,21,2020-09-12T01:46:39Z,1220000,,,0,,M. Thomas REBOUND (Off:0 Def:1),[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,,
123,PT01M17.00S,2020-09-12T01:46:45.8Z,1,REGULAR,3pt,jumpshot,[],201586,31.882391590013142,42.22579656862745,1610612761,22,21,2020-09-12T01:46:49Z,1230000,39.0,247.0,1,left,MISS S. Ibaka 26' 3PT,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,25.57,Missed,,,,,,,,,,,,,,,,,,
124,PT01M14.00S,2020-09-12T01:46:48.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,21,2020-09-12T01:46:49Z,1240000,,,0,,J. Tatum REBOUND (Off:0 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,123.0,7.0,7.0,0.0,,,,,,,,,,,,,,
125,PT01M09.00S,2020-09-12T01:46:55.0Z,1,REGULAR,foul,personal,['2freethrow'],201586,,,1610612738,22,21,2020-09-12T01:47:02Z,1250000,,,0,,S. Ibaka FOUL personal (1 PF) (Tatum 2freethrow),"[201586, 1628369]",1610612761.0,TOR,shooting,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0
127,PT01M09.00S,2020-09-12T01:47:18.6Z,1,REGULAR,freethrow,1of2,['fastbreak'],1628369,,,1610612738,22,22,2020-09-12T01:47:18Z,1270000,,,0,,J. Tatum freethrow 1of2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
128,PT01M09.00S,2020-09-12T01:47:33.0Z,1,REGULAR,freethrow,2of2,['fastbreak'],1628369,,,1610612738,22,23,2020-09-12T01:47:33Z,1280000,,,0,,J. Tatum freethrow 2of2 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
130,PT00M51.30S,2020-09-12T01:48:00.0Z,1,REGULAR,foul,personal,['2freethrow'],202954,,,1610612761,22,23,2020-09-12T01:48:14Z,1290000,,,0,,B. Wanamaker FOUL personal (1 PF) (Siakam 2freethrow),"[202954, 1627783]",1610612738.0,BOS,shooting,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Siakam,1627783.0
132,PT00M51.30S,2020-09-12T01:48:28.6Z,1,REGULAR,freethrow,1of2,[],1627783,,,1610612761,23,23,2020-09-12T01:48:28Z,1310000,,,0,,P. Siakam freethrow 1of2 (1 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
133,PT00M51.30S,2020-09-12T01:48:46.8Z,1,REGULAR,freethrow,2of2,[],1627783,,,1610612761,24,23,2020-09-12T01:48:46Z,1320000,,,0,,P. Siakam freethrow 2of2 (2 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
134,PT00M41.20S,2020-09-12T01:49:03.0Z,1,REGULAR,turnover,outofbounds,[],202689,,,1610612738,24,23,2020-09-12T01:49:08Z,1330000,,,0,,K. Walker TURNOVER outofbounds (1 TOV),[202689],1610612738.0,BOS,step,,,Walker,K. Walker,,,,,,,,,,,,,,,,,1.0,,,2714.0,,,,
135,PT00M29.40S,2020-09-12T01:49:27.6Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1627832,21.23850197109067,7.421875,1610612761,27,23,2020-09-12T01:49:31Z,1340000,213.0,147.0,1,left,F. VanVleet 26' 3PT  (8 PTS) (P. Siakam 1 AST),"[1627832, 1627783]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,26.19,Made,,,,,8.0,P. Siakam,1627783.0,1.0,,,,,,,,,,
137,PT00M05.80S,2020-09-12T01:49:55.1Z,1,REGULAR,3pt,jumpshot,[],1628400,88.78120893561103,96.8826593137255,1610612738,27,26,2020-09-12T01:49:58Z,1360000,234.0,53.0,1,right,S. Ojeleye 24' 3PT  (3 PTS) (J. Tatum 4 AST),"[1628400, 1628369]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,24.16,Made,,,,,3.0,J. Tatum,1628369.0,4.0,,,,,,,,,,
139,PT00M01.20S,2020-09-12T01:50:01.9Z,1,REGULAR,3pt,jumpshot,[],1627832,40.949408672798945,17.96109068627451,1610612761,27,26,2020-09-12T01:50:06Z,1380000,160.0,332.0,1,left,MISS F. VanVleet 37' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,37.4,Missed,,,,,,,,,,,,,,,,,,
140,PT00M01.20S,2020-09-12T01:50:01.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,27,26,2020-09-12T01:50:06Z,1390000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,
141,PT00M00.00S,2020-09-12T01:50:07.4Z,1,REGULAR,period,end,[],0,,,1610612761,27,26,2020-09-12T01:50:07Z,1400000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2020-09-12T01:53:23.1Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612761,27,26,2020-09-12T01:53:59Z,1410000,,,0,,substitution out VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2020-09-12T01:53:23.1Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612761,27,26,2020-09-12T01:53:59Z,1420000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2020-09-12T01:53:23.1Z,2,REGULAR,substitution,out,['startperiod'],202954,,,1610612761,27,26,2020-09-12T01:53:59Z,1430000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2020-09-12T01:53:23.1Z,2,REGULAR,substitution,in,['startperiod'],200768,,,1610612761,27,26,2020-09-12T01:53:59Z,1440000,,,0,,substitution in Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2020-09-12T01:53:23.1Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612761,27,26,2020-09-12T01:53:59Z,1450000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2020-09-12T01:53:23.1Z,2,REGULAR,substitution,in,['startperiod'],203935,,,1610612761,27,26,2020-09-12T01:53:59Z,1460000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2020-09-12T01:53:49.1Z,2,REGULAR,period,start,[],0,,,1610612761,27,26,2020-09-12T01:54:00Z,1470000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT11M46.00S,2020-09-12T01:54:02.8Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627783,6.521024967148489,48.59834558823529,1610612761,27,26,2020-09-12T01:54:08Z,1480000,7.0,9.0,1,left,MISS P. Siakam layup Blocked,"[1627783, 1628464]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,1.59,Missed,,,,,,,,,Theis,1628464.0,,,,,,,,
150,PT11M46.00S,2020-09-12T01:54:02.8Z,2,REGULAR,block,,[],1628464,,,1610612761,27,26,2020-09-12T01:54:04Z,1490000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M46.00S,2020-09-12T01:54:02.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612761,27,26,2020-09-12T01:54:08Z,1500000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,,
152,PT11M46.00S,2020-09-12T01:54:07.0Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612761,27,26,2020-09-12T01:54:07Z,1510000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M42.00S,2020-09-12T01:54:24.4Z,2,REGULAR,3pt,jumpshot,['2ndchance'],1626181,16.245072273324574,3.5003063725490198,1610612761,27,26,2020-09-12T01:54:28Z,1520000,232.0,100.0,1,left,MISS N. Powell 26' 3PT,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,
154,PT11M38.00S,2020-09-12T01:54:28.4Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,27,26,2020-09-12T01:54:28Z,1530000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,153.0,1.0,1.0,0.0,,,,,,,,,,,,,,
155,PT11M20.00S,2020-09-12T01:54:49.6Z,2,REGULAR,foul,personal,[],1627783,,,1610612738,27,26,2020-09-12T01:54:56Z,1540000,,,0,,P. Siakam FOUL personal (1 PF),"[1627783, 203935]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Smart,203935.0
157,PT11M08.00S,2020-09-12T01:55:39.9Z,2,REGULAR,turnover,outofbounds,[],1627759,,,1610612738,27,26,2020-09-12T01:55:44Z,1560000,,,0,,J. Brown TURNOVER outofbounds (1 TOV),[1627759],1610612738.0,BOS,badpass,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1.0,,,1162.0,,,,
158,PT10M54.00S,2020-09-12T01:56:03.8Z,2,REGULAR,turnover,badpass,[],200768,,,1610612761,27,26,2020-09-12T01:56:06Z,1570000,,,0,,K. Lowry TURNOVER badpass (1 TOV) Stolen,"[200768, 202689]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,,,
159,PT10M54.00S,2020-09-12T01:56:03.8Z,2,REGULAR,steal,,[],202689,,,1610612738,27,26,2020-09-12T01:56:05Z,1580000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
160,PT10M50.00S,2020-09-12T01:56:08.0Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,93.77463863337714,50.80422794117647,1610612738,27,28,2020-09-12T01:56:12Z,1590000,4.0,6.0,1,right,J. Brown layup (6 PTS) (K. Walker 3 AST),"[1627759, 202689]",1610612738.0,BOS,runningfingerroll,,,Brown,J. Brown,,,,,1.22,Made,,,,,6.0,K. Walker,202689.0,3.0,,,,,,,,,,
162,PT10M34.00S,2020-09-12T01:56:23.7Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627783,7.5722733245729295,52.76501225490197,1610612761,29,28,2020-09-12T01:56:27Z,1610000,-14.0,19.0,1,left,P. Siakam layup (4 PTS),[1627783],1610612761.0,TOR,drivingfingerroll,,,Siakam,P. Siakam,,,,,2.79,Made,,,,,4.0,,,,,,,,,,,,,
163,PT10M23.00S,2020-09-12T01:56:33.7Z,2,REGULAR,3pt,jumpshot,[],203935,72.48685939553219,80.4610906862745,1610612738,29,28,2020-09-12T01:56:38Z,1620000,152.0,206.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,
164,PT10M20.00S,2020-09-12T01:56:36.7Z,2,REGULAR,rebound,defensive,[],201586,,,1610612761,29,28,2020-09-12T01:56:38Z,1630000,,,0,,S. Ibaka REBOUND (Off:0 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,163.0,2.0,2.0,0.0,,,,,,,,,,,,,,
165,PT10M10.00S,2020-09-12T01:56:50.4Z,2,REGULAR,foul,personal,[],1628400,,,1610612761,29,28,2020-09-12T01:56:55Z,1640000,,,0,,S. Ojeleye FOUL personal (1 PF),"[1628400, 201586]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Ibaka,201586.0
167,PT10M10.00S,2020-09-12T01:57:01.1Z,2,REGULAR,substitution,out,[],1629744,,,1610612761,29,28,2020-09-12T01:57:05Z,1660000,,,0,,substitution out Thomas,[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
168,PT10M10.00S,2020-09-12T01:57:01.1Z,2,REGULAR,substitution,in,[],1628384,,,1610612761,29,28,2020-09-12T01:57:05Z,1670000,,,0,,substitution in Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
169,PT10M03.00S,2020-09-12T01:57:20.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1626181,5.863994743758213,52.029718137254896,1610612761,31,28,2020-09-12T01:57:23Z,1680000,-10.0,3.0,1,left,N. Powell layup (4 PTS) (P. Siakam 2 AST),"[1626181, 1627783]",1610612761.0,TOR,driving,,,Powell,N. Powell,,,,,1.29,Made,,,,,4.0,P. Siakam,1627783.0,2.0,,,,,,,,,,
170,PT09M48.00S,2020-09-12T01:57:36.6Z,2,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612738,31,28,2020-09-12T01:57:52Z,1690000,,,0,,O. Anunoby FOUL personal (1 PF) (Theis 2freethrow),"[1628384, 1628464]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Theis,1628464.0
173,PT09M48.00S,2020-09-12T01:58:01.2Z,2,REGULAR,freethrow,1of2,[],1628464,,,1610612738,31,29,2020-09-12T01:58:23Z,1710000,,,0,,D. Theis freethrow 1of2 (1 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
174,PT09M48.00S,2020-09-12T01:58:01.2Z,2,REGULAR,freethrow,2of2,[],1628464,,,1610612738,31,29,2020-09-12T01:58:23Z,1720000,,,0,,MISS D. Theis freethrow 2of2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,
175,PT09M46.00S,2020-09-12T01:58:03.2Z,2,REGULAR,rebound,defensive,[],201586,,,1610612761,31,29,2020-09-12T01:58:23Z,1730000,,,0,,S. Ibaka REBOUND (Off:0 Def:3),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,174.0,3.0,3.0,0.0,,,,,,,,,,,,,,
176,PT09M26.00S,2020-09-12T01:58:42.9Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],201586,6.652431011826544,51.294424019607845,1610612761,33,29,2020-09-12T01:58:45Z,1740000,-6.0,10.0,1,left,S. Ibaka dunk (7 PTS) (K. Lowry 2 AST),"[201586, 200768]",1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,1.68,Made,,,,,7.0,K. Lowry,200768.0,2.0,,,,,,,,,,
178,PT09M02.00S,2020-09-12T01:59:06.0Z,2,REGULAR,3pt,jumpshot,[],1628400,85.89027595269383,95.90226715686273,1610612738,33,29,2020-09-12T01:59:09Z,1760000,230.0,80.0,1,right,MISS S. Ojeleye 24' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,24.49,Missed,,,,,,,,,,,,,,,,,,
179,PT08M59.00S,2020-09-12T01:59:09.0Z,2,REGULAR,rebound,offensive,[],1628400,,,1610612738,33,29,2020-09-12T01:59:09Z,1770000,,,0,,S. Ojeleye REBOUND (Off:1 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,178.0,2.0,1.0,1.0,,,,,,,,,,,,,,
180,PT08M58.00S,2020-09-12T01:59:10.9Z,2,REGULAR,3pt,jumpshot,['2ndchance'],1627759,67.88764783180025,48.84344362745098,1610612738,33,29,2020-09-12T01:59:14Z,1780000,-6.0,249.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,
181,PT08M54.00S,2020-09-12T01:59:14.9Z,2,REGULAR,rebound,defensive,[],1628384,,,1610612761,33,29,2020-09-12T01:59:14Z,1790000,,,0,,O. Anunoby REBOUND (Off:1 Def:3),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,180.0,4.0,3.0,1.0,,,,,,,,,,,,,,
