actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
41,PT08M41.00S,2020-01-07T00:15:12.9Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203935,68.28186596583443,58.647365196078425,1610612738,7,5,2020-01-07T00:15:17Z,410000,43.0,246.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.49,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2020-01-07T00:15:15.9Z,1,REGULAR,rebound,defensive,[],202738,,,1610612764,7,5,2020-01-07T00:15:17Z,420000,,,0,,I. Thomas REBOUND (Off:0 Def:1),[202738],1610612764.0,WAS,,,,Thomas,I. Thomas,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,
43,PT08M23.00S,2020-01-07T00:15:30.8Z,1,REGULAR,2pt,jumpshot,[],203895,20.45006570302234,31.93167892156863,1610612764,7,5,2020-01-07T00:15:36Z,430000,90.0,140.0,1,left,MISS J. McRae 17' jumpshot Blocked,"[203895, 1628369]",1610612764.0,WAS,pullup,,,McRae,J. McRae,,,,,17.1,Missed,Tatum,1628369.0,,,,,,,,,,,,,,,,,
44,PT08M23.00S,2020-01-07T00:15:30.8Z,1,REGULAR,block,,[],1628369,,,1610612764,7,5,2020-01-07T00:15:34Z,440000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M19.00S,2020-01-07T00:15:34.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,5,2020-01-07T00:15:36Z,450000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,
46,PT08M12.00S,2020-01-07T00:15:43.0Z,1,REGULAR,foul,personal,['2freethrow'],1629067,,,1610612738,7,5,2020-01-07T00:15:59Z,460000,,,0,,I. Bonga FOUL personal (1 PF) (Hayward 2freethrow),"[1629067, 202330]",1610612764.0,WAS,shooting,,,Bonga,I. Bonga,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Hayward,202330.0,
48,PT08M12.00S,2020-01-07T00:16:09.2Z,1,REGULAR,freethrow,1of2,[],202330,,,1610612738,7,5,2020-01-07T00:16:09Z,480000,,,0,,MISS G. Hayward freethrow 1of2,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M12.00S,2020-01-07T00:16:09.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,7,5,2020-01-07T00:16:09Z,490000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,
50,PT08M12.00S,2020-01-07T00:16:10.1Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,7,5,2020-01-07T00:16:15Z,500000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M12.00S,2020-01-07T00:16:10.1Z,1,REGULAR,substitution,in,[],202683,,,1610612738,7,5,2020-01-07T00:16:15Z,510000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
