actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
71,PT06M20.00S,2019-12-22T23:20:45.0Z,1,REGULAR,2pt,jumpshot,[],1626179,19.92444152431012,25.06893382352941,1610612766,12,18,2019-12-22T23:28:11Z,670000,125.0,135.0,1,left,T. Rozier 19' jumpshot (4 PTS) (B. Biyombo 2 AST),"[1626179, 202687]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,,,,,,18.77,Made,,,,,,,4.0,B. Biyombo,202687.0,2.0,,,,
73,PT06M02.00S,2019-12-22T23:21:02.3Z,1,REGULAR,3pt,jumpshot,[],1627759,68.41327201051249,41.98069852941176,1610612738,15,18,2019-12-22T23:21:06Z,690000,-40.0,244.0,1,right,J. Brown 25' 3PT  (8 PTS) (K. Walker 2 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,25.31,Made,,,,,,,8.0,K. Walker,202689.0,2.0,,,,
75,PT05M39.00S,2019-12-22T23:21:26.0Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1628970,9.280551905387648,38.549325980392155,1610612766,15,20,2019-12-22T23:21:29Z,710000,57.0,35.0,1,left,M. Bridges 7' hook (7 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,,,,,,7.0,Made,,,,,,,7.0,T. Rozier,1626179.0,1.0,,,,
77,PT05M21.00S,2019-12-22T23:21:43.3Z,1,REGULAR,3pt,jumpshot,[],202689,71.17279894875165,21.147365196078432,1610612738,15,20,2019-12-22T23:21:54Z,730000,-144.0,218.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,26.65,Missed,,,,,,,,,,,,,,
78,PT05M20.00S,2019-12-22T23:21:44.3Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612766,15,20,2019-12-22T23:21:54Z,740000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612766.0,CHA,,,,Monk,M. Monk,,,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,
79,PT05M09.00S,2019-12-22T23:21:58.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628970,11.12023653088042,38.794424019607845,1610612766,15,22,2019-12-22T23:22:27Z,750000,56.0,52.0,1,left,M. Bridges 8' jumpshot (9 PTS),[1628970],1610612766.0,CHA,drivingfloating,,,Bridges,M. Bridges,,,,,,,,,,8.03,Made,,,,,,,9.0,,,,,,,
80,PT05M09.00S,2019-12-22T23:22:02.3Z,1,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612766,15,22,2019-12-22T23:22:18Z,760000,,,0,,G. Williams FOUL personal (1 PF) (Bridges 1freethrow),"[1629684, 1628970]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,1627524.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,,,,,
82,PT05M09.00S,2019-12-22T23:22:12.8Z,1,REGULAR,substitution,out,[],202687,,,1610612766,15,22,2019-12-22T23:22:27Z,780000,,,0,,substitution out Biyombo,[202687],1610612766.0,CHA,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M09.00S,2019-12-22T23:22:12.8Z,1,REGULAR,substitution,in,[],203469,,,1610612766,15,22,2019-12-22T23:22:27Z,790000,,,0,,substitution in Zeller,[203469],1610612766.0,CHA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2019-12-22T23:22:20.9Z,1,REGULAR,freethrow,1of1,[],1628970,,,1610612766,15,23,2019-12-22T23:22:20Z,800000,,,0,,M. Bridges freethrow 1of1 (10 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,Made,,,,,,,10.0,,,,,,,
