actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
58,PT07M19.00S,2020-01-16T00:20:48.2Z,1,REGULAR,2pt,jumpshot,[],202330,91.72141918528253,72.88602941176471,1610612738,8,11,2020-01-16T00:20:54Z,580000,114.0,25.0,1,right,G. Hayward 12' jumpshot (4 PTS),[202330],1610612738.0,BOS,fadeaway,,,Hayward,G. Hayward,,,,,11.85,Made,4.0,,,,,,,,,,,,,,,,,,
59,PT07M07.00S,2020-01-16T00:20:59.5Z,1,REGULAR,2pt,jumpshot,[],201565,14.98028909329829,26.65441176470588,1610612765,8,13,2020-01-16T00:21:05Z,590000,117.0,88.0,1,left,D. Rose 15' jumpshot (6 PTS),[201565],1610612765.0,DET,drivingfloatingbank,,,Rose,D. Rose,,,,,14.97,Made,6.0,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2020-01-16T00:21:16.5Z,1,REGULAR,3pt,jumpshot,[],1627759,67.91844612352168,33.41758578431372,1610612738,11,13,2020-01-16T00:23:23Z,600000,-83.0,249.0,1,right,J. Brown 27' 3PT  (3 PTS) (D. Theis 2 AST),"[1627759, 1628464]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.78,Made,3.0,D. Theis,1628464.0,2.0,,,,,,,,,,,,,,,
62,PT06M37.00S,2020-01-16T00:21:31.8Z,1,REGULAR,foul,personal,[],1628464,,,1610612765,11,13,2020-01-16T00:21:50Z,620000,,,0,,D. Theis FOUL personal (2 PF),"[1628464, 201565]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,1188.0,2.0,0.0,Rose,201565.0,,,,,,,,,,
64,PT06M26.00S,2020-01-16T00:21:58.4Z,1,REGULAR,3pt,jumpshot,[],1629635,14.799605781865965,2.7650122549019605,1610612765,11,16,2020-01-16T00:22:03Z,640000,236.0,87.0,1,left,S. Doumbouya 25' 3PT  (5 PTS) (D. Rose 3 AST),"[1629635, 201565]",1610612765.0,DET,,,,Doumbouya,S. Doumbouya,,,,,25.35,Made,5.0,D. Rose,201565.0,3.0,,,,,,,,,,,,,,,
66,PT06M07.00S,2020-01-16T00:22:20.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,89.88173455978975,44.51593137254902,1610612738,11,16,2020-01-16T00:22:30Z,660000,-27.0,43.0,1,right,MISS D. Theis 6' layup Blocked,"[1628464, 1628971]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,5.54,Missed,,,,,,,,,,,,,,,,,Brown,1628971.0,
67,PT06M07.00S,2020-01-16T00:22:20.1Z,1,REGULAR,block,,[],1628971,,,1610612738,11,16,2020-01-16T00:22:22Z,670000,,,0,,B. Brown BLOCK (1 BLK),[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M05.00S,2020-01-16T00:22:22.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,11,16,2020-01-16T00:22:30Z,680000,,,0,,Team defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,
69,PT06M05.00S,2020-01-16T00:22:23.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612765,11,16,2020-01-16T00:22:23Z,690000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M05.00S,2020-01-16T00:22:24.6Z,1,REGULAR,substitution,out,[],1628464,,,1610612765,11,16,2020-01-16T00:22:28Z,700000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
