actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
56,PT08M58.00S,2020-01-12T00:15:41.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,5,7,2020-01-12T00:15:50Z,550000,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,55.0,3.0,3.0,0.0,,,
57,PT08M49.00S,2020-01-12T00:15:54.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612740,5,7,2020-01-12T00:16:02Z,560000,,,0,,J. Tatum FOUL personal (1 PF),"[1628369, 1628366]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,1662.0,1.0,0.0,Ball,1628366.0,,,,,,,
59,PT08M45.00S,2020-01-12T00:16:11.7Z,1,REGULAR,2pt,jumpshot,[],1627742,8.623521681997373,33.892463235294116,1610612740,5,7,2020-01-12T00:26:12Z,580000,81.0,29.0,1,left,MISS B. Ingram 9' jumpshot,[1627742],1610612740.0,NOP,stepback,,,Ingram,B. Ingram,,,,,,,,8.74,Missed,,,,,,,,,,,,,,,,
60,PT08M42.00S,2020-01-12T00:16:14.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,5,7,2020-01-12T00:16:21Z,590000,,,0,,Team offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,
61,PT08M42.00S,2020-01-12T00:16:19.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612740,5,7,2020-01-12T00:16:19Z,600000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT08M39.00S,2020-01-12T00:16:31.5Z,1,REGULAR,2pt,hook,"['pointsinthepaint', '2ndchance']",202734,14.668199737187912,57.666973039215684,1610612740,5,7,2020-01-12T00:16:39Z,610000,-38.0,85.0,1,left,MISS E. Moore 10' hook,[202734],1610612740.0,NOP,driving,,,Moore,E. Moore,,,,,,,,9.86,Missed,,,,,,,,,,,,,,,,
63,PT08M36.00S,2020-01-12T00:16:34.5Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,5,7,2020-01-12T00:16:39Z,620000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,
64,PT08M29.00S,2020-01-12T00:16:40.5Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,89.09329829172142,49.40640318627451,1610612738,7,7,2020-01-12T00:16:52Z,630000,-3.0,50.0,1,right,J. Brown 6' jumpshot (2 PTS),[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,,,,5.56,Made,2.0,,,,,,,,,,,,,,,
65,PT08M20.00S,2020-01-12T00:16:51.1Z,1,REGULAR,3pt,jumpshot,[],1628366,32.802233902759525,22.863051470588236,1610612740,7,7,2020-01-12T00:17:01Z,640000,136.0,256.0,1,left,MISS L. Ball 29' 3PT,[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,29.44,Missed,,,,,,,,,,,,,,,,
66,PT08M19.00S,2020-01-12T00:16:52.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,7,2020-01-12T00:17:01Z,650000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,
