actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,stealPlayerName,stealPersonId,stealTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,blockPersonId,blockPlayerName
337,PT09M10.00S,2020-08-17T23:56:54Z,3,REGULAR,2pt,hook,drivingbank,['pointsinthepaint'],1627759,93.91,56.93,1610612738,61,54,2020-08-17T23:57:01,3350000,35,5,right,MISS Brown 4' Driving Bank Hook Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,3.54,,,,,,,,,,,,,,,,,,
339,PT09M08.00S,2020-08-17T23:56:56Z,3,REGULAR,rebound,defensive,,[],203954,,,1610612755,61,54,2020-08-17T23:57:01,3370000,35,5,right,Embiid REBOUND (Off:2 Def:8),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,10.0,8.0,2.0,337.0,,,,,,,,,,,,,,
340,PT09M06.00S,2020-08-17T23:57:03Z,3,REGULAR,foul,personal,,[],1628464,,,1610612755,61,54,2020-08-17T23:57:26,3380000,-211,179,left,Theis P.FOUL (P3.T1),"[1628464, 203954]",1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,Embiid,203954.0,3.0,0.0,1151.0,,
342,PT08M55.00S,2020-08-17T23:57:31Z,3,REGULAR,2pt,jumpshot,drivingfloating,['pointsinthepaint'],202699,15.72,47.86,1610612755,61,54,2020-08-17T23:57:39,3400000,11,95,left,MISS Harris 10' Driving Floating Jump Shot,[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,0.0,Missed,9.56,,,,,,,,,,,,,,,,,,
343,PT08M53.00S,2020-08-17T23:57:33Z,3,REGULAR,rebound,defensive,,[],1627759,,,1610612738,61,54,2020-08-17T23:57:39,3410000,11,95,left,Brown REBOUND (Off:2 Def:3),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,5.0,3.0,2.0,342.0,,,,,,,,,,,,,,
344,PT08M47.00S,2020-08-17T23:57:40Z,3,REGULAR,2pt,jumpshot,drivingfloatingbank,[],1628369,87.86,66.98,1610612738,63,54,2020-08-17T23:57:46,3420000,85,62,right,Tatum 11' Driving Floating Bank Jump Shot (25 PTS),[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,25.0,Made,10.52,,,,,,,,,,,,,,,,,,
346,PT08M34.00S,2020-08-17T23:57:52Z,3,REGULAR,3pt,jumpshot,stepback,[],1629003,32.8,58.89,1610612755,63,57,2020-08-17T23:57:57,3440000,-44,256,left,Milton 26' 3PT Step Back Jump Shot (11 PTS) (Horford 5 AST),"[1629003, 201143]",1610612755,PHI,1,Milton,S. Milton,,,,,,,11.0,Made,25.98,,,,,,Horford,201143.0,5.0,,,,,,,,,,
348,PT08M17.00S,2020-08-17T23:58:09Z,3,REGULAR,2pt,jumpshot,pullup,[],1627759,77.87,46.64,1610612738,65,57,2020-08-17T23:58:13,3460000,-17,156,right,Brown 16' Pullup Jump Shot (14 PTS) (Walker 4 AST),"[1627759, 202689]",1610612738,BOS,1,Brown,J. Brown,,,,,,,14.0,Made,15.69,,,,,,Walker,202689.0,4.0,,,,,,,,,,
350,PT08M02.00S,2020-08-17T23:58:27Z,3,REGULAR,foul,personal,shooting,['2freethrow'],1627759,,,1610612755,65,57,2020-08-17T23:58:36,3480000,-3,66,left,Brown S.FOUL (P2.T2),"[1627759, 203954]",1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,Embiid,203954.0,2.0,0.0,2003.0,,
352,PT08M02.00S,2020-08-17T23:59:02Z,3,REGULAR,freethrow,1of2,,[],203954,,,1610612755,65,58,0001-01-01T00:00:00,3500000,250,-52,left,Embiid Free Throw 1 of 2 (16 PTS),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,16.0,Made,,,,,,,,,,,,,,,,,,,
