actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
71,PT06M10.00S,2020-01-19T00:21:18.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,7,15,2020-01-19T00:25:20Z,710000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT06M06.00S,2020-01-19T00:21:21.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1628369,11.908672798948752,5.215992647058823,1610612738,7,15,2020-01-19T00:22:50Z,720000,224.0,59.0,1,left,MISS J. Tatum 23' 3PT,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,23.31,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M05.00S,2020-01-19T00:21:22.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,7,15,2020-01-19T00:21:31Z,730000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,72.0,3.0,3.0,0.0,,,,,,,,,,,,,,
74,PT05M52.00S,2020-01-19T00:21:37.1Z,1,REGULAR,foul,personal,['2freethrow'],202683,,,1610612756,7,15,2020-01-19T00:21:44Z,740000,,,0,,E. Kanter FOUL personal (1 PF) (Booker 2freethrow),"[202683, 1626164]",1610612738.0,BOS,shooting,,,Kanter,E. Kanter,,,,,,,,,,,,,,,1626302.0,,,,,,1.0,0.0,Booker,1626164.0,
76,PT05M52.00S,2020-01-19T00:21:59.8Z,1,REGULAR,freethrow,1of2,[],1626164,,,1610612756,7,15,2020-01-19T00:21:59Z,760000,,,0,,MISS D. Booker freethrow 1of2,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M52.00S,2020-01-19T00:21:59.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,7,15,2020-01-19T00:21:59Z,770000,,,0,,Team offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2020-01-19T00:22:00.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612756,7,15,2020-01-19T00:22:10Z,780000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M52.00S,2020-01-19T00:22:00.9Z,1,REGULAR,substitution,in,[],202954,,,1610612756,7,15,2020-01-19T00:22:10Z,790000,,,0,,substitution in Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M52.00S,2020-01-19T00:22:21.8Z,1,REGULAR,freethrow,2of2,[],1626164,,,1610612756,7,16,2020-01-19T00:22:21Z,800000,,,0,,D. Booker freethrow 2of2 (5 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
81,PT05M41.00S,2020-01-19T00:22:34.6Z,1,REGULAR,3pt,jumpshot,[],203935,27.677398160315374,80.95128676470588,1610612738,10,16,2020-01-19T00:22:40Z,810000,-155.0,208.0,1,left,M. Smart 26' 3PT  (6 PTS) (G. Hayward 2 AST),"[203935, 202330]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.35,Made,6.0,,,,,,,,,G. Hayward,202330.0,2.0,,,,,,,
83,PT05M29.00S,2020-01-19T00:22:46.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203967,93.64323258869908,48.353247549019606,1610612756,10,18,2020-01-19T00:25:08Z,830000,-8.0,7.0,1,right,D. Saric layup (4 PTS) (R. Rubio 1 AST),"[203967, 201937]",1610612756.0,PHX,driving,,,Saric,D. Saric,,,,,1.52,Made,4.0,,,,,,,,,R. Rubio,201937.0,1.0,,,,,,,
85,PT05M21.00S,2020-01-19T00:22:54.4Z,1,REGULAR,2pt,jumpshot,[],202954,8.492115637319317,75.55912990196079,1610612738,10,18,2020-01-19T00:25:51Z,850000,-128.0,27.0,1,left,MISS B. Wanamaker 13' jumpshot,[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,13.19,Missed,,,,,,,,,,,,,,,,,,,
