actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,assistPlayerName,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,turnoverTotal,blockPersonId,blockPlayerName,stealPlayerName,stealPersonId,stealTotal
234,PT04M10.00S,2020-08-19T23:31:11Z,2,REGULAR,timeout,full,,"['team', 'mandatory']",0,,,1610612755,52,41,0001-01-01T00:00:00,2270000,0,-80,,76ers Timeout: Regular (Reg.3 Short 0),[],1610612755,PHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT04M10.00S,2020-08-19T23:34:00Z,2,REGULAR,substitution,out,,[],202683,,,1610612755,52,41,0001-01-01T00:00:00,2280000,0,-80,,SUB: Williams FOR Kanter,[202683],1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT04M10.00S,2020-08-19T23:34:00Z,2,REGULAR,substitution,out,,[],203954,,,1610612755,52,41,0001-01-01T00:00:00,2290000,0,-80,,SUB: Horford FOR Embiid,[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT03M46.00S,2020-08-19T23:35:08Z,2,REGULAR,3pt,jumpshot,stepback,[],1629003,66.84,69.19,1610612755,52,41,2020-08-19T23:35:34,2320000,96,259,right,MISS Milton 28' 3PT Step Back Jump Shot Blocked,"[1629003, 1629684]",1610612755,PHI,1,Milton,S. Milton,,,,,,,0.0,Missed,27.62,,,,,,,,,,,,,,1629684.0,Williams,,,
240,PT03M46.00S,2020-08-19T23:35:08Z,2,REGULAR,block,,,[],1629684,,,1610612755,52,41,2020-08-19T23:35:34,2330000,96,259,right, BLOCK ,[1629684],1610612738,BOS,0,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT03M45.00S,2020-08-19T23:35:09Z,2,REGULAR,rebound,defensive,,[],1627759,,,1610612738,52,41,2020-08-19T23:35:34,2340000,96,259,right,Brown REBOUND (Off:0 Def:2),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,2.0,2.0,0.0,239.0,,,,,,,,,,,,,,
242,PT03M42.00S,2020-08-19T23:35:13Z,2,REGULAR,foul,personal,shooting,['2freethrow'],1629003,,,1610612738,52,41,2020-08-19T23:35:21,2350000,9,36,left,Milton S.FOUL (P1.T4),"[1629003, 1627759]",1610612755,PHI,0,Milton,S. Milton,,,,,,,,,,,,,,,,,Brown,1627759.0,1.0,0.0,200832.0,,,,,,
244,PT03M42.00S,2020-08-19T23:35:40Z,2,REGULAR,freethrow,1of2,,[],1627759,,,1610612738,53,41,0001-01-01T00:00:00,2370000,250,-52,left,Brown Free Throw 1 of 2 (10 PTS),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,10.0,Made,,,,,,,,,,,,,,,,,,,
245,PT03M42.00S,2020-08-19T23:35:52Z,2,REGULAR,freethrow,2of2,,[],1627759,,,1610612738,54,41,0001-01-01T00:00:00,2380000,250,-52,left,Brown Free Throw 2 of 2 (11 PTS),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,11.0,Made,,,,,,,,,,,,,,,,,,,
247,PT03M32.00S,2020-08-19T23:36:12Z,2,REGULAR,2pt,layup,driving,['pointsinthepaint'],1629003,89.7,47.86,1610612755,54,43,2020-08-19T23:36:19,2400000,-11,44,right,Milton 5' Driving Layup (9 PTS),[1629003],1610612755,PHI,1,Milton,S. Milton,,,,,,,9.0,Made,4.54,,,,,,,,,,,,,,,,,,
