actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
55,PT07M07.00S,2020-09-20T00:53:02.2Z,1,REGULAR,turnover,outofbounds,[],201609,,,1610612748,9,16,2020-09-20T00:53:10Z,550000,,,0,,G. Dragic TURNOVER outofbounds (1 TOV),[201609],1610612748.0,MIA,badpass,,,Dragic,G. Dragic,,,,,,,,,,,,,,,2003.0,,,,,1.0,,,,,
56,PT06M57.00S,2020-09-20T00:53:20.1Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,71.56701708278581,76.04932598039215,1610612738,9,16,2020-09-20T00:53:24Z,560000,130.0,215.0,1,right,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M54.00S,2020-09-20T00:53:23.1Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,9,16,2020-09-20T00:53:24Z,570000,,,0,,J. Crowder REBOUND (Off:0 Def:3),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
58,PT06M48.00S,2020-09-20T00:53:29.4Z,1,REGULAR,foul,offensive,[],201609,,,1610612748,9,16,2020-09-20T00:53:42Z,580000,,,0,,G. Dragic FOUL offensive (1 PF),"[201609, 202689]",1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,2534.0,1.0,0.0,Walker,202689.0,,,,,,
60,PT06M48.00S,2020-09-20T00:53:29.4Z,1,REGULAR,turnover,offensivefoul,[],201609,,,1610612748,9,16,2020-09-20T00:53:29Z,600000,,,0,,G. Dragic TURNOVER offensivefoul (2 TOV),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,2534.0,,,,,2.0,,,,,
61,PT06M48.00S,2020-09-20T00:53:45.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,9,16,2020-09-20T00:53:45Z,610000,,,0,,timeout full,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M48.00S,2020-09-20T00:54:10.2Z,1,REGULAR,instantreplay,altercationrequest,[],0,,,1610612738,9,16,2020-09-20T00:56:05Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,2534.0,,,,,,,,,,
63,PT06M36.00S,2020-09-20T00:57:25.4Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628369,66.83639947437582,49.82383578431372,1610612738,9,16,2020-09-20T00:57:30Z,630000,-1.0,259.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M32.00S,2020-09-20T00:57:29.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,9,16,2020-09-20T00:57:30Z,640000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
65,PT06M23.00S,2020-09-20T00:57:37.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628389,5.469776609724048,47.86305147058824,1610612748,11,16,2020-09-20T00:58:19Z,650000,11.0,-1.0,1,left,B. Adebayo layup (4 PTS) (G. Dragic 2 AST),"[1628389, 201609]",1610612748.0,MIA,cuttingfingerroll,,,Adebayo,B. Adebayo,,,,,1.16,Made,,,,,4.0,G. Dragic,201609.0,2.0,,,,,,,,,,,
67,PT06M04.00S,2020-09-20T00:57:57.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,87.99277266754271,48.353247549019606,1610612738,11,16,2020-09-20T00:58:04Z,670000,-8.0,60.0,1,right,MISS J. Brown 7' layup,[1627759],1610612738.0,BOS,drivingfingerroll,,,Brown,J. Brown,,,,,6.64,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M58.00S,2020-09-20T00:58:03.3Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,11,16,2020-09-20T00:58:36Z,680000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
69,PT05M58.00S,2020-09-20T00:58:03.1Z,1,REGULAR,2pt,dunk,"['2ndchance', 'pointsinthepaint']",1628464,95.0,50.0,1610612738,11,18,2020-09-20T00:58:53Z,690000,0.0,-6.0,1,right,D. Theis dunk (2 PTS),[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
70,PT05M48.00S,2020-09-20T00:58:12.5Z,1,REGULAR,3pt,jumpshot,[],1629130,12.565703022339028,4.970894607843137,1610612748,14,18,2020-09-20T00:58:17Z,700000,225.0,66.0,1,left,D. Robinson 24' 3PT  (3 PTS) (J. Crowder 2 AST),"[1629130, 203109]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,23.61,Made,,,,,3.0,J. Crowder,203109.0,2.0,,,,,,,,,,,
73,PT05M27.00S,2020-09-20T00:58:33.3Z,1,REGULAR,3pt,jumpshot,[],1628369,67.75008212877792,58.18014705882353,1610612738,14,18,2020-09-20T00:58:41Z,720000,41.0,251.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M27.00S,2020-09-20T00:58:33.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,14,18,2020-09-20T00:58:41Z,730000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
75,PT05M11.00S,2020-09-20T00:58:50.0Z,1,REGULAR,3pt,jumpshot,[],1629130,34.37910643889619,26.53952205882353,1610612748,14,18,2020-09-20T00:58:55Z,740000,117.0,271.0,1,left,MISS D. Robinson 30' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,30.01,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M11.00S,2020-09-20T00:58:50.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,18,2020-09-20T00:58:55Z,750000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
77,PT05M06.00S,2020-09-20T00:58:58.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,91.80354796320631,45.65716911764706,1610612738,14,20,2020-09-20T00:59:06Z,760000,-22.0,25.0,1,right,J. Brown layup (8 PTS) (J. Tatum 4 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,3.7,Made,,,,,8.0,J. Tatum,1628369.0,4.0,,,,,,,,,,,
79,PT05M06.00S,2020-09-20T00:59:03.5Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612738,14,20,2020-09-20T00:59:24Z,780000,,,0,,D. Robinson FOUL personal (2 PF) (Brown 1freethrow),"[1629130, 1627759]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,2003.0,2.0,0.0,Brown,1627759.0,,,,,,
81,PT05M06.00S,2020-09-20T00:59:16.3Z,1,REGULAR,substitution,out,[],201609,,,1610612738,14,20,2020-09-20T00:59:38Z,800000,,,0,,substitution out Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M06.00S,2020-09-20T00:59:16.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,14,20,2020-09-20T00:59:38Z,810000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M06.00S,2020-09-20T00:59:16.3Z,1,REGULAR,substitution,in,[],1629639,,,1610612738,14,20,2020-09-20T00:59:38Z,820000,,,0,,substitution in Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M06.00S,2020-09-20T00:59:16.3Z,1,REGULAR,substitution,in,[],202330,,,1610612738,14,20,2020-09-20T00:59:38Z,830000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M06.00S,2020-09-20T00:59:40.1Z,1,REGULAR,freethrow,1of1,[],1627759,,,1610612738,14,20,2020-09-20T01:00:00Z,840000,,,0,,MISS J. Brown freethrow 1of1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
86,PT05M05.00S,2020-09-20T00:59:41.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,14,20,2020-09-20T01:00:00Z,850000,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,85.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
87,PT04M51.00S,2020-09-20T00:59:50.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612748,14,20,2020-09-20T00:59:50Z,860000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M51.00S,2020-09-20T00:59:51.0Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,14,20,2020-09-20T01:00:03Z,870000,,,0,,substitution out Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M51.00S,2020-09-20T00:59:51.0Z,1,REGULAR,substitution,in,[],203482,,,1610612748,14,20,2020-09-20T01:00:03Z,880000,,,0,,substitution in Olynyk,[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M46.00S,2020-09-20T01:00:13.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203482,13.748357424441524,49.57873774509804,1610612748,14,20,2020-09-20T01:00:21Z,890000,2.0,77.0,1,left,MISS K. Olynyk 8' jumpshot,[203482],1610612748.0,MIA,floating,,,Olynyk,K. Olynyk,,,,,8.22,Missed,,,,,,,,,,,,,,,,,,,
91,PT04M44.00S,2020-09-20T01:00:15.7Z,1,REGULAR,rebound,offensive,[],203482,,,1610612748,14,20,2020-09-20T01:00:21Z,900000,,,0,,K. Olynyk REBOUND (Off:1 Def:0),[203482],1610612748.0,MIA,,,,Olynyk,K. Olynyk,,,,,,,90.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
92,PT04M42.00S,2020-09-20T01:00:18.3Z,1,REGULAR,3pt,jumpshot,['2ndchance'],203109,23.99802890932983,14.529718137254902,1610612748,17,20,2020-09-20T01:00:24Z,910000,177.0,173.0,1,left,J. Crowder 25' 3PT  (5 PTS) (J. Butler 1 AST),"[203109, 202710]",1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,25.17,Made,,,,,5.0,J. Butler,202710.0,1.0,,,,,,,,,,,
