actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
270,PT03M36.00S,2020-09-20T01:36:11.7Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1627759,83.65637319316689,47.372855392156865,1610612738,45,51,2020-09-20T01:36:15Z,2680000,-13.0,101.0,1,right,J. Brown 11' jumpshot (13 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,10.74,Made,,,,,13.0,,,,,,,,,,,,,,
271,PT03M22.00S,2020-09-20T01:36:24.3Z,2,REGULAR,3pt,jumpshot,[],1629639,32.670827858081466,49.08854166666667,1610612748,48,51,2020-09-20T01:36:29Z,2690000,5.0,255.0,1,left,T. Herro 26' 3PT  (18 PTS),[1629639],1610612748.0,MIA,stepback,,,Herro,T. Herro,,,,,26.01,Made,,,,,18.0,,,,,,,,,,,,,,
272,PT03M05.00S,2020-09-20T01:36:43.2Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627759,93.51182654402102,52.27481617647059,1610612738,48,51,2020-09-20T01:37:10Z,2700000,11.0,8.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1628389]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.81,Missed,,,,,,,,,,,,,,,Adebayo,1628389.0,,,
273,PT03M05.00S,2020-09-20T01:36:43.2Z,2,REGULAR,block,,[],1628389,,,1610612738,48,51,2020-09-20T01:36:45Z,2710000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
274,PT03M04.00S,2020-09-20T01:36:44.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,48,51,2020-09-20T01:37:10Z,2720000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,272.0,,,,,,,,,,,,,,,,,,
275,PT03M03.00S,2020-09-20T01:36:57.8Z,2,REGULAR,foul,personal,[],1628389,,,1610612738,48,51,2020-09-20T01:38:22Z,2730000,,,0,,B. Adebayo FOUL personal (2 PF),"[1628389, 202330]",1610612748.0,MIA,looseball,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2715.0,2.0,0.0,Hayward,202330.0,,,,,,
277,PT03M03.00S,2020-09-20T01:37:05.3Z,2,REGULAR,substitution,out,[],1629130,,,1610612738,48,51,2020-09-20T01:37:12Z,2750000,,,0,,substitution out Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT03M03.00S,2020-09-20T01:37:05.3Z,2,REGULAR,substitution,out,[],203935,,,1610612738,48,51,2020-09-20T01:37:12Z,2760000,,,0,,substitution out Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
279,PT03M03.00S,2020-09-20T01:37:05.3Z,2,REGULAR,substitution,in,[],201609,,,1610612738,48,51,2020-09-20T01:37:12Z,2770000,,,0,,substitution in Dragic,[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT03M03.00S,2020-09-20T01:37:05.3Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,48,51,2020-09-20T01:37:12Z,2780000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT02M58.00S,2020-09-20T01:37:24.6Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,48,51,2020-09-20T01:37:24Z,2790000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT02M56.00S,2020-09-20T01:37:38.2Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', '2ndchance']",1628464,87.59855453350855,45.65716911764706,1610612738,48,51,2020-09-20T01:37:48Z,2800000,-22.0,64.0,1,right,MISS D. Theis 7' jumpshot,[1628464],1610612738.0,BOS,floating,,,Theis,D. Theis,,,,,7.29,Missed,,,,,,,,,,,,,,,,,,,
283,PT02M47.00S,2020-09-20T01:37:47.2Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,48,51,2020-09-20T01:37:48Z,2810000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,282.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
284,PT02M47.00S,2020-09-20T01:37:47.0Z,2,REGULAR,2pt,dunk,"['2ndchance', 'pointsinthepaint']",1628369,95.0,50.0,1610612738,48,51,2020-09-20T01:37:50Z,2820000,0.0,-6.0,1,right,MISS J. Tatum dunk Blocked,"[1628369, 1628389]",1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Missed,,,,,,,,,,,,,,,Adebayo,1628389.0,,,
312,PT02M47.00S,2020-09-20T01:37:47.0Z,2,REGULAR,block,,[],1628389,,,1610612738,48,51,2020-09-20T01:40:09Z,2825000,,,0,,B. Adebayo BLOCK (2 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT02M47.00S,2020-09-20T01:37:47.0Z,2,REGULAR,rebound,offensive,[],1628464,,,1610612738,48,51,2020-09-20T01:37:50Z,2830000,,,0,,D. Theis REBOUND (Off:3 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,284.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
286,PT02M45.00S,2020-09-20T01:37:48.7Z,2,REGULAR,2pt,layup,"['2ndchance', 'pointsinthepaint']",1628464,95.0,50.0,1610612738,48,51,2020-09-20T01:37:51Z,2840000,0.0,-6.0,1,right,MISS D. Theis layup,[1628464],1610612738.0,BOS,tip,,,Theis,D. Theis,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
287,PT02M45.00S,2020-09-20T01:37:48.7Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,48,51,2020-09-20T01:37:51Z,2850000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,286.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
288,PT02M41.00S,2020-09-20T01:37:53.4Z,2,REGULAR,3pt,jumpshot,['fastbreak'],203109,18.347568988173457,93.45128676470588,1610612748,48,51,2020-09-20T01:40:38Z,2860000,-217.0,120.0,1,left,MISS J. Crowder 25' 3PT,[203109],1610612748.0,MIA,running,,,Crowder,J. Crowder,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
289,PT02M39.00S,2020-09-20T01:37:55.4Z,2,REGULAR,rebound,defensive,[],202330,,,1610612738,48,51,2020-09-20T01:37:55Z,2870000,,,0,,G. Hayward REBOUND (Off:0 Def:3),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,288.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
290,PT02M39.00S,2020-09-20T01:38:00.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203109,,,1610612738,48,51,2020-09-20T01:38:13Z,2880000,,,0,,J. Crowder FOUL personal (3 PF) (Hayward inpenalty),"[203109, 202330]",1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,2534.0,3.0,0.0,Hayward,202330.0,,,,,,
292,PT02M39.00S,2020-09-20T01:38:21.8Z,2,REGULAR,freethrow,1of2,[],202330,,,1610612738,48,51,2020-09-20T01:38:21Z,2900000,,,0,,MISS G. Hayward freethrow 1of2,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,Missed,,,,,,,,,,,,,,,,,,,
293,PT02M39.00S,2020-09-20T01:38:21.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,48,51,2020-09-20T01:38:21Z,2910000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,292.0,,,,,,,,,,,,,,,,,,
294,PT02M39.00S,2020-09-20T01:38:23.7Z,2,REGULAR,substitution,out,[],203109,,,1610612738,48,51,2020-09-20T01:38:31Z,2920000,,,0,,substitution out Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT02M39.00S,2020-09-20T01:38:23.7Z,2,REGULAR,substitution,out,[],1628464,,,1610612738,48,51,2020-09-20T01:38:31Z,2930000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
296,PT02M39.00S,2020-09-20T01:38:23.7Z,2,REGULAR,substitution,in,[],1627884,,,1610612738,48,51,2020-09-20T01:38:31Z,2940000,,,0,,substitution in Jones Jr.,[1627884],1610612748.0,MIA,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT02M39.00S,2020-09-20T01:38:23.7Z,2,REGULAR,substitution,in,[],203935,,,1610612738,48,51,2020-09-20T01:38:31Z,2950000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
298,PT02M39.00S,2020-09-20T01:38:46.5Z,2,REGULAR,freethrow,2of2,[],202330,,,1610612738,48,52,2020-09-20T01:38:46Z,2960000,,,0,,G. Hayward freethrow 2of2 (3 PTS),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
299,PT02M20.00S,2020-09-20T01:39:06.6Z,2,REGULAR,turnover,lostball,[],202710,,,1610612748,48,52,2020-09-20T01:39:21Z,2970000,,,0,,J. Butler TURNOVER lostball (1 TOV) Stolen,"[202710, 1627759]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,1.0,,,Brown,1627759.0,
300,PT02M20.00S,2020-09-20T01:39:06.6Z,2,REGULAR,steal,,[],1627759,,,1610612738,48,52,2020-09-20T01:39:21Z,2980000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
301,PT02M18.00S,2020-09-20T01:39:16.1Z,2,REGULAR,2pt,dunk,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628369,93.11760840998686,50.06893382352941,1610612738,48,54,2020-09-20T01:42:19Z,2990000,0.0,12.0,1,right,J. Tatum dunk (13 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,1.77,Made,,,,,13.0,J. Brown,1627759.0,2.0,,,,,,,,,,,
303,PT02M00.00S,2020-09-20T01:39:26.7Z,2,REGULAR,3pt,jumpshot,[],1629639,27.94021024967148,77.27481617647058,1610612748,48,54,2020-09-20T01:39:33Z,3010000,-136.0,210.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
304,PT01M56.00S,2020-09-20T01:39:30.7Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,48,54,2020-09-20T01:39:33Z,3020000,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,303.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
305,PT01M55.00S,2020-09-20T01:39:32.0Z,2,REGULAR,2pt,dunk,"['pointsinthepaint', 'fastbreak']",1627759,94.95729303547962,48.10814950980392,1610612738,48,56,2020-09-20T01:39:38Z,3030000,-9.0,-5.0,1,right,J. Brown dunk (15 PTS) (J. Tatum 6 AST),"[1627759, 1628369]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,0.95,Made,,,,,15.0,J. Tatum,1628369.0,6.0,,,,,,,,,,,
307,PT01M40.00S,2020-09-20T01:39:46.2Z,2,REGULAR,turnover,badpass,[],202710,,,1610612748,48,56,2020-09-20T01:39:51Z,3050000,,,0,,J. Butler TURNOVER badpass (2 TOV) Stolen,"[202710, 1627759]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,2.0,,,Brown,1627759.0,
308,PT01M40.00S,2020-09-20T01:39:46.2Z,2,REGULAR,steal,,[],1627759,,,1610612738,48,56,2020-09-20T01:39:48Z,3060000,,,0,,J. Brown STEAL (2 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT01M36.00S,2020-09-20T01:39:49.9Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,94.03745072273325,47.61795343137255,1610612738,48,58,2020-09-20T01:39:57Z,3070000,-12.0,4.0,1,right,J. Brown layup (17 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,1.49,Made,,,,,17.0,,,,,,,,,,,,,,
310,PT01M31.00S,2020-09-20T01:39:58.2Z,2,REGULAR,foul,personal,[],203935,,,1610612748,48,58,2020-09-20T01:40:13Z,3080000,,,0,,M. Smart FOUL personal (1 PF),"[203935, 201609]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,2003.0,1.0,0.0,Dragic,201609.0,,,,,,
313,PT01M31.00S,2020-09-20T01:40:14.7Z,2,REGULAR,substitution,out,[],1628389,,,1610612748,48,58,2020-09-20T01:40:23Z,3100000,,,0,,substitution out Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT01M31.00S,2020-09-20T01:40:14.7Z,2,REGULAR,substitution,in,[],2738,,,1610612748,48,58,2020-09-20T01:40:23Z,3110000,,,0,,substitution in Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT01M24.00S,2020-09-20T01:40:39.2Z,2,REGULAR,2pt,jumpshot,[],202710,10.5946123521682,66.49050245098039,1610612748,48,58,2020-09-20T01:40:43Z,3120000,-82.0,47.0,1,left,MISS J. Butler 10' jumpshot,[202710],1610612748.0,MIA,floating,,,Butler,J. Butler,,,,,9.78,Missed,,,,,,,,,,,,,,,,,,,
316,PT01M21.00S,2020-09-20T01:40:42.2Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,48,58,2020-09-20T01:40:43Z,3130000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,315.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
317,PT01M10.00S,2020-09-20T01:40:53.8Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],203935,92.46057818659659,60.36305147058824,1610612738,48,60,2020-09-20T01:41:00Z,3140000,52.0,18.0,1,right,M. Smart 6' jumpshot (5 PTS),[203935],1610612738.0,BOS,floating,,,Smart,M. Smart,,,,,5.7,Made,,,,,5.0,,,,,,,,,,,,,,
318,PT00M58.60S,2020-09-20T01:41:07.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612748,48,60,2020-09-20T01:41:37Z,3150000,,,0,,J. Brown FOUL personal (1 PF) (Dragic inpenalty),"[1627759, 201609]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,2003.0,1.0,0.0,Dragic,201609.0,,,,,,
320,PT00M58.60S,2020-09-20T01:41:38.4Z,2,REGULAR,freethrow,1of2,[],201609,,,1610612748,49,60,2020-09-20T01:41:38Z,3170000,,,0,,G. Dragic freethrow 1of2 (5 PTS),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
321,PT00M58.60S,2020-09-20T01:41:54.8Z,2,REGULAR,freethrow,2of2,[],201609,,,1610612748,50,60,2020-09-20T01:41:54Z,3180000,,,0,,G. Dragic freethrow 2of2 (6 PTS),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
322,PT00M41.30S,2020-09-20T01:42:16.6Z,2,REGULAR,3pt,jumpshot,[],202689,95.6143232588699,3.010110294117647,1610612738,50,63,2020-09-20T01:57:08Z,3190000,-235.0,-11.0,1,right,K. Walker 24' 3PT  (13 PTS) (J. Tatum 7 AST),"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,23.5,Made,,,,,13.0,J. Tatum,1628369.0,7.0,,,,,,,,,,,
399,PT00M41.30S,2020-09-20T01:42:31.1Z,2,REGULAR,instantreplay,request,[],0,,,1610612748,50,63,2020-09-20T02:08:37Z,3205000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,2534.0,,,,,,,,,,Changed to 3-pt FG
324,PT00M20.90S,2020-09-20T01:42:45.7Z,2,REGULAR,3pt,jumpshot,[],1627884,51.98751642575559,68.69638480392157,1610612748,50,63,2020-09-20T01:46:50Z,3210000,-93.0,436.0,1,left,MISS D. Jones Jr. 45' 3PT,[1627884],1610612748.0,MIA,bank,,,Jones Jr.,D. Jones Jr.,,,,,45.15,Missed,,,,,,,,,,,,,,,,,,,
325,PT00M19.40S,2020-09-20T01:42:47.2Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,50,63,2020-09-20T01:46:50Z,3220000,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,324.0,7.0,6.0,1.0,,,,,,,,,,,,,,,
326,PT00M03.70S,2020-09-20T01:42:58.5Z,2,REGULAR,3pt,jumpshot,[],1628369,66.44218134034165,49.57873774509804,1610612738,50,63,2020-09-20T01:43:11Z,3230000,-2.0,263.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,,
327,PT00M02.70S,2020-09-20T01:42:59.5Z,2,REGULAR,rebound,defensive,[],2738,,,1610612748,50,63,2020-09-20T01:43:11Z,3240000,,,0,,A. Iguodala REBOUND (Off:0 Def:2),[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,326.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
328,PT00M00.30S,2020-09-20T01:43:04.7Z,2,REGULAR,3pt,jumpshot,[],2738,68.67608409986859,20.166973039215684,1610612748,50,63,2020-09-20T01:45:54Z,3250000,149.0,593.0,1,left,MISS A. Iguodala 62' 3PT,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,61.69,Missed,,,,,,,,,,,,,,,,,,,
329,PT00M00.10S,2020-09-20T01:43:04.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,50,63,2020-09-20T01:45:54Z,3260000,,,0,,Team offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,328.0,,,,,,,,,,,,,,,,,,
330,PT00M00.00S,2020-09-20T01:43:07.8Z,2,REGULAR,period,end,[],0,,,1610612748,50,63,2020-09-20T01:43:07Z,3270000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,out,['startperiod'],1627884,,,1610612748,50,63,2020-09-20T01:58:28Z,3280000,,,0,,substitution out Jones Jr.,[1627884],1610612748.0,MIA,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,out,['startperiod'],1629639,,,1610612748,50,63,2020-09-20T01:58:28Z,3290000,,,0,,substitution out Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,out,['startperiod'],2738,,,1610612748,50,63,2020-09-20T01:58:28Z,3300000,,,0,,substitution out Iguodala,[2738],1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,out,['startperiod'],202330,,,1610612748,50,63,2020-09-20T01:58:28Z,3310000,,,0,,substitution out Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,in,['startperiod'],203109,,,1610612748,50,63,2020-09-20T01:58:28Z,3320000,,,0,,substitution in Crowder,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
337,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,in,['startperiod'],1629130,,,1610612748,50,63,2020-09-20T01:58:28Z,3330000,,,0,,substitution in Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
338,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,in,['startperiod'],1628389,,,1610612748,50,63,2020-09-20T01:58:28Z,3340000,,,0,,substitution in Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
339,PT12M00.00S,2020-09-20T01:57:56.7Z,3,REGULAR,substitution,in,['startperiod'],1628464,,,1610612748,50,63,2020-09-20T01:58:28Z,3350000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
340,PT12M00.00S,2020-09-20T01:58:31.4Z,3,REGULAR,period,start,[],0,,,1610612738,50,63,2020-09-20T01:58:31Z,3360000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT11M43.00S,2020-09-20T01:58:47.4Z,3,REGULAR,2pt,layup,['pointsinthepaint'],1628369,6.521024967148489,52.029718137254896,1610612738,50,63,2020-09-20T01:58:52Z,3370000,-10.0,9.0,1,left,MISS J. Tatum layup Blocked,"[1628369, 1629130]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.75,Missed,,,,,,,,,,,,,,,Robinson,1629130.0,,,
342,PT11M43.00S,2020-09-20T01:58:47.4Z,3,REGULAR,block,,[],1629130,,,1610612738,50,63,2020-09-20T01:58:49Z,3380000,,,0,,D. Robinson BLOCK (1 BLK),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
343,PT11M40.00S,2020-09-20T01:58:50.4Z,3,REGULAR,rebound,defensive,[],202710,,,1610612748,50,63,2020-09-20T01:58:52Z,3390000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,341.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
344,PT11M36.00S,2020-09-20T01:58:53.8Z,3,REGULAR,2pt,jumpshot,['fastbreak'],202710,88.25558475689881,67.9610906862745,1610612748,50,63,2020-09-20T01:59:20Z,3400000,90.0,58.0,1,right,MISS J. Butler 11' jumpshot,[202710],1610612748.0,MIA,drivingbank,,,Butler,J. Butler,,,,,10.99,Missed,,,,,,,,,,,,,,,,,,,
345,PT11M34.00S,2020-09-20T01:58:55.8Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,50,63,2020-09-20T01:59:07Z,3410000,,,0,,D. Theis REBOUND (Off:3 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,344.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
346,PT11M26.00S,2020-09-20T01:59:08.1Z,3,REGULAR,violation,kickedball,[],1628389,,,1610612738,50,63,2020-09-20T01:59:12Z,3420000,,,0,,B. Adebayo violation kickedball,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,2715.0,,,,,,,,,,
347,PT11M23.00S,2020-09-20T01:59:21.4Z,3,REGULAR,2pt,jumpshot,[],202689,27.94021024967148,53.01011029411765,1610612738,50,63,2020-09-20T01:59:30Z,3430000,-15.0,210.0,1,left,MISS K. Walker 22' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,21.61,Missed,,,,,,,,,,,,,,,,,,,
348,PT11M17.00S,2020-09-20T01:59:27.4Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,50,63,2020-09-20T01:59:30Z,3440000,,,0,,B. Adebayo REBOUND (Off:0 Def:6),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,347.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
349,PT11M02.00S,2020-09-20T01:59:41.7Z,3,REGULAR,2pt,layup,['pointsinthepaint'],202710,94.69448094612353,50.80422794117647,1610612748,50,63,2020-09-20T01:59:45Z,3450000,4.0,-3.0,1,right,MISS J. Butler layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,0.49,Missed,,,,,,,,,,,,,,,,,,,
351,PT11M00.00S,2020-09-20T01:59:43.7Z,3,REGULAR,rebound,offensive,[],202710,,,1610612748,50,63,2020-09-20T01:59:45Z,3470000,,,0,,J. Butler REBOUND (Off:2 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,349.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
352,PT10M59.00S,2020-09-20T01:59:45.8Z,3,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202710,93.24901445466492,49.82383578431372,1610612748,50,63,2020-09-20T01:59:49Z,3480000,-1.0,11.0,1,right,MISS J. Butler layup,[202710],1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,1.65,Missed,,,,,,,,,,,,,,,,,,,
353,PT10M57.00S,2020-09-20T01:59:47.8Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,50,63,2020-09-20T01:59:49Z,3490000,,,0,,D. Theis REBOUND (Off:3 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,352.0,5.0,2.0,3.0,,,,,,,,,,,,,,,
354,PT10M53.00S,2020-09-20T01:59:51.7Z,3,REGULAR,turnover,badpass,[],1627759,,,1610612738,50,63,2020-09-20T01:59:56Z,3500000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 1628389]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,,,Adebayo,1628389.0,
355,PT10M53.00S,2020-09-20T01:59:51.7Z,3,REGULAR,steal,,[],1628389,,,1610612748,50,63,2020-09-20T01:59:53Z,3510000,,,0,,B. Adebayo STEAL (2 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
