actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
68,PT06M16.00S,2020-09-05T22:58:40.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,14,17,2020-09-05T22:58:45Z,680000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,,
69,PT06M00.00S,2020-09-05T22:58:55.8Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1628369,92.06636005256242,49.08854166666667,1610612738,16,17,2020-09-05T22:58:59Z,690000,-5.0,22.0,1,right,J. Tatum dunk (4 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,2.8,Made,,,,,4.0,,,,,,,,,,,,
70,PT05M39.00S,2020-09-05T22:59:19.7Z,1,REGULAR,foul,offensive,[],201188,,,1610612761,16,17,2020-09-05T22:59:25Z,700000,,,0,,M. Gasol FOUL offensive (1 PF),"[201188, 1627759]",1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,1662.0,,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,,,
72,PT05M39.00S,2020-09-05T22:59:19.7Z,1,REGULAR,turnover,offensivefoul,[],201188,,,1610612761,16,17,2020-09-05T22:59:19Z,720000,,,0,,M. Gasol TURNOVER offensivefoul (1 TOV),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,1662.0,1.0,,,,,,,,,,,,,,,,,,,
73,PT05M28.00S,2020-09-05T22:59:45.4Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1628369,81.94809461235218,60.36305147058824,1610612738,16,17,2020-09-05T22:59:53Z,730000,52.0,117.0,1,right,MISS J. Tatum 13' jumpshot,[1628369],1610612738.0,BOS,drivingfloating,,,Tatum,J. Tatum,,,,,,,13.32,Missed,,,,,,,,,,,,,,,,,
74,PT05M27.00S,2020-09-05T22:59:46.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,16,17,2020-09-05T23:04:26Z,740000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,
75,PT05M21.00S,2020-09-05T22:59:53.3Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1627832,7.178055190538765,48.59834558823529,1610612761,16,17,2020-09-05T22:59:56Z,750000,7.0,15.0,1,left,MISS F. VanVleet layup,[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,,,2.17,Missed,,,,,,,,,,,,,,,,,
76,PT05M20.00S,2020-09-05T22:59:54.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,17,2020-09-05T22:59:58Z,760000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,
77,PT05M12.00S,2020-09-05T23:00:01.9Z,1,REGULAR,turnover,badpass,[],203935,,,1610612738,16,17,2020-09-05T23:00:07Z,770000,,,0,,M. Smart TURNOVER badpass (1 TOV) Stolen,"[203935, 200768]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,1.0,,,,,,,,,,,,,,,Lowry,200768.0,,,
78,PT05M12.00S,2020-09-05T23:00:01.9Z,1,REGULAR,steal,,[],200768,,,1610612761,16,17,2020-09-05T23:00:03Z,780000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
