actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
258,PT03M41.00S,2020-09-05T23:32:31.3Z,2,REGULAR,substitution,out,[],1629744,,,1610612738,40,42,2020-09-05T23:32:38Z,2550000,,,0,,substitution out Thomas,[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT03M41.00S,2020-09-05T23:32:31.3Z,2,REGULAR,substitution,out,[],1626181,,,1610612738,40,42,2020-09-05T23:32:38Z,2560000,,,0,,substitution out Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT03M41.00S,2020-09-05T23:32:31.3Z,2,REGULAR,substitution,in,[],1627832,,,1610612738,40,42,2020-09-05T23:32:38Z,2570000,,,0,,substitution in VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT03M41.00S,2020-09-05T23:32:31.3Z,2,REGULAR,substitution,in,[],1628384,,,1610612738,40,42,2020-09-05T23:32:38Z,2580000,,,0,,substitution in Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT03M39.00S,2020-09-05T23:32:54.1Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629057,93.38042049934296,34.627757352941174,1610612738,42,42,2020-09-05T23:32:58Z,2590000,-77.0,10.0,1,right,R. Williams III 8' jumpshot (6 PTS) (M. Smart 3 AST),"[1629057, 203935]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,7.84,Made,,,,,6.0,,,,,M. Smart,203935.0,3.0,,,,,
264,PT03M19.00S,2020-09-05T23:33:15.1Z,2,REGULAR,2pt,hook,"['pointsinthepaint', 'defensivegoaltending']",1627783,13.485545335085414,39.5297181372549,1610612761,42,44,2020-09-05T23:33:27Z,2610000,52.0,74.0,1,left,P. Siakam 10' hook (7 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,,,9.55,Made,,,,,7.0,,,,,,,,,,,,
265,PT03M19.00S,2020-09-05T23:33:22.4Z,2,REGULAR,violation,defensivegoaltending,[],1629057,,,1610612761,42,44,2020-09-05T23:33:27Z,2620000,,,0,,R. Williams III violation defensivegoaltending,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1830.0,,,,,,,,,,,,,,,,,,,,
266,PT03M07.00S,2020-09-05T23:33:39.7Z,2,REGULAR,turnover,badpass,[],203935,,,1610612738,42,44,2020-09-05T23:33:47Z,2630000,,,0,,M. Smart TURNOVER badpass (3 TOV) Stolen,"[203935, 200768]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,3.0,,,,,,,,,,,,,,,Lowry,200768.0,,,
267,PT03M07.00S,2020-09-05T23:33:39.7Z,2,REGULAR,steal,,[],200768,,,1610612761,42,44,2020-09-05T23:33:43Z,2640000,,,0,,K. Lowry STEAL (2 STL),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT03M01.00S,2020-09-05T23:33:45.4Z,2,REGULAR,turnover,badpass,[],1628384,,,1610612761,42,44,2020-09-05T23:34:42Z,2650000,,,0,,O. Anunoby TURNOVER badpass (3 TOV) Stolen,"[1628384, 202689]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,3.0,,,,,,,,,,,,,,,Walker,202689.0,,,
269,PT03M01.00S,2020-09-05T23:33:45.4Z,2,REGULAR,steal,,[],202689,,,1610612738,42,44,2020-09-05T23:33:47Z,2660000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT02M55.00S,2020-09-05T23:33:51.7Z,2,REGULAR,3pt,jumpshot,"['fromturnover', 'fastbreak']",203935,93.51182654402102,95.65716911764706,1610612738,42,44,2020-09-05T23:40:10Z,2670000,228.0,8.0,1,right,MISS M. Smart 23' 3PT,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,,,22.87,Missed,,,,,,,,,,,,,,,,,
271,PT02M54.00S,2020-09-05T23:34:07.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,42,44,2020-09-05T23:34:07Z,2680000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,
272,PT02M54.00S,2020-09-05T23:34:08.8Z,2,REGULAR,foul,personal,[],200768,,,1610612738,42,44,2020-09-05T23:34:14Z,2690000,,,0,,K. Lowry FOUL personal (1 PF),"[200768, 1627759]",1610612761.0,TOR,looseball,,,Lowry,K. Lowry,,,,,1662.0,,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,,,
274,PT02M54.00S,2020-09-05T23:34:17.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,42,44,2020-09-05T23:34:17Z,2710000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT02M54.00S,2020-09-05T23:36:48.9Z,2,REGULAR,substitution,out,[],202689,,,1610612738,42,44,2020-09-05T23:37:04Z,2720000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT02M54.00S,2020-09-05T23:36:48.9Z,2,REGULAR,substitution,in,[],1628369,,,1610612738,42,44,2020-09-05T23:37:04Z,2730000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT02M46.00S,2020-09-05T23:37:39.5Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628400,92.19776609724047,52.029718137254896,1610612738,44,44,2020-09-05T23:37:43Z,2740000,10.0,21.0,1,right,S. Ojeleye layup (2 PTS) (J. Tatum 1 AST),"[1628400, 1628369]",1610612738.0,BOS,cutting,,,Ojeleye,S. Ojeleye,,,,,,,2.82,Made,,,,,2.0,,,,,J. Tatum,1628369.0,1.0,,,,,
279,PT02M31.00S,2020-09-05T23:37:55.4Z,2,REGULAR,foul,personal,[],1627759,,,1610612761,44,44,2020-09-05T23:38:06Z,2760000,,,0,,J. Brown FOUL personal (3 PF),"[1627759, 200768]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,202041.0,,,,,,,,,3.0,0.0,Lowry,200768.0,,,,,,,,
281,PT02M31.00S,2020-09-05T23:38:31.1Z,2,REGULAR,substitution,out,[],1627759,,,1610612761,44,44,2020-09-05T23:38:37Z,2780000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT02M31.00S,2020-09-05T23:38:31.1Z,2,REGULAR,substitution,in,[],202689,,,1610612761,44,44,2020-09-05T23:38:37Z,2790000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT02M21.00S,2020-09-05T23:38:53.0Z,2,REGULAR,3pt,jumpshot,[],1628384,9.017739816031538,94.67677696078431,1610612761,44,44,2020-09-05T23:38:56Z,2800000,-223.0,32.0,1,left,MISS O. Anunoby 23' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,22.66,Missed,,,,,,,,,,,,,,,,,
284,PT02M20.00S,2020-09-05T23:38:54.0Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,44,44,2020-09-05T23:38:58Z,2810000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,283.0,1.0,1.0,0.0,,,,,,,,,,,,,
285,PT02M11.00S,2020-09-05T23:39:05.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201188,,,1610612738,44,44,2020-09-05T23:39:14Z,2820000,,,0,,M. Gasol FOUL personal (2 PF) (Ojeleye inpenalty),"[201188, 1628400]",1610612761.0,TOR,shooting,,,Gasol,M. Gasol,,,,,202041.0,,,,,,,,,2.0,0.0,Ojeleye,1628400.0,,,,,,,,
287,PT02M11.00S,2020-09-05T23:39:37.7Z,2,REGULAR,freethrow,1of2,[],1628400,,,1610612738,45,44,2020-09-05T23:39:37Z,2840000,,,0,,S. Ojeleye freethrow 1of2 (3 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
288,PT02M11.00S,2020-09-05T23:39:53.3Z,2,REGULAR,freethrow,2of2,[],1628400,,,1610612738,46,44,2020-09-05T23:39:53Z,2850000,,,0,,S. Ojeleye freethrow 2of2 (4 PTS),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,
289,PT02M00.00S,2020-09-05T23:40:06.2Z,2,REGULAR,2pt,dunk,['pointsinthepaint'],1627783,5.206964520367937,52.27481617647059,1610612761,46,46,2020-09-05T23:40:10Z,2860000,-11.0,-4.0,1,left,P. Siakam dunk (9 PTS) (O. Anunoby 2 AST),"[1627783, 1628384]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,1.16,Made,,,,,9.0,,,,,O. Anunoby,1628384.0,2.0,,,,,
291,PT01M44.00S,2020-09-05T23:40:22.4Z,2,REGULAR,3pt,jumpshot,[],1628400,94.43166885676742,3.5003063725490198,1610612738,49,46,2020-09-05T23:40:25Z,2880000,-232.0,0.0,1,right,S. Ojeleye 23' 3PT  (7 PTS) (J. Tatum 2 AST),"[1628400, 1628369]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,23.26,Made,,,,,7.0,,,,,J. Tatum,1628369.0,2.0,,,,,
293,PT01M33.00S,2020-09-05T23:40:33.8Z,2,REGULAR,turnover,lostball,[],200768,,,1610612761,49,46,2020-09-05T23:40:39Z,2900000,,,0,,K. Lowry TURNOVER lostball (2 TOV) Stolen,"[200768, 1629057]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,2.0,,,,,,,,,,,,,,,Williams III,1629057.0,,,
294,PT01M33.00S,2020-09-05T23:40:33.8Z,2,REGULAR,steal,,[],1629057,,,1610612738,49,46,2020-09-05T23:40:36Z,2910000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT01M29.00S,2020-09-05T23:40:38.1Z,2,REGULAR,turnover,lostball,[],1628369,,,1610612738,49,46,2020-09-05T23:40:42Z,2920000,,,0,,J. Tatum TURNOVER lostball (3 TOV) Stolen,"[1628369, 1627832]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,3.0,,,,,,,,,,,,,,,VanVleet,1627832.0,,,
296,PT01M29.00S,2020-09-05T23:40:38.1Z,2,REGULAR,steal,,[],1627832,,,1610612761,49,46,2020-09-05T23:40:39Z,2930000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT01M17.00S,2020-09-05T23:40:50.5Z,2,REGULAR,3pt,jumpshot,['fromturnover'],1627783,19.530223390275953,92.22579656862744,1610612761,49,46,2020-09-05T23:40:53Z,2940000,-211.0,131.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,25.14,Missed,,,,,,,,,,,,,,,,,
298,PT01M16.00S,2020-09-05T23:40:51.5Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,49,46,2020-09-05T23:40:57Z,2950000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,297.0,2.0,2.0,0.0,,,,,,,,,,,,,
299,PT00M58.90S,2020-09-05T23:41:09.0Z,2,REGULAR,3pt,jumpshot,[],1628400,92.72339027595268,96.14736519607843,1610612738,49,46,2020-09-05T23:41:15Z,2960000,231.0,16.0,1,right,MISS S. Ojeleye 23' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,23.17,Missed,,,,,,,,,,,,,,,,,
300,PT00M56.80S,2020-09-05T23:41:11.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612761,49,46,2020-09-05T23:41:15Z,2970000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,299.0,,,,,,,,,,,,,,,,
301,PT00M56.80S,2020-09-05T23:41:15.4Z,2,REGULAR,foul,personal,[],203935,,,1610612761,49,46,2020-09-05T23:41:20Z,2980000,,,0,,M. Smart FOUL personal (2 PF),"[203935, 1628384]",1610612738.0,BOS,looseball,,,Smart,M. Smart,,,,,1662.0,,,,,,,,,2.0,0.0,Anunoby,1628384.0,,,,,,,,
303,PT00M43.10S,2020-09-05T23:41:49.2Z,2,REGULAR,3pt,jumpshot,[],200768,32.40801576872536,33.64736519607843,1610612761,49,46,2020-09-05T23:41:52Z,3000000,82.0,252.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,,,27.03,Missed,,,,,,,,,,,,,,,,,
304,PT00M42.00S,2020-09-05T23:41:50.3Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,49,46,2020-09-05T23:41:55Z,3010000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,303.0,3.0,3.0,0.0,,,,,,,,,,,,,
305,PT00M30.50S,2020-09-05T23:42:02.0Z,2,REGULAR,3pt,jumpshot,[],202689,63.288436268068324,49.08854166666667,1610612738,49,46,2020-09-05T23:42:05Z,3020000,-5.0,293.0,1,right,MISS K. Walker 30' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,29.81,Missed,,,,,,,,,,,,,,,,,
306,PT00M28.00S,2020-09-05T23:42:04.5Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612761,49,46,2020-09-05T23:42:14Z,3030000,,,0,,P. Siakam REBOUND (Off:0 Def:4),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,305.0,4.0,4.0,0.0,,,,,,,,,,,,,
307,PT00M05.90S,2020-09-05T23:42:26.6Z,2,REGULAR,3pt,jumpshot,[],1627832,32.14520367936925,64.03952205882352,1610612761,49,46,2020-09-05T23:42:33Z,3040000,-70.0,250.0,1,left,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,26.47,Missed,,,,,,,,,,,,,,,,,
308,PT00M02.90S,2020-09-05T23:42:29.6Z,2,REGULAR,rebound,offensive,[],1627783,,,1610612761,49,46,2020-09-05T23:42:33Z,3050000,,,0,,P. Siakam REBOUND (Off:1 Def:4),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,307.0,5.0,4.0,1.0,,,,,,,,,,,,,
309,PT00M00.90S,2020-09-05T23:42:31.4Z,2,REGULAR,3pt,jumpshot,['2ndchance'],1627832,27.94021024967148,76.78462009803921,1610612761,49,49,2020-09-05T23:42:39Z,3060000,-134.0,210.0,1,left,F. VanVleet 25' 3PT  (9 PTS) (P. Siakam 1 AST),"[1627832, 1627783]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,25.38,Made,,,,,9.0,,,,,P. Siakam,1627783.0,1.0,,,,,
311,PT00M00.00S,2020-09-05T23:42:54.9Z,2,REGULAR,period,end,[],0,,,1610612738,49,49,2020-09-05T23:42:54Z,3080000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2020-09-05T23:58:43.7Z,3,REGULAR,substitution,out,['startperiod'],1628400,,,1610612738,49,49,2020-09-05T23:59:13Z,3090000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT12M00.00S,2020-09-05T23:58:43.7Z,3,REGULAR,substitution,out,['startperiod'],1629057,,,1610612738,49,49,2020-09-05T23:59:13Z,3100000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT12M00.00S,2020-09-05T23:58:43.7Z,3,REGULAR,substitution,in,['startperiod'],1628464,,,1610612738,49,49,2020-09-05T23:59:13Z,3110000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT12M00.00S,2020-09-05T23:58:43.7Z,3,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,49,49,2020-09-05T23:59:13Z,3120000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT12M00.00S,2020-09-05T23:59:16.5Z,3,REGULAR,period,start,[],0,,,1610612761,49,49,2020-09-05T23:59:16Z,3130000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT11M41.00S,2020-09-05T23:59:34.8Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627832,86.41590013140605,62.07873774509803,1610612761,49,49,2020-09-05T23:59:44Z,3140000,60.0,75.0,1,right,MISS F. VanVleet 10' jumpshot,[1627832],1610612761.0,TOR,drivingfloatingbank,,,VanVleet,F. VanVleet,,,,,,,10.08,Missed,,,,,,,,,,,,,,,,,
318,PT11M40.00S,2020-09-05T23:59:35.8Z,3,REGULAR,rebound,defensive,[],203935,,,1610612738,49,49,2020-09-05T23:59:42Z,3150000,,,0,,M. Smart REBOUND (Off:0 Def:4),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,317.0,4.0,4.0,0.0,,,,,,,,,,,,,
319,PT11M24.00S,2020-09-05T23:59:51.1Z,3,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,6.783837056504599,51.049325980392155,1610612738,51,49,2020-09-05T23:59:54Z,3160000,-5.0,11.0,1,left,D. Theis dunk (8 PTS) (K. Walker 5 AST),"[1628464, 202689]",1610612738.0,BOS,alleyoop,,,Theis,D. Theis,,,,,,,1.76,Made,,,,,8.0,,,,,K. Walker,202689.0,5.0,,,,,
321,PT11M09.00S,2020-09-06T00:00:09.8Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],201188,88.91261498028909,51.53952205882353,1610612761,51,51,2020-09-06T00:01:30Z,3180000,8.0,52.0,1,right,M. Gasol 6' jumpshot (2 PTS) (F. VanVleet 4 AST),"[201188, 1627832]",1610612761.0,TOR,drivingfloating,,,Gasol,M. Gasol,,,,,,,5.77,Made,,,,,2.0,,,,,F. VanVleet,1627832.0,4.0,,,,,
323,PT11M09.00S,2020-09-06T00:00:13.5Z,3,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612761,51,51,2020-09-06T00:00:21Z,3200000,,,0,,D. Theis FOUL personal (1 PF) (Gasol 1freethrow),"[1628464, 201188]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,202041.0,,,,,,,,,1.0,0.0,Gasol,201188.0,,,,,,,,
325,PT11M09.00S,2020-09-06T00:00:38.4Z,3,REGULAR,freethrow,1of1,[],201188,,,1610612761,51,51,2020-09-06T00:00:40Z,3220000,,,0,,MISS M. Gasol freethrow 1of1,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,Missed,,,,,,,,,,,,,,,,,
326,PT11M09.00S,2020-09-06T00:00:38.4Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,51,51,2020-09-06T00:00:43Z,3230000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,325.0,3.0,3.0,0.0,,,,,,,,,,,,,
327,PT10M53.00S,2020-09-06T00:00:53.6Z,3,REGULAR,2pt,jumpshot,['pointsinthepaint'],202689,17.296320630749015,54.48069852941176,1610612738,53,51,2020-09-06T00:00:56Z,3240000,-22.0,110.0,1,left,K. Walker 12' jumpshot (9 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,11.78,Made,,,,,9.0,,,,,,,,,,,,
328,PT10M41.00S,2020-09-06T00:01:05.1Z,3,REGULAR,3pt,jumpshot,[],200768,65.1281208935611,52.51991421568627,1610612761,53,54,2020-09-06T00:01:09Z,3250000,13.0,275.0,1,right,K. Lowry 28' 3PT  (14 PTS) (P. Siakam 2 AST),"[200768, 1627783]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,28.11,Made,,,,,14.0,,,,,P. Siakam,1627783.0,2.0,,,,,
330,PT10M24.00S,2020-09-06T00:01:22.0Z,3,REGULAR,2pt,layup,['pointsinthepaint'],1628369,12.302890932982917,46.392463235294116,1610612738,55,54,2020-09-06T00:01:27Z,3270000,18.0,63.0,1,left,J. Tatum 7' layup (12 PTS),[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,,,7.09,Made,,,,,12.0,,,,,,,,,,,,
331,PT10M06.00S,2020-09-06T00:01:39.6Z,3,REGULAR,3pt,jumpshot,[],1628384,81.94809461235218,2.5199142156862746,1610612761,55,57,2020-09-06T00:01:42Z,3280000,-237.0,117.0,1,right,O. Anunoby 27' 3PT  (7 PTS) (M. Gasol 5 AST),"[1628384, 201188]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,26.72,Made,,,,,7.0,,,,,M. Gasol,201188.0,5.0,,,,,
333,PT09M38.00S,2020-09-06T00:02:07.9Z,3,REGULAR,3pt,jumpshot,[],1627759,7.30946123521682,2.7650122549019605,1610612738,55,57,2020-09-06T00:02:11Z,3300000,236.0,16.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,23.72,Missed,,,,,,,,,,,,,,,,,
334,PT09M37.00S,2020-09-06T00:02:08.9Z,3,REGULAR,rebound,defensive,['team'],0,,,1610612761,55,57,2020-09-06T00:02:11Z,3310000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,333.0,,,,,,,,,,,,,,,,
335,PT09M37.00S,2020-09-06T00:02:13.0Z,3,REGULAR,stoppage,outofbounds,[],0,,,1610612761,55,57,2020-09-06T00:02:13Z,3320000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT09M18.00S,2020-09-06T00:02:44.0Z,3,REGULAR,2pt,jumpshot,[],1627783,87.20433639947439,28.745404411764707,1610612761,55,59,2020-09-06T00:02:54Z,3330000,-106.0,68.0,1,right,P. Siakam 13' jumpshot (11 PTS) (F. VanVleet 5 AST),"[1627783, 1627832]",1610612761.0,TOR,turnaroundbank,,,Siakam,P. Siakam,,,,,,,12.91,Made,,,,,11.0,,,,,F. VanVleet,1627832.0,5.0,,,,,
338,PT09M01.00S,2020-09-06T00:03:00.2Z,3,REGULAR,3pt,jumpshot,[],203935,30.042706964520367,71.6375612745098,1610612738,55,59,2020-09-06T00:03:03Z,3350000,-108.0,230.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,,,25.91,Missed,,,,,,,,,,,,,,,,,
339,PT09M00.00S,2020-09-06T00:03:01.2Z,3,REGULAR,rebound,defensive,[],1627783,,,1610612761,55,59,2020-09-06T00:03:03Z,3360000,,,0,,P. Siakam REBOUND (Off:1 Def:5),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,338.0,6.0,5.0,1.0,,,,,,,,,,,,,
340,PT08M47.00S,2020-09-06T00:03:14.6Z,3,REGULAR,2pt,hook,[],1627783,88.64980289093299,32.91207107843137,1610612761,55,59,2020-09-06T00:03:17Z,3370000,-85.0,54.0,1,right,MISS P. Siakam 10' hook,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,10.42,Missed,,,,,,,,,,,,,,,,,
341,PT08M46.00S,2020-09-06T00:03:15.6Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,55,59,2020-09-06T00:03:20Z,3380000,,,0,,D. Theis REBOUND (Off:1 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,340.0,5.0,4.0,1.0,,,,,,,,,,,,,
342,PT08M38.00S,2020-09-06T00:03:25.2Z,3,REGULAR,turnover,outofbounds,[],202689,,,1610612738,55,59,2020-09-06T00:03:37Z,3390000,,,0,,K. Walker TURNOVER outofbounds (1 TOV),[202689],1610612738.0,BOS,lostball,,,Walker,K. Walker,,,,,202041.0,1.0,,,,,,,,,,,,,,,,,,,
343,PT08M24.00S,2020-09-06T00:03:48.3Z,3,REGULAR,3pt,jumpshot,['fromturnover'],1627783,74.85216819973719,11.833639705882353,1610612761,55,59,2020-09-06T00:03:51Z,3400000,-191.0,184.0,1,right,MISS P. Siakam 27' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,26.88,Missed,,,,,,,,,,,,,,,,,
344,PT08M23.00S,2020-09-06T00:03:49.3Z,3,REGULAR,rebound,defensive,[],203935,,,1610612738,55,59,2020-09-06T00:03:51Z,3410000,,,0,,M. Smart REBOUND (Off:0 Def:5),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,343.0,5.0,5.0,0.0,,,,,,,,,,,,,
345,PT08M18.00S,2020-09-06T00:03:57.7Z,3,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612738,55,59,2020-09-06T00:04:08Z,3420000,,,0,,P. Siakam FOUL personal (1 PF) (Smart 2freethrow),"[1627783, 203935]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,1830.0,,,,,,,,,1.0,0.0,Smart,203935.0,,,,,,,,
347,PT08M18.00S,2020-09-06T00:04:27.6Z,3,REGULAR,freethrow,1of2,[],203935,,,1610612738,55,59,2020-09-06T00:04:27Z,3440000,,,0,,MISS M. Smart freethrow 1of2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Missed,,,,,,,,,,,,,,,,,
348,PT08M18.00S,2020-09-06T00:04:27.6Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,55,59,2020-09-06T00:04:27Z,3450000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,
349,PT08M18.00S,2020-09-06T00:04:40.8Z,3,REGULAR,freethrow,2of2,[],203935,,,1610612738,56,59,2020-09-06T00:04:40Z,3460000,,,0,,M. Smart freethrow 2of2 (7 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,
