actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
83,PT05M55.00S,2020-07-31T23:00:21.7Z,1,REGULAR,2pt,jumpshot,['2ndchance'],203114,7.5722733245729295,20.657169117647058,1610612749,22,14,2020-07-31T23:00:28Z,830000,147.0,19.0,1,left,MISS K. Middleton 15' jumpshot,[203114],1610612749.0,MIL,turnaround,,,Middleton,K. Middleton,,,,,14.87,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M54.00S,2020-07-31T23:00:22.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,22,14,2020-07-31T23:00:28Z,840000,,,0,,G. Hayward REBOUND (Off:1 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,83.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
85,PT05M50.00S,2020-07-31T23:00:27.7Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,75.1149802890933,7.912071078431373,1610612738,22,17,2020-07-31T23:00:33Z,850000,-210.0,181.0,1,right,M. Smart 28' 3PT  (3 PTS) (G. Hayward 3 AST),"[203935, 202330]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.14,Made,,,,,3.0,G. Hayward,202330.0,3.0,,,,,,,,,,,
86,PT05M49.00S,2020-07-31T23:00:36.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,22,17,2020-07-31T23:00:36Z,860000,,,0,,timeout full,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M25.00S,2020-07-31T23:04:14.2Z,1,REGULAR,3pt,jumpshot,[],101141,31.35676741130092,69.67677696078431,1610612749,25,17,2020-07-31T23:04:18Z,870000,-98.0,242.0,1,left,E. Ilyasova 27' 3PT  (3 PTS) (S. Brown 1 AST),"[101141, 1628425]",1610612749.0,MIL,,,,Ilyasova,E. Ilyasova,,,,,26.66,Made,,,,,3.0,S. Brown,1628425.0,1.0,,,,,,,,,,,
93,PT05M08.00S,2020-07-31T23:04:33.5Z,1,REGULAR,foul,personal,['2freethrow'],1628425,,,1610612738,25,17,2020-07-31T23:04:52Z,890000,,,0,,S. Brown FOUL personal (1 PF) (Brown 2freethrow),"[1628425, 1627759]",1610612749.0,MIL,shooting,,,Brown,S. Brown,,,,,,,,,,,,,,,1148.0,1.0,0.0,Brown,1627759.0,,,,,,
95,PT05M08.00S,2020-07-31T23:05:01.0Z,1,REGULAR,freethrow,1of2,[],1627759,,,1610612738,25,18,2020-07-31T23:05:01Z,910000,,,0,,J. Brown freethrow 1of2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
96,PT05M08.00S,2020-07-31T23:05:02.7Z,1,REGULAR,substitution,out,[],203114,,,1610612738,25,18,2020-07-31T23:05:10Z,920000,,,0,,substitution out Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M08.00S,2020-07-31T23:05:02.7Z,1,REGULAR,substitution,out,[],1628464,,,1610612738,25,18,2020-07-31T23:05:10Z,930000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M08.00S,2020-07-31T23:05:02.7Z,1,REGULAR,substitution,in,[],2594,,,1610612738,25,18,2020-07-31T23:05:10Z,940000,,,0,,substitution in Korver,[2594],1610612749.0,MIL,,,,Korver,K. Korver,,,,,,,,,,,,,,,,,,,,,,,,,
