actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
181,PT09M28.00S,2019-12-25T17:47:44.8Z,2,REGULAR,3pt,jumpshot,['fastbreak'],200768,33.722076215505915,48.59834558823529,1610612761,26,32,2019-12-25T17:47:54Z,1810000,7.0,264.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612761.0,TOR,runningpullup,,,Lowry,K. Lowry,,,,,27.01,Missed,,,,,,,,,,,,,,,,,,,
182,PT09M25.00S,2019-12-25T17:47:47.8Z,2,REGULAR,rebound,defensive,[],202683,,,1610612738,26,32,2019-12-25T17:47:54Z,1820000,,,0,,E. Kanter REBOUND (Off:1 Def:4),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,181.0,5.0,4.0,1.0,,,,,,,,,,,
183,PT09M17.00S,2019-12-25T17:47:55.4Z,2,REGULAR,2pt,jumpshot,[],202954,80.1084099868594,22.863051470588236,1610612738,26,32,2019-12-25T17:48:06Z,1830000,-136.0,134.0,1,right,MISS B. Wanamaker 20' jumpshot,[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,19.5,Missed,,,,,,,,,,,,,,,,,,,
184,PT09M15.00S,2019-12-25T17:47:57.4Z,2,REGULAR,rebound,defensive,[],200768,,,1610612761,26,32,2019-12-25T17:48:06Z,1840000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,183.0,2.0,2.0,0.0,,,,,,,,,,,
185,PT09M12.00S,2019-12-25T17:48:08.2Z,2,REGULAR,foul,personal,[],202954,,,1610612761,26,32,2019-12-25T17:48:17Z,1850000,,,0,,B. Wanamaker FOUL personal (1 PF),"[202954, 200768]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Lowry,200768.0,,,,
187,PT09M12.00S,2019-12-25T17:48:25.9Z,2,REGULAR,substitution,out,[],202683,,,1610612761,26,32,2019-12-25T17:48:28Z,1870000,,,0,,substitution out Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M12.00S,2019-12-25T17:48:25.9Z,2,REGULAR,substitution,in,[],1628464,,,1610612761,26,32,2019-12-25T17:48:28Z,1880000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M02.00S,2019-12-25T17:48:57.5Z,2,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612761,26,32,2019-12-25T17:49:03Z,1890000,,,0,,D. Theis FOUL personal (1 PF) (Hollis-Jefferson 2freethrow),"[1628464, 1626178]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Hollis-Jefferson,1626178.0,,,,
191,PT09M02.00S,2019-12-25T17:49:20.0Z,2,REGULAR,freethrow,1of2,[],1626178,,,1610612761,26,32,2019-12-25T17:49:20Z,1910000,,,0,,MISS R. Hollis-Jefferson freethrow 1of2,[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
192,PT09M02.00S,2019-12-25T17:49:20.0Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,26,32,2019-12-25T17:49:20Z,1920000,,,0,,Team offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,,,
193,PT09M02.00S,2019-12-25T17:49:33.4Z,2,REGULAR,freethrow,2of2,[],1626178,,,1610612761,27,32,2019-12-25T17:49:33Z,1930000,,,0,,R. Hollis-Jefferson freethrow 2of2 (3 PTS),[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
194,PT08M52.00S,2019-12-25T17:49:45.3Z,2,REGULAR,3pt,jumpshot,[],1627759,70.77858081471747,76.78462009803921,1610612738,27,35,2019-12-25T17:49:50Z,1940000,134.0,222.0,1,right,J. Brown 26' 3PT  (7 PTS) (J. Tatum 4 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.42,Made,7.0,J. Tatum,1628369.0,4.0,,,,,,,,,,,,,,,
196,PT08M35.00S,2019-12-25T17:50:04.7Z,2,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626178,11.383048620236531,49.82383578431372,1610612761,29,35,2019-12-25T17:50:11Z,1960000,1.0,55.0,1,left,R. Hollis-Jefferson 6' jumpshot (5 PTS) (K. Lowry 6 AST),"[1626178, 200768]",1610612761.0,TOR,turnaroundfadeaway,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,6.0,Made,5.0,K. Lowry,200768.0,6.0,,,,,,,,,,,,,,,
198,PT08M35.00S,2019-12-25T17:50:07.5Z,2,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612761,29,35,2019-12-25T17:50:15Z,1980000,,,0,,D. Theis FOUL personal (2 PF) (Hollis-Jefferson 1freethrow),"[1628464, 1626178]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,2004.0,2.0,0.0,Hollis-Jefferson,1626178.0,,,,
200,PT08M35.00S,2019-12-25T17:50:17.2Z,2,REGULAR,substitution,out,[],1629056,,,1610612761,29,35,2019-12-25T17:50:58Z,2000000,,,0,,substitution out Davis,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M35.00S,2019-12-25T17:50:17.2Z,2,REGULAR,substitution,in,[],1627832,,,1610612761,29,35,2019-12-25T17:50:58Z,2010000,,,0,,substitution in VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M35.00S,2019-12-25T17:50:33.6Z,2,REGULAR,freethrow,1of1,[],1626178,,,1610612761,30,35,2019-12-25T17:50:33Z,2020000,,,0,,R. Hollis-Jefferson freethrow 1of1 (6 PTS),[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
203,PT08M14.00S,2019-12-25T17:50:55.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],202954,92.19776609724047,52.76501225490197,1610612738,30,35,2019-12-25T17:51:01Z,2030000,14.0,21.0,1,right,MISS B. Wanamaker layup,[202954],1610612738.0,BOS,driving,,,Wanamaker,B. Wanamaker,,,,,2.97,Missed,,,,,,,,,,,,,,,,,,,
204,PT08M14.00S,2019-12-25T17:50:55.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612761,30,35,2019-12-25T17:51:01Z,2040000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,,,
205,PT08M14.00S,2019-12-25T17:50:59.9Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612761,30,35,2019-12-25T17:50:59Z,2050000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT08M01.00S,2019-12-25T17:51:13.1Z,2,REGULAR,2pt,layup,['pointsinthepaint'],200768,7.966491458607096,41.98069852941176,1610612761,30,35,2019-12-25T17:51:44Z,2060000,40.0,22.0,1,left,MISS K. Lowry layup,[200768],1610612761.0,TOR,drivingfingerroll,,,Lowry,K. Lowry,,,,,4.89,Missed,,,,,,,,,,,,,,,,,,,
207,PT07M57.00S,2019-12-25T17:51:17.1Z,2,REGULAR,rebound,offensive,[],1626178,,,1610612761,30,35,2019-12-25T17:51:20Z,2070000,,,0,,R. Hollis-Jefferson REBOUND (Off:2 Def:0),[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,206.0,2.0,0.0,2.0,,,,,,,,,,,
208,PT07M57.00S,2019-12-25T17:51:16.3Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1626178,5.0,50.0,1610612761,30,35,2019-12-25T17:51:16Z,2080000,0.0,-6.0,1,left,MISS R. Hollis-Jefferson layup,[1626178],1610612761.0,TOR,putback,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
209,PT07M56.00S,2019-12-25T17:51:17.4Z,2,REGULAR,rebound,offensive,[],200768,,,1610612761,30,35,2019-12-25T17:51:17Z,2090000,,,0,,K. Lowry REBOUND (Off:1 Def:2),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,208.0,3.0,2.0,1.0,,,,,,,,,,,
210,PT07M43.00S,2019-12-25T17:51:31.0Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627832,7.046649145860711,52.51991421568627,1610612761,30,35,2019-12-25T17:51:37Z,2100000,-13.0,14.0,1,left,MISS F. VanVleet layup,[1627832],1610612761.0,TOR,drivingreverse,,,VanVleet,F. VanVleet,,,,,2.3,Missed,,,,,,,,,,,,,,,,,,,
211,PT07M41.00S,2019-12-25T17:51:33.0Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,30,35,2019-12-25T17:51:37Z,2110000,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,210.0,3.0,2.0,1.0,,,,,,,,,,,
212,PT07M39.00S,2019-12-25T17:51:40.8Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,30,35,2019-12-25T17:51:40Z,2120000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M39.00S,2019-12-25T17:51:46.7Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,30,35,2019-12-25T17:51:51Z,2130000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M39.00S,2019-12-25T17:51:46.7Z,2,REGULAR,substitution,in,[],202330,,,1610612738,30,35,2019-12-25T17:51:51Z,2140000,,,0,,substitution in Hayward,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M33.00S,2019-12-25T17:52:09.6Z,2,REGULAR,turnover,badpass,[],202954,,,1610612738,30,35,2019-12-25T17:52:15Z,2150000,,,0,,B. Wanamaker TURNOVER badpass (1 TOV) Stolen,"[202954, 1626178]",1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,1.0,Hollis-Jefferson,1626178.0,
216,PT07M33.00S,2019-12-25T17:52:09.6Z,2,REGULAR,steal,,[],1626178,,,1610612761,30,35,2019-12-25T17:52:11Z,2160000,,,0,,R. Hollis-Jefferson STEAL (2 STL),[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M28.00S,2019-12-25T17:52:14.1Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626178,6.915243101182654,45.41207107843137,1610612761,30,35,2019-12-25T17:52:22Z,2170000,23.0,13.0,1,left,MISS R. Hollis-Jefferson layup,[1626178],1610612761.0,TOR,runningfingerroll,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,2.91,Missed,,,,,,,,,,,,,,,,,,,
218,PT07M27.00S,2019-12-25T17:52:15.1Z,2,REGULAR,rebound,offensive,[],1628449,,,1610612761,30,35,2019-12-25T17:52:22Z,2180000,,,0,,C. Boucher REBOUND (Off:1 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,217.0,2.0,1.0,1.0,,,,,,,,,,,
219,PT07M27.00S,2019-12-25T17:52:19.5Z,2,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628449,5.0,50.0,1610612761,32,35,2019-12-25T17:52:19Z,2190000,0.0,-6.0,1,left,C. Boucher dunk (10 PTS),[1628449],1610612761.0,TOR,tip,,,Boucher,C. Boucher,,,,,0.0,Made,10.0,,,,,,,,,,,,,,,,,,
220,PT07M27.00S,2019-12-25T17:52:23.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,32,35,2019-12-25T17:52:23Z,2200000,,,0,,timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M27.00S,2019-12-25T17:54:55.9Z,2,REGULAR,substitution,out,[],1627759,,,1610612738,32,35,2019-12-25T17:55:17Z,2210000,,,0,,substitution out Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M27.00S,2019-12-25T17:54:55.9Z,2,REGULAR,substitution,out,[],1628400,,,1610612738,32,35,2019-12-25T17:55:17Z,2220000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M27.00S,2019-12-25T17:54:55.9Z,2,REGULAR,substitution,in,[],1629641,,,1610612738,32,35,2019-12-25T17:55:17Z,2230000,,,0,,substitution in Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M27.00S,2019-12-25T17:54:55.9Z,2,REGULAR,substitution,in,[],202689,,,1610612738,32,35,2019-12-25T17:55:17Z,2240000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M05.00S,2019-12-25T17:56:01.0Z,2,REGULAR,2pt,jumpshot,[],202689,87.72996057818659,72.12775735294117,1610612738,32,37,2019-12-25T17:56:06Z,2250000,111.0,63.0,1,right,K. Walker 13' jumpshot (10 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,13.0,Made,10.0,,,,,,,,,,,,,,,,,,
226,PT06M52.00S,2019-12-25T17:56:13.8Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627832,7.30946123521682,46.14736519607843,1610612761,34,37,2019-12-25T17:56:17Z,2260000,19.0,16.0,1,left,F. VanVleet layup (2 PTS),[1627832],1610612761.0,TOR,drivingfingerroll,,,VanVleet,F. VanVleet,,,,,2.9,Made,2.0,,,,,,,,,,,,,,,,,,
227,PT06M39.00S,2019-12-25T17:56:26.5Z,2,REGULAR,3pt,jumpshot,[],202330,69.59592641261499,20.902267156862745,1610612738,34,37,2019-12-25T17:56:31Z,2270000,-145.0,233.0,1,right,MISS G. Hayward 28' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,27.96,Missed,,,,,,,,,,,,,,,,,,,
228,PT06M36.00S,2019-12-25T17:56:29.5Z,2,REGULAR,rebound,offensive,[],1628464,,,1610612738,34,37,2019-12-25T17:56:31Z,2280000,,,0,,D. Theis REBOUND (Off:2 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,227.0,4.0,2.0,2.0,,,,,,,,,,,
229,PT06M34.00S,2019-12-25T17:56:31.4Z,2,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628464,92.06636005256242,49.82383578431372,1610612738,34,39,2019-12-25T17:56:36Z,2290000,-1.0,22.0,1,right,D. Theis layup (4 PTS),[1628464],1610612738.0,BOS,putback,,,Theis,D. Theis,,,,,2.76,Made,4.0,,,,,,,,,,,,,,,,,,
230,PT06M07.00S,2019-12-25T17:56:59.9Z,2,REGULAR,2pt,jumpshot,[],200768,9.280551905387648,16.980698529411764,1610612761,34,39,2019-12-25T17:57:28Z,2300000,165.0,35.0,1,left,MISS K. Lowry 17' jumpshot,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,16.99,Missed,,,,,,,,,,,,,,,,,,,
231,PT06M03.00S,2019-12-25T17:57:03.9Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,34,39,2019-12-25T17:57:06Z,2310000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,230.0,1.0,1.0,0.0,,,,,,,,,,,
232,PT05M52.00S,2019-12-25T17:57:13.8Z,2,REGULAR,3pt,jumpshot,[],1628464,66.96780551905388,36.58854166666667,1610612738,34,42,2019-12-25T17:57:18Z,2320000,-67.0,258.0,1,right,D. Theis 27' 3PT  (7 PTS) (G. Hayward 2 AST),"[1628464, 202330]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,27.19,Made,7.0,G. Hayward,202330.0,2.0,,,,,,,,,,,,,,,
234,PT05M37.00S,2019-12-25T17:57:28.2Z,2,REGULAR,3pt,jumpshot,[],1628449,27.94021024967148,16.00030637254902,1610612761,37,42,2019-12-25T17:57:32Z,2340000,170.0,210.0,1,left,C. Boucher 27' 3PT  (13 PTS) (M. Miller 1 AST),"[1628449, 1626259]",1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,27.46,Made,13.0,M. Miller,1626259.0,1.0,,,,,,,,,,,,,,,
236,PT05M21.00S,2019-12-25T17:57:44.5Z,2,REGULAR,3pt,jumpshot,[],202689,69.85873850197109,73.10814950980392,1610612738,37,45,2019-12-25T17:57:49Z,2360000,116.0,231.0,1,right,K. Walker 26' 3PT  (13 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.3,Made,13.0,,,,,,,,,,,,,,,,,,
237,PT05M08.00S,2019-12-25T17:57:57.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1627832,5.863994743758213,45.65716911764706,1610612761,39,45,2019-12-25T17:58:01Z,2370000,22.0,3.0,1,left,F. VanVleet layup (4 PTS),[1627832],1610612761.0,TOR,drivingfingerroll,,,VanVleet,F. VanVleet,,,,,2.32,Made,4.0,,,,,,,,,,,,,,,,,,
238,PT04M45.00S,2019-12-25T17:58:20.8Z,2,REGULAR,3pt,jumpshot,[],202954,78.66294349540078,90.26501225490196,1610612738,39,45,2019-12-25T17:58:25Z,2380000,201.0,148.0,1,right,MISS B. Wanamaker 25' 3PT,[202954],1610612738.0,BOS,pullup,,,Wanamaker,B. Wanamaker,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,,
239,PT04M43.00S,2019-12-25T17:58:22.8Z,2,REGULAR,rebound,offensive,[],1629641,,,1610612738,39,45,2019-12-25T17:58:25Z,2390000,,,0,,R. Langford REBOUND (Off:1 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,238.0,2.0,1.0,1.0,,,,,,,,,,,
240,PT04M41.00S,2019-12-25T17:58:25.7Z,2,REGULAR,2pt,hook,"['pointsinthepaint', '2ndchance']",1629641,90.88370565045992,41.98069852941176,1610612738,39,47,2019-12-25T17:58:30Z,2400000,-40.0,33.0,1,right,R. Langford 6' hook (2 PTS),[1629641],1610612738.0,BOS,turnaround,,,Langford,R. Langford,,,,,5.57,Made,2.0,,,,,,,,,,,,,,,,,,
241,PT04M25.00S,2019-12-25T17:58:40.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1626178,7.835085413929041,48.59834558823529,1610612761,39,47,2019-12-25T17:58:44Z,2410000,7.0,21.0,1,left,MISS R. Hollis-Jefferson layup,[1626178],1610612761.0,TOR,driving,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,2.75,Missed,,,,,,,,,,,,,,,,,,,
242,PT04M24.00S,2019-12-25T17:58:42.1Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,39,47,2019-12-25T17:58:42Z,2420000,,,0,,D. Theis REBOUND (Off:2 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,241.0,5.0,3.0,2.0,,,,,,,,,,,
243,PT04M14.00S,2019-12-25T17:58:51.8Z,2,REGULAR,turnover,badpass,[],202689,,,1610612738,39,47,2019-12-25T17:58:55Z,2430000,,,0,,K. Walker TURNOVER badpass (1 TOV) Stolen,"[202689, 200768]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,1.0,Lowry,200768.0,
244,PT04M14.00S,2019-12-25T17:58:51.8Z,2,REGULAR,steal,,[],200768,,,1610612761,39,47,2019-12-25T18:03:53Z,2440000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT04M13.00S,2019-12-25T17:58:56.0Z,2,REGULAR,foul,personal,[],202330,,,1610612761,39,47,2019-12-25T18:00:23Z,2450000,,,0,,G. Hayward FOUL personal (1 PF),"[202330, 1627832]",1610612738.0,BOS,take,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,VanVleet,1627832.0,,,,
247,PT04M13.00S,2019-12-25T17:59:20.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,39,47,2019-12-25T17:59:20Z,2470000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,out,[],1626178,,,1610612761,39,47,2019-12-25T18:02:11Z,2480000,,,0,,substitution out Hollis-Jefferson,[1626178],1610612761.0,TOR,,,,Hollis-Jefferson,R. Hollis-Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,out,[],200768,,,1610612761,39,47,2019-12-25T18:02:11Z,2490000,,,0,,substitution out Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,out,[],1626259,,,1610612761,39,47,2019-12-25T18:02:11Z,2500000,,,0,,substitution out Miller,[1626259],1610612761.0,TOR,,,,Miller,M. Miller,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,out,[],202954,,,1610612761,39,47,2019-12-25T18:02:11Z,2510000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,out,[],1628464,,,1610612761,39,47,2019-12-25T18:02:11Z,2520000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,out,[],1629641,,,1610612761,39,47,2019-12-25T18:02:11Z,2530000,,,0,,substitution out Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,in,[],1628384,,,1610612761,39,47,2019-12-25T18:02:11Z,2540000,,,0,,substitution in Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,in,[],1627775,,,1610612761,39,47,2019-12-25T18:02:11Z,2550000,,,0,,substitution in McCaw,[1627775],1610612761.0,TOR,,,,McCaw,P. McCaw,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,in,[],201586,,,1610612761,39,47,2019-12-25T18:02:11Z,2560000,,,0,,substitution in Ibaka,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,in,[],202683,,,1610612761,39,47,2019-12-25T18:02:11Z,2570000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,in,[],1628369,,,1610612761,39,47,2019-12-25T18:02:11Z,2580000,,,0,,substitution in Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M13.00S,2019-12-25T18:01:33.7Z,2,REGULAR,substitution,in,[],1627759,,,1610612761,39,47,2019-12-25T18:02:11Z,2590000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M04.00S,2019-12-25T18:02:50.1Z,2,REGULAR,3pt,jumpshot,['fromturnover'],1628384,26.10052562417871,14.284620098039216,1610612761,39,47,2019-12-25T18:02:53Z,2600000,179.0,193.0,1,left,MISS O. Anunoby 27' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,,
261,PT04M02.00S,2019-12-25T18:02:52.1Z,2,REGULAR,rebound,defensive,[],202330,,,1610612738,39,47,2019-12-25T18:02:53Z,2610000,,,0,,G. Hayward REBOUND (Off:0 Def:3),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,260.0,3.0,3.0,0.0,,,,,,,,,,,
262,PT03M56.00S,2019-12-25T18:03:00.7Z,2,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612738,39,47,2019-12-25T18:03:08Z,2620000,,,0,,C. Boucher FOUL personal (1 PF) (Brown 2freethrow),"[1628449, 1627759]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Brown,1627759.0,,,,
264,PT03M56.00S,2019-12-25T18:03:25.7Z,2,REGULAR,freethrow,1of2,[],1627759,,,1610612738,39,48,2019-12-25T18:03:25Z,2640000,,,0,,J. Brown freethrow 1of2 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
265,PT03M56.00S,2019-12-25T18:03:41.0Z,2,REGULAR,freethrow,2of2,[],1627759,,,1610612738,39,49,2019-12-25T18:03:41Z,2650000,,,0,,J. Brown freethrow 2of2 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
266,PT03M44.00S,2019-12-25T18:03:55.1Z,2,REGULAR,2pt,jumpshot,[],1627832,20.844283837056505,49.333639705882355,1610612761,41,49,2019-12-25T18:04:01Z,2660000,3.0,143.0,1,left,F. VanVleet 15' jumpshot (6 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,14.89,Made,6.0,,,,,,,,,,,,,,,,,,
