actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,blockPlayerName,blockPersonId,blockTotal,value
498,PT06M51.00S,2020-03-05T01:56:07.5Z,4,REGULAR,2pt,dunk,['pointsinthepaint'],1627790,94.43166885676742,47.86305147058824,1610612739,89,88,2020-03-05T01:56:12Z,4970000,right,[CLE] Zizic dunk: Missed Block: Ojeleye (1 BLK),"[1627790, 1628400]",1610612739.0,CLE,,,,Zizic,A. Zizic,,,,,1.19,: Missed,,,,,,,,,,,,,,,,,,,,Ojeleye,1628400.0,1.0,
500,PT06M48.00S,2020-03-05T01:56:10.5Z,4,REGULAR,rebound,offensive,[],1627790,,,1610612739,89,88,2020-03-05T01:56:12Z,4990000,,[CLE] Zizic offensive rebound (Off:3 Def:1),[1627790],1610612739.0,CLE,,,,Zizic,A. Zizic,,,,,,,498.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
501,PT06M41.00S,2020-03-05T01:56:17.6Z,4,REGULAR,2pt,jumpshot,['2ndchance'],1626204,79.05716162943496,48.10814950980392,1610612739,89,88,2020-03-05T01:56:23Z,5000000,right,[CLE] Nance Jr. jumpshot: Missed,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,15.02,: Missed,,,,,,,,,,,,,,,,,,,,,,,
502,PT06M38.00S,2020-03-05T01:56:20.6Z,4,REGULAR,rebound,defensive,[],202683,,,1610612738,89,88,2020-03-05T01:56:23Z,5010000,,[BOS] Kanter defensive rebound (Off:5 Def:6),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,501.0,11.0,6.0,5.0,,,,,,,,,,,,,,,,,,,
503,PT06M32.00S,2020-03-05T01:56:33.3Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,89,88,2020-03-05T01:56:33Z,5020000,,[BOS] timeout full,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,PT06M32.00S,2020-03-05T01:57:18.5Z,4,REGULAR,memo,,[],0,,,1610612738,89,88,2020-03-05T01:57:18Z,5030000,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collin Sexton sets carer high in pts. scored.
505,PT06M32.00S,2020-03-05T01:58:55.2Z,4,REGULAR,substitution,out,[],1627790,,,1610612738,89,88,2020-03-05T01:59:11Z,5040000,,[CLE] substitution Zizic replaced by Love,"[1627790, 201567]",1610612739.0,CLE,,,,Zizic,A. Zizic,,,,,,,,,,,,,,,,,,,,Love,201567.0,,,,,,,,
506,PT06M32.00S,2020-03-05T01:58:55.2Z,4,REGULAR,substitution,out,[],202683,,,1610612738,89,88,2020-03-05T01:59:11Z,5050000,,[BOS] substitution Kanter replaced by Wanamaker,"[202683, 202954]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,Wanamaker,202954.0,,,,,,,,
507,PT06M32.00S,2020-03-05T01:58:55.2Z,4,REGULAR,substitution,out,[],1629682,,,1610612738,89,88,2020-03-05T01:59:11Z,5060000,,[BOS] substitution Waters replaced by Smart,"[1629682, 203935]",1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,Smart,203935.0,,,,,,,,
508,PT06M32.00S,2020-03-05T01:58:55.2Z,4,REGULAR,substitution,out,[],1629750,,,1610612738,89,88,2020-03-05T01:59:11Z,5070000,,[BOS] substitution Green replaced by Theis,"[1629750, 1628464]",1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,Theis,1628464.0,,,,,,,,
