actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
47,PT08M16.00S,2019-12-19T02:46:38.7Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,6,3,2019-12-19T02:46:41Z,470000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT08M12.00S,2019-12-19T02:46:44.8Z,1,REGULAR,foul,personal,['2freethrow'],1628467,,,1610612738,6,3,2019-12-19T02:46:59Z,480000,,,0,,M. Kleber FOUL personal (1 PF) (Walker 2freethrow),"[1628467, 202689]",1610612742.0,DAL,shooting,,,Kleber,M. Kleber,,,,,,,,,,,1146.0,,,,,,,,1.0,0.0,Walker,202689.0,,,
50,PT08M12.00S,2019-12-19T02:47:10.1Z,1,REGULAR,freethrow,1of2,['fastbreak'],202689,,,1610612738,6,4,2019-12-19T02:47:10Z,500000,,,0,,K. Walker freethrow 1of2 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
51,PT08M12.00S,2019-12-19T02:47:11.9Z,1,REGULAR,substitution,out,[],1628400,,,1610612738,6,4,2019-12-19T02:47:17Z,510000,,,0,,substitution out Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M12.00S,2019-12-19T02:47:11.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,6,4,2019-12-19T02:47:17Z,520000,,,0,,substitution in Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M12.00S,2019-12-19T02:47:33.8Z,1,REGULAR,freethrow,2of2,['fastbreak'],202689,,,1610612738,6,5,2019-12-19T02:47:33Z,530000,,,0,,K. Walker freethrow 2of2 (2 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
54,PT08M08.00S,2019-12-19T02:47:44.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612742,6,5,2019-12-19T02:48:04Z,540000,,,0,,J. Tatum FOUL personal (1 PF),"[1628369, 203501]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1146.0,,,,,,,,1.0,0.0,Hardaway Jr.,203501.0,,,
56,PT07M57.00S,2019-12-19T02:48:14.1Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627827,12.697109067017081,40.510110294117645,1610612742,6,5,2019-12-19T02:48:22Z,560000,47.0,67.0,1,left,MISS D. Finney-Smith 9' jumpshot,[1627827],1610612742.0,DAL,drivingfloating,,,Finney-Smith,D. Finney-Smith,,,,,8.65,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M57.00S,2019-12-19T02:48:14.1Z,1,REGULAR,rebound,offensive,[],204001,,,1610612742,6,5,2019-12-19T02:48:22Z,570000,,,0,,K. Porzingis REBOUND (Off:1 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
58,PT07M57.00S,2019-12-19T02:48:18.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612742,6,5,2019-12-19T02:48:25Z,580000,,,0,,G. Williams FOUL personal (1 PF) (Porzingis inpenalty),"[1629684, 204001]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,202026.0,,,,,,,,1.0,0.0,Porzingis,204001.0,,,
60,PT07M57.00S,2019-12-19T02:48:42.2Z,1,REGULAR,freethrow,1of2,['2ndchance'],204001,,,1610612742,7,5,2019-12-19T02:48:42Z,600000,,,0,,K. Porzingis freethrow 1of2 (1 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
61,PT07M57.00S,2019-12-19T02:48:57.0Z,1,REGULAR,freethrow,2of2,['2ndchance'],204001,,,1610612742,8,5,2019-12-19T02:48:57Z,610000,,,0,,K. Porzingis freethrow 2of2 (2 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
62,PT07M44.00S,2019-12-19T02:49:13.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,92.72339027595268,53.74540441176471,1610612738,8,5,2019-12-19T02:49:28Z,620000,19.0,16.0,1,right,MISS K. Walker layup Blocked,"[202689, 1627827]",1610612738.0,BOS,drivingreverse,,,Walker,K. Walker,,,,,2.84,Missed,,,,,,,,,,,,,,,,,Finney-Smith,1627827.0,
63,PT07M44.00S,2019-12-19T02:49:13.0Z,1,REGULAR,block,,[],1627827,,,1610612738,8,5,2019-12-19T02:49:15Z,630000,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
