actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
50,PT06M35.00S,2020-01-09T00:19:14.1Z,1,REGULAR,substitution,in,[],203935,,,1610612759,3,16,2020-01-09T00:19:25Z,500000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M20.00S,2020-01-09T00:19:39.1Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",200746,83.13074901445466,36.58854166666667,1610612759,3,16,2020-01-09T00:19:50Z,510000,-67.0,106.0,1,right,MISS L. Aldridge 13' jumpshot,[200746],1610612759.0,SAS,turnaroundfadeaway,,,Aldridge,L. Aldridge,,,,,13.02,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M19.00S,2020-01-09T00:19:40.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,16,2020-01-09T00:19:50Z,520000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,51.0,3.0,3.0,0.0,,,,,,,,,,,,,,
53,PT06M08.00S,2020-01-09T00:19:52.2Z,1,REGULAR,3pt,jumpshot,[],203935,4.28712220762155,95.41207107843137,1610612738,3,16,2020-01-09T00:19:57Z,530000,-227.0,-12.0,1,left,MISS M. Smart 23' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.72,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M06.00S,2020-01-09T00:19:54.2Z,1,REGULAR,rebound,defensive,[],200746,,,1610612759,3,16,2020-01-09T00:19:57Z,540000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612759.0,SAS,,,,Aldridge,L. Aldridge,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT05M58.00S,2020-01-09T00:20:02.1Z,1,REGULAR,2pt,jumpshot,['fastbreak'],1627749,92.77266754270697,33.27205882352941,1610612759,3,18,2020-01-09T00:20:22Z,550000,-84.0,15.0,1,right,D. Murray 9' jumpshot (4 PTS),[1627749],1610612759.0,SAS,fadeaway,,,Murray,D. Murray,,,,,8.62,Made,4.0,,,,,,,,,,,,,,,,,,
56,PT05M44.00S,2020-01-09T00:20:16.2Z,1,REGULAR,2pt,jumpshot,[],202330,23.603810775295663,69.43167892156863,1610612738,3,18,2020-01-09T00:20:32Z,560000,-97.0,169.0,1,left,MISS G. Hayward 20' jumpshot,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,20.01,Missed,,,,,,,,,,,,,,,,,,,
57,PT05M43.00S,2020-01-09T00:20:17.2Z,1,REGULAR,rebound,defensive,[],200746,,,1610612759,3,18,2020-01-09T00:20:32Z,570000,,,0,,L. Aldridge REBOUND (Off:0 Def:2),[200746],1610612759.0,SAS,,,,Aldridge,L. Aldridge,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT05M26.00S,2020-01-09T00:20:33.8Z,1,REGULAR,3pt,jumpshot,[],200746,94.95729303547962,5.215992647058823,1610612759,3,18,2020-01-09T00:20:41Z,580000,-224.0,-5.0,1,right,MISS L. Aldridge 22' 3PT,[200746],1610612759.0,SAS,,,,Aldridge,L. Aldridge,,,,,22.39,Missed,,,,,,,,,,,,,,,,,,,
59,PT05M25.00S,2020-01-09T00:20:34.8Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612759,3,18,2020-01-09T00:20:41Z,590000,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,,
60,PT05M21.00S,2020-01-09T00:20:38.5Z,1,REGULAR,2pt,jumpshot,['2ndchance'],1627749,79.97700394218134,66.98069852941177,1610612759,3,20,2020-01-09T00:22:46Z,600000,85.0,136.0,1,right,D. Murray 16' jumpshot (6 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,16.48,Made,6.0,,,,,,,,,,,,,,,,,,
61,PT05M05.00S,2020-01-09T00:20:54.7Z,1,REGULAR,turnover,lostball,[],203935,,,1610612738,3,20,2020-01-09T00:21:04Z,610000,,,0,,M. Smart TURNOVER lostball (1 TOV) Stolen,"[203935, 1627854]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,1.0,Forbes,1627854.0,,,,,,,,
62,PT05M05.00S,2020-01-09T00:20:54.7Z,1,REGULAR,steal,,[],1627854,,,1610612759,3,20,2020-01-09T00:20:57Z,620000,,,0,,B. Forbes STEAL (2 STL),[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,
