actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
179,PT00M09.20S,2020-09-03T23:22:34.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,30,28,2020-09-03T23:22:34Z,1790000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,178.0,2.0,2.0,0.0,,,,,,,,,
180,PT00M06.00S,2020-09-03T23:22:39.7Z,1,REGULAR,foul,offensive,['inpenalty'],1627832,,,1610612761,30,28,2020-09-03T23:22:46Z,1800000,,,0,,F. VanVleet FOUL offensive (2 PF) (Walker inpenalty),"[1627832, 202689]",1610612761.0,TOR,charge,,,VanVleet,F. VanVleet,,,,,,,,1148.0,2.0,0.0,Walker,202689.0,,,,,,,,,,,,,
182,PT00M06.00S,2020-09-03T23:22:39.7Z,1,REGULAR,turnover,offensivefoul,[],1627832,,,1610612761,30,28,2020-09-03T23:22:39Z,1820000,,,0,,F. VanVleet TURNOVER offensivefoul (1 TOV),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,1148.0,,,,,,,,,,,,,,1.0,,,
183,PT00M06.00S,2020-09-03T23:22:52.8Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,30,28,2020-09-03T23:23:05Z,1830000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT00M06.00S,2020-09-03T23:22:52.8Z,1,REGULAR,substitution,in,[],1627759,,,1610612738,30,28,2020-09-03T23:23:05Z,1840000,,,0,,substitution in Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT00M00.70S,2020-09-03T23:23:09.8Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202689,67.7562417871222,61.588541666666664,1610612738,33,28,2020-09-03T23:23:16Z,1850000,58.0,251.0,1,right,K. Walker 26' 3PT  (17 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.26,Made,17.0,,,,,,,,,,,,,,,,,,
187,PT00M00.00S,2020-09-03T23:23:11.8Z,1,REGULAR,instantreplay,request,[],0,,,1610612761,33,28,2020-09-03T23:24:35Z,1855000,,,0,,,[],,,support,,,,,,,,,,,,1148.0,,,,,,,,,,,,,,,,,End Period - Good Basket
186,PT00M00.00S,2020-09-03T23:23:13.9Z,1,REGULAR,period,end,[],0,,,1610612761,33,28,2020-09-03T23:23:13Z,1860000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2020-09-03T23:26:08.8Z,2,REGULAR,substitution,out,['startperiod'],202689,,,1610612761,33,28,2020-09-03T23:26:49Z,1870000,,,0,,substitution out Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2020-09-03T23:26:08.8Z,2,REGULAR,substitution,out,['startperiod'],1627832,,,1610612761,33,28,2020-09-03T23:26:49Z,1880000,,,0,,substitution out VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2020-09-03T23:26:08.8Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612761,33,28,2020-09-03T23:26:49Z,1890000,,,0,,substitution in Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2020-09-03T23:26:08.8Z,2,REGULAR,substitution,in,['startperiod'],1629744,,,1610612761,33,28,2020-09-03T23:26:49Z,1900000,,,0,,substitution in Thomas,[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT12M00.00S,2020-09-03T23:26:52.7Z,2,REGULAR,period,start,[],0,,,1610612738,33,28,2020-09-03T23:26:52Z,1910000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT11M43.00S,2020-09-03T23:27:09.1Z,2,REGULAR,3pt,jumpshot,[],202954,68.15045992115637,59.13756127450981,1610612738,33,28,2020-09-03T23:27:13Z,1920000,46.0,247.0,1,right,MISS B. Wanamaker 26' 3PT,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
194,PT11M39.00S,2020-09-03T23:27:13.1Z,2,REGULAR,rebound,defensive,[],1628384,,,1610612761,33,28,2020-09-03T23:27:13Z,1930000,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,193.0,2.0,2.0,0.0,,,,,,,,,
195,PT11M25.00S,2020-09-03T23:27:26.2Z,2,REGULAR,3pt,jumpshot,[],200768,15.062417871222076,3.2552083333333335,1610612761,33,28,2020-09-03T23:27:29Z,1940000,234.0,89.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
196,PT11M23.00S,2020-09-03T23:27:28.2Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,33,28,2020-09-03T23:27:29Z,1950000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,195.0,4.0,3.0,1.0,,,,,,,,,
197,PT11M14.00S,2020-09-03T23:27:38.4Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.03745072273325,51.049325980392155,1610612738,35,28,2020-09-03T23:27:41Z,1960000,5.0,4.0,1,right,J. Tatum layup (5 PTS),[1628369],1610612738.0,BOS,fingerroll,,,Tatum,J. Tatum,,,,,1.04,Made,5.0,,,,,,,,,,,,,,,,,,
198,PT10M51.00S,2020-09-03T23:28:00.1Z,2,REGULAR,3pt,jumpshot,[],1628384,21.632720105124836,92.9610906862745,1610612761,35,31,2020-09-03T23:28:03Z,1970000,-215.0,151.0,1,left,O. Anunoby 27' 3PT  (7 PTS) (K. Lowry 3 AST),"[1628384, 200768]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,26.56,Made,7.0,,,,,,,,,,K. Lowry,200768.0,3.0,,,,,,
200,PT10M29.00S,2020-09-03T23:28:27.3Z,2,REGULAR,turnover,3secviolation,[],1629057,,,1610612738,35,31,2020-09-03T23:28:34Z,1990000,,,0,,R. Williams III TURNOVER 3secviolation (1 TOV),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,1179.0,,,,,,,,,,,,,,1.0,,,
201,PT10M20.00S,2020-09-03T23:28:47.6Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628384,5.863994743758213,46.14736519607843,1610612761,35,31,2020-09-03T23:28:50Z,2000000,19.0,3.0,1,left,MISS O. Anunoby layup Blocked,"[1628384, 1629684]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,2.09,Missed,,,,,,,,,,,,,,Williams,1629684.0,,,,
202,PT10M20.00S,2020-09-03T23:28:47.6Z,2,REGULAR,block,,[],1629684,,,1610612761,35,31,2020-09-03T23:28:49Z,2010000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT10M18.00S,2020-09-03T23:28:49.6Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,35,31,2020-09-03T23:28:50Z,2020000,,,0,,J. Brown REBOUND (Off:0 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,201.0,6.0,6.0,0.0,,,,,,,,,
204,PT10M05.00S,2020-09-03T23:29:03.5Z,2,REGULAR,2pt,jumpshot,[],1627759,88.51839684625493,89.5297181372549,1610612738,35,31,2020-09-03T23:37:33Z,2030000,198.0,55.0,1,right,MISS J. Brown 21' jumpshot,[1627759],1610612738.0,BOS,stepback,,,Brown,J. Brown,,,,,20.68,Missed,,,,,,,,,,,,,,,,,,,
205,PT10M02.00S,2020-09-03T23:29:06.5Z,2,REGULAR,rebound,defensive,[],201586,,,1610612761,35,31,2020-09-03T23:29:09Z,2040000,,,0,,S. Ibaka REBOUND (Off:0 Def:2),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,204.0,2.0,2.0,0.0,,,,,,,,,
206,PT09M56.00S,2020-09-03T23:29:12.5Z,2,REGULAR,3pt,jumpshot,[],1629744,17.821944809461236,94.921875,1610612761,35,31,2020-09-03T23:29:17Z,2050000,-225.0,115.0,1,left,MISS M. Thomas 25' 3PT,[1629744],1610612761.0,TOR,stepback,,,Thomas,M. Thomas,,,,,25.49,Missed,,,,,,,,,,,,,,,,,,,
207,PT09M53.00S,2020-09-03T23:29:15.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,35,31,2020-09-03T23:29:17Z,2060000,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,206.0,6.0,5.0,1.0,,,,,,,,,
208,PT09M42.00S,2020-09-03T23:29:25.5Z,2,REGULAR,2pt,layup,['pointsinthepaint'],1628369,94.43166885676742,50.55912990196079,1610612738,35,31,2020-09-03T23:29:29Z,2070000,3.0,0.0,1,right,MISS J. Tatum layup,[1628369],1610612738.0,BOS,drivingfingerroll,,,Tatum,J. Tatum,,,,,0.6,Missed,,,,,,,,,,,,,,,,,,,
209,PT09M41.00S,2020-09-03T23:29:26.5Z,2,REGULAR,rebound,defensive,[],1629744,,,1610612761,35,31,2020-09-03T23:29:29Z,2080000,,,0,,M. Thomas REBOUND (Off:0 Def:1),[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,208.0,1.0,1.0,0.0,,,,,,,,,
210,PT09M33.00S,2020-09-03T23:29:34.9Z,2,REGULAR,3pt,jumpshot,[],201586,34.90473061760841,39.77481617647059,1610612761,35,31,2020-09-03T23:29:39Z,2090000,51.0,276.0,1,left,MISS S. Ibaka 29' 3PT,[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,28.57,Missed,,,,,,,,,,,,,,,,,,,
211,PT09M30.00S,2020-09-03T23:29:37.9Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,35,31,2020-09-03T23:29:39Z,2100000,,,0,,J. Brown REBOUND (Off:0 Def:7),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,210.0,7.0,7.0,0.0,,,,,,,,,
212,PT09M16.00S,2020-09-03T23:29:52.2Z,2,REGULAR,turnover,badpass,[],1627759,,,1610612738,35,31,2020-09-03T23:29:55Z,2110000,,,0,,J. Brown TURNOVER badpass (3 TOV) Stolen,"[1627759, 1628384]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,3.0,Anunoby,1628384.0,
213,PT09M16.00S,2020-09-03T23:29:52.2Z,2,REGULAR,steal,,[],1628384,,,1610612761,35,31,2020-09-03T23:29:53Z,2120000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT09M14.00S,2020-09-03T23:29:57.1Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612761,35,31,2020-09-03T23:30:10Z,2130000,,,0,,G. Williams FOUL personal (1 PF) (Siakam 2freethrow),"[1629684, 1627783]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,201639.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,,,,
216,PT09M14.00S,2020-09-03T23:30:29.8Z,2,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1627783,,,1610612761,35,32,2020-09-03T23:30:29Z,2150000,,,0,,P. Siakam freethrow 1of2 (1 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
217,PT09M14.00S,2020-09-03T23:30:30.6Z,2,REGULAR,substitution,out,[],202954,,,1610612761,35,32,2020-09-03T23:30:46Z,2160000,,,0,,substitution out Wanamaker,[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT09M14.00S,2020-09-03T23:30:30.6Z,2,REGULAR,substitution,out,[],1628384,,,1610612761,35,32,2020-09-03T23:30:46Z,2170000,,,0,,substitution out Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT09M14.00S,2020-09-03T23:30:30.6Z,2,REGULAR,substitution,in,[],203935,,,1610612761,35,32,2020-09-03T23:30:46Z,2180000,,,0,,substitution in Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT09M14.00S,2020-09-03T23:30:30.6Z,2,REGULAR,substitution,in,[],1627832,,,1610612761,35,32,2020-09-03T23:30:46Z,2190000,,,0,,substitution in VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT09M14.00S,2020-09-03T23:30:52.6Z,2,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1627783,,,1610612761,35,33,2020-09-03T23:30:52Z,2200000,,,0,,P. Siakam freethrow 2of2 (2 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
222,PT08M51.00S,2020-09-03T23:31:18.2Z,2,REGULAR,3pt,jumpshot,[],1628369,72.48685939553219,16.490502450980394,1610612738,38,33,2020-09-03T23:31:23Z,2210000,-168.0,206.0,1,right,J. Tatum 27' 3PT  (8 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.99,Made,8.0,,,,,,,,,,J. Brown,1627759.0,1.0,,,,,,
224,PT08M40.00S,2020-09-03T23:31:32.0Z,2,REGULAR,turnover,traveling,[],200768,,,1610612761,38,33,2020-09-03T23:31:37Z,2230000,,,0,,K. Lowry TURNOVER traveling (1 TOV),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,1179.0,,,,,,,,,,,,,,1.0,,,
225,PT08M22.00S,2020-09-03T23:32:07.1Z,2,REGULAR,3pt,jumpshot,['fromturnover'],203935,94.30026281208936,2.2748161764705883,1610612738,38,33,2020-09-03T23:32:11Z,2240000,-239.0,1.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.87,Missed,,,,,,,,,,,,,,,,,,,
226,PT08M19.00S,2020-09-03T23:32:10.1Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,38,33,2020-09-03T23:32:11Z,2250000,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,225.0,5.0,3.0,2.0,,,,,,,,,
227,PT08M19.00S,2020-09-03T23:32:11.0Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629057,92.59198423127464,51.049325980392155,1610612738,38,33,2020-09-03T23:32:57Z,2260000,5.0,17.0,1,right,MISS R. Williams III layup Blocked,"[1629057, 201586]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.32,Missed,,,,,,,,,,,,,,Ibaka,201586.0,,,,
228,PT08M19.00S,2020-09-03T23:32:11.0Z,2,REGULAR,block,,[],201586,,,1610612738,38,33,2020-09-03T23:32:12Z,2270000,,,0,,S. Ibaka BLOCK (1 BLK),[201586],1610612761.0,TOR,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M19.00S,2020-09-03T23:32:11.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612761,38,33,2020-09-03T23:32:16Z,2280000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,227.0,,,,,,,,,,,,
230,PT08M19.00S,2020-09-03T23:32:17.5Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612761,38,33,2020-09-03T23:32:17Z,2290000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M11.00S,2020-09-03T23:32:28.9Z,2,REGULAR,2pt,layup,['pointsinthepaint'],200768,7.703679369250986,50.314031862745104,1610612761,38,35,2020-09-03T23:32:32Z,2300000,-2.0,20.0,1,left,K. Lowry layup (13 PTS),[200768],1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,2.55,Made,13.0,,,,,,,,,,,,,,,,,,
232,PT07M49.00S,2020-09-03T23:32:49.6Z,2,REGULAR,3pt,jumpshot,[],1627759,91.14651773981603,96.14736519607843,1610612738,38,35,2020-09-03T23:32:53Z,2310000,231.0,31.0,1,right,MISS J. Brown 23' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,,
233,PT07M46.00S,2020-09-03T23:32:52.6Z,2,REGULAR,rebound,defensive,[],1627783,,,1610612761,38,35,2020-09-03T23:32:53Z,2320000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,232.0,3.0,3.0,0.0,,,,,,,,,
234,PT07M44.00S,2020-09-03T23:32:59.0Z,2,REGULAR,foul,offensive,[],1627783,,,1610612761,38,35,2020-09-03T23:33:07Z,2330000,,,0,,P. Siakam FOUL offensive (3 PF),"[1627783, 1629684]",1610612761.0,TOR,charge,,,Siakam,P. Siakam,,,,,,,,1179.0,3.0,0.0,Williams,1629684.0,,,,,,,,,,,,,
236,PT07M44.00S,2020-09-03T23:32:59.0Z,2,REGULAR,turnover,offensivefoul,[],1627783,,,1610612761,38,35,2020-09-03T23:32:59Z,2350000,,,0,,P. Siakam TURNOVER offensivefoul (1 TOV),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,1179.0,,,,,,,,,,,,,,1.0,,,
237,PT07M44.00S,2020-09-03T23:33:22.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,38,35,2020-09-03T23:33:22Z,2360000,,,0,,timeout full,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT07M44.00S,2020-09-03T23:33:30.4Z,2,REGULAR,instantreplay,challenge,[],0,,,1610612738,38,35,2020-09-03T23:34:40Z,2370000,,,0,,,[],1610612761.0,TOR,support,,,,,,,,,,,,1148.0,,,,,,,,,,,,,,,,,
239,PT07M44.00S,2020-09-03T23:35:03.5Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,38,35,2020-09-03T23:36:47Z,2380000,,,0,,substitution out Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT07M44.00S,2020-09-03T23:35:03.5Z,2,REGULAR,substitution,in,[],1628464,,,1610612738,38,35,2020-09-03T23:36:47Z,2390000,,,0,,substitution in Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT07M24.00S,2020-09-03T23:37:20.3Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",203935,81.2910643889619,61.34344362745098,1610612738,38,35,2020-09-03T23:37:25Z,2400000,57.0,123.0,1,right,MISS M. Smart 14' jumpshot,[203935],1610612738.0,BOS,stepback,,,Smart,M. Smart,,,,,14.08,Missed,,,,,,,,,,,,,,,,,,,
242,PT07M21.00S,2020-09-03T23:37:23.3Z,2,REGULAR,rebound,defensive,[],200768,,,1610612761,38,35,2020-09-03T23:37:25Z,2410000,,,0,,K. Lowry REBOUND (Off:0 Def:3),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,241.0,3.0,3.0,0.0,,,,,,,,,
243,PT07M17.00S,2020-09-03T23:37:27.8Z,2,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",200768,7.178055190538765,48.84344362745098,1610612761,38,37,2020-09-03T23:37:41Z,2420000,6.0,15.0,1,left,K. Lowry layup (15 PTS),[200768],1610612761.0,TOR,running,,,Lowry,K. Lowry,,,,,2.13,Made,15.0,,,,,,,,,,,,,,,,,,
244,PT07M10.00S,2020-09-03T23:37:36.0Z,2,REGULAR,stoppage,outofbounds,[],0,,,1610612738,38,37,2020-09-03T23:37:36Z,2430000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M59.00S,2020-09-03T23:38:05.5Z,2,REGULAR,2pt,jumpshot,[],1628369,93.11760840998686,76.78462009803921,1610612738,38,37,2020-09-03T23:38:09Z,2440000,134.0,12.0,1,right,MISS J. Tatum 14' jumpshot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,13.51,Missed,,,,,,,,,,,,,,,,,,,
246,PT06M57.00S,2020-09-03T23:38:07.5Z,2,REGULAR,rebound,defensive,[],1629744,,,1610612761,38,37,2020-09-03T23:38:09Z,2450000,,,0,,M. Thomas REBOUND (Off:0 Def:2),[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,245.0,2.0,2.0,0.0,,,,,,,,,
247,PT06M51.00S,2020-09-03T23:38:14.3Z,2,REGULAR,3pt,jumpshot,['fastbreak'],200768,26.363337713534822,16.00030637254902,1610612761,38,37,2020-09-03T23:39:02Z,2460000,170.0,195.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,,
248,PT06M49.00S,2020-09-03T23:38:16.3Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,38,37,2020-09-03T23:38:21Z,2470000,,,0,,J. Brown REBOUND (Off:0 Def:8),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,247.0,8.0,8.0,0.0,,,,,,,,,
249,PT06M42.00S,2020-09-03T23:38:25.4Z,2,REGULAR,turnover,outofbounds,[],1629684,,,1610612738,38,37,2020-09-03T23:38:30Z,2480000,,,0,,G. Williams TURNOVER outofbounds (1 TOV),[1629684],1610612738.0,BOS,step,,,Williams,G. Williams,,,,,,,,1148.0,,,,,,,,,,,,,,1.0,,,
250,PT06M42.00S,2020-09-03T23:38:28.9Z,2,REGULAR,substitution,out,[],1627783,,,1610612761,38,37,2020-09-03T23:38:51Z,2490000,,,0,,substitution out Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M42.00S,2020-09-03T23:38:28.9Z,2,REGULAR,substitution,in,[],1628384,,,1610612761,38,37,2020-09-03T23:38:51Z,2500000,,,0,,substitution in Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M28.00S,2020-09-03T23:39:08.0Z,2,REGULAR,turnover,badpass,[],200768,,,1610612761,38,37,2020-09-03T23:39:12Z,2510000,,,0,,K. Lowry TURNOVER badpass (2 TOV) Stolen,"[200768, 203935]",1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,2.0,Smart,203935.0,
253,PT06M28.00S,2020-09-03T23:39:08.0Z,2,REGULAR,steal,,[],203935,,,1610612738,38,37,2020-09-03T23:39:09Z,2520000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT06M18.00S,2020-09-03T23:39:17.9Z,2,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover']",1628464,93.77463863337714,50.80422794117647,1610612738,40,37,2020-09-03T23:39:20Z,2530000,4.0,6.0,1,right,D. Theis dunk (5 PTS) (J. Tatum 2 AST),"[1628464, 1628369]",1610612738.0,BOS,alleyoop,,,Theis,D. Theis,,,,,1.22,Made,5.0,,,,,,,,,,J. Tatum,1628369.0,2.0,,,,,,
256,PT06M17.00S,2020-09-03T23:39:25.4Z,2,REGULAR,violation,delayofgame,['team'],0,,,1610612761,40,37,2020-09-03T23:39:28Z,2550000,,,0,,Team violation delayofgame,[],1610612738.0,BOS,,,,,,,,,,,,,1179.0,,,,,,,,,,,,,,,,,
257,PT06M03.00S,2020-09-03T23:39:49.5Z,2,REGULAR,turnover,outofbounds,[],201586,,,1610612761,40,37,2020-09-03T23:39:55Z,2560000,,,0,,S. Ibaka TURNOVER outofbounds (1 TOV),[201586],1610612761.0,TOR,badpass,,,Ibaka,S. Ibaka,,,,,,,,1148.0,,,,,,,,,,,,,,1.0,,,
258,PT06M03.00S,2020-09-03T23:39:57.3Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,40,37,2020-09-03T23:40:06Z,2570000,,,0,,substitution out Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT06M03.00S,2020-09-03T23:39:57.3Z,2,REGULAR,substitution,out,[],1629744,,,1610612738,40,37,2020-09-03T23:40:06Z,2580000,,,0,,substitution out Thomas,[1629744],1610612761.0,TOR,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M03.00S,2020-09-03T23:39:57.3Z,2,REGULAR,substitution,in,[],202689,,,1610612738,40,37,2020-09-03T23:40:06Z,2590000,,,0,,substitution in Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT06M03.00S,2020-09-03T23:39:57.3Z,2,REGULAR,substitution,in,[],1626181,,,1610612738,40,37,2020-09-03T23:40:06Z,2600000,,,0,,substitution in Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT05M46.00S,2020-09-03T23:40:23.6Z,2,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",203935,84.44480946123521,60.11795343137255,1610612738,40,37,2020-09-03T23:40:30Z,2610000,51.0,94.0,1,right,MISS M. Smart 11' jumpshot Blocked,"[203935, 1628384]",1610612738.0,BOS,floating,,,Smart,M. Smart,,,,,11.14,Missed,,,,,,,,,,,,,,Anunoby,1628384.0,,,,
263,PT05M46.00S,2020-09-03T23:40:23.6Z,2,REGULAR,block,,[],1628384,,,1610612738,40,37,2020-09-03T23:40:26Z,2620000,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
