actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
54,PT07M36.00S,2020-09-07T22:52:00.2Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,3,9,2020-09-07T22:52:06Z,540000,,,0,,J. Tatum FOUL offensive (1 PF),"[1628369, 201188]",1610612738.0,BOS,charge,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2715.0,,1.0,0.0,Gasol,201188.0,,,,,
56,PT07M36.00S,2020-09-07T22:52:00.2Z,1,REGULAR,turnover,offensivefoul,[],1628369,,,1610612738,3,9,2020-09-07T22:52:00Z,560000,,,0,,J. Tatum TURNOVER offensivefoul (1 TOV),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,2715.0,1.0,,,,,,,,,
57,PT07M28.00S,2020-09-07T22:52:24.6Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1627832,34.37910643889619,51.049325980392155,1610612761,3,9,2020-09-07T22:52:28Z,570000,-5.0,271.0,1,left,MISS F. VanVleet 28' 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,27.62,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M25.00S,2020-09-07T22:52:27.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,9,2020-09-07T22:52:28Z,580000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,57.0,3.0,3.0,0.0,,,,,,,,,,,
59,PT07M15.00S,2020-09-07T22:52:38.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627759,81.2910643889619,37.8140318627451,1610612738,3,9,2020-09-07T22:52:42Z,590000,-61.0,123.0,1,right,MISS J. Brown 14' jumpshot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,14.26,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M12.00S,2020-09-07T22:52:41.0Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,3,9,2020-09-07T22:52:42Z,600000,,,0,,M. Gasol REBOUND (Off:0 Def:3),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,59.0,3.0,3.0,0.0,,,,,,,,,,,
61,PT07M05.00S,2020-09-07T22:52:48.0Z,1,REGULAR,3pt,jumpshot,[],201188,33.459264126149804,43.69638480392157,1610612761,3,9,2020-09-07T22:52:52Z,610000,32.0,262.0,1,left,MISS M. Gasol 27' 3PT,[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,26.93,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M01.00S,2020-09-07T22:52:51.4Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,3,9,2020-09-07T22:52:51Z,620000,,,0,,O. Anunoby REBOUND (Off:3 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,61.0,4.0,1.0,3.0,,,,,,,,,,,
63,PT06M59.00S,2020-09-07T22:52:53.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628384,6.1268068331143235,50.314031862745104,1610612761,5,9,2020-09-07T22:56:00Z,630000,-2.0,5.0,1,left,O. Anunoby layup (5 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,1.07,Made,5.0,,,,,,,,,,,,,,,,,,
64,PT06M41.00S,2020-09-07T22:53:11.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202689,83.52496714848883,49.333639705882355,1610612738,5,11,2020-09-07T22:53:15Z,640000,-3.0,102.0,1,right,K. Walker 11' jumpshot (4 PTS),[202689],1610612738.0,BOS,floating,,,Walker,K. Walker,,,,,10.8,Made,4.0,,,,,,,,,,,,,,,,,,
