actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
48,PT08M01.00S,2020-01-05T01:17:47.7Z,1,REGULAR,2pt,jumpshot,['fastbreak'],202330,16.770696452036795,33.892463235294116,1610612738,10,4,2020-01-05T01:17:55Z,480000,81.0,105.0,1,left,G. Hayward 14' jumpshot (2 PTS),[202330],1610612738.0,BOS,stepback,,,Hayward,G. Hayward,,,,,,,,13.68,Made,2.0,,,,,,,,,,,,,,
49,PT07M45.00S,2020-01-05T01:18:03.0Z,1,REGULAR,3pt,jumpshot,[],203897,70.77858081471747,72.61795343137256,1610612741,13,4,2020-01-05T01:18:07Z,490000,113.0,222.0,1,right,Z. LaVine 25' 3PT  (11 PTS) (L. Markkanen 1 AST),"[203897, 1628374]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,25.42,Made,11.0,L. Markkanen,1628374.0,1.0,,,,,,,,,,,
51,PT07M17.00S,2020-01-05T01:18:32.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,6.915243101182654,58.892463235294116,1610612738,13,6,2020-01-05T01:18:41Z,510000,-44.0,13.0,1,left,J. Tatum layup (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,4.8,Made,4.0,,,,,,,,,,,,,,
52,PT06M52.00S,2020-01-05T01:18:59.4Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612741,13,6,2020-01-05T01:22:08Z,520000,,,0,,M. Smart FOUL personal (1 PF) (Satoransky 2freethrow),"[203935, 203107]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Satoransky,203107.0,,
54,PT06M52.00S,2020-01-05T01:19:14.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,13,6,2020-01-05T01:19:14Z,540000,,,0,,timeout full,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M52.00S,2020-01-05T01:22:20.1Z,1,REGULAR,freethrow,1of2,[],203107,,,1610612741,14,6,2020-01-05T01:22:20Z,550000,,,0,,T. Satoransky freethrow 1of2 (1 PTS),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
56,PT06M52.00S,2020-01-05T01:22:25.7Z,1,REGULAR,freethrow,2of2,[],203107,,,1610612741,15,6,2020-01-05T01:22:25Z,560000,,,0,,T. Satoransky freethrow 2of2 (2 PTS),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
57,PT06M31.00S,2020-01-05T01:22:48.9Z,1,REGULAR,3pt,jumpshot,[],202330,18.873193166885677,92.9610906862745,1610612738,15,6,2020-01-05T01:22:53Z,570000,-215.0,125.0,1,left,MISS G. Hayward 25' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,25.13,Missed,,,,,,,,,,,,,,,
58,PT06M29.00S,2020-01-05T01:22:50.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612741,15,6,2020-01-05T01:22:53Z,580000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,
59,PT06M19.00S,2020-01-05T01:23:00.5Z,1,REGULAR,3pt,jumpshot,[],1628374,96.27135348226018,1.7846200980392155,1610612741,18,6,2020-01-05T01:23:05Z,590000,-241.0,-17.0,1,right,L. Markkanen 24' 3PT  (3 PTS) (T. Satoransky 2 AST),"[1628374, 203107]",1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,24.14,Made,3.0,T. Satoransky,203107.0,2.0,,,,,,,,,,,
