actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,stealPlayerName,stealPersonId,stealTotal,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,blockPersonId,blockPlayerName,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId
496,PT00M43.60S,2020-08-05T00:33:37Z,3,REGULAR,foul,personal,,"['inpenalty', '2freethrow']",1628400,,,1610612748,88,77,2020-08-05T00:33:50,4930000,54,124,left,Ojeleye P.FOUL (P3.PN),"[1628400, 201609]",1610612738,BOS,0,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,Dragic,201609.0,3.0,0.0,101283.0
498,PT00M43.60S,2020-08-05T00:33:59Z,3,REGULAR,freethrow,1of2,,[],201609,,,1610612748,89,77,0001-01-01T00:00:00,4950000,250,-52,left,Dragic Free Throw 1 of 2 (12 PTS),[201609],1610612748,MIA,0,Dragic,G. Dragic,,,,,,,12.0,Made,,,,,,,,,,,,,,,,,,,
499,PT00M43.60S,2020-08-05T00:34:14Z,3,REGULAR,freethrow,2of2,,[],201609,,,1610612748,90,77,0001-01-01T00:00:00,4960000,250,-52,left,Dragic Free Throw 2 of 2 (13 PTS),[201609],1610612748,MIA,0,Dragic,G. Dragic,,,,,,,13.0,Made,,,,,,,,,,,,,,,,,,,
500,PT00M30.80S,2020-08-05T00:34:30Z,3,REGULAR,3pt,jumpshot,,[],1628400,76.69,10.61,1610612738,90,77,2020-08-05T00:34:36,4970000,-197,167,right,MISS Ojeleye 26' 3PT Jump Shot,[1628400],1610612738,BOS,1,Ojeleye,S. Ojeleye,,,,,,,0.0,Missed,25.83,,,,,,,,,,,,,,,,,,
501,PT00M27.70S,2020-08-05T00:34:33Z,3,REGULAR,rebound,offensive,,[],202683,,,1610612738,90,77,2020-08-05T00:34:36,4980000,-197,167,right,Kanter REBOUND (Off:4 Def:0),[202683],1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,4.0,0.0,4.0,500.0,,,,,,,,,,,,,,
502,PT00M22.40S,2020-08-05T00:34:38Z,3,REGULAR,3pt,jumpshot,,['2ndchance'],202954,66.97,59.14,1610612738,90,80,2020-08-05T00:34:45,4990000,46,258,right,Wanamaker 26' 3PT Jump Shot (6 PTS) (Walker 4 AST),"[202954, 202689]",1610612738,BOS,1,Wanamaker,B. Wanamaker,,,,,,,6.0,Made,26.21,,,,,,,,,Walker,202689.0,4.0,,,,,,,
504,PT00M06.10S,2020-08-05T00:34:59Z,3,REGULAR,2pt,jumpshot,pullup,[],201609,28.07,35.12,1610612748,90,80,2020-08-05T00:35:05,5010000,74,211,left,MISS Dragic 22' Pullup Jump Shot,[201609],1610612748,MIA,1,Dragic,G. Dragic,,,,,,,0.0,Missed,22.36,,,,,,,,,,,,,,,,,,
505,PT00M03.10S,2020-08-05T00:35:03Z,3,REGULAR,rebound,offensive,,[],1627884,,,1610612748,90,80,0001-01-01T00:00:00,5020000,74,211,left,Jones Jr. REBOUND (Off:2 Def:0),[1627884],1610612748,MIA,0,Jones Jr.,D. Jones Jr.,,,,,,,,,,2.0,0.0,2.0,504.0,,,,,,,,,,,,,,
506,PT00M03.10S,2020-08-05T00:35:04Z,3,REGULAR,foul,personal,shooting,"['inpenalty', '2freethrow']",202683,,,1610612748,90,80,2020-08-05T00:35:11,5030000,-15,-2,left,Kanter S.FOUL (P1.PN),"[202683, 1627884]",1610612738,BOS,0,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,Jones Jr.,1627884.0,1.0,0.0,1146.0
508,PT00M03.10S,2020-08-05T00:35:40Z,3,REGULAR,freethrow,1of2,,['2ndchance'],1627884,,,1610612748,90,80,0001-01-01T00:00:00,5050000,250,-52,left,MISS Jones Jr. Free Throw 1 of 2,[1627884],1610612748,MIA,0,Jones Jr.,D. Jones Jr.,,,,,,,5.0,Missed,,,,,,,,,,,,,,,,,,,
