actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
49,PT06M55.00S,2019-12-13T01:24:33.6Z,1,REGULAR,substitution,in,[],203516,,,1610612755,11,12,2019-12-13T01:25:12Z,490000,,,0,,substitution in Ennis III,[203516],1610612755.0,PHI,,,,Ennis III,J. Ennis III,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M55.00S,2019-12-13T01:24:33.6Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,11,12,2019-12-13T01:25:12Z,500000,,,0,,substitution in Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M35.00S,2019-12-13T01:25:43.3Z,1,REGULAR,2pt,jumpshot,[],203516,86.94152431011827,29.725796568627448,1610612755,11,12,2019-12-13T01:25:54Z,510000,-101.0,70.0,1,right,MISS J. Ennis III 13' jumpshot,[203516],1610612755.0,PHI,turnaround,,,Ennis III,J. Ennis III,,,,,,,12.65,Missed,,,,,,,,,,,,,,,,,
52,PT06M33.00S,2019-12-13T01:25:45.3Z,1,REGULAR,rebound,offensive,[],203124,,,1610612755,11,12,2019-12-13T01:25:54Z,520000,,,0,,K. O'Quinn REBOUND (Off:1 Def:0),[203124],1610612755.0,PHI,,,,O'Quinn,K. O'Quinn,,,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,
54,PT06M32.00S,2019-12-13T01:25:56.1Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202699,84.31340341655716,39.28462009803921,1610612755,11,12,2019-12-13T01:26:19Z,540000,-54.0,95.0,1,right,MISS T. Harris 11' layup Blocked,"[202699, 1628369]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,,,11.39,Missed,,,,,,,,,,,,,,,Tatum,1628369.0,
55,PT06M32.00S,2019-12-13T01:25:56.1Z,1,REGULAR,block,,[],1628369,,,1610612755,11,12,2019-12-13T01:27:53Z,550000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M31.00S,2019-12-13T01:25:57.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,11,12,2019-12-13T01:26:19Z,560000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,
57,PT06M31.00S,2019-12-13T01:26:05.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,11,12,2019-12-13T01:26:26Z,570000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M16.00S,2019-12-13T01:26:08.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,6.521024967148489,45.166973039215684,1610612738,13,12,2019-12-13T01:26:30Z,580000,24.0,9.0,1,left,J. Brown layup (4 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,2.81,Made,,,,,4.0,,,,,,,,,,,,
59,PT05M56.00S,2019-12-13T01:26:28.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627732,88.78120893561103,43.451286764705884,1610612755,13,12,2019-12-13T01:29:57Z,590000,-33.0,53.0,1,right,MISS B. Simmons 7' layup,[1627732],1610612755.0,PHI,cutting,,,Simmons,B. Simmons,,,,,,,6.7,Missed,,,,,,,,,,,,,,,,,
60,PT05M54.00S,2019-12-13T01:26:30.9Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,13,12,2019-12-13T01:26:37Z,600000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,
61,PT05M48.00S,2019-12-13T01:26:36.7Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628369,7.178055190538765,54.23560049019608,1610612738,15,12,2019-12-13T01:26:41Z,610000,-21.0,15.0,1,left,J. Tatum layup (2 PTS) (G. Hayward 2 AST),"[1628369, 202330]",1610612738.0,BOS,runningfingerroll,,,Tatum,J. Tatum,,,,,,,2.95,Made,,,,,2.0,G. Hayward,202330.0,2.0,,,,,,,,,
63,PT05M48.00S,2019-12-13T01:26:42.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,12,2019-12-13T01:26:42Z,630000,,,0,,timeout full,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
