actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
397,PT04M38.00S,2020-09-28T01:12:02.5Z,3,REGULAR,3pt,jumpshot,[],202710,88.12417871222075,95.90226715686273,1610612748,79,74,2020-09-28T01:12:06Z,3900000,230.0,59.0,1,right,MISS J. Butler 24' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,23.84,Missed,,,,,,,,,,,,,,,,,,
398,PT04M37.00S,2020-09-28T01:12:03.5Z,3,REGULAR,rebound,defensive,[],1628464,,,1610612738,79,74,2020-09-28T01:12:09Z,3910000,,,0,,D. Theis REBOUND (Off:3 Def:4),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,397.0,7.0,4.0,3.0,,,,,,,,,,,,,,
399,PT04M29.00S,2020-09-28T01:12:11.7Z,3,REGULAR,2pt,Jump Shot,[],202330,6.389618922470433,72.12775735294117,1610612738,79,74,2020-09-28T01:12:15Z,3920000,-111.0,8.0,1,left,MISS G. Hayward 11' Jump Shot,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,11.14,Missed,,,,,,,,,,,,,,,,,,
400,PT04M28.00S,2020-09-28T01:12:12.7Z,3,REGULAR,rebound,defensive,[],1629639,,,1610612748,79,74,2020-09-28T01:12:18Z,3930000,,,0,,T. Herro REBOUND (Off:0 Def:4),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,399.0,4.0,4.0,0.0,,,,,,,,,,,,,,
401,PT04M20.00S,2020-09-28T01:12:20.5Z,3,REGULAR,3pt,jumpshot,[],2738,75.50919842312747,11.34344362745098,1610612748,82,74,2020-09-28T01:12:37Z,3940000,-193.0,178.0,1,right,A. Iguodala 27' 3PT  (14 PTS) (J. Butler 6 AST),"[2738, 202710]",1610612748.0,MIA,,,,Iguodala,A. Iguodala,,,,,26.63,Made,,,,,,,,,,14.0,,,,,,J. Butler,202710.0,6.0
403,PT04M19.00S,2020-09-28T01:12:25.3Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,82,74,2020-09-28T01:12:25Z,3960000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,PT04M19.00S,2020-09-28T01:15:07.8Z,3,REGULAR,substitution,out,[],1627759,,,1610612738,82,74,2020-09-28T01:15:34Z,3970000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
405,PT04M19.00S,2020-09-28T01:15:07.8Z,3,REGULAR,substitution,out,[],1628464,,,1610612738,82,74,2020-09-28T01:15:34Z,3980000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
406,PT04M19.00S,2020-09-28T01:15:07.8Z,3,REGULAR,substitution,out,[],203935,,,1610612738,82,74,2020-09-28T01:15:34Z,3990000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
407,PT04M19.00S,2020-09-28T01:15:07.8Z,3,REGULAR,substitution,in,[],202689,,,1610612738,82,74,2020-09-28T01:15:34Z,4000000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
