actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
645,PT03M09.00S,2020-02-12T05:02:11.7Z,4,REGULAR,freethrow,2of3,['fromturnover'],201935,,,1610612745,110,98,2020-02-12T05:02:11Z,6370000,,[HOU] Harden freethrow 2of3: Made (38 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,: Made,38.0,,,,,,,,,,,,,,,,,,,,,,
646,PT03M09.00S,2020-02-12T05:02:22.4Z,4,REGULAR,freethrow,3of3,['fromturnover'],201935,,,1610612745,111,98,2020-02-12T05:02:22Z,6380000,,[HOU] Harden freethrow 3of3: Made (39 PTS),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,: Made,39.0,,,,,,,,,,,,,,,,,,,,,,
647,PT02M59.00S,2020-02-12T05:02:34.9Z,4,REGULAR,2pt,layup,['pointsinthepaint'],202689,7.835085413929041,49.82383578431372,1610612738,111,98,2020-02-12T05:02:40Z,6390000,left,[BOS] Walker layup: Missed Block: Covington (3 BLK),"[202689, 203496]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.66,: Missed,,,,,,,,,,,,,,,,,,Covington,203496.0,3.0,,,
649,PT02M57.00S,2020-02-12T05:02:36.9Z,4,REGULAR,rebound,offensive,[],203935,,,1610612738,111,98,2020-02-12T05:02:40Z,6410000,,[BOS] Smart offensive rebound (Off:1 Def:4),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,647.0,,,,,5.0,4.0,1.0,,,,,,,,,,,
650,PT02M55.00S,2020-02-12T05:02:38.8Z,4,REGULAR,3pt,jumpshot,['2ndchance'],202330,30.17411300919842,24.57873774509804,1610612738,111,98,2020-02-12T05:02:43Z,6420000,left,[BOS] Hayward 3pt jumpshot: Missed,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.86,: Missed,,,,,,,,,,,,,,,,,,,,,,,
651,PT02M55.00S,2020-02-12T05:02:38.8Z,4,REGULAR,rebound,defensive,[],200782,,,1610612745,111,98,2020-02-12T05:02:43Z,6430000,,[HOU] Tucker defensive rebound (Off:1 Def:4),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,650.0,,,,,5.0,4.0,1.0,,,,,,,,,,,
652,PT02M41.00S,2020-02-12T05:02:54.6Z,4,REGULAR,2pt,layup,"['pointsinthepaint', 'defensivegoaltending']",201566,93.77463863337714,50.55912990196079,1610612745,113,98,2020-02-12T05:03:09Z,6440000,right,[HOU] Westbrook layup: Made (36 PTS) assist: Harden (7 AST),"[201566, 201935]",1610612745.0,HOU,driving,,,Westbrook,R. Westbrook,,,,,1.18,: Made,36.0,Harden,201935.0,7.0,,,,,,,,,,,,,,,,,,,
654,PT02M41.00S,2020-02-12T05:02:57.4Z,4,REGULAR,violation,defensivegoaltending,[],1628464,,,1610612745,113,98,2020-02-12T05:03:09Z,6460000,,[BOS] Theis violation defensivegoaltending,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,1198.0,,,,,,,,,,
655,PT02M29.00S,2020-02-12T05:03:18.7Z,4,REGULAR,2pt,layup,['pointsinthepaint'],202689,9.411957950065702,45.166973039215684,1610612738,113,98,2020-02-12T05:03:25Z,6470000,left,[BOS] Walker layup: Missed Block: Covington (4 BLK),"[202689, 203496]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,4.8,: Missed,,,,,,,,,,,,,,,,,,Covington,203496.0,4.0,,,
657,PT02M26.00S,2020-02-12T05:03:21.7Z,4,REGULAR,rebound,defensive,[],200782,,,1610612745,113,98,2020-02-12T05:04:00Z,6490000,,[HOU] Tucker defensive rebound (Off:1 Def:5),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,655.0,,,,,6.0,5.0,1.0,,,,,,,,,,,
