actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value,stealPlayerName,stealPersonId
69,PT06M27.00S,2022-05-09T23:43:12.1Z,1,REGULAR,turnover,offensive foul,[],201143,,,1610612738,10,6,2022-05-09T23:43:12Z,690000,,,0,,A. Horford offensive foul TURNOVER (1 TO),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,1146.0,1.0,,,,,,,,,,
70,PT06M27.00S,2022-05-09T23:43:31.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,10,6,2022-05-09T23:43:31Z,700000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M13.00S,2022-05-09T23:47:12.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626192,72.61826544021025,17.401960784313726,1610612749,10,6,2022-05-09T23:47:25Z,710000,-163.0,205.0,1,right,MISS P. Connaughton 26' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M10.00S,2022-05-09T23:47:15.9Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,10,6,2022-05-09T23:47:15Z,720000,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,71.0,2.0,1.0,1.0,,,,,,,,,,,,,,
73,PT06M03.00S,2022-05-09T23:47:22.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626192,70.77858081471747,17.401960784313726,1610612749,13,6,2022-05-09T23:47:27Z,730000,-163.0,222.0,1,right,P. Connaughton 27' 3PT  (3 PTS) (J. Holiday 2 AST),"[1626192, 201950]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,27.56,Made,3.0,,,,,,,,,,,,,J. Holiday,201950.0,2.0,,,
75,PT05M49.00S,2022-05-09T23:47:37.7Z,1,REGULAR,2pt,Jump Shot,[],201143,5.732588699080158,73.77450980392157,1610612738,13,8,2022-05-09T23:47:43Z,750000,-119.0,1.0,1,left,A. Horford 11' Jump Shot (4 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,11.89,Made,4.0,,,,,,,,,,,,,J. Brown,1627759.0,1.0,,,
77,PT05M39.00S,2022-05-09T23:47:46.7Z,1,REGULAR,3pt,Jump Shot,[],201950,67.09921156373193,26.225490196078432,1610612749,16,8,2022-05-09T23:47:51Z,770000,-119.0,257.0,1,right,J. Holiday 28' 3PT pullup (5 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,28.3,Made,5.0,,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2022-05-09T23:48:00.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,31.09395532194481,15.441176470588236,1610612738,16,11,2022-05-09T23:48:07Z,780000,173.0,240.0,1,left,J. Brown 29' 3PT pullup (3 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,29.56,Made,3.0,,,,,,,,,,,,,,,,,,
79,PT05M12.00S,2022-05-09T23:48:13.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,87.33574244415243,40.68627450980392,1610612749,16,11,2022-05-09T23:48:25Z,790000,-47.0,67.0,1,right,MISS G. Antetokounmpo 8' driving floating bank Shot,[203507],1610612749.0,MIL,driving floating bank,,,Antetokounmpo,G. Antetokounmpo,,,,,8.12,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M10.00S,2022-05-09T23:48:15.8Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,16,11,2022-05-09T23:48:25Z,800000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,
