actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
69,PT05M14.00S,2022-05-11T23:20:11.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,14,15,2022-05-11T23:20:14Z,690000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,,,,,
70,PT05M04.00S,2022-05-11T23:20:22.2Z,1,REGULAR,3pt,Jump Shot,[],203507,66.5735873850197,58.57843137254902,1610612749,14,15,2022-05-11T23:20:26Z,700000,43.0,262.0,1,right,MISS G. Antetokounmpo 26' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M02.00S,2022-05-11T23:20:24.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,14,15,2022-05-11T23:20:26Z,710000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,
72,PT04M56.00S,2022-05-11T23:20:30.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,33.065045992115635,72.54901960784314,1610612738,14,15,2022-05-11T23:20:44Z,720000,-113.0,258.0,1,left,MISS J. Brown 28' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,28.18,Missed,,,,,,,,,,,,,,,,,,,
73,PT04M53.00S,2022-05-11T23:20:33.5Z,1,REGULAR,rebound,defensive,[],202083,,,1610612749,14,15,2022-05-11T23:20:35Z,730000,,,0,,W. Matthews REBOUND (Off:0 Def:2),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,
74,PT04M49.00S,2022-05-11T23:20:45.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,14,15,2022-05-11T23:20:45Z,740000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612749,14,15,2022-05-11T23:24:26Z,750000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,out,[],201143,,,1610612749,14,15,2022-05-11T23:24:26Z,760000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,out,[],202083,,,1610612749,14,15,2022-05-11T23:24:26Z,770000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,out,[],203507,,,1610612749,14,15,2022-05-11T23:24:26Z,780000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,in,[],1628401,,,1610612749,14,15,2022-05-11T23:24:26Z,790000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,in,[],1628464,,,1610612749,14,15,2022-05-11T23:24:26Z,800000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,in,[],201588,,,1610612749,14,15,2022-05-11T23:24:26Z,810000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M49.00S,2022-05-11T23:23:46.9Z,1,REGULAR,substitution,in,[],201572,,,1610612749,14,15,2022-05-11T23:24:26Z,820000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M44.00S,2022-05-11T23:24:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,92.06636005256242,52.69607843137255,1610612749,14,15,2022-05-11T23:24:46Z,830000,13.0,22.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,2.59,Missed,,,,,,,,,,,,,,,,,,,
