actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
48,PT08M13.00S,2022-05-13T23:55:47.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201950,92.46057818659659,48.77450980392157,1610612749,6,12,2022-05-13T23:55:55Z,480000,-6.0,18.0,1,right,MISS J. Holiday driving Hook,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,1.94,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M09.00S,2022-05-13T23:55:51.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,12,2022-05-13T23:55:55Z,490000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
50,PT08M06.00S,2022-05-13T23:55:54.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.225361366622867,20.833333333333336,1610612738,6,15,2022-05-13T23:56:23Z,500000,146.0,241.0,1,left,J. Tatum 28' 3PT  (6 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,28.17,Made,6.0,,,,,,,,,,J. Brown,1627759.0,2.0,,,,,,
52,PT07M51.00S,2022-05-13T23:56:09.6Z,1,REGULAR,2pt,Jump Shot,[],203507,80.6340341655716,25.0,1610612749,8,15,2022-05-13T23:56:15Z,520000,-125.0,130.0,1,right,G. Antetokounmpo 18' pullup Jump Shot (8 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,18.0,Made,8.0,,,,,,,,,,,,,,,,,,
53,PT07M45.00S,2022-05-13T23:56:20.0Z,1,REGULAR,foul,offensive,[],1629684,,,1610612738,8,15,2022-05-13T23:56:45Z,530000,,,0,,G. Williams offensive FOUL (2 PF),"[1629684, 202083]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,202049.0,2.0,0.0,Matthews,202083.0,,,,,,,,,
55,PT07M45.00S,2022-05-13T23:56:20.0Z,1,REGULAR,turnover,offensive foul,[],1629684,,,1610612738,8,15,2022-05-13T23:56:20Z,550000,,,0,,G. Williams offensive foul TURNOVER (1 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,202049.0,,,,,,,,1.0,,,,,
56,PT07M45.00S,2022-05-13T23:56:35.1Z,1,REGULAR,substitution,out,[],1628960,,,1610612749,8,15,2022-05-13T23:56:45Z,560000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M45.00S,2022-05-13T23:56:35.1Z,1,REGULAR,substitution,out,[],1629684,,,1610612749,8,15,2022-05-13T23:56:45Z,570000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M45.00S,2022-05-13T23:56:35.1Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,8,15,2022-05-13T23:56:45Z,580000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M45.00S,2022-05-13T23:56:35.1Z,1,REGULAR,substitution,in,[],1628401,,,1610612749,8,15,2022-05-13T23:56:45Z,590000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
