actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
182,PT10M23.00S,2022-05-22T01:14:14.2Z,2,REGULAR,foul,personal,[],1629684,,,1610612748,20,41,2022-05-22T01:15:47Z,1790000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 1628389]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Adebayo,1628389.0,,,
184,PT10M23.00S,2022-05-22T01:14:34.0Z,2,REGULAR,substitution,out,[],1627759,,,1610612748,20,41,2022-05-22T01:14:48Z,1810000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT10M23.00S,2022-05-22T01:14:34.0Z,2,REGULAR,substitution,out,[],1629684,,,1610612748,20,41,2022-05-22T01:14:48Z,1820000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT10M23.00S,2022-05-22T01:14:34.0Z,2,REGULAR,substitution,in,[],203935,,,1610612748,20,41,2022-05-22T01:14:48Z,1830000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M23.00S,2022-05-22T01:14:34.0Z,2,REGULAR,substitution,in,[],1628401,,,1610612748,20,41,2022-05-22T01:14:48Z,1840000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT10M09.00S,2022-05-22T01:15:00.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629130,6.258212877792378,48.529411764705884,1610612748,20,43,2022-05-22T01:15:06Z,1860000,7.0,6.0,1,left,D. Robinson driving floating Jump Shot (2 PTS) (B. Adebayo 3 AST),"[1629130, 1628389]",1610612748.0,MIA,driving floating,,,Robinson,D. Robinson,,,,,0.97,Made,,,,,2.0,B. Adebayo,1628389.0,3.0,,,,,,,,,,,
191,PT09M51.00S,2022-05-22T01:15:19.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,87.99277266754271,38.72549019607843,1610612738,20,43,2022-05-22T01:17:55Z,1880000,-56.0,60.0,1,right,MISS M. Smart 8' driving floating bank Shot,[203935],1610612738.0,BOS,driving floating bank,,,Smart,M. Smart,,,,,8.26,Missed,,,,,,,,,,,,,,,,,,,
192,PT09M50.00S,2022-05-22T01:15:20.4Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,20,43,2022-05-22T01:17:16Z,1890000,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,191.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
193,PT09M43.00S,2022-05-22T01:15:28.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1628997,25.706307490144546,84.80392156862744,1610612748,20,46,2022-05-22T01:15:41Z,1900000,-174.0,189.0,1,left,C. Martin 25' 3PT  (8 PTS) (B. Adebayo 4 AST),"[1628997, 1628389]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,25.7,Made,,,,,8.0,B. Adebayo,1628389.0,4.0,,,,,,,,,,,
195,PT09M41.00S,2022-05-22T01:15:33.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,20,46,2022-05-22T01:15:33Z,1920000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT09M21.00S,2022-05-22T01:19:37.5Z,2,REGULAR,2pt,Jump Shot,[],203935,85.10183968462549,76.47058823529412,1610612738,22,46,2022-05-22T01:19:44Z,1940000,132.0,88.0,1,right,M. Smart 15' driving floating bank Jump Shot (4 PTS) (P. Pritchard 2 AST),"[203935, 1630202]",1610612738.0,BOS,driving floating bank,,,Smart,M. Smart,,,,,15.87,Made,,,,,4.0,P. Pritchard,1630202.0,2.0,,,,,,,,,,,
199,PT09M21.00S,2022-05-22T01:19:44.0Z,2,REGULAR,foul,personal,['1freethrow'],1629216,,,1610612738,22,46,2022-05-22T01:19:49Z,1960000,,,0,,G. Vincent shooting personal FOUL (1 PF) (Smart 1 FT),"[1629216, 203935]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,200832.0,1.0,0.0,Smart,203935.0,,,
201,PT09M21.00S,2022-05-22T01:19:59.9Z,2,REGULAR,freethrow,1 of 1,[],203935,,,1610612738,23,46,2022-05-22T01:19:59Z,1980000,,,0,,M. Smart Free Throw 1 of 1 (5 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
202,PT09M06.00S,2022-05-22T01:20:16.5Z,2,REGULAR,2pt,Jump Shot,[],1629639,20.18725361366623,30.88235294117647,1610612748,23,48,2022-05-22T01:20:21Z,1990000,96.0,137.0,1,left,T. Herro 16' driving floating Jump Shot (4 PTS) (B. Adebayo 5 AST),"[1629639, 1628389]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,16.73,Made,,,,,4.0,B. Adebayo,1628389.0,5.0,,,,,,,,,,,
204,PT08M51.00S,2022-05-22T01:20:32.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.68528252299606,48.77450980392157,1610612738,23,48,2022-05-22T01:21:04Z,2010000,-6.0,120.0,1,right,MISS J. Tatum 11' floating Shot,[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,11.99,Missed,,,,,,,,,,,,,,,,,,,
205,PT08M50.00S,2022-05-22T01:20:33.4Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,23,48,2022-05-22T01:20:44Z,2020000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,204.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
206,PT08M49.00S,2022-05-22T01:20:35.6Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628369,94.40999984741211,50.0,1610612738,25,48,2022-05-22T01:20:47Z,2030000,0.0,0.0,1,right,J. Tatum tip Layup (2 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
207,PT08M49.00S,2022-05-22T01:20:37.3Z,2,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612738,25,48,2022-05-22T01:20:44Z,2040000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Tatum 1 FT),"[1629130, 1628369]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Tatum,1628369.0,,,
209,PT08M49.00S,2022-05-22T01:20:45.2Z,2,REGULAR,substitution,out,[],1629216,,,1610612738,25,48,2022-05-22T01:20:52Z,2060000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT08M49.00S,2022-05-22T01:20:45.2Z,2,REGULAR,substitution,out,[],1628997,,,1610612738,25,48,2022-05-22T01:20:52Z,2070000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT08M49.00S,2022-05-22T01:20:45.2Z,2,REGULAR,substitution,in,[],200768,,,1610612738,25,48,2022-05-22T01:20:52Z,2080000,,,0,,SUB in: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M49.00S,2022-05-22T01:20:45.2Z,2,REGULAR,substitution,in,[],200782,,,1610612738,25,48,2022-05-22T01:20:52Z,2090000,,,0,,SUB in: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M49.00S,2022-05-22T01:21:13.0Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1628369,,,1610612738,26,48,2022-05-22T01:21:13Z,2100000,,,0,,J. Tatum Free Throw 1 of 1 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
214,PT08M38.00S,2022-05-22T01:21:25.9Z,2,REGULAR,3pt,Jump Shot,[],200782,8.492115637319317,96.32352941176471,1610612748,26,51,2022-05-22T01:21:31Z,2110000,-232.0,27.0,1,left,P. Tucker 3PT  (8 PTS) (B. Adebayo 6 AST),"[200782, 1628389]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,23.32,Made,,,,,8.0,B. Adebayo,1628389.0,6.0,,,,,,,,,,,
216,PT08M19.00S,2022-05-22T01:21:44.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,87.46714848883047,51.9607843137255,1610612738,28,51,2022-05-22T01:21:48Z,2130000,10.0,65.0,1,right,M. Smart 6' turnaround Jump Shot (7 PTS),[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,6.6,Made,,,,,7.0,,,,,,,,,,,,,,
217,PT08M01.00S,2022-05-22T01:22:06.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,28,51,2022-05-22T01:22:07Z,2140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M57.00S,2022-05-22T01:22:24.5Z,2,REGULAR,3pt,Jump Shot,[],1629130,32.802233902759525,44.85294117647059,1610612748,28,51,2022-05-22T01:23:04Z,2150000,26.0,256.0,1,left,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
219,PT07M55.00S,2022-05-22T01:22:26.5Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,28,51,2022-05-22T01:22:32Z,2160000,,,0,,A. Horford REBOUND (Off:2 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,218.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
220,PT07M44.00S,2022-05-22T01:22:38.4Z,2,REGULAR,foul,personal,[],1629130,,,1610612738,28,51,2022-05-22T01:23:00Z,2170000,,,0,,D. Robinson personal FOUL (2 PF),"[1629130, 201143]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,1148.0,2.0,0.0,Horford,201143.0,,,
222,PT07M44.00S,2022-05-22T01:22:50.9Z,2,REGULAR,substitution,out,[],1628389,,,1610612738,28,51,2022-05-22T01:22:59Z,2190000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M44.00S,2022-05-22T01:22:50.9Z,2,REGULAR,substitution,out,[],1629130,,,1610612738,28,51,2022-05-22T01:22:59Z,2200000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M44.00S,2022-05-22T01:22:50.9Z,2,REGULAR,substitution,in,[],202710,,,1610612738,28,51,2022-05-22T01:22:59Z,2210000,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M44.00S,2022-05-22T01:22:50.9Z,2,REGULAR,substitution,in,[],1629622,,,1610612738,28,51,2022-05-22T01:22:59Z,2220000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M39.00S,2022-05-22T01:23:09.1Z,2,REGULAR,3pt,Jump Shot,[],1630202,91.27792378449409,3.6764705882352944,1610612738,31,51,2022-05-22T01:23:12Z,2230000,-232.0,29.0,1,right,P. Pritchard 3PT  (3 PTS) (J. Tatum 1 AST),"[1630202, 1628369]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,23.35,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
228,PT07M15.00S,2022-05-22T01:23:33.7Z,2,REGULAR,2pt,Jump Shot,[],202710,10.33180026281209,21.07843137254902,1610612748,31,51,2022-05-22T01:24:21Z,2250000,145.0,45.0,1,left,MISS J. Butler 15' turnaround Shot,[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,15.13,Missed,,,,,,,,,,,,,,,,,,,
229,PT07M14.00S,2022-05-22T01:23:34.7Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,31,51,2022-05-22T01:23:41Z,2260000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,228.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
231,PT07M13.00S,2022-05-22T01:23:40.2Z,2,REGULAR,turnover,lost ball,[],203935,,,1610612738,31,51,2022-05-22T01:23:52Z,2280000,,,0,,M. Smart lost ball TURNOVER (2 TO),"[203935, 200768]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,2.0,Lowry,200768.0,,,,,,,,
232,PT07M13.00S,2022-05-22T01:23:40.2Z,2,REGULAR,steal,,[],200768,,,1610612748,31,51,2022-05-22T01:23:42Z,2290000,,,0,,K. Lowry STEAL (2 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M58.00S,2022-05-22T01:23:52.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202710,5.863994743758213,52.94117647058824,1610612748,31,53,2022-05-22T01:23:57Z,2300000,-15.0,3.0,1,left,J. Butler Layup (5 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,1.49,Made,,,,,5.0,,,,,,,,,,,,,,
235,PT06M58.00S,2022-05-22T01:23:58.0Z,2,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612748,31,53,2022-05-22T01:24:04Z,2320000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Butler 1 FT),"[1628369, 202710]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Butler,202710.0,,,
237,PT06M58.00S,2022-05-22T01:24:05.3Z,2,REGULAR,substitution,out,[],1628401,,,1610612748,31,53,2022-05-22T01:25:03Z,2340000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M58.00S,2022-05-22T01:24:05.3Z,2,REGULAR,substitution,out,[],203935,,,1610612748,31,53,2022-05-22T01:25:03Z,2350000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M58.00S,2022-05-22T01:24:05.3Z,2,REGULAR,substitution,in,[],1629684,,,1610612748,31,53,2022-05-22T01:25:03Z,2360000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M58.00S,2022-05-22T01:24:05.3Z,2,REGULAR,substitution,in,[],1627759,,,1610612748,31,53,2022-05-22T01:25:03Z,2370000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT06M58.00S,2022-05-22T01:24:27.6Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],202710,,,1610612748,31,54,2022-05-22T01:24:27Z,2380000,,,0,,J. Butler Free Throw 1 of 1 (6 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,6.0,,,,,,,,,,,,,,
242,PT06M42.00S,2022-05-22T01:24:49.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.01511169513797,42.40196078431372,1610612738,33,54,2022-05-22T01:24:53Z,2390000,-38.0,32.0,1,right,J. Brown driving Layup (13 PTS) (P. Pritchard 3 AST),"[1627759, 1630202]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,4.97,Made,,,,,13.0,P. Pritchard,1630202.0,3.0,,,,,,,,,,,
243,PT06M29.00S,2022-05-22T01:25:01.4Z,2,REGULAR,3pt,Jump Shot,[],200768,33.722076215505915,32.35294117647059,1610612748,33,54,2022-05-22T01:26:27Z,2400000,88.0,264.0,1,left,MISS K. Lowry 27' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,27.88,Missed,,,,,,,,,,,,,,,,,,,
244,PT06M27.00S,2022-05-22T01:25:03.4Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,33,54,2022-05-22T01:25:05Z,2410000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,243.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
245,PT06M24.00S,2022-05-22T01:25:09.7Z,2,REGULAR,foul,offensive,[],1628369,,,1610612738,33,54,2022-05-22T01:25:17Z,2420000,,,0,,J. Tatum offensive FOUL (2 PF),"[1628369, 200782]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,1148.0,2.0,0.0,Tucker,200782.0,,,
247,PT06M24.00S,2022-05-22T01:25:09.7Z,2,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,33,54,2022-05-22T01:25:09Z,2440000,,,0,,J. Tatum offensive foul TURNOVER (3 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,3.0,,,1148.0,,,,,,,
248,PT06M14.00S,2022-05-22T01:25:53.8Z,2,REGULAR,foul,personal,[],1630202,,,1610612748,33,54,2022-05-22T01:25:58Z,2450000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 202710]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Butler,202710.0,,,
251,PT06M05.00S,2022-05-22T01:26:31.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],200768,13.354139290407357,96.32352941176471,1610612748,33,54,2022-05-22T01:26:38Z,2470000,-232.0,73.0,1,left,MISS K. Lowry 24' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,,
252,PT06M04.00S,2022-05-22T01:26:32.9Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,33,54,2022-05-22T01:26:38Z,2480000,,,0,,A. Horford REBOUND (Off:2 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,251.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
253,PT05M59.00S,2022-05-22T01:26:40.5Z,2,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612738,33,54,2022-05-22T01:26:52Z,2490000,,,0,,T. Herro shooting personal FOUL (1 PF) (Brown 2 FT),"[1629639, 1627759]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Brown,1627759.0,,,
255,PT05M59.00S,2022-05-22T01:27:10.9Z,2,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,33,54,2022-05-22T01:27:10Z,2510000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
256,PT05M59.00S,2022-05-22T01:27:10.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,33,54,2022-05-22T01:27:10Z,2520000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,
257,PT05M59.00S,2022-05-22T01:27:26.5Z,2,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,34,54,2022-05-22T01:27:26Z,2530000,,,0,,J. Brown Free Throw 2 of 2 (14 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,14.0,,,,,,,,,,,,,,
258,PT05M46.00S,2022-05-22T01:27:42.2Z,2,REGULAR,2pt,Jump Shot,[],1629639,9.937582128777924,82.84313725490196,1610612748,34,54,2022-05-22T01:28:24Z,2540000,-164.0,41.0,1,left,MISS T. Herro 16' step back Shot,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,16.92,Missed,,,,,,,,,,,,,,,,,,,
259,PT05M45.00S,2022-05-22T01:27:43.2Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,34,54,2022-05-22T01:28:06Z,2550000,,,0,,A. Horford REBOUND (Off:2 Def:5),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,258.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
260,PT05M33.00S,2022-05-22T01:27:54.1Z,2,REGULAR,3pt,Jump Shot,[],1628369,90.48948751642575,3.6764705882352944,1610612738,34,54,2022-05-22T01:28:01Z,2560000,-232.0,37.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
261,PT05M31.00S,2022-05-22T01:27:56.1Z,2,REGULAR,rebound,defensive,[],200782,,,1610612748,34,54,2022-05-22T01:28:01Z,2570000,,,0,,P. Tucker REBOUND (Off:1 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,260.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
262,PT05M13.00S,2022-05-22T01:28:14.0Z,2,REGULAR,3pt,Jump Shot,[],1629639,30.962549277266753,26.96078431372549,1610612748,34,54,2022-05-22T01:29:11Z,2580000,115.0,239.0,1,left,MISS T. Herro 26' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,26.49,Missed,,,,,,,,,,,,,,,,,,,
263,PT05M11.00S,2022-05-22T01:28:16.0Z,2,REGULAR,rebound,offensive,[],1629622,,,1610612748,34,54,2022-05-22T01:28:27Z,2590000,,,0,,M. Strus REBOUND (Off:2 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,262.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
264,PT05M10.00S,2022-05-22T01:28:23.2Z,2,REGULAR,turnover,out-of-bounds,[],1629622,,,1610612748,34,54,2022-05-22T01:28:35Z,2600000,,,0,,M. Strus bad pass out-of-bounds TURNOVER (1 TO),[1629622],1610612748.0,MIA,bad pass,,,Strus,M. Strus,,,,,,,,,,,,,,,1.0,,,1148.0,,,,,,,
265,PT04M51.00S,2022-05-22T01:28:59.0Z,2,REGULAR,turnover,bad pass,[],201143,,,1610612738,34,54,2022-05-22T01:29:02Z,2610000,,,0,,A. Horford bad pass TURNOVER (2 TO),"[201143, 200768]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,2.0,Lowry,200768.0,,,,,,,,
266,PT04M51.00S,2022-05-22T01:28:59.0Z,2,REGULAR,steal,,[],200768,,,1610612748,34,54,2022-05-22T01:29:00Z,2620000,,,0,,K. Lowry STEAL (3 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT04M45.00S,2022-05-22T01:29:04.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,20.318659658344284,5.88235294117647,1610612748,34,54,2022-05-22T01:30:38Z,2630000,221.0,138.0,1,left,MISS T. Herro 26' running 3PT,[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,,
268,PT04M43.00S,2022-05-22T01:29:07.6Z,2,REGULAR,rebound,offensive,[],1629639,,,1610612748,34,54,2022-05-22T01:29:07Z,2640000,,,0,,T. Herro REBOUND (Off:1 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,267.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
269,PT04M42.00S,2022-05-22T01:29:09.1Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629639,5.256241787122208,21.59160539215686,1610612748,34,54,2022-05-22T01:29:24Z,2650000,142.0,-3.0,1,left,MISS T. Herro 14' Jump Shot,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,14.2,Missed,,,,,,,,,,,,,,,,,,,
270,PT04M41.00S,2022-05-22T01:29:10.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,34,54,2022-05-22T01:29:24Z,2660000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,
271,PT04M41.00S,2022-05-22T01:29:21.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202710,,,1610612738,34,54,2022-05-22T01:29:30Z,2670000,,,0,,J. Butler loose ball personal FOUL (1 PF) (Brown 2 FT),"[202710, 1627759]",1610612748.0,MIA,loose ball,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Brown,1627759.0,,,
273,PT04M41.00S,2022-05-22T01:29:52.1Z,2,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,35,54,2022-05-22T01:29:52Z,2690000,,,0,,J. Brown Free Throw 1 of 2 (15 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,15.0,,,,,,,,,,,,,,
274,PT04M41.00S,2022-05-22T01:29:53.3Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,35,54,2022-05-22T01:30:02Z,2700000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
275,PT04M41.00S,2022-05-22T01:29:53.3Z,2,REGULAR,substitution,out,[],1629639,,,1610612738,35,54,2022-05-22T01:30:02Z,2710000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
276,PT04M41.00S,2022-05-22T01:29:53.3Z,2,REGULAR,substitution,in,[],203935,,,1610612738,35,54,2022-05-22T01:30:02Z,2720000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
277,PT04M41.00S,2022-05-22T01:29:53.3Z,2,REGULAR,substitution,in,[],1628389,,,1610612738,35,54,2022-05-22T01:30:02Z,2730000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
278,PT04M41.00S,2022-05-22T01:29:52.1Z,2,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,35,54,2022-05-22T01:30:21Z,2740000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
