actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
90,PT04M23.00S,2022-05-18T01:01:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629057,10.200394218134035,44.6078431372549,1610612738,13,20,2022-05-18T01:01:35Z,880000,27.0,43.0,1,left,R. Williams III Jump Shot (8 PTS) (J. Brown 2 AST),"[1629057, 1627759]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,5.11,Made,8.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
92,PT04M10.00S,2022-05-18T01:01:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,94.1688567674113,52.450980392156865,1610612748,15,20,2022-05-18T01:01:47Z,900000,12.0,2.0,1,right,G. Vincent driving reverse Layup (2 PTS),[1629216],1610612748.0,MIA,driving reverse,,,Vincent,G. Vincent,,,,,1.25,Made,2.0,,,,,,,,,,,,,,,,,,
93,PT03M53.00S,2022-05-18T01:02:07.9Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612738,15,20,2022-05-18T01:03:21Z,910000,,,0,,T. Herro personal FOUL (1 PF) (White 2 FT),"[1629639, 1628401]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,2534.0,1.0,0.0,White,1628401.0,,,,,,
95,PT03M53.00S,2022-05-18T01:02:47.7Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,15,20,2022-05-18T01:02:47Z,930000,,,0,,MISS D. White Free Throw 1 of 2,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,Missed,,,,,,,,,,,,,,,,,,,
96,PT03M53.00S,2022-05-18T01:02:47.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,15,20,2022-05-18T01:02:47Z,940000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,
97,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,out,[],1629216,,,1610612738,15,20,2022-05-18T01:03:05Z,950000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,15,20,2022-05-18T01:03:05Z,960000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,15,20,2022-05-18T01:03:05Z,970000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,15,20,2022-05-18T01:03:05Z,980000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,in,[],203473,,,1610612738,15,20,2022-05-18T01:03:05Z,990000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,in,[],203506,,,1610612738,15,20,2022-05-18T01:03:05Z,1000000,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,in,[],1628464,,,1610612738,15,20,2022-05-18T01:03:05Z,1010000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M53.00S,2022-05-18T01:02:49.8Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,15,20,2022-05-18T01:03:05Z,1020000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M53.00S,2022-05-18T01:03:08.6Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,15,21,2022-05-18T01:03:08Z,1030000,,,0,,D. White Free Throw 2 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
106,PT03M34.00S,2022-05-18T01:03:28.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203473,92.85479632063075,49.754901960784316,1610612748,17,21,2022-05-18T01:08:11Z,1040000,-1.0,15.0,1,right,D. Dedmon DUNK (2 PTS) (P. Tucker 1 AST),"[203473, 200782]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,1.47,Made,2.0,P. Tucker,200782.0,1.0,,,,,,,,,,,,,,,
108,PT03M11.00S,2022-05-18T01:03:51.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,12.532851511169525,55.3921568627451,1610612738,17,21,2022-05-18T01:09:08Z,1060000,-27.0,65.0,1,left,MISS G. Williams 7' turnaround Shot,[1629684],1610612738.0,BOS,turnaround,,,Williams,G. Williams,,,,,7.07,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M09.00S,2022-05-18T01:03:53.7Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,17,21,2022-05-18T01:03:58Z,1070000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,,,,
110,PT03M06.00S,2022-05-18T01:03:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202710,93.77463863337714,47.794117647058826,1610612748,19,21,2022-05-18T01:09:26Z,1080000,-11.0,6.0,1,right,J. Butler running Layup (6 PTS) (T. Herro 3 AST),"[202710, 1629639]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,1.25,Made,6.0,T. Herro,1629639.0,3.0,,,,,,,,,,,,,,,
112,PT02M49.00S,2022-05-18T01:04:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.915243101182654,44.11764705882353,1610612738,19,21,2022-05-18T01:04:33Z,1100000,29.0,13.0,1,left,MISS J. Brown driving Layup - blocked,"[1627759, 203473]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.19,Missed,,,,,,,,,,,,,,Dedmon,203473.0,,,,
117,PT02M49.00S,2022-05-18T01:04:13.1Z,1,REGULAR,block,,[],203473,,,1610612738,19,21,2022-05-18T01:06:59Z,1105000,,,0,,D. Dedmon BLOCK (1 BLK),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M47.00S,2022-05-18T01:04:15.1Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,19,21,2022-05-18T01:04:33Z,1110000,,,0,,J. Butler REBOUND (Off:2 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,112.0,4.0,2.0,2.0,,,,,,,,,,,
114,PT02M40.00S,2022-05-18T01:04:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,85.62746386333771,48.28431372549019,1610612748,21,21,2022-05-18T01:04:41Z,1120000,-9.0,83.0,1,right,T. Herro 8' driving floating Jump Shot (5 PTS) (J. Butler 1 AST),"[1629639, 202710]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,8.3,Made,5.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,,,
116,PT02M40.00S,2022-05-18T01:04:32.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,21,2022-05-18T01:04:32Z,1140000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M40.00S,2022-05-18T01:04:45.8Z,1,REGULAR,substitution,out,[],200782,,,1610612738,21,21,2022-05-18T01:08:15Z,1150000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M40.00S,2022-05-18T01:04:45.8Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,21,21,2022-05-18T01:08:15Z,1160000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M40.00S,2022-05-18T01:04:45.8Z,1,REGULAR,substitution,in,[],1628997,,,1610612738,21,21,2022-05-18T01:08:15Z,1170000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M40.00S,2022-05-18T01:04:45.8Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,21,21,2022-05-18T01:08:15Z,1180000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M18.00S,2022-05-18T01:08:33.0Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,21,21,2022-05-18T01:08:38Z,1190000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 203506]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,1.0,Oladipo,203506.0,
123,PT02M18.00S,2022-05-18T01:08:33.0Z,1,REGULAR,steal,,[],203506,,,1610612748,21,21,2022-05-18T01:08:35Z,1200000,,,0,,V. Oladipo STEAL (1 STL),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M13.00S,2022-05-18T01:08:37.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628997,93.51182654402102,50.0,1610612748,23,21,2022-05-18T01:08:44Z,1210000,0.0,8.0,1,right,C. Martin running DUNK (2 PTS) (V. Oladipo 1 AST),"[1628997, 203506]",1610612748.0,MIA,running,,,Martin,C. Martin,,,,,0.85,Made,2.0,V. Oladipo,203506.0,1.0,,,,,,,,,,,,,,,
126,PT01M57.00S,2022-05-18T01:08:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.915243101182654,50.245098039215684,1610612738,23,23,2022-05-18T01:08:58Z,1230000,-1.0,13.0,1,left,J. Tatum driving Layup (8 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.26,Made,8.0,,,,,,,,,,,,,,,,,,
127,PT01M37.00S,2022-05-18T01:09:13.6Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,23,23,2022-05-18T01:09:19Z,1240000,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1630202]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,1.0,Pritchard,1630202.0,
128,PT01M37.00S,2022-05-18T01:09:13.6Z,1,REGULAR,steal,,[],1630202,,,1610612738,23,23,2022-05-18T01:09:15Z,1250000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M29.00S,2022-05-18T01:09:26.1Z,1,REGULAR,foul,offensive,[],1628401,,,1610612738,23,23,2022-05-18T01:09:33Z,1260000,,,0,,D. White charge offensive FOUL (1 PF),"[1628401, 1628997]",1610612738.0,BOS,charge,,,White,D. White,,,,,,,,,,,,,,,2530.0,1.0,0.0,Martin,1628997.0,,,,,,
131,PT01M29.00S,2022-05-18T01:09:26.1Z,1,REGULAR,turnover,offensive foul,[],1628401,,,1610612738,23,23,2022-05-18T01:09:26Z,1280000,,,0,,D. White offensive foul TURNOVER (1 TO),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,2530.0,,,,,,,1.0,,,
132,PT01M16.00S,2022-05-18T01:10:02.4Z,1,REGULAR,foul,offensive,[],202710,,,1610612748,23,23,2022-05-18T01:11:05Z,1290000,,,0,,J. Butler charge offensive FOUL (1 PF),"[202710, 1628401]",1610612748.0,MIA,charge,,,Butler,J. Butler,,,,,,,,,,,,,,,2534.0,1.0,0.0,White,1628401.0,,,,,,
134,PT01M16.00S,2022-05-18T01:10:02.4Z,1,REGULAR,turnover,offensive foul,[],202710,,,1610612748,23,23,2022-05-18T01:11:05Z,1310000,,,0,,J. Butler offensive foul TURNOVER (1 TO),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,2530.0,,,,,,,1.0,,,
135,PT01M16.00S,2022-05-18T01:10:16.7Z,1,REGULAR,substitution,out,[],202710,,,1610612738,23,23,2022-05-18T01:10:27Z,1320000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M16.00S,2022-05-18T01:10:16.7Z,1,REGULAR,substitution,in,[],1629622,,,1610612738,23,23,2022-05-18T01:10:27Z,1330000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M00.00S,2022-05-18T01:10:35.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,16.770696452036795,49.26470588235294,1610612738,23,25,2022-05-18T01:10:40Z,1340000,4.0,105.0,1,left,J. Tatum 10' driving floating Jump Shot (10 PTS) (D. White 2 AST),"[1628369, 1628401]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,10.52,Made,10.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,,
138,PT00M47.20S,2022-05-18T01:10:49.7Z,1,REGULAR,2pt,Jump Shot,[],203506,89.56964520367937,84.80392156862744,1610612748,23,25,2022-05-18T01:12:26Z,1350000,174.0,46.0,1,right,MISS V. Oladipo 17' pullup Shot,[203506],1610612748.0,MIA,pullup,,,Oladipo,V. Oladipo,,,,,17.99,Missed,,,,,,,,,,,,,,,,,,,
139,PT00M44.40S,2022-05-18T01:10:52.5Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612748,23,25,2022-05-18T01:13:06Z,1360000,,,0,,M. Strus REBOUND (Off:1 Def:0),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,138.0,1.0,0.0,1.0,,,,,,,,,,,
140,PT00M43.00S,2022-05-18T01:10:53.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,71.17279894875165,19.607843137254903,1610612748,23,25,2022-05-18T01:11:00Z,1370000,-152.0,218.0,1,right,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,,
141,PT00M37.70S,2022-05-18T01:10:59.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,23,25,2022-05-18T01:11:00Z,1380000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,
142,PT00M35.00S,2022-05-18T01:11:02.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,27.54599211563732,82.59803921568627,1610612738,23,28,2022-05-18T01:11:09Z,1390000,-163.0,206.0,1,left,P. Pritchard 26' 3PT  (3 PTS) (D. White 3 AST),"[1630202, 1628401]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,26.3,Made,3.0,D. White,1628401.0,3.0,,,,,,,,,,,,,,,
144,PT00M18.70S,2022-05-18T01:11:22.0Z,1,REGULAR,2pt,Jump Shot,[],1629639,84.57621550591328,30.637254901960787,1610612748,25,28,2022-05-18T01:11:42Z,1410000,-97.0,92.0,1,right,T. Herro 13' driving floating Jump Shot (7 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,13.39,Made,7.0,,,,,,,,,,,,,,,,,,
145,PT00M01.80S,2022-05-18T01:11:41.8Z,1,REGULAR,3pt,Jump Shot,[],1630202,23.866622864651774,87.25490196078431,1610612738,25,28,2022-05-18T01:12:03Z,1420000,-186.0,172.0,1,left,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M01.70S,2022-05-18T01:11:41.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,25,28,2022-05-18T01:12:03Z,1430000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,
147,PT00M00.00S,2022-05-18T01:11:51.4Z,1,REGULAR,period,end,[],0,,,1610612738,25,28,2022-05-18T01:11:51Z,1440000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,out,['startperiod'],203473,,,1610612738,25,28,2022-05-18T01:15:32Z,1450000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612738,25,28,2022-05-18T01:15:32Z,1460000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,25,28,2022-05-18T01:15:32Z,1470000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,out,['startperiod'],1628464,,,1610612738,25,28,2022-05-18T01:15:32Z,1480000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,in,['startperiod'],1628389,,,1610612738,25,28,2022-05-18T01:15:32Z,1490000,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612738,25,28,2022-05-18T01:15:32Z,1500000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,in,['startperiod'],1630174,,,1610612738,25,28,2022-05-18T01:15:32Z,1510000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-05-18T01:12:08.5Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,25,28,2022-05-18T01:15:32Z,1520000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-05-18T01:15:38.8Z,2,REGULAR,period,start,[],0,,,1610612748,25,28,2022-05-18T01:15:38Z,1530000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M36.00S,2022-05-18T01:16:01.6Z,2,REGULAR,turnover,lost ball,[],1629639,,,1610612748,25,28,2022-05-18T01:16:18Z,1540000,,,0,,T. Herro lost ball TURNOVER (2 TO),"[1629639, 1628369]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,2.0,Tatum,1628369.0,
160,PT11M36.00S,2022-05-18T01:16:01.6Z,2,REGULAR,steal,,[],1628369,,,1610612738,25,28,2022-05-18T01:16:04Z,1550000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M32.00S,2022-05-18T01:16:04.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628369,7.30946123521682,52.20588235294118,1610612738,25,30,2022-05-18T01:16:52Z,1560000,-11.0,16.0,1,left,J. Tatum running finger roll Layup (12 PTS),[1628369],1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,1.96,Made,12.0,,,,,,,,,,,,,,,,,,
162,PT11M10.00S,2022-05-18T01:16:24.3Z,2,REGULAR,3pt,Jump Shot,[],203506,67.88764783180025,60.5392156862745,1610612748,28,30,2022-05-18T01:17:21Z,1570000,53.0,249.0,1,right,V. Oladipo 25' 3PT pullup (3 PTS),[203506],1610612748.0,MIA,pullup,,,Oladipo,V. Oladipo,,,,,25.49,Made,3.0,,,,,,,,,,,,,,,,,,
163,PT10M51.00S,2022-05-18T01:16:44.5Z,2,REGULAR,turnover,bad pass,[],1630202,,,1610612738,28,30,2022-05-18T01:17:26Z,1580000,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1629622]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,1.0,Strus,1629622.0,
164,PT10M51.00S,2022-05-18T01:16:44.5Z,2,REGULAR,steal,,[],1629622,,,1610612748,28,30,2022-05-18T01:20:57Z,1590000,,,0,,M. Strus STEAL (1 STL),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT10M45.00S,2022-05-18T01:16:50.8Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628997,92.32917214191852,46.07843137254902,1610612748,28,30,2022-05-18T01:18:31Z,1600000,-20.0,20.0,1,right,MISS C. Martin running Layup - blocked,"[1628997, 1630174]",1610612748.0,MIA,running,,,Martin,C. Martin,,,,,2.77,Missed,,,,,,,,,,,,,,Nesmith,1630174.0,,,,
166,PT10M45.00S,2022-05-18T01:16:50.8Z,2,REGULAR,block,,[],1630174,,,1610612748,28,30,2022-05-18T01:18:10Z,1610000,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M44.00S,2022-05-18T01:16:51.8Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,28,30,2022-05-18T01:18:31Z,1620000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,165.0,2.0,2.0,0.0,,,,,,,,,,,
168,PT10M41.00S,2022-05-18T01:16:56.7Z,2,REGULAR,foul,personal,[],203506,,,1610612738,28,30,2022-05-18T01:17:16Z,1630000,,,0,,V. Oladipo personal FOUL (1 PF),"[203506, 1627759]",1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,1146.0,1.0,0.0,Brown,1627759.0,,,,,,
170,PT10M29.00S,2022-05-18T01:17:27.4Z,2,REGULAR,3pt,Jump Shot,[],1627759,28.597240473061763,79.41176470588235,1610612738,28,30,2022-05-18T01:17:34Z,1650000,-147.0,216.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.16,Missed,,,,,,,,,,,,,,,,,,,
171,PT10M26.00S,2022-05-18T01:17:30.4Z,2,REGULAR,rebound,offensive,[],1630174,,,1610612738,28,30,2022-05-18T01:17:34Z,1660000,,,0,,A. Nesmith REBOUND (Off:1 Def:0),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,170.0,1.0,0.0,1.0,,,,,,,,,,,
172,PT10M21.00S,2022-05-18T01:17:35.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,32.670827858081466,50.245098039215684,1610612738,28,30,2022-05-18T01:20:00Z,1670000,-1.0,255.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
173,PT10M18.00S,2022-05-18T01:17:37.6Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,28,30,2022-05-18T01:17:37Z,1680000,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,172.0,1.0,0.0,1.0,,,,,,,,,,,
174,PT10M15.00S,2022-05-18T01:17:40.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,6.915243101182654,52.20588235294118,1610612738,28,32,2022-05-18T01:17:45Z,1690000,-11.0,13.0,1,left,R. Williams III alley-oop DUNK (10 PTS) (J. Tatum 2 AST),"[1629057, 1628369]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.67,Made,10.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,,
176,PT09M58.00S,2022-05-18T01:18:08.7Z,2,REGULAR,foul,personal,[],1630174,,,1610612748,28,32,2022-05-18T01:18:39Z,1710000,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 203506]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,2534.0,1.0,0.0,Oladipo,203506.0,,,,,,
178,PT09M49.00S,2022-05-18T01:18:36.0Z,2,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612748,28,32,2022-05-18T01:18:45Z,1730000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629057, 1628389]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,1146.0,1.0,0.0,Adebayo,1628389.0,,,,,,
180,PT09M49.00S,2022-05-18T01:19:05.6Z,2,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,29,32,2022-05-18T01:19:05Z,1750000,,,0,,B. Adebayo Free Throw 1 of 2 (5 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
181,PT09M49.00S,2022-05-18T01:19:25.7Z,2,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,30,32,2022-05-18T01:19:25Z,1760000,,,0,,B. Adebayo Free Throw 2 of 2 (6 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
