actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
50,PT06M41.00S,2022-05-20T00:56:25.0Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612748,18,10,2022-05-20T00:56:31Z,500000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Tucker 2 FT),"[1629057, 200782]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,2714.0,1.0,0.0,Tucker,200782.0,,,,,
52,PT06M41.00S,2022-05-20T00:56:53.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],200782,,,1610612748,18,10,2022-05-20T00:56:53Z,520000,,,0,,MISS P. Tucker Free Throw 1 of 2,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT06M41.00S,2022-05-20T00:56:53.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,18,10,2022-05-20T00:56:53Z,530000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,
54,PT06M41.00S,2022-05-20T00:56:53.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],200782,,,1610612748,18,10,2022-05-20T00:57:21Z,540000,,,0,,MISS P. Tucker Free Throw 2 of 2,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,Missed,,,,,,,,,,,,,,,,,,
55,PT06M38.00S,2022-05-20T00:56:56.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,18,10,2022-05-20T00:57:21Z,550000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,
56,PT06M23.00S,2022-05-20T00:57:36.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,23.078186596583443,13.725490196078432,1610612738,18,13,2022-05-20T00:57:41Z,560000,181.0,164.0,1,left,J. Tatum 24' 3PT  (3 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.48,Made,3.0,,,,,M. Smart,203935.0,3.0,,,,,,,,,,
58,PT06M02.00S,2022-05-20T00:57:55.7Z,1,REGULAR,3pt,Jump Shot,[],202710,88.25558475689881,97.30392156862744,1610612748,18,13,2022-05-20T00:57:59Z,580000,237.0,58.0,1,right,MISS J. Butler 24' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,24.35,Missed,,,,,,,,,,,,,,,,,,
59,PT06M00.00S,2022-05-20T00:57:57.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,18,13,2022-05-20T00:57:59Z,590000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT05M51.00S,2022-05-20T00:58:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,7.5722733245729295,43.872549019607845,1610612738,18,13,2022-05-20T00:59:24Z,600000,31.0,19.0,1,left,MISS R. Williams III cutting Layup,[1629057],1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,3.59,Missed,,,,,,,,,,,,,,,,,,
61,PT05M49.00S,2022-05-20T00:58:09.7Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,18,13,2022-05-20T00:58:12Z,610000,,,0,,P. Tucker REBOUND (Off:1 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,60.0,3.0,2.0,1.0,,,,,,,,,,,,,
62,PT05M42.00S,2022-05-20T00:58:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,93.77463863337714,40.931372549019606,1610612748,18,13,2022-05-20T00:58:21Z,620000,-45.0,6.0,1,right,MISS P. Tucker floating Shot,[200782],1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,4.57,Missed,,,,,,,,,,,,,,,,,,
63,PT05M41.00S,2022-05-20T00:58:17.6Z,1,REGULAR,rebound,offensive,[],200782,,,1610612748,18,13,2022-05-20T00:58:21Z,630000,,,0,,P. Tucker REBOUND (Off:2 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,62.0,4.0,2.0,2.0,,,,,,,,,,,,,
64,PT05M41.00S,2022-05-20T00:58:19.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",200782,94.40999984741211,50.0,1610612748,18,13,2022-05-20T00:58:27Z,640000,0.0,0.0,1,right,MISS P. Tucker tip Layup,[200782],1610612748.0,MIA,tip,,,Tucker,P. Tucker,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
65,PT05M41.00S,2022-05-20T00:58:19.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,18,13,2022-05-20T00:58:27Z,650000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,
66,PT05M41.00S,2022-05-20T00:58:27.6Z,1,REGULAR,foul,personal,[],200782,,,1610612738,18,13,2022-05-20T00:58:42Z,660000,,,0,,P. Tucker personal FOUL (1 PF),"[200782, 203935]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,101284.0,1.0,0.0,Smart,203935.0,,,,,
68,PT05M41.00S,2022-05-20T00:58:34.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,18,13,2022-05-20T00:58:37Z,680000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M41.00S,2022-05-20T00:58:34.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,18,13,2022-05-20T00:58:37Z,690000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M25.00S,2022-05-20T00:59:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,6.521024967148489,45.588235294117645,1610612738,18,15,2022-05-20T00:59:10Z,700000,22.0,9.0,1,left,G. Williams reverse Layup (2 PTS) (J. Tatum 2 AST),"[1629684, 1628369]",1610612738.0,BOS,reverse,,,Williams,G. Williams,,,,,2.38,Made,2.0,,,,,J. Tatum,1628369.0,2.0,,,,,,,,,,
72,PT05M11.00S,2022-05-20T00:59:15.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,73.9323258869908,14.460784313725492,1610612748,18,15,2022-05-20T00:59:26Z,720000,-178.0,193.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,
73,PT05M08.00S,2022-05-20T00:59:18.7Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,18,15,2022-05-20T00:59:26Z,730000,,,0,,J. Butler REBOUND (Off:2 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,72.0,2.0,0.0,2.0,,,,,,,,,,,,,
74,PT05M04.00S,2022-05-20T00:59:22.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,94.82588699080158,2.450980392156863,1610612748,18,15,2022-05-20T00:59:29Z,740000,-238.0,-4.0,1,right,MISS M. Strus 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,23.77,Missed,,,,,,,,,,,,,,,,,,
75,PT05M04.00S,2022-05-20T00:59:22.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,18,15,2022-05-20T00:59:29Z,750000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,74.0,1.0,0.0,1.0,,,,,,,,,,,,,
