actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
263,PT02M51.00S,2022-05-20T01:36:30.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,39,64,2022-05-20T01:36:30Z,2580000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT02M51.00S,2022-05-20T01:37:48.8Z,2,REGULAR,substitution,out,[],1629622,,,1610612748,39,64,2022-05-20T01:39:54Z,2590000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
265,PT02M51.00S,2022-05-20T01:37:48.8Z,2,REGULAR,substitution,in,[],1629639,,,1610612748,39,64,2022-05-20T01:39:54Z,2600000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
266,PT02M51.00S,2022-05-20T01:40:31.8Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1628389,,,1610612748,39,64,2022-05-20T01:40:33Z,2610000,,,0,,MISS B. Adebayo Free Throw 1 of 1,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Missed,,,,,,,,,,,,,,,,,,
267,PT02M49.00S,2022-05-20T01:40:33.8Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,39,64,2022-05-20T01:40:33Z,2620000,,,0,,J. Brown REBOUND (Off:0 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,266.0,6.0,6.0,0.0,,,,,,,,,,,,,
268,PT02M32.00S,2022-05-20T01:40:53.5Z,2,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,39,64,2022-05-20T01:41:02Z,2630000,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (2 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1662.0,,,,,,,2.0,,
269,PT02M14.00S,2022-05-20T01:41:18.5Z,2,REGULAR,turnover,traveling,[],1629639,,,1610612748,39,64,2022-05-20T01:41:24Z,2640000,,,0,,T. Herro traveling TURNOVER (2 TO),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,1662.0,,,,,,,2.0,,
270,PT01M56.00S,2022-05-20T01:41:44.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203935,8.754927726675426,96.56862745098039,1610612738,39,64,2022-05-20T01:41:58Z,2650000,-233.0,30.0,1,left,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,
271,PT01M54.00S,2022-05-20T01:41:46.5Z,2,REGULAR,rebound,offensive,[],203935,,,1610612738,39,64,2022-05-20T01:41:58Z,2660000,,,0,,M. Smart REBOUND (Off:1 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,270.0,4.0,3.0,1.0,,,,,,,,,,,,,
272,PT01M51.00S,2022-05-20T01:41:57.0Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202710,,,1610612738,39,64,2022-05-20T01:42:07Z,2670000,,,0,,J. Butler personal FOUL (1 PF) (Brown 2 FT),"[202710, 1627759]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,101284.0,1.0,0.0,Brown,1627759.0,,,,,
274,PT01M51.00S,2022-05-20T01:42:15.0Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1627759,,,1610612738,39,65,2022-05-20T01:42:15Z,2690000,,,0,,J. Brown Free Throw 1 of 2 (14 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,14.0,,,,,,,,,,,,,,,,,
275,PT01M51.00S,2022-05-20T01:42:29.0Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1627759,,,1610612738,39,66,2022-05-20T01:42:29Z,2700000,,,0,,J. Brown Free Throw 2 of 2 (15 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,15.0,,,,,,,,,,,,,,,,,
276,PT01M39.00S,2022-05-20T01:42:45.1Z,2,REGULAR,turnover,traveling,[],202710,,,1610612748,39,66,2022-05-20T01:42:50Z,2710000,,,0,,J. Butler traveling TURNOVER (2 TO),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,1662.0,,,,,,,2.0,,
277,PT01M16.00S,2022-05-20T01:43:17.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629684,6.652431011826544,55.63725490196079,1610612738,39,68,2022-05-20T01:43:42Z,2720000,-28.0,10.0,1,left,G. Williams Layup (12 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,2.99,Made,12.0,,,,,,,,,,,,,,,,,
278,PT01M06.00S,2022-05-20T01:43:28.1Z,2,REGULAR,3pt,Jump Shot,[],1629216,76.82325886990802,7.107843137254902,1610612748,42,68,2022-05-20T01:43:31Z,2730000,-214.0,165.0,1,right,G. Vincent 27' 3PT  (8 PTS) (P. Tucker 1 AST),"[1629216, 200782]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,27.09,Made,8.0,,,,,P. Tucker,200782.0,1.0,,,,,,,,,,
280,PT00M46.10S,2022-05-20T01:43:49.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203935,7.30946123521682,48.77450980392157,1610612738,42,68,2022-05-20T01:44:46Z,2750000,6.0,16.0,1,left,MISS M. Smart cutting Layup,[203935],1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,1.73,Missed,,,,,,,,,,,,,,,,,,
281,PT00M42.60S,2022-05-20T01:43:52.6Z,2,REGULAR,rebound,offensive,[],203935,,,1610612738,42,68,2022-05-20T01:43:55Z,2760000,,,0,,M. Smart REBOUND (Off:2 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,280.0,5.0,3.0,2.0,,,,,,,,,,,,,
282,PT00M42.60S,2022-05-20T01:43:52.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203935,5.590000152587891,50.0,1610612738,42,68,2022-05-20T01:43:52Z,2770000,0.0,0.0,1,left,MISS M. Smart tip Layup,[203935],1610612738.0,BOS,tip,,,Smart,M. Smart,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
283,PT00M42.00S,2022-05-20T01:43:53.1Z,2,REGULAR,rebound,offensive,[],1627759,,,1610612738,42,68,2022-05-20T01:43:53Z,2780000,,,0,,J. Brown REBOUND (Off:1 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,282.0,7.0,6.0,1.0,,,,,,,,,,,,,
284,PT00M30.40S,2022-05-20T01:44:04.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,7.440867279894875,51.71568627450981,1610612738,42,68,2022-05-20T01:45:24Z,2790000,-9.0,17.0,1,left,MISS J. Tatum driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,1.94,Missed,,,,,,,,,,,,,,,,,,
285,PT00M28.20S,2022-05-20T01:44:06.9Z,2,REGULAR,rebound,defensive,[],1629216,,,1610612748,42,68,2022-05-20T01:45:24Z,2800000,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,284.0,1.0,1.0,0.0,,,,,,,,,,,,,
286,PT00M27.20S,2022-05-20T01:44:09.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202710,94.56307490144546,51.71568627450981,1610612748,44,68,2022-05-20T01:46:29Z,2810000,9.0,-1.0,1,right,J. Butler running Layup (12 PTS) (G. Vincent 3 AST),"[202710, 1629216]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,0.87,Made,12.0,,,,,G. Vincent,1629216.0,3.0,,,,,,,,,,
288,PT00M27.20S,2022-05-20T01:44:15.8Z,2,REGULAR,foul,personal,['1freethrow'],1627759,,,1610612748,44,68,2022-05-20T01:44:23Z,2830000,,,0,,J. Brown shooting personal FOUL (2 PF) (Butler 1 FT),"[1627759, 202710]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,101284.0,2.0,0.0,Butler,202710.0,,,,,
290,PT00M27.20S,2022-05-20T01:44:26.2Z,2,REGULAR,substitution,out,[],1629639,,,1610612748,44,68,2022-05-20T01:45:24Z,2850000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
291,PT00M27.20S,2022-05-20T01:44:26.2Z,2,REGULAR,substitution,in,[],1628997,,,1610612748,44,68,2022-05-20T01:45:24Z,2860000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
292,PT00M27.20S,2022-05-20T01:44:41.4Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],202710,,,1610612748,45,68,2022-05-20T01:44:41Z,2870000,,,0,,J. Butler Free Throw 1 of 1 (13 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
293,PT00M02.40S,2022-05-20T01:45:12.7Z,2,REGULAR,2pt,Jump Shot,[],203935,21.23850197109067,50.49019607843137,1610612738,45,70,2022-05-20T01:45:16Z,2880000,-2.0,147.0,1,left,M. Smart 14' pullup Jump Shot (7 PTS),[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,14.71,Made,7.0,,,,,,,,,,,,,,,,,
294,PT00M00.60S,2022-05-20T01:45:22.3Z,2,REGULAR,3pt,Jump Shot,[],1629216,52.38173455978975,37.00980392156863,1610612748,45,70,2022-05-20T01:48:08Z,2890000,-65.0,395.0,1,right,MISS G. Vincent 40' running pullup 3PT,[1629216],1610612748.0,MIA,running pullup,,,Vincent,G. Vincent,,,,,40.04,Missed,,,,,,,,,,,,,,,,,,
295,PT00M00.10S,2022-05-20T01:45:22.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,45,70,2022-05-20T01:45:41Z,2900000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,294.0,,,,,,,,,,,,,,,,
296,PT00M00.00S,2022-05-20T01:45:37.7Z,2,REGULAR,period,end,[],0,,,1610612748,45,70,2022-05-20T01:45:37Z,2910000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,PT12M00.00S,2022-05-20T02:01:16.0Z,3,REGULAR,substitution,out,['startperiod'],1628997,,,1610612748,45,70,2022-05-20T02:01:38Z,2920000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
298,PT12M00.00S,2022-05-20T02:01:16.0Z,3,REGULAR,substitution,out,['startperiod'],1629684,,,1610612748,45,70,2022-05-20T02:01:38Z,2930000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
299,PT12M00.00S,2022-05-20T02:01:16.0Z,3,REGULAR,substitution,in,['startperiod'],1629622,,,1610612748,45,70,2022-05-20T02:01:38Z,2940000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
300,PT12M00.00S,2022-05-20T02:01:16.0Z,3,REGULAR,substitution,in,['startperiod'],1629057,,,1610612748,45,70,2022-05-20T02:01:38Z,2950000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
301,PT12M00.00S,2022-05-20T02:01:53.0Z,3,REGULAR,period,start,[],0,,,1610612738,45,70,2022-05-20T02:01:53Z,2960000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT11M55.00S,2022-05-20T02:02:22.2Z,3,REGULAR,turnover,illegal-out-of-bounds-screen,[],1629057,,,1610612738,45,70,2022-05-20T02:09:09Z,2990000,,,0,,R. Williams III illegal-out-of-bounds-screen TURNOVER (1 TO),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,2714.0,,,,,,,1.0,,
305,PT11M34.00S,2022-05-20T02:02:38.8Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202710,14.586070959264127,49.05407475490196,1610612748,45,70,2022-05-20T02:05:09Z,3000000,5.0,85.0,1,left,MISS J. Butler 8' turnaround Shot,[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,8.47,Missed,,,,,,,,,,,,,,,,,,
306,PT11M31.00S,2022-05-20T02:02:41.8Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,45,70,2022-05-20T02:02:51Z,3010000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,305.0,2.0,2.0,0.0,,,,,,,,,,,,,
307,PT11M19.00S,2022-05-20T02:02:53.6Z,3,REGULAR,2pt,Jump Shot,[],1627759,77.87450722733246,66.42156862745098,1610612738,45,72,2022-05-20T02:02:56Z,3020000,82.0,155.0,1,right,J. Brown 17' pullup Jump Shot (17 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,17.58,Made,17.0,,,,,,,,,,,,,,,,,
308,PT11M00.00S,2022-05-20T02:03:13.1Z,3,REGULAR,turnover,bad pass,[],1629216,,,1610612748,45,72,2022-05-20T02:03:21Z,3030000,,,0,,G. Vincent bad pass TURNOVER (2 TO),"[1629216, 203935]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,2.0,Smart,203935.0
309,PT11M00.00S,2022-05-20T02:03:13.1Z,3,REGULAR,steal,,[],203935,,,1610612738,45,72,2022-05-20T02:03:15Z,3040000,,,0,,M. Smart STEAL (2 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
310,PT10M55.00S,2022-05-20T02:03:17.9Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203935,92.9862023653088,56.61764705882353,1610612738,45,72,2022-05-20T02:05:23Z,3050000,33.0,13.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,3.57,Missed,,,,,,,,,,,,,,,,,,
311,PT10M52.00S,2022-05-20T02:03:20.9Z,3,REGULAR,rebound,defensive,[],1629622,,,1610612748,45,72,2022-05-20T02:13:37Z,3060000,,,0,,M. Strus REBOUND (Off:0 Def:3),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,310.0,3.0,3.0,0.0,,,,,,,,,,,,,
312,PT10M45.00S,2022-05-20T02:03:28.2Z,3,REGULAR,3pt,Jump Shot,[],1629216,17.95335085413929,95.34313725490196,1610612748,45,72,2022-05-20T02:07:49Z,3070000,-227.0,116.0,1,left,MISS G. Vincent 25' pullup 3PT,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,
313,PT10M43.00S,2022-05-20T02:03:30.1Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,45,72,2022-05-20T02:03:30Z,3080000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,312.0,3.0,3.0,0.0,,,,,,,,,,,,,
314,PT10M33.00S,2022-05-20T02:03:39.7Z,3,REGULAR,turnover,lost ball,[],1628369,,,1610612738,45,72,2022-05-20T02:03:49Z,3090000,,,0,,J. Tatum lost ball TURNOVER (3 TO),"[1628369, 1629622]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,3.0,Strus,1629622.0
315,PT10M33.00S,2022-05-20T02:03:39.7Z,3,REGULAR,steal,,[],1629622,,,1610612748,45,72,2022-05-20T02:03:42Z,3100000,,,0,,M. Strus STEAL (1 STL),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
316,PT10M29.00S,2022-05-20T02:03:48.7Z,3,REGULAR,foul,personal,['2freethrow'],203935,,,1610612748,45,72,2022-05-20T02:03:59Z,3110000,,,0,,M. Smart shooting personal FOUL (1 PF) (Butler 2 FT),"[203935, 202710]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,1662.0,1.0,0.0,Butler,202710.0,,,,,
318,PT10M29.00S,2022-05-20T02:04:38.7Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],202710,,,1610612748,45,72,2022-05-20T02:04:38Z,3130000,,,0,,MISS J. Butler Free Throw 1 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Missed,,,,,,,,,,,,,,,,,,
319,PT10M29.00S,2022-05-20T02:04:38.7Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,45,72,2022-05-20T02:04:38Z,3140000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,,,
320,PT10M29.00S,2022-05-20T02:04:57.1Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],202710,,,1610612748,46,72,2022-05-20T02:04:57Z,3150000,,,0,,J. Butler Free Throw 2 of 2 (14 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,14.0,,,,,,,,,,,,,,,,,
322,PT10M12.00S,2022-05-20T02:05:13.2Z,3,REGULAR,2pt,Jump Shot,[],1627759,91.5407358738502,71.56862745098039,1610612738,46,72,2022-05-20T02:10:47Z,3160000,108.0,27.0,1,right,MISS J. Brown 11' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,11.11,Missed,,,,,,,,,,,,,,,,,,
323,PT10M09.00S,2022-05-20T02:05:16.2Z,3,REGULAR,rebound,defensive,[],1629216,,,1610612748,46,72,2022-05-20T02:05:18Z,3170000,,,0,,G. Vincent REBOUND (Off:0 Def:2),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,322.0,2.0,2.0,0.0,,,,,,,,,,,,,
324,PT10M05.00S,2022-05-20T02:05:29.4Z,3,REGULAR,foul,personal,[],1627759,,,1610612748,46,72,2022-05-20T02:06:01Z,3180000,,,0,,J. Brown personal FOUL (3 PF),"[1627759, 1628389]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,101284.0,3.0,0.0,Adebayo,1628389.0,,,,,
326,PT09M48.00S,2022-05-20T02:05:57.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,17.95335085413929,50.98039215686274,1610612748,46,72,2022-05-20T02:06:07Z,3200000,-5.0,116.0,1,left,MISS P. Tucker 11' driving floating Shot,[200782],1610612748.0,MIA,driving floating,,,Tucker,P. Tucker,,,,,11.64,Missed,,,,,,,,,,,,,,,,,,
327,PT09M47.00S,2022-05-20T02:05:58.2Z,3,REGULAR,rebound,offensive,[],202710,,,1610612748,46,72,2022-05-20T02:06:07Z,3210000,,,0,,J. Butler REBOUND (Off:3 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,326.0,3.0,0.0,3.0,,,,,,,,,,,,,
328,PT09M47.00S,2022-05-20T02:06:03.5Z,3,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612748,46,72,2022-05-20T02:06:10Z,3220000,,,0,,R. Williams III shooting personal FOUL (2 PF) (Butler 2 FT),"[1629057, 202710]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,101284.0,2.0,0.0,Butler,202710.0,,,,,
331,PT09M47.00S,2022-05-20T02:06:27.2Z,3,REGULAR,freethrow,1 of 2,['2ndchance'],202710,,,1610612748,47,72,2022-05-20T02:06:27Z,3240000,,,0,,J. Butler Free Throw 1 of 2 (15 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,15.0,,,,,,,,,,,,,,,,,
332,PT09M47.00S,2022-05-20T02:06:46.0Z,3,REGULAR,freethrow,2 of 2,['2ndchance'],202710,,,1610612748,48,72,2022-05-20T02:06:46Z,3250000,,,0,,J. Butler Free Throw 2 of 2 (16 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,16.0,,,,,,,,,,,,,,,,,
333,PT09M28.00S,2022-05-20T02:07:11.3Z,3,REGULAR,2pt,Jump Shot,[],203935,95.22010512483574,76.47058823529412,1610612738,48,74,2022-05-20T02:12:14Z,3260000,132.0,-8.0,1,right,M. Smart 13' driving floating Jump Shot (9 PTS),[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,13.26,Made,9.0,,,,,,,,,,,,,,,,,
334,PT09M28.00S,2022-05-20T02:07:15.5Z,3,REGULAR,foul,personal,['1freethrow'],1628389,,,1610612738,48,74,2022-05-20T02:07:25Z,3270000,,,0,,B. Adebayo shooting personal FOUL (3 PF) (Smart 1 FT),"[1628389, 203935]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,101284.0,3.0,0.0,Smart,203935.0,,,,,
336,PT09M28.00S,2022-05-20T02:07:36.4Z,3,REGULAR,freethrow,1 of 1,[],203935,,,1610612738,48,75,2022-05-20T02:07:36Z,3290000,,,0,,M. Smart Free Throw 1 of 1 (10 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
337,PT09M07.00S,2022-05-20T02:07:59.0Z,3,REGULAR,3pt,Jump Shot,[],1629216,12.171484888304862,98.52941176470588,1610612748,48,75,2022-05-20T02:08:05Z,3300000,-243.0,62.0,1,left,MISS G. Vincent 25' step back 3PT - blocked,"[1629216, 1629057]",1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,25.04,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,
338,PT09M07.00S,2022-05-20T02:07:59.0Z,3,REGULAR,block,,[],1629057,,,1610612748,48,75,2022-05-20T02:08:02Z,3310000,,,0,,R. Williams III BLOCK (3 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
339,PT09M03.00S,2022-05-20T02:08:03.0Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,48,75,2022-05-20T02:08:05Z,3320000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,337.0,4.0,4.0,0.0,,,,,,,,,,,,,
340,PT08M54.00S,2022-05-20T02:08:11.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201143,94.43166885676742,46.568627450980394,1610612738,48,77,2022-05-20T02:08:20Z,3330000,-17.0,0.0,1,right,A. Horford reverse Layup (5 PTS) (M. Smart 8 AST),"[201143, 203935]",1610612738.0,BOS,reverse,,,Horford,A. Horford,,,,,1.72,Made,5.0,,,,,M. Smart,203935.0,8.0,,,,,,,,,,
342,PT08M39.00S,2022-05-20T02:08:26.2Z,3,REGULAR,3pt,Jump Shot,[],1629216,27.283180026281208,19.852941176470587,1610612748,51,77,2022-05-20T02:08:31Z,3350000,151.0,204.0,1,left,G. Vincent 25' 3PT  (11 PTS) (B. Adebayo 2 AST),"[1629216, 1628389]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,25.36,Made,11.0,,,,,B. Adebayo,1628389.0,2.0,,,,,,,,,,
344,PT08M13.00S,2022-05-20T02:08:52.2Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.42247043363994,50.49019607843137,1610612738,51,77,2022-05-20T02:14:14Z,3370000,2.0,122.0,1,right,MISS J. Tatum 12' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,12.21,Missed,,,,,,,,,,,,,,,,,,
345,PT08M11.00S,2022-05-20T02:08:54.2Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,51,77,2022-05-20T02:08:57Z,3380000,,,0,,B. Adebayo REBOUND (Off:3 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,344.0,7.0,4.0,3.0,,,,,,,,,,,,,
346,PT08M03.00S,2022-05-20T02:09:02.8Z,3,REGULAR,2pt,Jump Shot,[],202710,22.421156373193167,48.529411764705884,1610612748,53,77,2022-05-20T02:09:14Z,3390000,7.0,158.0,1,left,J. Butler 15' pullup Jump Shot (18 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,15.85,Made,18.0,,,,,,,,,,,,,,,,,
347,PT07M52.00S,2022-05-20T02:09:13.3Z,3,REGULAR,3pt,Jump Shot,[],203935,85.23324572930355,3.431372549019608,1610612738,53,80,2022-05-20T02:09:19Z,3400000,-233.0,86.0,1,right,M. Smart 24' 3PT  (13 PTS) (J. Tatum 4 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.83,Made,13.0,,,,,J. Tatum,1628369.0,4.0,,,,,,,,,,
349,PT07M33.00S,2022-05-20T02:09:33.2Z,3,REGULAR,turnover,bad pass,[],200782,,,1610612748,53,80,2022-05-20T02:09:36Z,3420000,,,0,,P. Tucker bad pass TURNOVER (2 TO),"[200782, 1628369]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,2.0,Tatum,1628369.0
350,PT07M33.00S,2022-05-20T02:09:33.2Z,3,REGULAR,steal,,[],1628369,,,1610612738,53,80,2022-05-20T02:09:35Z,3430000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
351,PT07M28.00S,2022-05-20T02:09:44.1Z,3,REGULAR,foul,personal,[],1629216,,,1610612738,53,80,2022-05-20T02:10:02Z,3440000,,,0,,G. Vincent personal FOUL (2 PF),"[1629216, 203935]",1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,1662.0,2.0,0.0,Smart,203935.0,,,,,
353,PT07M28.00S,2022-05-20T02:09:51.9Z,3,REGULAR,substitution,out,[],200782,,,1610612738,53,80,2022-05-20T02:10:12Z,3460000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
354,PT07M28.00S,2022-05-20T02:09:51.9Z,3,REGULAR,substitution,out,[],1629057,,,1610612738,53,80,2022-05-20T02:10:12Z,3470000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
