actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
201,PT11M17.00S,2022-06-06T00:48:32.5Z,2,REGULAR,rebound,defensive,[],202357,,,1610612744,31,30,2022-06-06T00:49:03Z,2000000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,200.0,1.0,1.0,0.0,,
202,PT11M07.00S,2022-06-06T00:48:42.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203952,6.521024967148489,55.392156862745104,1610612744,31,30,2022-06-06T00:48:44Z,2010000,-27.0,9.0,1,left,MISS A. Wiggins driving Layup,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,,,2.84,Missed,,,,,,,,,,,,,,,,
203,PT11M06.00S,2022-06-06T00:48:47.3Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612738,31,30,2022-06-06T00:48:47Z,2020000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,202.0,3.0,3.0,0.0,,
205,PT11M06.00S,2022-06-06T00:48:51.1Z,2,REGULAR,substitution,out,[],203490,,,1610612738,31,30,2022-06-06T00:48:58Z,2040000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
206,PT11M06.00S,2022-06-06T00:48:51.1Z,2,REGULAR,substitution,in,[],203110,,,1610612738,31,30,2022-06-06T00:48:58Z,2050000,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
207,PT10M48.00S,2022-06-06T00:49:24.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,84.57621550591328,53.67647058823529,1610612738,31,30,2022-06-06T00:49:26Z,2060000,18.0,92.0,1,right,MISS D. White 9' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,,,9.43,Missed,,,,,,,,,,,,,,,,
209,PT10M46.00S,2022-06-06T00:49:26.4Z,2,REGULAR,rebound,defensive,[],1629673,,,1610612744,31,30,2022-06-06T00:58:14Z,2080000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,207.0,1.0,1.0,0.0,,
210,PT10M38.00S,2022-06-06T00:49:34.3Z,2,REGULAR,2pt,Jump Shot,[],202691,23.078186596583443,35.53921568627451,1610612744,31,30,2022-06-06T00:50:55Z,2090000,72.0,164.0,1,left,MISS K. Thompson 17' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,,,17.96,Missed,,,,,,,,,,,,,,,,
211,PT10M34.00S,2022-06-06T00:49:38.8Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,31,30,2022-06-06T00:49:38Z,2100000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,210.0,4.0,3.0,1.0,,
212,PT10M31.00S,2022-06-06T00:49:42.0Z,2,REGULAR,3pt,Jump Shot,[],1628369,69.33311432325887,22.30392156862745,1610612738,31,33,2022-06-06T00:51:25Z,2110000,-138.0,236.0,1,right,J. Tatum 27' 3PT pullup (16 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,27.35,Made,16.0,,,,,,,,,,,,,,,
213,PT10M07.00S,2022-06-06T00:50:05.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,7.703679369250986,41.66666666666667,1610612744,31,33,2022-06-06T00:50:07Z,2120000,42.0,20.0,1,left,MISS J. Poole driving finger roll Layup - blocked,"[1629673, 1628464]",1610612744.0,GSW,driving finger roll,,,Poole,J. Poole,,,,,,,4.62,Missed,,,,,,,,,,,,,,,Theis,1628464.0
214,PT10M07.00S,2022-06-06T00:50:05.1Z,2,REGULAR,block,,[],1628464,,,1610612744,31,33,2022-06-06T00:50:08Z,2130000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
215,PT10M05.00S,2022-06-06T00:50:07.1Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,31,33,2022-06-06T00:50:32Z,2140000,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,213.0,1.0,1.0,0.0,,
216,PT10M02.00S,2022-06-06T00:50:11.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628401,91.5407358738502,58.333333333333336,1610612738,31,33,2022-06-06T00:53:28Z,2150000,42.0,27.0,1,right,MISS D. White running reverse Layup,[1628401],1610612738.0,BOS,running reverse,,,White,D. White,,,,,,,4.97,Missed,,,,,,,,,,,,,,,,
217,PT10M01.00S,2022-06-06T00:50:12.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,31,33,2022-06-06T00:50:28Z,2160000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,216.0,,,,,
218,PT10M01.00S,2022-06-06T00:50:19.1Z,2,REGULAR,foul,personal,[],203952,,,1610612738,31,33,2022-06-06T00:50:22Z,2170000,,,0,,A. Wiggins loose ball personal FOUL (2 PF),"[203952, 1628369]",1610612744.0,GSW,loose ball,,,Wiggins,A. Wiggins,,,,,2534.0,,,,,,,,,,2.0,0.0,Tatum,1628369.0,,,,,,
220,PT10M01.00S,2022-06-06T00:50:33.5Z,2,REGULAR,substitution,out,[],1628464,,,1610612738,31,33,2022-06-06T00:50:37Z,2190000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
221,PT10M01.00S,2022-06-06T00:50:33.5Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,31,33,2022-06-06T00:50:37Z,2200000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
222,PT09M54.00S,2022-06-06T00:50:45.3Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,81.02825229960578,21.813725490196077,1610612738,31,33,2022-06-06T00:50:47Z,2210000,-141.0,126.0,1,right,MISS J. Tatum 18' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,18.89,Missed,,,,,,,,,,,,,,,,
223,PT09M52.00S,2022-06-06T00:50:47.3Z,2,REGULAR,rebound,defensive,[],202357,,,1610612744,31,33,2022-06-06T00:51:37Z,2220000,,,0,,N. Bjelica REBOUND (Off:0 Def:2),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,222.0,2.0,2.0,0.0,,
224,PT09M38.00S,2022-06-06T00:51:00.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202357,6.783837056504599,39.950980392156865,1610612744,33,33,2022-06-06T00:51:03Z,2230000,50.0,11.0,1,left,N. Bjelica reverse Layup (2 PTS) (D. Green 3 AST),"[202357, 203110]",1610612744.0,GSW,reverse,,,Bjelica,N. Bjelica,,,,,,,5.15,Made,2.0,D. Green,203110.0,3.0,,,,,,,,,,,,
226,PT09M21.00S,2022-06-06T00:51:18.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,91.27792378449409,56.61764705882353,1610612738,33,33,2022-06-06T00:51:19Z,2250000,33.0,29.0,1,right,MISS P. Pritchard Layup,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,4.43,Missed,,,,,,,,,,,,,,,,
227,PT09M18.00S,2022-06-06T00:51:20.8Z,2,REGULAR,rebound,defensive,[],202357,,,1610612744,33,33,2022-06-06T00:51:20Z,2260000,,,0,,N. Bjelica REBOUND (Off:0 Def:3),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,226.0,3.0,3.0,0.0,,
228,PT09M17.00S,2022-06-06T00:51:22.3Z,2,REGULAR,turnover,bad pass,[],202357,,,1610612744,33,33,2022-06-06T00:51:23Z,2270000,,,0,,N. Bjelica bad pass TURNOVER (1 TO),"[202357, 1628401]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,1.0,,,,,,,White,1628401.0,,,,,,,,,,
229,PT09M17.00S,2022-06-06T00:51:22.3Z,2,REGULAR,steal,,[],1628401,,,1610612738,33,33,2022-06-06T00:51:24Z,2280000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
230,PT09M09.00S,2022-06-06T00:51:30.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629057,92.59198423127464,40.68627450980392,1610612738,33,35,2022-06-06T00:51:32Z,2290000,-47.0,17.0,1,right,R. Williams III Layup (2 PTS) (D. White 2 AST),"[1629057, 1628401]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,4.96,Made,2.0,D. White,1628401.0,2.0,,,,,,,,,,,,
232,PT08M49.00S,2022-06-06T00:51:50.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202357,7.703679369250986,44.11764705882353,1610612744,35,35,2022-06-06T00:51:52Z,2310000,29.0,20.0,1,left,N. Bjelica cutting Layup (4 PTS) (J. Poole 2 AST),"[202357, 1629673]",1610612744.0,GSW,cutting,,,Bjelica,N. Bjelica,,,,,,,3.55,Made,4.0,J. Poole,1629673.0,2.0,,,,,,,,,,,,
234,PT08M20.00S,2022-06-06T00:52:18.5Z,2,REGULAR,2pt,Jump Shot,[],1627759,75.50919842312747,43.13725490196079,1610612738,35,35,2022-06-06T00:52:21Z,2330000,-34.0,178.0,1,right,MISS J. Brown 18' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,18.1,Missed,,,,,,,,,,,,,,,,
235,PT08M17.00S,2022-06-06T00:52:22.3Z,2,REGULAR,rebound,defensive,[],1629673,,,1610612744,35,35,2022-06-06T00:52:22Z,2340000,,,0,,J. Poole REBOUND (Off:0 Def:2),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,234.0,2.0,2.0,0.0,,
236,PT08M12.00S,2022-06-06T00:52:27.9Z,2,REGULAR,foul,offensive,[],1629673,,,1610612744,35,35,2022-06-06T00:52:42Z,2350000,,,0,,J. Poole offensive FOUL (1 PF),"[1629673, 1629057]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,201639.0,,,,,,,,,,1.0,0.0,Williams III,1629057.0,,,,,,
238,PT08M12.00S,2022-06-06T00:52:27.9Z,2,REGULAR,turnover,offensive foul,[],1629673,,,1610612744,35,35,2022-06-06T00:52:27Z,2370000,,,0,,J. Poole offensive foul TURNOVER (1 TO),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,201639.0,1.0,,,,,,,,,,,,,,,,,,
239,PT08M11.00S,2022-06-06T00:52:47.5Z,2,REGULAR,substitution,out,[],1629673,,,1610612738,35,35,2022-06-06T00:52:51Z,2380000,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,
240,PT08M11.00S,2022-06-06T00:52:47.5Z,2,REGULAR,substitution,in,[],201939,,,1610612738,35,35,2022-06-06T00:52:51Z,2390000,,,0,,SUB in: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
241,PT07M57.00S,2022-06-06T00:53:08.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,94.30026281208936,4.411764705882353,1610612738,35,35,2022-06-06T00:53:11Z,2400000,-228.0,1.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,22.79,Missed,,,,,,,,,,,,,,,,
242,PT07M55.00S,2022-06-06T00:53:11.4Z,2,REGULAR,rebound,defensive,[],203952,,,1610612744,35,35,2022-06-06T00:53:11Z,2410000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,241.0,1.0,1.0,0.0,,
243,PT07M45.00S,2022-06-06T00:53:21.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203952,8.754927726675426,38.970588235294116,1610612744,35,35,2022-06-06T00:53:23Z,2420000,55.0,30.0,1,left,MISS A. Wiggins 6' driving finger roll Layup,[203952],1610612744.0,GSW,driving finger roll,,,Wiggins,A. Wiggins,,,,,,,6.26,Missed,,,,,,,,,,,,,,,,
244,PT07M42.00S,2022-06-06T00:53:24.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,35,35,2022-06-06T00:53:24Z,2430000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,243.0,5.0,4.0,1.0,,
245,PT07M39.00S,2022-06-06T00:53:30.3Z,2,REGULAR,foul,personal,[],202357,,,1610612738,35,35,2022-06-06T00:53:32Z,2440000,,,0,,N. Bjelica personal FOUL (1 PF),"[202357, 1627759]",1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,1146.0,,,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,
248,PT07M39.00S,2022-06-06T00:53:42.1Z,2,REGULAR,substitution,in,[],201143,,,1610612738,35,35,2022-06-06T00:53:44Z,2470000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M39.00S,2022-06-06T00:53:42.1Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,35,35,2022-06-06T00:53:51Z,2480000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M33.00S,2022-06-06T00:54:01.0Z,2,REGULAR,2pt,Jump Shot,[],1628401,81.68528252299606,31.372549019607842,1610612738,35,37,2022-06-06T00:54:03Z,2490000,-93.0,120.0,1,right,D. White 15' pullup Jump Shot (2 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,,,15.16,Made,2.0,,,,,,,,,,,,,,,
251,PT07M14.00S,2022-06-06T00:54:18.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,7.178055190538765,58.333333333333336,1610612744,35,37,2022-06-06T00:58:20Z,2500000,-42.0,15.0,1,left,MISS K. Thompson turnaround bank Shot,[202691],1610612744.0,GSW,turnaround bank,,,Thompson,K. Thompson,,,,,,,4.43,Missed,,,,,,,,,,,,,,,,
252,PT07M12.00S,2022-06-06T00:54:20.3Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,35,37,2022-06-06T00:58:20Z,2510000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,251.0,4.0,4.0,0.0,,
253,PT07M06.00S,2022-06-06T00:54:27.3Z,2,REGULAR,3pt,Jump Shot,[],1628401,94.03745072273325,95.34313725490196,1610612738,35,40,2022-06-06T00:54:29Z,2520000,227.0,4.0,1,right,D. White 3PT  (5 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,,,22.67,Made,5.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,
255,PT06M57.00S,2022-06-06T00:54:38.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,35,40,2022-06-06T00:54:38Z,2540000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT06M57.00S,2022-06-06T00:57:08.5Z,2,REGULAR,substitution,out,[],202357,,,1610612744,35,40,2022-06-06T00:58:20Z,2550000,,,0,,SUB out: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,
259,PT06M57.00S,2022-06-06T00:57:08.5Z,2,REGULAR,substitution,out,[],202691,,,1610612744,35,40,2022-06-06T00:58:20Z,2560000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M57.00S,2022-06-06T00:57:08.5Z,2,REGULAR,substitution,out,[],1630202,,,1610612744,35,40,2022-06-06T00:58:20Z,2570000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
261,PT06M57.00S,2022-06-06T00:57:08.5Z,2,REGULAR,substitution,in,[],203490,,,1610612744,35,40,2022-06-06T00:58:20Z,2580000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M57.00S,2022-06-06T00:57:08.5Z,2,REGULAR,substitution,in,[],1627780,,,1610612744,35,40,2022-06-06T00:58:20Z,2590000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
263,PT06M57.00S,2022-06-06T00:57:08.5Z,2,REGULAR,substitution,in,[],1628369,,,1610612744,35,40,2022-06-06T00:58:20Z,2600000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
264,PT06M53.00S,2022-06-06T00:58:34.8Z,2,REGULAR,2pt,Jump Shot,[],201939,21.895532194480946,72.54901960784314,1610612744,37,40,2022-06-06T00:58:38Z,2610000,-113.0,153.0,1,left,S. Curry 19' step back Jump Shot (12 PTS) (O. Porter Jr. 1 AST),"[201939, 203490]",1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,,,19.03,Made,12.0,O. Porter Jr.,203490.0,1.0,,,,,,,,,,,,
266,PT06M35.00S,2022-06-06T00:58:53.8Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,37,40,2022-06-06T00:58:55Z,2630000,,,0,,J. Tatum bad pass TURNOVER (4 TO),"[1628369, 201939]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,4.0,,,,,,,Curry,201939.0,,,,,,,,,,
267,PT06M35.00S,2022-06-06T00:58:53.8Z,2,REGULAR,steal,,[],201939,,,1610612744,37,40,2022-06-06T00:58:55Z,2640000,,,0,,S. Curry STEAL (2 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M30.00S,2022-06-06T00:58:58.1Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201939,33.722076215505915,42.15686274509804,1610612744,40,40,2022-06-06T01:00:41Z,2650000,39.0,264.0,1,left,S. Curry 26' 3PT running pullup (15 PTS),[201939],1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,,,26.74,Made,15.0,,,,,,,,,,,,,,,
270,PT06M15.00S,2022-06-06T00:59:18.5Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,40,40,2022-06-06T00:59:21Z,2670000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
271,PT06M15.00S,2022-06-06T00:59:18.5Z,2,REGULAR,substitution,in,[],203935,,,1610612738,40,40,2022-06-06T00:59:21Z,2680000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
272,PT06M04.00S,2022-06-06T00:59:42.1Z,2,REGULAR,3pt,Jump Shot,[],1627759,75.90341655716163,89.4607843137255,1610612738,40,40,2022-06-06T00:59:45Z,2690000,197.0,174.0,1,right,MISS J. Brown 26' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,26.31,Missed,,,,,,,,,,,,,,,,
273,PT06M02.00S,2022-06-06T00:59:44.1Z,2,REGULAR,rebound,defensive,[],203490,,,1610612744,40,40,2022-06-06T01:00:16Z,2700000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:2),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,272.0,2.0,2.0,0.0,,
274,PT05M52.00S,2022-06-06T00:59:54.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201939,9.149145860709593,37.99019607843137,1610612744,40,40,2022-06-06T00:59:56Z,2710000,60.0,34.0,1,left,MISS S. Curry 6' driving Layup - blocked,"[201939, 1628401]",1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,,,6.87,Missed,,,,,,,,,,,,,,,White,1628401.0
275,PT05M52.00S,2022-06-06T00:59:54.0Z,2,REGULAR,block,,[],1628401,,,1610612744,40,40,2022-06-06T00:59:57Z,2720000,,,0,,D. White BLOCK (2 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
276,PT05M50.00S,2022-06-06T00:59:56.0Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,40,40,2022-06-06T01:00:13Z,2730000,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,274.0,2.0,2.0,0.0,,
277,PT05M43.00S,2022-06-06T01:00:05.4Z,2,REGULAR,foul,personal,[],203490,,,1610612738,40,40,2022-06-06T01:00:08Z,2740000,,,0,,O. Porter Jr. personal FOUL (1 PF),"[203490, 201143]",1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,2534.0,,,,,,,,,,1.0,0.0,Horford,201143.0,,,,,,
279,PT05M36.00S,2022-06-06T01:00:33.2Z,2,REGULAR,2pt,Jump Shot,[],203935,91.67214191852825,73.52941176470588,1610612738,40,40,2022-06-06T01:00:35Z,2760000,118.0,26.0,1,right,MISS M. Smart 12' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,,,12.04,Missed,,,,,,,,,,,,,,,,
280,PT05M33.00S,2022-06-06T01:00:36.6Z,2,REGULAR,rebound,defensive,[],201939,,,1610612744,40,40,2022-06-06T01:00:36Z,2770000,,,0,,S. Curry REBOUND (Off:0 Def:3),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,279.0,3.0,3.0,0.0,,
281,PT05M27.00S,2022-06-06T01:00:41.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627780,8.886333771353483,40.931372549019606,1610612744,42,40,2022-06-06T01:02:42Z,2780000,45.0,31.0,1,left,G. Payton II running reverse Layup (5 PTS) (D. Green 4 AST),"[1627780, 203110]",1610612744.0,GSW,running reverse,,,Payton II,G. Payton II,,,,,,,5.49,Made,5.0,D. Green,203110.0,4.0,,,,,,,,,,,,
283,PT05M12.00S,2022-06-06T01:00:57.0Z,2,REGULAR,3pt,Jump Shot,[],1627759,71.43561103810775,76.7156862745098,1610612738,42,40,2022-06-06T01:00:59Z,2800000,134.0,216.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,25.4,Missed,,,,,,,,,,,,,,,,
284,PT05M10.00S,2022-06-06T01:00:59.0Z,2,REGULAR,rebound,defensive,[],203952,,,1610612744,42,40,2022-06-06T01:01:21Z,2810000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,283.0,2.0,2.0,0.0,,
285,PT04M53.00S,2022-06-06T01:01:15.4Z,2,REGULAR,3pt,Jump Shot,[],203952,34.11629434954008,46.81372549019608,1610612744,45,40,2022-06-06T01:01:17Z,2820000,16.0,268.0,1,left,A. Wiggins 26' 3PT  (6 PTS) (G. Payton II 2 AST),"[203952, 1627780]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,26.87,Made,6.0,G. Payton II,1627780.0,2.0,,,,,,,,,,,,
287,PT04M52.00S,2022-06-06T01:01:24.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,45,40,2022-06-06T01:01:24Z,2840000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PT04M28.00S,2022-06-06T01:05:41.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,64.86530880420499,39.705882352941174,1610612738,45,43,2022-06-06T01:05:43Z,2850000,-51.0,278.0,1,right,J. Tatum 28' 3PT  (19 PTS) (J. Brown 2 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,28.25,Made,19.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,
290,PT04M07.00S,2022-06-06T01:06:02.4Z,2,REGULAR,2pt,Jump Shot,[],203952,21.50131406044678,56.372549019607845,1610612744,45,43,2022-06-06T01:06:05Z,2870000,-32.0,150.0,1,left,MISS A. Wiggins 15' step back Shot,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,,,15.3,Missed,,,,,,,,,,,,,,,,
291,PT04M05.00S,2022-06-06T01:06:04.4Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,45,43,2022-06-06T01:06:24Z,2880000,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,290.0,3.0,3.0,0.0,,
292,PT03M55.00S,2022-06-06T01:06:14.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,89.56964520367937,45.09803921568628,1610612738,45,43,2022-06-06T01:06:17Z,2890000,-25.0,46.0,1,right,MISS D. White driving Layup,[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,,,5.17,Missed,,,,,,,,,,,,,,,,
293,PT03M54.00S,2022-06-06T01:06:18.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,45,43,2022-06-06T01:06:18Z,2900000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,292.0,,,,,
295,PT03M47.00S,2022-06-06T01:06:43.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,70.90998685939553,80.63725490196079,1610612738,45,46,2022-06-06T01:06:45Z,2920000,153.0,221.0,1,right,D. White 26' 3PT  (8 PTS) (J. Tatum 3 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,,,26.88,Made,8.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,
