actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
64,PT06M45.00S,2022-05-28T00:57:55.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629057,91.93495400788436,47.794117647058826,1610612738,7,12,2022-05-28T00:57:59Z,640000,-11.0,23.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,2.58,Made,,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,
66,PT06M30.00S,2022-05-28T00:58:10.8Z,1,REGULAR,turnover,bad pass,[],1629622,,,1610612748,7,12,2022-05-28T00:58:18Z,660000,,,0,,M. Strus bad pass TURNOVER (2 TO),"[1629622, 203935]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,2.0,Smart,203935.0,,,,,,,,,,,,,,,,,,
67,PT06M30.00S,2022-05-28T00:58:10.8Z,1,REGULAR,steal,,[],203935,,,1610612738,7,12,2022-05-28T00:58:12Z,670000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M29.00S,2022-05-28T00:58:15.3Z,1,REGULAR,foul,personal,[],200782,,,1610612738,7,12,2022-05-28T00:59:23Z,680000,,,0,,P. Tucker take personal FOUL (2 PF),"[200782, 203935]",1610612748.0,MIA,take,,,Tucker,P. Tucker,,,,,,,,,,,,,,2004.0,,,,,2.0,0.0,Smart,203935.0,,,
70,PT06M29.00S,2022-05-28T00:58:30.1Z,1,REGULAR,substitution,out,[],200782,,,1610612738,7,12,2022-05-28T00:58:36Z,700000,,,0,,SUB out: P. Tucker,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M29.00S,2022-05-28T00:58:30.1Z,1,REGULAR,substitution,in,[],1628997,,,1610612738,7,12,2022-05-28T00:58:36Z,710000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M18.00S,2022-05-28T00:58:50.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,75.77201051248358,36.27450980392157,1610612738,7,12,2022-05-28T00:58:55Z,720000,-69.0,175.0,1,right,MISS J. Brown 18' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,,18.82,Missed,,,,,,,,,,,,,,,,
73,PT06M16.00S,2022-05-28T00:58:52.0Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,7,12,2022-05-28T00:58:55Z,730000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,
74,PT06M07.00S,2022-05-28T00:59:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.966491458607096,45.34313725490196,1610612748,7,14,2022-05-28T00:59:05Z,740000,23.0,22.0,1,left,J. Butler driving Layup (4 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,3.23,Made,,,,,,4.0,,,,,,,,,,
75,PT05M57.00S,2022-05-28T00:59:14.9Z,1,REGULAR,foul,personal,[],1628997,,,1610612738,7,14,2022-05-28T00:59:20Z,750000,,,0,,C. Martin personal FOUL (1 PF),"[1628997, 1628369]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,2534.0,,,,,1.0,0.0,Tatum,1628369.0,,,
77,PT05M46.00S,2022-05-28T00:59:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,89.22470433639947,56.104473039215684,1610612738,9,14,2022-05-28T01:00:36Z,770000,31.0,49.0,1,right,M. Smart driving floating Jump Shot (2 PTS),[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,,,,5.75,Made,,,,,,2.0,,,,,,,,,,
78,PT05M25.00S,2022-05-28T00:59:57.3Z,1,REGULAR,3pt,Jump Shot,[],202710,28.465834428383708,23.03921568627451,1610612748,9,17,2022-05-28T01:00:01Z,780000,135.0,215.0,1,left,J. Butler 25' 3PT  (7 PTS) (K. Lowry 2 AST),"[202710, 200768]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,25.38,Made,,,,,,7.0,K. Lowry,200768.0,2.0,,,,,,,
80,PT05M00.00S,2022-05-28T01:00:23.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,84.57621550591328,49.754901960784316,1610612738,9,17,2022-05-28T01:00:27Z,800000,-1.0,92.0,1,right,MISS M. Smart 9' turnaround fadeaway Shot,[203935],1610612738.0,BOS,turnaround fadeaway,,,Smart,M. Smart,,,,,,,,9.25,Missed,,,,,,,,,,,,,,,,
81,PT04M58.00S,2022-05-28T01:00:25.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,9,17,2022-05-28T01:00:27Z,810000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,
82,PT04M53.00S,2022-05-28T01:00:29.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628997,6.521024967148489,45.83333333333333,1610612748,9,19,2022-05-28T01:02:03Z,820000,21.0,9.0,1,left,C. Martin running reverse Layup (2 PTS) (J. Butler 3 AST),"[1628997, 202710]",1610612748.0,MIA,running reverse,,,Martin,C. Martin,,,,,,,,2.26,Made,,,,,,2.0,J. Butler,202710.0,3.0,,,,,,,
84,PT04M42.00S,2022-05-28T01:00:41.1Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,9,19,2022-05-28T01:02:55Z,840000,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 202710]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,2.0,Butler,202710.0,,,,,,,,,,,,,,,,,,
85,PT04M42.00S,2022-05-28T01:00:41.1Z,1,REGULAR,steal,,[],202710,,,1610612748,9,19,2022-05-28T01:00:44Z,850000,,,0,,J. Butler STEAL (2 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M37.00S,2022-05-28T01:00:45.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629622,26.62614980289093,16.911764705882355,1610612748,9,19,2022-05-28T01:00:57Z,860000,165.0,198.0,1,left,MISS M. Strus 25' running 3PT,[1629622],1610612748.0,MIA,running,,,Strus,M. Strus,,,,,,,,25.78,Missed,,,,,,,,,,,,,,,,
87,PT04M34.00S,2022-05-28T01:00:48.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,19,2022-05-28T01:00:48Z,870000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,
