actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,value,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
59,PT06M39.00S,2022-04-23T23:55:38.8Z,1,REGULAR,turnover,bad pass,[],1628971,,,1610612751,12,10,2022-04-23T23:59:47Z,510000,,,0,,B. Brown bad pass TURNOVER (1 TO),"[1628971, 1628369]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,
60,PT06M39.00S,2022-04-23T23:55:38.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,12,10,2022-04-24T00:00:41Z,520000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M30.00S,2022-04-23T23:55:46.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628369,70.25295663600527,22.058823529411764,1610612738,12,13,2022-04-23T23:55:55Z,530000,-140.0,227.0,1,right,J. Tatum 26' 3PT  (8 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,26.66,Made,,,,,,,,,8.0,M. Smart,203935.0,3.0,,
65,PT06M19.00S,2022-04-23T23:55:57.3Z,1,REGULAR,2pt,Jump Shot,[],202681,5.469776609724048,24.754901960784316,1610612751,14,13,2022-04-23T23:56:01Z,550000,126.0,-1.0,1,left,K. Irving 12' pullup Jump Shot (4 PTS),[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,,,,,,12.62,Made,,,,,,,,,4.0,,,,,
66,PT06M09.00S,2022-04-23T23:56:09.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,93.64323258869908,49.754901960784316,1610612738,14,15,2022-04-24T00:50:00Z,560000,-1.0,7.0,1,right,D. Theis cutting DUNK (4 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,,,,,,0.74,Made,,,,,,,,,4.0,J. Tatum,1628369.0,1.0,,
68,PT06M03.00S,2022-04-23T23:56:18.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,14,15,2022-04-23T23:56:18Z,580000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M03.00S,2022-04-23T23:56:52.2Z,1,REGULAR,substitution,out,[],203083,,,1610612751,14,15,2022-04-23T23:59:30Z,590000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M03.00S,2022-04-23T23:56:52.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612751,14,15,2022-04-23T23:59:30Z,600000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M03.00S,2022-04-23T23:56:52.2Z,1,REGULAR,substitution,out,[],1628464,,,1610612751,14,15,2022-04-23T23:59:30Z,610000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M03.00S,2022-04-23T23:56:52.2Z,1,REGULAR,substitution,in,[],1629651,,,1610612751,14,15,2022-04-23T23:59:30Z,620000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
