actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
46,PT08M40.00S,2022-05-15T19:47:31.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,3,7,2022-05-15T19:47:40Z,460000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,201640.0,,,,,,,,,,
47,PT08M29.00S,2022-05-15T19:47:50.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203507,65.1281208935611,34.31372549019608,1610612749,3,10,2022-05-15T19:47:55Z,470000,-78.0,275.0,1,right,G. Antetokounmpo 28' 3PT  (6 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,28.62,Made,,6.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
49,PT08M10.00S,2022-05-15T19:48:09.1Z,1,REGULAR,2pt,Jump Shot,[],1627759,16.63929040735874,17.15686274509804,1610612738,3,10,2022-05-15T19:48:13Z,490000,164.0,104.0,1,left,MISS J. Brown 19' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,19.43,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M08.00S,2022-05-15T19:48:11.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,10,2022-05-15T19:48:13Z,500000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,49.0,,,,,4.0,4.0,0.0,,,,,,,,,,,
51,PT07M46.00S,2022-05-15T19:48:33.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,73.9323258869908,85.5392156862745,1610612749,3,10,2022-05-15T19:49:27Z,510000,178.0,193.0,1,right,MISS G. Allen 26' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M44.00S,2022-05-15T19:48:35.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,3,10,2022-05-15T19:48:37Z,520000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,51.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
53,PT07M37.00S,2022-05-15T19:48:42.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.042706964520367,74.26470588235294,1610612738,6,10,2022-05-15T19:48:49Z,530000,-121.0,230.0,1,left,J. Tatum 25' 3PT  (3 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.99,Made,,3.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
55,PT07M21.00S,2022-05-15T19:48:58.5Z,1,REGULAR,3pt,Jump Shot,[],201572,67.7562417871222,71.56862745098039,1610612749,6,13,2022-05-15T19:49:02Z,550000,108.0,251.0,1,right,B. Lopez 27' 3PT  (3 PTS) (G. Antetokounmpo 3 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,27.28,Made,,3.0,G. Antetokounmpo,203507.0,3.0,,,,,,,,,,,,,,
57,PT07M19.00S,2022-05-15T19:49:04.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,13,2022-05-15T19:49:04Z,570000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M19.00S,2022-05-15T19:52:11.7Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,6,13,2022-05-15T19:52:41Z,580000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M19.00S,2022-05-15T19:52:11.7Z,1,REGULAR,substitution,out,[],1628960,,,1610612738,6,13,2022-05-15T19:52:41Z,590000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M19.00S,2022-05-15T19:52:11.7Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,6,13,2022-05-15T19:52:41Z,600000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M19.00S,2022-05-15T19:52:11.7Z,1,REGULAR,substitution,in,[],1626192,,,1610612738,6,13,2022-05-15T19:52:41Z,610000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M03.00S,2022-05-15T19:52:58.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,29.6484888304862,27.941176470588236,1610612738,9,13,2022-05-15T19:53:03Z,620000,110.0,226.0,1,left,J. Brown 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.17,Made,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
64,PT06M53.00S,2022-05-15T19:53:08.7Z,1,REGULAR,3pt,Jump Shot,[],1626192,76.5604467805519,88.97058823529412,1610612749,9,13,2022-05-15T19:53:17Z,640000,195.0,168.0,1,right,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
