actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
51,PT08M11.00S,2022-04-25T23:10:18.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628464,,,1610612738,5,9,2022-04-25T23:10:18Z,510000,,,0,,D. Theis Free Throw 1 of 2 (1 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
52,PT08M11.00S,2022-04-25T23:10:20.8Z,1,REGULAR,substitution,out,[],203552,,,1610612738,5,9,2022-04-25T23:10:27Z,520000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M11.00S,2022-04-25T23:10:20.8Z,1,REGULAR,substitution,in,[],201609,,,1610612738,5,9,2022-04-25T23:10:27Z,530000,,,0,,SUB in: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M11.00S,2022-04-25T23:10:39.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628464,,,1610612738,5,10,2022-04-25T23:10:39Z,540000,,,0,,D. Theis Free Throw 2 of 2 (2 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
55,PT07M53.00S,2022-04-25T23:11:00.0Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612751,5,10,2022-04-25T23:11:09Z,550000,,,0,,A. Horford shooting personal FOUL (1 PF) (Durant 2 FT),"[201143, 201142]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,1162.0,1.0,0.0,Durant,201142.0,,,,,,,,,,
57,PT07M53.00S,2022-04-25T23:11:21.7Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,6,10,2022-04-25T23:11:21Z,570000,,,0,,K. Durant Free Throw 1 of 2 (3 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
58,PT07M53.00S,2022-04-25T23:11:35.2Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,7,10,2022-04-25T23:11:35Z,580000,,,0,,K. Durant Free Throw 2 of 2 (4 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
59,PT07M40.00S,2022-04-25T23:11:50.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,72.09264126149803,79.65686274509804,1610612738,7,10,2022-04-25T23:11:54Z,590000,148.0,210.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M38.00S,2022-04-25T23:11:52.5Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,7,10,2022-04-25T23:11:52Z,600000,,,0,,D. Theis REBOUND (Off:1 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,59.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
61,PT07M37.00S,2022-04-25T23:11:53.4Z,1,REGULAR,turnover,lost ball,[],1628464,,,1610612738,7,10,2022-04-25T23:11:56Z,610000,,,0,,D. Theis lost ball TURNOVER (1 TO),"[1628464, 1629651]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,1.0,Claxton,1629651.0,,,
