actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
52,PT08M06.00S,2022-04-20T23:21:49.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,4,11,2022-04-20T23:21:52Z,520000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,
53,PT07M51.00S,2022-04-20T23:22:02.0Z,1,REGULAR,turnover,bad pass,[],203083,,,1610612751,4,11,2022-04-20T23:22:07Z,530000,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 203935]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,1.0,,,,,,,,,,,Smart,203935.0,
54,PT07M51.00S,2022-04-20T23:22:02.0Z,1,REGULAR,steal,,[],203935,,,1610612738,4,11,2022-04-20T23:22:03Z,540000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M46.00S,2022-04-20T23:22:07.4Z,1,REGULAR,turnover,bad pass,[],1628464,,,1610612738,4,11,2022-04-20T23:22:11Z,550000,,,0,,D. Theis bad pass TURNOVER (1 TO),"[1628464, 203083]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,1.0,,,,,,,,,,,Drummond,203083.0,
56,PT07M46.00S,2022-04-20T23:22:07.4Z,1,REGULAR,steal,,[],203083,,,1610612751,4,11,2022-04-20T23:22:09Z,560000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M40.00S,2022-04-20T23:22:13.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,27.677398160315374,46.07843137254902,1610612751,4,11,2022-04-20T23:22:18Z,570000,20.0,208.0,1,left,MISS K. Durant 20' pullup Shot - blocked,"[201142, 201143]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,20.86,Missed,,,,,,,,,,,,,,,Horford,201143.0,,,
58,PT07M40.00S,2022-04-20T23:22:13.6Z,1,REGULAR,block,,[],201143,,,1610612751,4,11,2022-04-20T23:22:15Z,580000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M38.00S,2022-04-20T23:22:15.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,11,2022-04-20T23:22:18Z,590000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,
60,PT07M38.00S,2022-04-20T23:22:18.2Z,1,REGULAR,foul,personal,['2freethrow'],203552,,,1610612738,4,11,2022-04-20T23:24:35Z,600000,,,0,,S. Curry flagrant-type-1 personal FOUL (1 PF) (Tatum 2 FT),"[203552, 1628369]",1610612751.0,BKN,flagrant-type-1,,,Curry,S. Curry,,,,,,,,,,,204059.0,,,,,,1.0,0.0,Tatum,1628369.0,,,,,
62,PT07M38.00S,2022-04-20T23:22:48.5Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,4,11,2022-04-20T23:24:25Z,620000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,Common Foul to Flagrant 1
63,PT07M38.00S,2022-04-20T23:24:53.6Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,5,11,2022-04-20T23:25:09Z,630000,,,0,,J. Tatum flagrant Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,flagrant,,,Tatum,J. Tatum,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
64,PT07M38.00S,2022-04-20T23:24:53.6Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,6,11,2022-04-20T23:25:09Z,640000,,,0,,J. Tatum flagrant Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,flagrant,,,Tatum,J. Tatum,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
