actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
98,PT04M20.00S,2022-06-17T01:23:43.4Z,1,REGULAR,turnover,offensive foul,[],203935,,,1610612738,18,12,2022-06-17T01:23:43Z,980000,,,0,,M. Smart offensive foul TURNOVER (1 TO),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,101284.0,,,,,,,,,,,,,,,1.0,,,,
99,PT04M15.00S,2022-06-17T01:24:06.1Z,1,REGULAR,foul,personal,[],1629057,,,1610612744,18,12,2022-06-17T01:24:11Z,990000,,,0,,R. Williams III personal FOUL (1 PF),"[1629057, 1626172]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2714.0,1.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,
101,PT04M03.00S,2022-06-17T01:24:36.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629673,16.113666228646515,35.049019607843135,1610612744,18,14,2022-06-17T01:24:41Z,1010000,75.0,99.0,1,left,J. Poole 12' driving floating bank Jump Shot (2 PTS) (S. Curry 2 AST),"[1629673, 201939]",1610612744.0,GSW,driving floating bank,,,Poole,J. Poole,,,,,,,,,,Made,2.0,12.41,S. Curry,201939.0,2.0,,,,,,,,,
103,PT03M39.00S,2022-06-17T01:24:59.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,68.41327201051249,60.5392156862745,1610612738,18,14,2022-06-17T01:25:38Z,1030000,53.0,244.0,1,right,MISS P. Pritchard 25' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,,,,,,Missed,,25.0,,,,,,,,,,,,
104,PT03M37.00S,2022-06-17T01:25:01.1Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,18,14,2022-06-17T01:25:05Z,1040000,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,103.0,1.0,0.0,1.0,,,,,
105,PT03M31.00S,2022-06-17T01:25:07.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,93.24901445466492,78.43137254901961,1610612738,20,14,2022-06-17T01:26:17Z,1050000,142.0,11.0,1,right,J. Brown 14' turnaround Jump Shot (7 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,,,,,,Made,7.0,14.26,P. Pritchard,1630202.0,1.0,,,,,,,,,
107,PT03M17.00S,2022-06-17T01:25:22.0Z,1,REGULAR,turnover,lost ball,[],201939,,,1610612744,20,14,2022-06-17T01:25:25Z,1070000,,,0,,S. Curry lost ball TURNOVER (2 TO),"[201939, 203935]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,2.0,Smart,203935.0,,
108,PT03M17.00S,2022-06-17T01:25:22.0Z,1,REGULAR,steal,,[],203935,,,1610612738,20,14,2022-06-17T01:25:23Z,1080000,,,0,,M. Smart STEAL (2 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M11.00S,2022-06-17T01:25:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628401,90.48948751642575,45.83333333333333,1610612738,20,14,2022-06-17T01:25:35Z,1090000,-21.0,37.0,1,right,MISS D. White running Layup,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,,,,,,Missed,,4.24,,,,,,,,,,,,
111,PT03M09.00S,2022-06-17T01:25:30.1Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,20,14,2022-06-17T01:25:35Z,1110000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,109.0,1.0,1.0,0.0,,,,,
112,PT03M06.00S,2022-06-17T01:25:33.7Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612744,20,14,2022-06-17T01:25:43Z,1120000,,,0,,M. Smart shooting personal FOUL (2 PF) (Payton II 2 FT),"[203935, 1627780]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,101284.0,2.0,0.0,Payton II,1627780.0,,,,,,,,,,,,,,,
114,PT03M06.00S,2022-06-17T01:26:03.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627780,,,1610612744,20,15,2022-06-17T01:26:03Z,1140000,,,0,,G. Payton II Free Throw 1 of 2 (1 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
115,PT03M06.00S,2022-06-17T01:26:04.1Z,1,REGULAR,substitution,out,[],203935,,,1610612744,20,15,2022-06-17T01:26:21Z,1150000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M06.00S,2022-06-17T01:26:04.1Z,1,REGULAR,substitution,out,[],203490,,,1610612744,20,15,2022-06-17T01:26:21Z,1160000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M06.00S,2022-06-17T01:26:04.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612744,20,15,2022-06-17T01:26:21Z,1170000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M06.00S,2022-06-17T01:26:04.1Z,1,REGULAR,substitution,in,[],203952,,,1610612744,20,15,2022-06-17T01:26:21Z,1180000,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M06.00S,2022-06-17T01:26:27.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627780,,,1610612744,20,16,2022-06-17T01:26:27Z,1190000,,,0,,G. Payton II Free Throw 2 of 2 (2 PTS),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
120,PT02M53.00S,2022-06-17T01:26:42.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,78.26872536136662,37.745098039215684,1610612738,22,16,2022-06-17T01:28:18Z,1200000,-61.0,152.0,1,right,J. Tatum 16' Jump Shot (7 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Made,7.0,16.37,D. White,1628401.0,1.0,,,,,,,,,
122,PT02M31.00S,2022-06-17T01:27:04.5Z,1,REGULAR,3pt,Jump Shot,[],1627780,19.004599211563733,6.127450980392156,1610612744,22,16,2022-06-17T01:27:12Z,1220000,219.0,126.0,1,left,MISS G. Payton II 25' 3PT,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,Missed,,25.31,,,,,,,,,,,,
123,PT02M29.00S,2022-06-17T01:27:06.5Z,1,REGULAR,rebound,offensive,[],1627780,,,1610612744,22,16,2022-06-17T01:27:12Z,1230000,,,0,,G. Payton II REBOUND (Off:1 Def:0),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,122.0,1.0,0.0,1.0,,,,,
124,PT02M28.00S,2022-06-17T01:27:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627780,10.068988173455978,38.72549019607843,1610612744,22,18,2022-06-17T01:27:17Z,1240000,56.0,42.0,1,left,G. Payton II 7' putback Layup (4 PTS),[1627780],1610612744.0,GSW,putback,,,Payton II,G. Payton II,,,,,,,,,,Made,4.0,7.04,,,,,,,,,,,,
125,PT02M09.00S,2022-06-17T01:27:28.5Z,1,REGULAR,turnover,backcourt,[],1627759,,,1610612738,22,18,2022-06-17T01:27:38Z,1250000,,,0,,J. Brown backcourt TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,2534.0,,,,,,,,,,,,,,,2.0,,,,
126,PT02M09.00S,2022-06-17T01:27:34.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,22,18,2022-06-17T01:27:34Z,1260000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M09.00S,2022-06-17T01:30:59.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612744,22,18,2022-06-17T01:31:25Z,1270000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M09.00S,2022-06-17T01:30:59.5Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,22,18,2022-06-17T01:31:25Z,1280000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M09.00S,2022-06-17T01:30:59.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612744,22,18,2022-06-17T01:31:25Z,1290000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M09.00S,2022-06-17T01:30:59.5Z,1,REGULAR,substitution,in,[],203110,,,1610612744,22,18,2022-06-17T01:31:25Z,1300000,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M01.00S,2022-06-17T01:31:33.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627780,12.959921156373195,63.970588235294116,1610612744,22,18,2022-06-17T01:31:39Z,1310000,-70.0,69.0,1,left,MISS G. Payton II 9' cutting Layup,[1627780],1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,,,,,,Missed,,9.84,,,,,,,,,,,,
132,PT01M58.00S,2022-06-17T01:31:36.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,22,18,2022-06-17T01:31:39Z,1320000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,131.0,1.0,1.0,0.0,,,,,
133,PT01M39.00S,2022-06-17T01:31:55.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.38436268068331,25.735294117647058,1610612738,22,18,2022-06-17T01:32:02Z,1330000,-121.0,226.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,25.64,,,,,,,,,,,,
134,PT01M36.00S,2022-06-17T01:31:58.7Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,22,18,2022-06-17T01:32:02Z,1340000,,,0,,J. Poole REBOUND (Off:0 Def:2),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,133.0,2.0,2.0,0.0,,,,,
135,PT01M29.00S,2022-06-17T01:32:06.5Z,1,REGULAR,foul,personal,[],1629684,,,1610612744,22,18,2022-06-17T01:32:15Z,1350000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 201939]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,2714.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
137,PT01M20.00S,2022-06-17T01:32:34.8Z,1,REGULAR,3pt,Jump Shot,[],203110,11.645860709592641,2.696078431372549,1610612744,22,21,2022-06-17T01:32:39Z,1370000,237.0,57.0,1,left,D. Green 24' 3PT  (5 PTS) (S. Curry 3 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,Made,5.0,24.33,S. Curry,201939.0,3.0,,,,,,,,,
139,PT01M06.00S,2022-06-17T01:32:48.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,69.46452036793693,25.735294117647058,1610612738,22,21,2022-06-17T01:33:01Z,1390000,-121.0,235.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,Missed,,26.4,,,,,,,,,,,,
140,PT01M03.00S,2022-06-17T01:32:51.8Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,22,21,2022-06-17T01:33:01Z,1400000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,
141,PT00M56.30S,2022-06-17T01:32:58.8Z,1,REGULAR,3pt,Jump Shot,[],201939,14.668199737187912,3.6764705882352944,1610612744,22,24,2022-06-17T01:33:04Z,1410000,232.0,85.0,1,left,S. Curry 24' 3PT  (5 PTS) (G. Payton II 1 AST),"[201939, 1627780]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,Made,5.0,24.68,G. Payton II,1627780.0,1.0,,,,,,,,,
143,PT00M33.80S,2022-06-17T01:33:24.8Z,1,REGULAR,2pt,Layup,[],1628401,95.22010512483574,66.17647058823529,1610612738,22,24,2022-06-17T01:33:30Z,1430000,81.0,-8.0,1,right,MISS D. White 8' driving Layup - blocked,"[1628401, 203952]",1610612738.0,BOS,driving,,,White,D. White,,,,,,,,,,Missed,,8.13,,,,,,,,,,,Wiggins,203952.0
144,PT00M33.80S,2022-06-17T01:33:24.8Z,1,REGULAR,block,,[],203952,,,1610612738,22,24,2022-06-17T01:33:26Z,1440000,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M31.20S,2022-06-17T01:33:27.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,22,24,2022-06-17T01:33:30Z,1450000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,143.0,2.0,1.0,1.0,,,,,
146,PT00M30.70S,2022-06-17T01:33:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,94.69448094612353,55.392156862745104,1610612738,22,24,2022-06-17T01:33:36Z,1460000,27.0,-3.0,1,right,MISS R. Williams III putback Layup - blocked,"[1629057, 1627780]",1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,,,,,,Missed,,2.71,,,,,,,,,,,Payton II,1627780.0
148,PT00M30.70S,2022-06-17T01:33:28.0Z,1,REGULAR,block,,[],1627780,,,1610612738,22,24,2022-06-17T01:33:51Z,1465000,,,0,,G. Payton II BLOCK (1 BLK),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M29.30S,2022-06-17T01:33:29.4Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,22,24,2022-06-17T01:33:54Z,1470000,,,0,,G. Payton II REBOUND (Off:1 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,146.0,2.0,1.0,1.0,,,,,
149,PT00M23.00S,2022-06-17T01:33:35.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,33.85348226018397,69.36274509803921,1610612744,22,27,2022-06-17T01:34:43Z,1480000,-97.0,266.0,1,left,J. Poole 28' 3PT step back bank (5 PTS),[1629673],1610612744.0,GSW,step back bank,,,Poole,J. Poole,,,,,,,,,,Made,5.0,28.28,,,,,,,,,,,,
150,PT00M04.90S,2022-06-17T01:33:57.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,80.76544021024968,92.64705882352942,1610612738,22,27,2022-06-17T01:35:36Z,1490000,213.0,128.0,1,right,MISS P. Pritchard 24' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,,,,,,Missed,,24.88,,,,,,,,,,,,
151,PT00M01.60S,2022-06-17T01:34:00.8Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,22,27,2022-06-17T01:34:00Z,1500000,,,0,,G. Payton II REBOUND (Off:1 Def:2),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,150.0,3.0,2.0,1.0,,,,,
152,PT00M00.00S,2022-06-17T01:34:02.9Z,1,REGULAR,3pt,Jump Shot,[],1627780,41.869250985545335,15.686274509803921,1610612744,22,27,2022-06-17T01:34:08Z,1510000,172.0,341.0,1,left,MISS G. Payton II 38' running 3PT,[1627780],1610612744.0,GSW,running,,,Payton II,G. Payton II,,,,,,,,,,Missed,,38.18,,,,,,,,,,,,
153,PT00M00.00S,2022-06-17T01:34:05.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,22,27,2022-06-17T01:34:05Z,1520000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,152.0,,,,,,,,
154,PT00M00.00S,2022-06-17T01:34:06.4Z,1,REGULAR,period,end,[],0,,,1610612744,22,27,2022-06-17T01:34:06Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-06-17T01:37:30.1Z,2,REGULAR,substitution,out,['startperiod'],1629057,,,1610612744,22,27,2022-06-17T01:37:46Z,1540000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-06-17T01:37:30.1Z,2,REGULAR,substitution,in,['startperiod'],201143,,,1610612744,22,27,2022-06-17T01:37:46Z,1550000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-06-17T01:37:30.1Z,2,REGULAR,substitution,out,['startperiod'],201939,,,1610612744,22,27,2022-06-17T01:38:05Z,1555000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-06-17T01:37:30.1Z,2,REGULAR,substitution,in,['startperiod'],202691,,,1610612744,22,27,2022-06-17T01:38:05Z,1557500,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-06-17T01:37:59.7Z,2,REGULAR,period,start,[],0,,,1610612744,22,27,2022-06-17T01:37:59Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M44.00S,2022-06-17T01:38:16.4Z,2,REGULAR,foul,personal,[],1628369,,,1610612744,22,27,2022-06-17T01:38:29Z,1570000,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 203110]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,101284.0,2.0,0.0,Green,203110.0,,,,,,,,,,,,,,,
162,PT11M36.00S,2022-06-17T01:38:48.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203952,10.512483574244415,61.78768382352941,1610612744,22,27,2022-06-17T01:38:58Z,1590000,-59.0,46.0,1,left,MISS A. Wiggins 7' driving Layup - blocked,"[203952, 1629684]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,,,,,,Missed,,7.49,,,,,,,,,,,Williams,1629684.0
171,PT11M36.00S,2022-06-17T01:38:48.1Z,2,REGULAR,block,,[],1629684,,,1610612744,22,27,2022-06-17T01:41:13Z,1595000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M34.00S,2022-06-17T01:38:50.1Z,2,REGULAR,rebound,offensive,[],203110,,,1610612744,22,27,2022-06-17T01:46:24Z,1600000,,,0,,D. Green REBOUND (Off:1 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,162.0,2.0,1.0,1.0,,,,,
164,PT11M33.00S,2022-06-17T01:38:51.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,35.29894875164258,39.21568627450981,1610612744,22,30,2022-06-17T01:39:02Z,1610000,54.0,279.0,1,left,J. Poole 28' 3PT  (8 PTS) (D. Green 3 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,Made,8.0,28.45,D. Green,203110.0,3.0,,,,,,,,,
166,PT11M17.00S,2022-06-17T01:39:08.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,93.24901445466492,42.40196078431372,1610612738,22,30,2022-06-17T01:43:51Z,1630000,-38.0,11.0,1,right,MISS D. White driving finger roll Layup,[1628401],1610612738.0,BOS,driving finger roll,,,White,D. White,,,,,,,,,,Missed,,3.96,,,,,,,,,,,,
167,PT11M15.00S,2022-06-17T01:39:10.5Z,2,REGULAR,rebound,defensive,[],202691,,,1610612744,22,30,2022-06-17T01:39:12Z,1640000,,,0,,K. Thompson REBOUND (Off:0 Def:2),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,166.0,2.0,2.0,0.0,,,,,
168,PT11M11.00S,2022-06-17T01:39:14.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,9.543363994743759,46.81372549019608,1610612744,22,32,2022-06-17T01:39:21Z,1650000,16.0,37.0,1,left,A. Wiggins running reverse Layup (5 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,running reverse,,,Wiggins,A. Wiggins,,,,,,,,,,Made,5.0,4.05,K. Thompson,202691.0,1.0,,,,,,,,,
170,PT11M10.00S,2022-06-17T01:39:20.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,22,32,2022-06-17T01:39:20Z,1670000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M10.00S,2022-06-17T01:42:23.4Z,2,REGULAR,substitution,out,[],1628401,,,1610612738,22,32,2022-06-17T01:42:49Z,1680000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
173,PT11M10.00S,2022-06-17T01:42:23.4Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,22,32,2022-06-17T01:42:49Z,1690000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
174,PT11M10.00S,2022-06-17T01:42:23.4Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,22,32,2022-06-17T01:42:49Z,1700000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M10.00S,2022-06-17T01:42:23.4Z,2,REGULAR,substitution,in,[],203935,,,1610612738,22,32,2022-06-17T01:42:49Z,1710000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M56.00S,2022-06-17T01:43:14.9Z,2,REGULAR,3pt,Jump Shot,[],1627759,68.28186596583443,32.1078431372549,1610612738,22,32,2022-06-17T01:43:31Z,1720000,-89.0,246.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,26.15,,,,,,,,,,,,
177,PT10M51.00S,2022-06-17T01:43:19.9Z,2,REGULAR,rebound,defensive,[],202691,,,1610612744,22,32,2022-06-17T01:43:31Z,1730000,,,0,,K. Thompson REBOUND (Off:0 Def:3),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,176.0,3.0,3.0,0.0,,,,,
178,PT10M35.00S,2022-06-17T01:43:35.4Z,2,REGULAR,3pt,Jump Shot,[],1629673,31.09395532194481,26.225490196078432,1610612744,22,32,2022-06-17T01:45:00Z,1740000,119.0,240.0,1,left,MISS J. Poole 26' step back 3PT,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,,,,,,Missed,,26.77,,,,,,,,,,,,
179,PT10M33.00S,2022-06-17T01:43:37.4Z,2,REGULAR,rebound,offensive,[],203110,,,1610612744,22,32,2022-06-17T01:43:41Z,1750000,,,0,,D. Green REBOUND (Off:2 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,178.0,3.0,1.0,2.0,,,,,
180,PT10M31.00S,2022-06-17T01:43:40.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,35.43035479632063,40.68627450980392,1610612744,22,35,2022-06-17T01:43:45Z,1760000,47.0,281.0,1,left,J. Poole 28' 3PT  (11 PTS) (D. Green 4 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,Made,11.0,28.43,D. Green,203110.0,4.0,,,,,,,,,
182,PT10M17.00S,2022-06-17T01:43:53.7Z,2,REGULAR,turnover,lost ball,[],1627759,,,1610612738,22,35,2022-06-17T01:43:57Z,1780000,,,0,,J. Brown lost ball TURNOVER (3 TO),"[1627759, 1627780]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,3.0,Payton II,1627780.0,,
183,PT10M17.00S,2022-06-17T01:43:53.7Z,2,REGULAR,steal,,[],1627780,,,1610612744,22,35,2022-06-17T01:43:55Z,1790000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
184,PT10M13.00S,2022-06-17T01:43:57.7Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203952,7.966491458607096,48.28431372549019,1610612744,22,37,2022-06-17T01:47:44Z,1800000,9.0,22.0,1,left,A. Wiggins running DUNK (7 PTS) (J. Poole 1 AST),"[203952, 1629673]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,,,,,,Made,7.0,2.4,J. Poole,1629673.0,1.0,,,,,,,,,
186,PT10M13.00S,2022-06-17T01:44:04.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,22,37,2022-06-17T01:44:04Z,1820000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M13.00S,2022-06-17T01:47:14.1Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,22,37,2022-06-17T01:47:32Z,1830000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
189,PT10M13.00S,2022-06-17T01:47:14.1Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,22,37,2022-06-17T01:47:32Z,1840000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
