actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
89,PT05M08.00S,2022-05-07T19:55:39.1Z,1,REGULAR,substitution,out,[],203935,,,1610612749,13,13,2022-05-07T19:55:54Z,890000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M08.00S,2022-05-07T19:55:39.1Z,1,REGULAR,substitution,in,[],201572,,,1610612749,13,13,2022-05-07T19:55:54Z,900000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M08.00S,2022-05-07T19:55:39.1Z,1,REGULAR,substitution,in,[],1628401,,,1610612749,13,13,2022-05-07T19:55:54Z,910000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M03.00S,2022-05-07T19:56:08.7Z,1,REGULAR,foul,offensive,[],201572,,,1610612749,13,13,2022-05-07T19:56:19Z,920000,,,0,,B. Lopez offensive FOUL (1 PF),"[201572, 1627759]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Brown,1627759.0,,,,
94,PT05M03.00S,2022-05-07T19:56:08.7Z,1,REGULAR,turnover,offensive foul,[],201572,,,1610612749,13,13,2022-05-07T19:56:08Z,940000,,,0,,B. Lopez offensive foul TURNOVER (1 TO),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,2882.0,,,,,1.0,,,
95,PT04M36.00S,2022-05-07T19:56:43.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629684,10.200394218134035,63.725490196078425,1610612738,13,13,2022-05-07T19:56:51Z,950000,-69.0,43.0,1,left,MISS G. Williams 8' driving floating Shot,[1629684],1610612738.0,BOS,driving floating,,,Williams,G. Williams,,,,,8.12,Missed,,,,,,,,,,,,,,,,,,,
96,PT04M33.00S,2022-05-07T19:56:46.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,13,13,2022-05-07T19:56:46Z,960000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
97,PT04M29.00S,2022-05-07T19:56:51.7Z,1,REGULAR,3pt,Jump Shot,[],1626192,96.66557161629436,95.83333333333334,1610612749,16,13,2022-05-07T19:59:01Z,970000,229.0,-21.0,1,right,P. Connaughton 3PT  (3 PTS) (B. Portis 1 AST),"[1626192, 1626171]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,23.02,Made,,,,,,,3.0,B. Portis,1626171.0,1.0,,,,,,,,,
99,PT04M29.00S,2022-05-07T19:56:58.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,13,2022-05-07T19:56:58Z,990000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M29.00S,2022-05-07T20:00:10.7Z,1,REGULAR,substitution,out,[],202083,,,1610612738,16,13,2022-05-07T20:00:47Z,1000000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M29.00S,2022-05-07T20:00:10.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,16,13,2022-05-07T20:00:47Z,1010000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M29.00S,2022-05-07T20:00:10.7Z,1,REGULAR,substitution,in,[],201588,,,1610612738,16,13,2022-05-07T20:00:47Z,1020000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M29.00S,2022-05-07T20:00:10.7Z,1,REGULAR,substitution,in,[],201143,,,1610612738,16,13,2022-05-07T20:00:47Z,1030000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M03.00S,2022-05-07T20:01:08.8Z,1,REGULAR,3pt,Jump Shot,[],1629684,29.122864651773984,78.18627450980392,1610612738,16,13,2022-05-07T20:01:30Z,1040000,-141.0,221.0,1,left,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.23,Missed,,,,,,,,,,,,,,,,,,,
107,PT04M01.00S,2022-05-07T20:01:11.0Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,16,13,2022-05-07T20:01:11Z,1050000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,106.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
108,PT03M49.00S,2022-05-07T20:01:23.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,8.229303547963205,95.09803921568627,1610612738,16,13,2022-05-07T20:01:34Z,1060000,-225.0,25.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,22.69,Missed,,,,,,,,,,,,,,,,,,,
109,PT03M45.00S,2022-05-07T20:01:27.0Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,16,13,2022-05-07T20:01:34Z,1070000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
110,PT03M37.00S,2022-05-07T20:01:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,89.83245729303549,46.568627450980394,1610612749,18,13,2022-05-07T20:07:10Z,1080000,-17.0,43.0,1,right,J. Holiday driving floating Jump Shot (4 PTS),[201950],1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,4.64,Made,,,,,,,4.0,,,,,,,,,,,,
111,PT03M22.00S,2022-05-07T20:01:49.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,21.23850197109067,40.19607843137255,1610612738,18,15,2022-05-07T20:01:54Z,1090000,49.0,147.0,1,left,J. Brown 15' pullup Jump Shot (4 PTS) (R. Williams III 3 AST),"[1627759, 1629057]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,15.5,Made,,,,,,,4.0,R. Williams III,1629057.0,3.0,,,,,,,,,
112,PT03M03.00S,2022-05-07T20:02:08.1Z,1,REGULAR,3pt,Jump Shot,[],1626171,66.44218134034165,45.83333333333333,1610612749,21,15,2022-05-07T20:02:12Z,1100000,-21.0,263.0,1,right,B. Portis 26' 3PT  (3 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.37,Made,,,,,,,3.0,J. Holiday,201950.0,1.0,,,,,,,,,
115,PT02M46.00S,2022-05-07T20:02:24.7Z,1,REGULAR,2pt,Jump Shot,[],1628401,23.73521681997372,48.529411764705884,1610612738,21,15,2022-05-07T20:02:29Z,1120000,7.0,171.0,1,left,MISS D. White 17' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,17.08,Missed,,,,,,,,,,,,,,,,,,,
116,PT02M44.00S,2022-05-07T20:02:26.7Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,21,15,2022-05-07T20:02:29Z,1130000,,,0,,B. Lopez REBOUND (Off:0 Def:3),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,115.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
117,PT02M33.00S,2022-05-07T20:02:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,92.59198423127464,54.41176470588235,1610612749,21,15,2022-05-07T20:02:42Z,1140000,22.0,17.0,1,right,MISS B. Portis driving Layup - blocked,"[1626171, 201143]",1610612749.0,MIL,driving,,,Portis,B. Portis,,,,,2.79,Missed,,,,,Horford,201143.0,,,,,,,,,,,,,
118,PT02M33.00S,2022-05-07T20:02:37.9Z,1,REGULAR,block,,[],201143,,,1610612749,21,15,2022-05-07T20:02:40Z,1150000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M29.00S,2022-05-07T20:02:41.9Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,21,15,2022-05-07T20:02:42Z,1160000,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,117.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
120,PT02M27.00S,2022-05-07T20:02:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,92.32917214191852,54.90196078431373,1610612749,21,15,2022-05-07T20:03:03Z,1170000,25.0,20.0,1,right,MISS B. Portis putback Layup,[1626171],1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,3.14,Missed,,,,,,,,,,,,,,,,,,,
121,PT02M25.00S,2022-05-07T20:02:46.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,21,15,2022-05-07T20:09:53Z,1180000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,120.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
122,PT02M22.00S,2022-05-07T20:02:49.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,25.837713534822605,84.80392156862744,1610612738,21,15,2022-05-07T20:03:08Z,1190000,-174.0,190.0,1,left,MISS J. Brown 25' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,,
123,PT02M19.00S,2022-05-07T20:02:53.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,21,15,2022-05-07T20:02:53Z,1200000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,122.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
124,PT02M10.00S,2022-05-07T20:03:00.8Z,1,REGULAR,3pt,Jump Shot,[],1626192,70.77858081471747,79.41176470588235,1610612749,21,15,2022-05-07T20:03:10Z,1210000,147.0,222.0,1,right,MISS P. Connaughton 26' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,26.65,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M08.00S,2022-05-07T20:03:02.8Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,21,15,2022-05-07T20:03:10Z,1220000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
126,PT02M00.00S,2022-05-07T20:03:14.5Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612738,21,15,2022-05-07T20:03:25Z,1230000,,,0,,B. Lopez shooting personal FOUL (2 PF) (Brown 2 FT),"[201572, 1627759]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,2534.0,2.0,0.0,Brown,1627759.0,,,,
128,PT02M00.00S,2022-05-07T20:03:45.5Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,21,16,2022-05-07T20:03:45Z,1250000,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,5.0,,,,,,,,,,,,
129,PT02M00.00S,2022-05-07T20:03:47.1Z,1,REGULAR,substitution,out,[],201572,,,1610612738,21,16,2022-05-07T20:04:03Z,1260000,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M00.00S,2022-05-07T20:03:47.1Z,1,REGULAR,substitution,out,[],201950,,,1610612738,21,16,2022-05-07T20:04:03Z,1270000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M00.00S,2022-05-07T20:03:47.1Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,21,16,2022-05-07T20:04:03Z,1280000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M00.00S,2022-05-07T20:03:47.1Z,1,REGULAR,substitution,in,[],203507,,,1610612738,21,16,2022-05-07T20:04:03Z,1290000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M00.00S,2022-05-07T20:03:47.1Z,1,REGULAR,substitution,in,[],1628960,,,1610612738,21,16,2022-05-07T20:04:03Z,1300000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M00.00S,2022-05-07T20:03:47.1Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,21,16,2022-05-07T20:04:03Z,1310000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M00.00S,2022-05-07T20:04:12.5Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,21,17,2022-05-07T20:04:12Z,1320000,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,6.0,,,,,,,,,,,,
136,PT01M48.00S,2022-05-07T20:04:25.3Z,1,REGULAR,3pt,Jump Shot,[],1626192,69.85873850197109,73.52941176470588,1610612749,21,17,2022-05-07T20:04:29Z,1330000,118.0,231.0,1,right,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M45.00S,2022-05-07T20:04:28.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,21,17,2022-05-07T20:04:29Z,1340000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
138,PT01M39.00S,2022-05-07T20:04:37.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,21,17,2022-05-07T20:04:37Z,1350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M39.00S,2022-05-07T20:04:40.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,21,17,2022-05-07T20:04:44Z,1360000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M39.00S,2022-05-07T20:04:40.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,21,17,2022-05-07T20:04:44Z,1370000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M36.00S,2022-05-07T20:05:00.5Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,21,17,2022-05-07T20:05:10Z,1380000,,,0,,J. Tatum offensive FOUL (1 PF),"[1628369, 201588]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Hill,201588.0,,,,
143,PT01M36.00S,2022-05-07T20:05:00.5Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,21,17,2022-05-07T20:05:00Z,1400000,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,2882.0,,,,,1.0,,,
144,PT01M27.00S,2022-05-07T20:05:27.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630202,,,1610612749,21,17,2022-05-07T20:05:36Z,1410000,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630202, 203507]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Antetokounmpo,203507.0,,,,
146,PT01M27.00S,2022-05-07T20:06:03.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203507,,,1610612749,21,17,2022-05-07T20:06:03Z,1430000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
147,PT01M27.00S,2022-05-07T20:06:03.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,21,17,2022-05-07T20:06:03Z,1440000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,
148,PT01M27.00S,2022-05-07T20:06:31.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203507,,,1610612749,22,17,2022-05-07T20:06:31Z,1450000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (8 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,8.0,,,,,,,,,,,,
149,PT01M05.00S,2022-05-07T20:06:52.9Z,1,REGULAR,2pt,Jump Shot,[],1628401,13.485545335085414,66.17647058823529,1610612738,22,19,2022-05-07T20:06:57Z,1460000,-81.0,74.0,1,left,D. White 10' driving floating Jump Shot (2 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,10.98,Made,,,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,
151,PT00M47.90S,2022-05-07T20:07:11.6Z,1,REGULAR,3pt,Jump Shot,[],201588,68.80749014454665,69.85294117647058,1610612749,22,19,2022-05-07T20:07:18Z,1480000,99.0,241.0,1,right,MISS G. Hill 26' 3PT,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,26.04,Missed,,,,,,,,,,,,,,,,,,,
152,PT00M45.20S,2022-05-07T20:07:14.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,22,19,2022-05-07T20:07:18Z,1490000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
153,PT00M43.50S,2022-05-07T20:07:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201143,8.360709592641262,49.754901960784316,1610612738,22,19,2022-05-07T20:07:25Z,1500000,1.0,26.0,1,left,MISS A. Horford running Layup,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,2.61,Missed,,,,,,,,,,,,,,,,,,,
154,PT00M43.50S,2022-05-07T20:07:16.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,22,19,2022-05-07T20:07:25Z,1510000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,153.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
155,PT00M38.90S,2022-05-07T20:07:24.4Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,22,19,2022-05-07T20:07:35Z,1520000,,,0,,G. Antetokounmpo charge offensive FOUL (1 PF),"[203507, 1629684]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Williams,1629684.0,,,,
157,PT00M38.90S,2022-05-07T20:07:24.4Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,22,19,2022-05-07T20:07:24Z,1540000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,2882.0,,,,,1.0,,,
158,PT00M38.90S,2022-05-07T20:07:42.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612738,22,19,2022-05-07T20:07:42Z,1550000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M38.90S,2022-05-07T20:07:44.7Z,1,REGULAR,instantreplay,challenge,[],0,,,1610612738,22,19,2022-05-07T20:17:21Z,1560000,,,0,,,[],1610612749.0,MIL,stands,,,,,,,,,,,,,,,,,,,,,2534.0,,,,,,,,
160,PT00M38.90S,2022-05-07T20:10:04.3Z,1,REGULAR,substitution,out,[],1628960,,,1610612738,22,19,2022-05-07T20:10:19Z,1570000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M38.90S,2022-05-07T20:10:04.3Z,1,REGULAR,substitution,out,[],1626171,,,1610612738,22,19,2022-05-07T20:10:19Z,1580000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M38.90S,2022-05-07T20:10:04.3Z,1,REGULAR,substitution,in,[],201950,,,1610612738,22,19,2022-05-07T20:10:19Z,1590000,,,0,,SUB in: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M38.90S,2022-05-07T20:10:04.3Z,1,REGULAR,substitution,in,[],202083,,,1610612738,22,19,2022-05-07T20:10:19Z,1600000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M30.60S,2022-05-07T20:10:26.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,33.85348226018397,43.13725490196079,1610612738,22,19,2022-05-07T20:10:32Z,1610000,34.0,266.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,,
165,PT00M27.70S,2022-05-07T20:10:29.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,22,19,2022-05-07T20:10:29Z,1620000,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,164.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
166,PT00M06.60S,2022-05-07T20:10:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,84.97043363994744,42.40196078431372,1610612749,22,19,2022-05-07T20:14:13Z,1630000,-38.0,89.0,1,right,MISS J. Holiday 9' Jump Shot - blocked,"[201950, 1628369]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,9.66,Missed,,,,,Tatum,1628369.0,,,,,,,,,,,,,
167,PT00M06.60S,2022-05-07T20:10:52.8Z,1,REGULAR,block,,[],1628369,,,1610612749,22,19,2022-05-07T20:10:57Z,1640000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M06.50S,2022-05-07T20:10:52.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,22,19,2022-05-07T20:14:13Z,1650000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,,
169,PT00M06.50S,2022-05-07T20:11:01.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,22,19,2022-05-07T20:11:10Z,1660000,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,2534.0,,,,,,,,
170,PT00M01.20S,2022-05-07T20:11:19.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,23.99802890932983,44.6078431372549,1610612738,22,19,2022-05-07T20:15:24Z,1670000,27.0,173.0,1,left,MISS J. Tatum 17' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,17.52,Missed,,,,,,,,,,,,,,,,,,,
171,PT00M00.60S,2022-05-07T20:11:20.4Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,22,19,2022-05-07T20:13:39Z,1680000,,,0,,P. Connaughton REBOUND (Off:0 Def:3),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,170.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
172,PT00M00.00S,2022-05-07T20:11:57.5Z,1,REGULAR,period,end,[],0,,,1610612749,22,19,2022-05-07T20:11:57Z,1690000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-05-07T20:14:31.6Z,2,REGULAR,substitution,out,['startperiod'],201588,,,1610612749,22,19,2022-05-07T20:15:05Z,1700000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-05-07T20:14:31.6Z,2,REGULAR,substitution,out,['startperiod'],202083,,,1610612749,22,19,2022-05-07T20:15:05Z,1710000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-05-07T20:14:31.6Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612749,22,19,2022-05-07T20:15:05Z,1720000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2022-05-07T20:14:31.6Z,2,REGULAR,substitution,in,['startperiod'],1628960,,,1610612749,22,19,2022-05-07T20:15:05Z,1730000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2022-05-07T20:14:31.6Z,2,REGULAR,substitution,in,['startperiod'],201572,,,1610612749,22,19,2022-05-07T20:15:05Z,1740000,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2022-05-07T20:14:31.6Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612749,22,19,2022-05-07T20:15:05Z,1750000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2022-05-07T20:15:08.8Z,2,REGULAR,period,start,[],0,,,1610612738,22,19,2022-05-07T20:15:08Z,1760000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
