actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
43,PT08M46.00S,2022-05-30T00:52:02.6Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,1,9,2022-05-30T00:52:08Z,430000,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 200768]",1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,1.0,Lowry,200768.0,,,,,,,,,,,
44,PT08M46.00S,2022-05-30T00:52:02.6Z,1,REGULAR,steal,,[],200768,,,1610612748,1,9,2022-05-30T01:00:07Z,440000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M42.00S,2022-05-30T00:52:05.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,93.64323258869908,49.754901960784316,1610612748,3,9,2022-05-30T00:52:13Z,450000,-1.0,7.0,1,right,J. Butler running DUNK (2 PTS),[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,0.74,Made,,,,,2.0,,,,,,,,,,,,,,
46,PT08M22.00S,2022-05-30T00:52:25.8Z,1,REGULAR,3pt,Jump Shot,[],201143,28.991458607095925,15.196078431372548,1610612738,3,12,2022-05-30T00:52:31Z,460000,174.0,220.0,1,left,A. Horford 28' 3PT  (3 PTS) (J. Tatum 2 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,28.05,Made,,,,,3.0,,,,J. Tatum,1628369.0,2.0,,,,,,,,
48,PT08M10.00S,2022-05-30T00:52:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,84.05059132720105,49.50980392156863,1610612748,5,12,2022-05-30T00:52:54Z,480000,-2.0,97.0,1,right,B. Adebayo 9' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,9.74,Made,,,,,2.0,,,,,,,,,,,,,,
49,PT07M48.00S,2022-05-30T00:53:00.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,8.754927726675426,96.81372549019608,1610612738,5,12,2022-05-30T00:53:04Z,490000,-234.0,30.0,1,left,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.6,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M45.00S,2022-05-30T00:53:03.8Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,5,12,2022-05-30T00:53:04Z,500000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT07M40.00S,2022-05-30T00:53:08.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",200768,93.9060446780552,53.92156862745098,1610612748,5,12,2022-05-30T00:55:53Z,510000,20.0,5.0,1,right,MISS K. Lowry running Layup - blocked,"[200768, 1628369]",1610612748.0,MIA,running,,,Lowry,K. Lowry,,,,,2.02,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0,
54,PT07M40.00S,2022-05-30T00:53:08.1Z,1,REGULAR,block,,[],1628369,,,1610612748,5,12,2022-05-30T00:53:24Z,515000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M35.00S,2022-05-30T00:53:13.1Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,5,12,2022-05-30T00:53:24Z,520000,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
53,PT07M35.00S,2022-05-30T00:53:13.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628389,94.40999984741211,50.0,1610612748,7,12,2022-05-30T00:53:37Z,530000,0.0,0.0,1,right,B. Adebayo tip DUNK (4 PTS),[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,0.0,Made,,,,,4.0,,,,,,,,,,,,,,
55,PT07M11.00S,2022-05-30T00:53:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,13.748357424441524,36.27450980392157,1610612738,7,14,2022-05-30T00:56:59Z,540000,69.0,77.0,1,left,D. White 10' driving floating Jump Shot (2 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,10.29,Made,,,,,2.0,,,,,,,,,,,,,,
56,PT07M03.00S,2022-05-30T00:53:56.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,7,14,2022-05-30T00:54:16Z,550000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 200782]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Tucker,200782.0,,,
58,PT07M03.00S,2022-05-30T00:54:17.1Z,1,REGULAR,substitution,out,[],1629057,,,1610612748,7,14,2022-05-30T00:54:21Z,570000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2022-05-30T00:54:17.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,7,14,2022-05-30T00:54:21Z,580000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M03.00S,2022-05-30T00:54:17.1Z,1,REGULAR,substitution,out,[],1628401,,,1610612748,7,14,2022-05-30T00:57:08Z,585000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M03.00S,2022-05-30T00:54:17.1Z,1,REGULAR,substitution,in,[],203935,,,1610612748,7,14,2022-05-30T00:57:08Z,587500,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2022-05-30T00:54:25.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,82.7365308804205,95.58823529411765,1610612748,7,14,2022-05-30T00:57:34Z,590000,228.0,110.0,1,right,MISS M. Strus 25' fadeaway 3PT,[1629622],1610612748.0,MIA,fadeaway,,,Strus,M. Strus,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2022-05-30T00:54:29.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,7,14,2022-05-30T00:54:32Z,600000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
62,PT06M42.00S,2022-05-30T00:54:33.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629684,7.440867279894875,52.94117647058824,1610612738,7,16,2022-05-30T00:58:43Z,610000,-15.0,17.0,1,left,G. Williams running Layup (2 PTS) (J. Tatum 3 AST),"[1629684, 1628369]",1610612738.0,BOS,running,,,Williams,G. Williams,,,,,2.28,Made,,,,,2.0,,,,J. Tatum,1628369.0,3.0,,,,,,,,
67,PT06M42.00S,2022-05-30T00:54:49.1Z,1,REGULAR,foul,personal,['1freethrow'],1629622,,,1610612738,7,16,2022-05-30T00:58:28Z,625000,,,0,,M. Strus shooting personal FOUL (1 PF) (Williams 1 FT),"[1629622, 1629684]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Williams,1629684.0,,,
64,PT06M42.00S,2022-05-30T00:55:04.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,7,16,2022-05-30T00:57:53Z,630000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M42.00S,2022-05-30T00:57:58.1Z,1,REGULAR,substitution,out,[],200768,,,1610612738,7,16,2022-05-30T00:58:17Z,640000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M42.00S,2022-05-30T00:57:58.1Z,1,REGULAR,substitution,in,[],1629216,,,1610612738,7,16,2022-05-30T00:58:17Z,650000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M42.00S,2022-05-30T00:58:30.5Z,1,REGULAR,freethrow,1 of 1,[],1629684,,,1610612738,7,17,2022-05-30T00:58:30Z,660000,,,0,,G. Williams Free Throw 1 of 1 (3 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
72,PT06M25.00S,2022-05-30T00:58:45.0Z,1,REGULAR,turnover,bad pass,[],200782,,,1610612748,7,17,2022-05-30T00:58:51Z,670000,,,0,,P. Tucker bad pass TURNOVER (2 TO),"[200782, 203935]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,2.0,Smart,203935.0,,,,,,,,,,,
73,PT06M25.00S,2022-05-30T00:58:45.0Z,1,REGULAR,steal,,[],203935,,,1610612738,7,17,2022-05-30T00:58:49Z,680000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M22.00S,2022-05-30T00:58:59.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,7,17,2022-05-30T00:58:59Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M18.00S,2022-05-30T00:59:02.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,32.933639947437584,45.588235294117645,1610612738,7,20,2022-05-30T00:59:06Z,700000,22.0,257.0,1,left,J. Tatum 25' 3PT  (5 PTS) (A. Horford 2 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.8,Made,,,,,5.0,,,,A. Horford,201143.0,2.0,,,,,,,,
77,PT06M05.00S,2022-05-30T00:59:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629216,66.70499342969777,54.65686274509803,1610612748,7,20,2022-05-30T01:00:52Z,720000,23.0,260.0,1,right,MISS G. Vincent 26' step back 3PT,[1629216],1610612748.0,MIA,step back,,,Vincent,G. Vincent,,,,,26.15,Missed,,,,,,,,,,,,,,,,,,,
78,PT06M03.00S,2022-05-30T00:59:18.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,7,20,2022-05-30T00:59:18Z,730000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
79,PT06M03.00S,2022-05-30T00:59:22.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,7,20,2022-05-30T00:59:22Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M50.00S,2022-05-30T00:59:50.7Z,1,REGULAR,foul,offensive,[],1629684,,,1610612738,7,20,2022-05-30T01:00:13Z,750000,,,0,,G. Williams charge offensive FOUL (1 PF),"[1629684, 1629216]",1610612738.0,BOS,charge,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,1162.0,1.0,0.0,Vincent,1629216.0,,,
82,PT05M50.00S,2022-05-30T00:59:50.7Z,1,REGULAR,turnover,offensive foul,[],1629684,,,1610612738,7,20,2022-05-30T00:59:50Z,770000,,,0,,G. Williams offensive foul TURNOVER (1 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,1.0,,,,,,1162.0,,,,,,,
83,PT05M29.00S,2022-05-30T01:00:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,93.9060446780552,54.90196078431373,1610612748,9,20,2022-05-30T01:02:44Z,780000,25.0,5.0,1,right,B. Adebayo driving reverse Layup (6 PTS),[1628389],1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,2.5,Made,,,,,6.0,,,,,,,,,,,,,,
