actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
45,PT08M16.00S,2022-06-11T01:13:20.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203952,29.6484888304862,83.82352941176471,1610612744,11,4,2022-06-11T01:13:27Z,450000,-169.0,226.0,1,left,MISS A. Wiggins 28' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,28.24,Missed,,,,,,,,,,,,,,,,,,
46,PT08M14.00S,2022-06-11T01:13:22.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,4,2022-06-11T01:13:27Z,460000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,45.0,,2.0,2.0,0.0,,,,
47,PT07M57.00S,2022-06-11T01:13:39.2Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,11,4,2022-06-11T01:13:42Z,470000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 203110]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,2.0,,,,,,Green,203110.0
48,PT07M57.00S,2022-06-11T01:13:39.2Z,1,REGULAR,steal,,[],203110,,,1610612744,11,4,2022-06-11T01:13:40Z,480000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M53.00S,2022-06-11T01:13:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201939,9.806176084099869,48.03921568627451,1610612744,11,6,2022-06-11T01:13:49Z,490000,10.0,40.0,1,left,S. Curry running Layup (4 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,4.09,Made,4.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
51,PT07M31.00S,2022-06-11T01:14:04.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.87450722733246,59.55882352941176,1610612738,11,6,2022-06-11T01:15:09Z,510000,48.0,155.0,1,right,MISS J. Brown 16' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,16.27,Missed,,,,,,,,,,,,,,,,,,
52,PT07M28.00S,2022-06-11T01:14:07.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,11,6,2022-06-11T01:14:11Z,520000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,51.0,,3.0,1.0,2.0,,,,
53,PT07M23.00S,2022-06-11T01:14:16.2Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612738,11,6,2022-06-11T01:14:24Z,530000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Williams III 2 FT),"[203952, 1629057]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,1148.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,
55,PT07M23.00S,2022-06-11T01:14:47.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629057,,,1610612738,12,6,2022-06-11T01:15:22Z,550000,,,0,,R. Williams III Free Throw 1 of 2 (3 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
56,PT07M23.00S,2022-06-11T01:14:48.2Z,1,REGULAR,substitution,out,[],201143,,,1610612738,12,6,2022-06-11T01:15:14Z,560000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M23.00S,2022-06-11T01:14:48.2Z,1,REGULAR,substitution,out,[],203490,,,1610612738,12,6,2022-06-11T01:15:14Z,570000,,,0,,SUB out: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2022-06-11T01:14:48.2Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,12,6,2022-06-11T01:15:14Z,580000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M23.00S,2022-06-11T01:14:48.2Z,1,REGULAR,substitution,in,[],1626172,,,1610612738,12,6,2022-06-11T01:15:14Z,590000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M23.00S,2022-06-11T01:14:47.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629057,,,1610612738,12,6,2022-06-11T01:15:22Z,600000,,,0,,MISS R. Williams III Free Throw 2 of 2,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT07M23.00S,2022-06-11T01:14:47.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,12,6,2022-06-11T01:15:22Z,610000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,60.0,,2.0,2.0,0.0,,,,
62,PT07M06.00S,2022-06-11T01:15:35.0Z,1,REGULAR,3pt,Jump Shot,[],203110,31.35676741130092,74.50980392156863,1610612744,12,6,2022-06-11T01:15:49Z,620000,-123.0,242.0,1,left,MISS D. Green 27' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,27.15,Missed,,,,,,,,,,,,,,,,,,
63,PT07M04.00S,2022-06-11T01:15:37.0Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,12,6,2022-06-11T01:15:49Z,630000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,62.0,,1.0,0.0,1.0,,,,
64,PT07M02.00S,2022-06-11T01:15:42.2Z,1,REGULAR,foul,offensive,[],1626172,,,1610612744,12,6,2022-06-11T01:15:55Z,640000,,,0,,K. Looney offensive FOUL (1 PF),"[1626172, 1627759]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,201640.0,1.0,0.0,Brown,1627759.0,,,,,,,,,
66,PT07M02.00S,2022-06-11T01:15:42.2Z,1,REGULAR,turnover,offensive foul,[],1626172,,,1610612744,12,6,2022-06-11T01:15:42Z,660000,,,0,,K. Looney offensive foul TURNOVER (1 TO),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,201640.0,,,,,,1.0,,,,,,,
