actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
189,PT09M06.00S,2021-03-05T00:43:22.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,71.30420499342969,80.21599264705883,1610612738,40,42,2021-03-05T00:43:27Z,1840000,151.0,217.0,1,right,G. Williams 26' 3PT  (6 PTS) (P. Pritchard 1 AST),"[1629684, 1630202]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.46,Made,6.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,,,
191,PT08M49.00S,2021-03-05T00:43:38.8Z,2,REGULAR,3pt,Jump Shot,[],1628778,9.806176084099869,3.990502450980392,1610612761,40,45,2021-03-05T00:43:44Z,1860000,230.0,40.0,1,left,P. Watson 3PT  (3 PTS) (T. Davis 4 AST),"[1628778, 1629056]",1610612761.0,TOR,,,,Watson,P. Watson,,,,,23.34,Made,3.0,T. Davis,1629056.0,4.0,,,,,,,,,,,,,,
193,PT08M23.00S,2021-03-05T00:44:09.4Z,2,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612738,40,45,2021-03-05T00:45:51Z,1880000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Williams III 2 FT),"[1628449, 1629057]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,,,,,,,,,,,202049.0,1.0,0.0,Williams III,1629057.0,,,,,
195,PT08M23.00S,2021-03-05T00:44:36.5Z,2,REGULAR,freethrow,1 of 2,[],1629057,,,1610612738,41,45,2021-03-05T00:45:30Z,1900000,,,0,,R. Williams III Free Throw 1 of 2 (3 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
203,PT08M23.00S,2021-03-05T00:44:36.5Z,2,REGULAR,freethrow,2 of 2,[],1629057,,,1610612738,42,45,2021-03-05T00:45:30Z,1905000,,,0,,R. Williams III Free Throw 2 of 2 (4 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
196,PT08M23.00S,2021-03-05T00:44:37.1Z,2,REGULAR,substitution,out,[],1628369,,,1610612761,42,45,2021-03-05T00:45:30Z,1910000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M23.00S,2021-03-05T00:44:37.1Z,2,REGULAR,substitution,out,[],1629056,,,1610612761,42,45,2021-03-05T00:45:30Z,1920000,,,0,,SUB out: T. Davis,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,
198,PT08M23.00S,2021-03-05T00:44:37.1Z,2,REGULAR,substitution,out,[],1628778,,,1610612761,42,45,2021-03-05T00:45:30Z,1930000,,,0,,SUB out: P. Watson,[1628778],1610612761.0,TOR,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,
199,PT08M23.00S,2021-03-05T00:44:37.1Z,2,REGULAR,substitution,in,[],1627759,,,1610612761,42,45,2021-03-05T00:45:30Z,1940000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M23.00S,2021-03-05T00:44:37.1Z,2,REGULAR,substitution,in,[],1626169,,,1610612761,42,45,2021-03-05T00:45:30Z,1950000,,,0,,SUB in: S. Johnson,[1626169],1610612761.0,TOR,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M23.00S,2021-03-05T00:44:37.1Z,2,REGULAR,substitution,in,[],1626181,,,1610612761,42,45,2021-03-05T00:45:30Z,1960000,,,0,,SUB in: N. Powell,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M23.00S,2021-03-05T00:44:37.2Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612761,42,45,2021-03-05T00:45:30Z,1970000,,,0,,TEAM delay-of-game VIOLATION,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M08.00S,2021-03-05T00:45:33.6Z,2,REGULAR,turnover,out-of-bounds,[],1627761,,,1610612761,42,45,2021-03-05T00:45:42Z,1980000,,,0,,D. Bembry bad pass out-of-bounds TURNOVER (3 TO),[1627761],1610612761.0,TOR,bad pass,,,Bembry,D. Bembry,,,,,,,,,,,,,,,202049.0,,,,,3.0,,,,
205,PT08M00.00S,2021-03-05T00:45:43.9Z,2,REGULAR,foul,offensive,[],1627759,,,1610612738,42,45,2021-03-05T00:46:14Z,1990000,,,0,,J. Brown offensive FOUL (3 PF),"[1627759, 203382]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1162.0,3.0,0.0,Baynes,203382.0,,,,,
207,PT08M00.00S,2021-03-05T00:45:43.9Z,2,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,42,45,2021-03-05T00:45:43Z,2010000,,,0,,J. Brown offensive foul TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,1162.0,,,,,2.0,,,,
208,PT08M00.00S,2021-03-05T00:46:00.1Z,2,REGULAR,substitution,out,[],1627761,,,1610612761,42,45,2021-03-05T00:46:03Z,2020000,,,0,,SUB out: D. Bembry,[1627761],1610612761.0,TOR,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
209,PT08M00.00S,2021-03-05T00:46:00.1Z,2,REGULAR,substitution,in,[],200768,,,1610612761,42,45,2021-03-05T00:46:03Z,2030000,,,0,,SUB in: K. Lowry,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M51.00S,2021-03-05T00:46:24.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,22.552562417871222,89.03952205882352,1610612761,42,48,2021-03-05T00:46:28Z,2040000,-195.0,159.0,1,left,N. Powell 25' 3PT  (11 PTS) (K. Lowry 6 AST),"[1626181, 200768]",1610612761.0,TOR,,,,Powell,N. Powell,,,,,25.21,Made,11.0,K. Lowry,200768.0,6.0,,,,,,,,,,,,,,
212,PT07M30.00S,2021-03-05T00:46:44.2Z,2,REGULAR,3pt,Jump Shot,[],1627759,65.52233902759527,35.60814950980392,1610612738,42,48,2021-03-05T00:46:51Z,2060000,-72.0,272.0,1,right,MISS J. Brown 28' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,28.1,Missed,,,,,,,,,,,,,,,,,,
213,PT07M28.00S,2021-03-05T00:46:46.2Z,2,REGULAR,rebound,defensive,[],1626169,,,1610612761,42,48,2021-03-05T00:46:51Z,2070000,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612761.0,TOR,,,,Johnson,S. Johnson,,,,,,,,,,,212.0,1.0,1.0,0.0,,,,,,,,,,
214,PT07M23.00S,2021-03-05T00:46:55.8Z,2,REGULAR,foul,personal,[],1630202,,,1610612761,42,48,2021-03-05T00:47:02Z,2080000,,,0,,P. Pritchard personal FOUL (2 PF),"[1630202, 1626169]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,202049.0,2.0,0.0,Johnson,1626169.0,,,,,
216,PT07M23.00S,2021-03-05T00:47:01.6Z,2,REGULAR,substitution,out,[],1630202,,,1610612761,42,48,2021-03-05T00:47:10Z,2100000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M23.00S,2021-03-05T00:47:01.6Z,2,REGULAR,substitution,in,[],202689,,,1610612761,42,48,2021-03-05T00:47:10Z,2110000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M18.00S,2021-03-05T00:47:26.2Z,2,REGULAR,2pt,Jump Shot,[],1626181,7.095926412614981,75.33700980392157,1610612761,42,48,2021-03-05T00:47:35Z,2120000,-127.0,14.0,1,left,MISS N. Powell 12' fadeaway Shot,[1626181],1610612761.0,TOR,fadeaway,,,Powell,N. Powell,,,,,12.75,Missed,,,,,,,,,,,,,,,,,,
219,PT07M16.00S,2021-03-05T00:47:28.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,42,48,2021-03-05T00:47:35Z,2130000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,218.0,,,,,,,,,,,,,
220,PT07M16.00S,2021-03-05T00:47:31.7Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,42,48,2021-03-05T00:47:31Z,2140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M05.00S,2021-03-05T00:47:52.6Z,2,REGULAR,3pt,Jump Shot,[],201952,87.20433639947439,96.14736519607843,1610612738,45,48,2021-03-05T00:47:57Z,2150000,231.0,68.0,1,right,J. Teague 24' 3PT  (6 PTS) (J. Brown 3 AST),"[201952, 1627759]",1610612738.0,BOS,,,,Teague,J. Teague,,,,,24.05,Made,6.0,J. Brown,1627759.0,3.0,,,,,,,,,,,,,,
223,PT06M58.00S,2021-03-05T00:48:03.3Z,2,REGULAR,foul,personal,[],1629684,,,1610612761,45,48,2021-03-05T00:48:12Z,2170000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 200768]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,1162.0,1.0,0.0,Lowry,200768.0,,,,,
225,PT06M58.00S,2021-03-05T00:48:13.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,45,48,2021-03-05T00:48:13Z,2190000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M58.00S,2021-03-05T00:50:36.8Z,2,REGULAR,substitution,out,[],1629684,,,1610612761,45,48,2021-03-05T00:51:07Z,2200000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M58.00S,2021-03-05T00:50:36.8Z,2,REGULAR,substitution,out,[],1629057,,,1610612761,45,48,2021-03-05T00:51:07Z,2210000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M58.00S,2021-03-05T00:50:36.8Z,2,REGULAR,substitution,in,[],202684,,,1610612761,45,48,2021-03-05T00:51:07Z,2220000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M58.00S,2021-03-05T00:50:36.8Z,2,REGULAR,substitution,in,[],1628464,,,1610612761,45,48,2021-03-05T00:51:07Z,2230000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M46.00S,2021-03-05T00:51:23.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],200768,7.046649145860711,51.049325980392155,1610612761,45,50,2021-03-05T00:51:28Z,2240000,-5.0,14.0,1,left,K. Lowry driving Layup (4 PTS) (N. Powell 2 AST),"[200768, 1626181]",1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,1.47,Made,4.0,N. Powell,1626181.0,2.0,,,,,,,,,,,,,,
232,PT06M26.00S,2021-03-05T00:51:42.5Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,87.59855453350855,40.26501225490196,1610612738,45,50,2021-03-05T00:51:48Z,2260000,-49.0,64.0,1,right,MISS T. Thompson 8' turnaround Hook,[202684],1610612738.0,BOS,turnaround,,,Thompson,T. Thompson,,,,,8.05,Missed,,,,,,,,,,,,,,,,,,
233,PT06M24.00S,2021-03-05T00:51:44.5Z,2,REGULAR,rebound,defensive,[],203382,,,1610612761,45,50,2021-03-05T00:51:48Z,2270000,,,0,,A. Baynes REBOUND (Off:3 Def:3),[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,232.0,6.0,3.0,3.0,,,,,,,,,,
234,PT06M15.00S,2021-03-05T00:51:53.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628449,8.09789750328515,46.88265931372549,1610612761,45,52,2021-03-05T00:51:58Z,2280000,16.0,24.0,1,left,C. Boucher driving finger roll Layup (15 PTS) (K. Lowry 7 AST),"[1628449, 200768]",1610612761.0,TOR,driving finger roll,,,Boucher,C. Boucher,,,,,2.83,Made,15.0,K. Lowry,200768.0,7.0,,,,,,,,,,,,,,
235,PT05M59.00S,2021-03-05T00:52:10.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201952,92.59198423127464,53.50030637254902,1610612738,47,52,2021-03-05T00:52:22Z,2290000,18.0,17.0,1,right,J. Teague driving finger roll Layup (8 PTS),[201952],1610612738.0,BOS,driving finger roll,,,Teague,J. Teague,,,,,2.45,Made,8.0,,,,,,,,,,,,,,,,,
237,PT05M46.00S,2021-03-05T00:52:24.9Z,2,REGULAR,foul,personal,['2freethrow'],202684,,,1610612761,47,52,2021-03-05T00:52:36Z,2300000,,,0,,T. Thompson shooting personal FOUL (1 PF) (Powell 2 FT),"[202684, 1626181]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,202049.0,1.0,0.0,Powell,1626181.0,,,,,
239,PT05M46.00S,2021-03-05T00:52:51.6Z,2,REGULAR,freethrow,1 of 2,[],1626181,,,1610612761,47,53,2021-03-05T00:53:10Z,2320000,,,0,,N. Powell Free Throw 1 of 2 (12 PTS),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
240,PT05M46.00S,2021-03-05T00:52:51.6Z,2,REGULAR,freethrow,2 of 2,[],1626181,,,1610612761,47,53,2021-03-05T00:53:10Z,2330000,,,0,,MISS N. Powell Free Throw 2 of 2,[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,Missed,,,,,,,,,,,,,,,,,,
241,PT05M46.00S,2021-03-05T00:52:51.6Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,47,53,2021-03-05T00:53:10Z,2340000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,240.0,1.0,1.0,0.0,,,,,,,,,,
242,PT05M31.00S,2021-03-05T00:53:19.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,84.31340341655716,52.51991421568627,1610612738,47,53,2021-03-05T00:53:28Z,2350000,13.0,95.0,1,right,MISS T. Thompson 9' driving floating Shot,[202684],1610612738.0,BOS,driving floating,,,Thompson,T. Thompson,,,,,9.58,Missed,,,,,,,,,,,,,,,,,,
243,PT05M29.00S,2021-03-05T00:53:21.8Z,2,REGULAR,rebound,defensive,[],1628449,,,1610612761,47,53,2021-03-05T00:53:28Z,2360000,,,0,,C. Boucher REBOUND (Off:0 Def:2),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,242.0,2.0,2.0,0.0,,,,,,,,,,
244,PT05M21.00S,2021-03-05T00:53:29.3Z,2,REGULAR,3pt,Jump Shot,[],1626181,29.25427069645204,28.255208333333332,1610612761,47,56,2021-03-05T00:53:34Z,2370000,109.0,222.0,1,left,N. Powell 24' 3PT pullup (15 PTS),[1626181],1610612761.0,TOR,pullup,,,Powell,N. Powell,,,,,24.76,Made,15.0,,,,,,,,,,,,,,,,,
245,PT05M05.00S,2021-03-05T00:53:44.8Z,2,REGULAR,3pt,Jump Shot,[],202689,74.06373193166885,84.1375612745098,1610612738,47,56,2021-03-05T00:53:52Z,2380000,171.0,191.0,1,right,MISS K. Walker 25' step back 3PT,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,25.64,Missed,,,,,,,,,,,,,,,,,,
246,PT05M04.00S,2021-03-05T00:53:45.8Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,47,56,2021-03-05T00:53:52Z,2390000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,245.0,2.0,1.0,1.0,,,,,,,,,,
247,PT05M00.00S,2021-03-05T00:53:50.8Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],202689,74.58935611038108,85.85324754901961,1610612738,50,56,2021-03-05T00:53:55Z,2400000,179.0,186.0,1,right,K. Walker 25' 3PT  (9 PTS) (T. Thompson 1 AST),"[202689, 202684]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.86,Made,9.0,T. Thompson,202684.0,1.0,,,,,,,,,,,,,,
249,PT04M46.00S,2021-03-05T00:54:04.4Z,2,REGULAR,2pt,Jump Shot,[],1626181,8.229303547963205,74.82383578431373,1610612761,50,58,2021-03-05T00:54:10Z,2420000,-124.0,25.0,1,left,N. Powell 12' turnaround fadeaway Jump Shot (17 PTS),[1626181],1610612761.0,TOR,turnaround fadeaway,,,Powell,N. Powell,,,,,12.66,Made,17.0,,,,,,,,,,,,,,,,,
250,PT04M30.00S,2021-03-05T00:54:20.0Z,2,REGULAR,2pt,Jump Shot,[],1628464,91.40932982917214,73.10814950980392,1610612738,52,58,2021-03-05T00:54:26Z,2430000,116.0,28.0,1,right,D. Theis 11' driving floating Jump Shot (5 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,driving floating,,,Theis,D. Theis,,,,,11.89,Made,5.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
252,PT04M14.00S,2021-03-05T00:54:39.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628464,,,1610612761,52,58,2021-03-05T00:54:53Z,2450000,,,0,,D. Theis personal FOUL (1 PF) (Boucher 2 FT),"[1628464, 1628449]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,1162.0,1.0,0.0,Boucher,1628449.0,,,,,
254,PT04M14.00S,2021-03-05T00:55:09.7Z,2,REGULAR,freethrow,1 of 2,[],1628449,,,1610612761,52,58,2021-03-05T00:55:09Z,2470000,,,0,,MISS C. Boucher Free Throw 1 of 2,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Missed,,,,,,,,,,,,,,,,,,
255,PT04M14.00S,2021-03-05T00:55:09.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,52,58,2021-03-05T00:55:09Z,2480000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,,
256,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,out,[],1627759,,,1610612761,52,58,2021-03-05T00:55:24Z,2490000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,out,[],201952,,,1610612761,52,58,2021-03-05T00:55:24Z,2500000,,,0,,SUB out: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,out,[],1628464,,,1610612761,52,58,2021-03-05T00:55:24Z,2510000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,out,[],203382,,,1610612761,52,58,2021-03-05T00:55:24Z,2520000,,,0,,SUB out: A. Baynes,[203382],1610612761.0,TOR,,,,Baynes,A. Baynes,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,in,[],1628369,,,1610612761,52,58,2021-03-05T00:55:24Z,2530000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
261,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,in,[],1630202,,,1610612761,52,58,2021-03-05T00:55:24Z,2540000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
262,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,in,[],1629684,,,1610612761,52,58,2021-03-05T00:55:24Z,2550000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
263,PT04M14.00S,2021-03-05T00:55:10.2Z,2,REGULAR,substitution,in,[],1629056,,,1610612761,52,58,2021-03-05T00:55:24Z,2560000,,,0,,SUB in: T. Davis,[1629056],1610612761.0,TOR,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,
264,PT04M14.00S,2021-03-05T00:55:31.5Z,2,REGULAR,freethrow,2 of 2,[],1628449,,,1610612761,52,59,2021-03-05T00:55:31Z,2570000,,,0,,C. Boucher Free Throw 2 of 2 (16 PTS),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,Made,16.0,,,,,,,,,,,,,,,,,
265,PT04M06.00S,2021-03-05T00:55:42.3Z,2,REGULAR,foul,personal,['3freethrow'],1626169,,,1610612738,52,59,2021-03-05T00:55:52Z,2580000,,,0,,S. Johnson shooting personal FOUL (2 PF) (Walker 3 FT),"[1626169, 202689]",1610612761.0,TOR,shooting,,,Johnson,S. Johnson,,,,,,,,,,,,,,,201638.0,2.0,0.0,Walker,202689.0,,,,,
267,PT04M06.00S,2021-03-05T00:56:22.3Z,2,REGULAR,freethrow,1 of 3,[],202689,,,1610612738,53,59,2021-03-05T00:56:22Z,2600000,,,0,,K. Walker Free Throw 1 of 3 (10 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
268,PT04M06.00S,2021-03-05T00:56:43.6Z,2,REGULAR,freethrow,2 of 3,[],202689,,,1610612738,54,59,2021-03-05T00:56:43Z,2610000,,,0,,K. Walker Free Throw 2 of 3 (11 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
269,PT04M06.00S,2021-03-05T00:57:02.8Z,2,REGULAR,freethrow,3 of 3,[],202689,,,1610612738,55,59,2021-03-05T00:57:02Z,2620000,,,0,,K. Walker Free Throw 3 of 3 (12 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
270,PT03M56.00S,2021-03-05T00:57:21.6Z,2,REGULAR,3pt,Jump Shot,[],1626181,22.552562417871222,88.54932598039215,1610612761,55,59,2021-03-05T00:57:28Z,2630000,-193.0,159.0,1,left,MISS N. Powell 25' pullup 3PT,[1626181],1610612761.0,TOR,pullup,,,Powell,N. Powell,,,,,25.01,Missed,,,,,,,,,,,,,,,,,,
271,PT03M54.00S,2021-03-05T00:57:23.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,55,59,2021-03-05T00:57:28Z,2640000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,
272,PT03M54.00S,2021-03-05T00:57:27.5Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,55,59,2021-03-05T00:57:27Z,2650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PT03M43.00S,2021-03-05T00:57:44.1Z,2,REGULAR,3pt,Jump Shot,[],202689,66.17936925098554,53.255208333333336,1610612738,58,59,2021-03-05T00:57:48Z,2660000,16.0,265.0,1,right,K. Walker 26' 3PT pullup (15 PTS),[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.59,Made,15.0,,,,,,,,,,,,,,,,,
274,PT03M29.00S,2021-03-05T00:57:57.0Z,2,REGULAR,3pt,Jump Shot,[],1626169,8.409986859395532,96.90563725490196,1610612761,58,59,2021-03-05T00:58:05Z,2670000,-235.0,27.0,1,left,MISS S. Johnson 3PT,[1626169],1610612761.0,TOR,,,,Johnson,S. Johnson,,,,,23.6,Missed,,,,,,,,,,,,,,,,,,
275,PT03M27.00S,2021-03-05T00:57:59.0Z,2,REGULAR,rebound,defensive,[],202689,,,1610612738,58,59,2021-03-05T00:58:05Z,2680000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,274.0,2.0,2.0,0.0,,,,,,,,,,
276,PT03M08.00S,2021-03-05T00:58:19.2Z,2,REGULAR,turnover,bad pass,[],202689,,,1610612738,58,59,2021-03-05T00:58:24Z,2690000,,,0,,K. Walker bad pass TURNOVER (3 TO),"[202689, 1626181]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,3.0,,,Powell,1626181.0
277,PT03M08.00S,2021-03-05T00:58:19.2Z,2,REGULAR,steal,,[],1626181,,,1610612761,58,59,2021-03-05T00:58:39Z,2700000,,,0,,N. Powell STEAL (2 STL),[1626181],1610612761.0,TOR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
278,PT03M03.00S,2021-03-05T00:58:24.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629056,6.783837056504599,52.51991421568627,1610612761,58,61,2021-03-05T00:58:28Z,2710000,-13.0,11.0,1,left,T. Davis running Layup (8 PTS) (K. Lowry 8 AST),"[1629056, 200768]",1610612761.0,TOR,running,,,Davis,T. Davis,,,,,1.69,Made,8.0,K. Lowry,200768.0,8.0,,,,,,,,,,,,,,
280,PT02M45.00S,2021-03-05T00:58:44.8Z,2,REGULAR,foul,offensive,['inpenalty'],1628369,,,1610612738,58,61,2021-03-05T00:59:48Z,2730000,,,0,,J. Tatum offensive FOUL (1 PF),"[1628369, 1628449]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,201638.0,1.0,0.0,Boucher,1628449.0,,,,,
282,PT02M45.00S,2021-03-05T00:58:44.8Z,2,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,58,61,2021-03-05T00:58:44Z,2750000,,,0,,J. Tatum offensive foul TURNOVER (2 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,201638.0,,,,,2.0,,,,
283,PT02M45.00S,2021-03-05T00:59:00.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,58,61,2021-03-05T00:59:00Z,2760000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
