actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
181,PT08M24.00S,2021-02-10T03:49:20.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612762,28,29,2021-02-10T03:49:24Z,1770000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,
182,PT08M24.00S,2021-02-10T03:49:24.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,28,29,2021-02-10T03:49:25Z,1780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT08M24.00S,2021-02-10T03:49:25.4Z,2,REGULAR,substitution,out,[],203497,,,1610612762,28,29,2021-02-10T03:49:32Z,1790000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
184,PT08M24.00S,2021-02-10T03:49:25.4Z,2,REGULAR,substitution,out,[],1629671,,,1610612762,28,29,2021-02-10T03:49:32Z,1800000,,,0,,SUB out: M. Oni,[1629671],1610612762.0,UTA,,,,Oni,M. Oni,,,,,,,,,,,,,,,,,,,,,,,,
185,PT08M24.00S,2021-02-10T03:49:25.4Z,2,REGULAR,substitution,in,[],1628378,,,1610612762,28,29,2021-02-10T03:49:32Z,1810000,,,0,,SUB in: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
186,PT08M24.00S,2021-02-10T03:49:25.4Z,2,REGULAR,substitution,in,[],202324,,,1610612762,28,29,2021-02-10T03:49:32Z,1820000,,,0,,SUB in: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M24.00S,2021-02-10T03:49:25.4Z,2,REGULAR,substitution,out,[],204060,,,1610612762,28,29,2021-02-10T03:49:49Z,1830000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M24.00S,2021-02-10T03:49:25.4Z,2,REGULAR,substitution,in,[],1626220,,,1610612762,28,29,2021-02-10T03:49:49Z,1840000,,,0,,SUB in: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M14.00S,2021-02-10T03:50:03.1Z,2,REGULAR,foul,personal,[],1629684,,,1610612762,28,29,2021-02-10T03:50:29Z,1850000,,,0,,G. Williams personal FOUL (3 PF),"[1629684, 1628378]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,2529.0,,,,,,3.0,0.0,Mitchell,1628378.0
191,PT08M14.00S,2021-02-10T03:50:13.0Z,2,REGULAR,substitution,out,[],1627777,,,1610612762,28,29,2021-02-10T03:50:19Z,1870000,,,0,,SUB out: G. Niang,[1627777],1610612762.0,UTA,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M14.00S,2021-02-10T03:50:13.0Z,2,REGULAR,substitution,out,[],1629057,,,1610612762,28,29,2021-02-10T03:50:19Z,1880000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
193,PT08M14.00S,2021-02-10T03:50:13.0Z,2,REGULAR,substitution,in,[],202711,,,1610612762,28,29,2021-02-10T03:50:19Z,1890000,,,0,,SUB in: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
194,PT08M14.00S,2021-02-10T03:50:13.0Z,2,REGULAR,substitution,in,[],202684,,,1610612762,28,29,2021-02-10T03:50:19Z,1900000,,,0,,SUB in: T. Thompson,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M05.00S,2021-02-10T03:50:40.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],202324,6.1268068331143235,50.80422794117647,1610612762,30,29,2021-02-10T03:50:44Z,1910000,-4.0,5.0,1,left,D. Favors DUNK (2 PTS) (D. Mitchell 2 AST),"[202324, 1628378]",1610612762.0,UTA,,,,Favors,D. Favors,,,,,0.65,Made,,,,,2.0,D. Mitchell,1628378.0,2.0,,,,,,,,,,
197,PT07M42.00S,2021-02-10T03:51:02.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628400,81.42247043363994,53.255208333333336,1610612738,30,29,2021-02-10T03:54:03Z,1930000,16.0,122.0,1,right,MISS S. Ojeleye 12' turnaround Shot,[1628400],1610612738.0,BOS,turnaround,,,Ojeleye,S. Ojeleye,,,,,12.32,Missed,,,,,,,,,,,,,,,,,,
198,PT07M41.00S,2021-02-10T03:51:03.8Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,30,29,2021-02-10T03:51:09Z,1940000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,197.0,2.0,2.0,0.0,,,,,,,,,,,,,,
199,PT07M27.00S,2021-02-10T03:51:18.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203903,8.754927726675426,46.63756127450981,1610612762,30,29,2021-02-10T03:51:22Z,1950000,17.0,30.0,1,left,MISS J. Clarkson Layup,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,3.42,Missed,,,,,,,,,,,,,,,,,,
200,PT07M25.00S,2021-02-10T03:51:20.5Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612738,30,29,2021-02-10T03:51:22Z,1960000,,,0,,S. Ojeleye REBOUND (Off:1 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,199.0,2.0,1.0,1.0,,,,,,,,,,,,,,
201,PT07M16.00S,2021-02-10T03:51:29.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,90.62089356110381,41.73560049019608,1610612738,30,29,2021-02-10T03:55:23Z,1970000,-41.0,36.0,1,right,MISS J. Tatum driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,5.46,Missed,,,,,,,,,,,,,,,,,,
202,PT07M14.00S,2021-02-10T03:51:31.5Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,30,29,2021-02-10T03:55:23Z,1980000,,,0,,T. Thompson REBOUND (Off:1 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,201.0,3.0,2.0,1.0,,,,,,,,,,,,,,
203,PT07M12.00S,2021-02-10T03:51:33.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,90.3580814717477,50.06893382352941,1610612738,30,31,2021-02-10T03:55:52Z,1990000,0.0,38.0,1,right,T. Thompson Hook (6 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,3.81,Made,,,,,6.0,,,,,,,,,,,,,
204,PT07M12.00S,2021-02-10T03:51:37.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,30,31,2021-02-10T03:51:37Z,2000000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M12.00S,2021-02-10T03:54:34.3Z,2,REGULAR,substitution,out,[],1628369,,,1610612762,30,31,2021-02-10T03:54:56Z,2010000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M12.00S,2021-02-10T03:54:34.3Z,2,REGULAR,substitution,out,[],1630202,,,1610612762,30,31,2021-02-10T03:54:56Z,2020000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M12.00S,2021-02-10T03:54:34.3Z,2,REGULAR,substitution,out,[],1628400,,,1610612762,30,31,2021-02-10T03:54:56Z,2030000,,,0,,SUB out: S. Ojeleye,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M12.00S,2021-02-10T03:54:34.3Z,2,REGULAR,substitution,in,[],202689,,,1610612762,30,31,2021-02-10T03:54:56Z,2040000,,,0,,SUB in: K. Walker,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M12.00S,2021-02-10T03:54:34.3Z,2,REGULAR,substitution,in,[],201952,,,1610612762,30,31,2021-02-10T03:54:56Z,2050000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M12.00S,2021-02-10T03:54:34.3Z,2,REGULAR,substitution,in,[],1627759,,,1610612762,30,31,2021-02-10T03:54:56Z,2060000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M01.00S,2021-02-10T03:55:15.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,8.754927726675426,38.794424019607845,1610612762,30,31,2021-02-10T03:55:22Z,2070000,56.0,30.0,1,left,MISS D. Mitchell 6' driving finger roll Layup,[1628378],1610612762.0,UTA,driving finger roll,,,Mitchell,D. Mitchell,,,,,6.34,Missed,,,,,,,,,,,,,,,,,,
212,PT06M55.00S,2021-02-10T03:55:21.9Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,30,31,2021-02-10T03:55:22Z,2080000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,211.0,2.0,2.0,0.0,,,,,,,,,,,,,,
213,PT06M54.00S,2021-02-10T03:55:25.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.06636005256242,55.4610906862745,1610612738,30,33,2021-02-10T03:55:45Z,2090000,27.0,22.0,1,right,J. Brown driving Layup (13 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.51,Made,,,,,13.0,,,,,,,,,,,,,
214,PT06M54.00S,2021-02-10T03:55:29.5Z,2,REGULAR,foul,personal,['1freethrow'],1626220,,,1610612738,30,33,2021-02-10T03:55:35Z,2100000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Brown 1 FT),"[1626220, 1627759]",1610612762.0,UTA,shooting,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,2529.0,,,,,,1.0,0.0,Brown,1627759.0
216,PT06M54.00S,2021-02-10T03:55:47.8Z,2,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,30,34,2021-02-10T03:55:47Z,2120000,,,0,,J. Brown Free Throw 1 of 1 (14 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,14.0,,,,,,,,,,,,,
217,PT06M44.00S,2021-02-10T03:56:00.7Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],202324,6.389618922470433,53.74540441176471,1610612762,30,34,2021-02-10T03:56:07Z,2130000,-19.0,8.0,1,left,MISS D. Favors DUNK - blocked,"[202324, 1629684]",1610612762.0,UTA,,,,Favors,D. Favors,,,,,2.02,Missed,,,,,,,,,,,Williams,1629684.0,,,,,,
218,PT06M44.00S,2021-02-10T03:56:00.7Z,2,REGULAR,block,,[],1629684,,,1610612762,30,34,2021-02-10T03:56:10Z,2140000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M38.00S,2021-02-10T03:56:06.7Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,30,34,2021-02-10T03:56:07Z,2150000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,217.0,2.0,1.0,1.0,,,,,,,,,,,,,,
220,PT06M20.00S,2021-02-10T03:56:24.7Z,2,REGULAR,3pt,Jump Shot,[],202689,71.96123521681997,76.53952205882352,1610612738,30,34,2021-02-10T03:56:32Z,2160000,133.0,211.0,1,right,MISS K. Walker 24' 3PT - blocked,"[202689, 1628378]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,24.93,Missed,,,,,,,,,,,Mitchell,1628378.0,,,,,,
221,PT06M20.00S,2021-02-10T03:56:24.7Z,2,REGULAR,block,,[],1628378,,,1610612738,30,34,2021-02-10T03:56:26Z,2170000,,,0,,D. Mitchell BLOCK (1 BLK),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M19.00S,2021-02-10T03:56:25.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,30,34,2021-02-10T03:56:43Z,2180000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,
223,PT06M19.00S,2021-02-10T03:56:30.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612738,30,34,2021-02-10T03:56:42Z,2190000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,1188.0,,,,,,,,,
224,PT06M07.00S,2021-02-10T03:56:49.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,5.338370565045992,3.2552083333333335,1610612762,33,34,2021-02-10T03:56:54Z,2200000,234.0,-2.0,1,left,R. O'Neale 3PT  (3 PTS) (B. Bogdanovic 4 AST),"[1626220, 202711]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,23.37,Made,,,,,3.0,B. Bogdanovic,202711.0,4.0,,,,,,,,,,
226,PT05M42.00S,2021-02-10T03:57:14.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,87.46714848883047,43.94148284313725,1610612738,33,36,2021-02-10T03:58:01Z,2220000,-30.0,65.0,1,right,J. Brown 7' fadeaway Jump Shot (16 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,7.2,Made,,,,,16.0,,,,,,,,,,,,,
227,PT05M25.00S,2021-02-10T03:57:31.7Z,2,REGULAR,3pt,Jump Shot,[],1628378,19.267411300919843,93.45128676470588,1610612762,36,36,2021-02-10T03:57:37Z,2230000,-217.0,129.0,1,left,D. Mitchell 25' 3PT  (12 PTS) (J. Clarkson 4 AST),"[1628378, 203903]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,25.25,Made,,,,,12.0,J. Clarkson,203903.0,4.0,,,,,,,,,,
229,PT05M07.00S,2021-02-10T03:57:51.8Z,2,REGULAR,foul,personal,[],1626220,,,1610612738,36,36,2021-02-10T03:57:57Z,2250000,,,0,,R. O'Neale personal FOUL (2 PF),"[1626220, 1627759]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,2529.0,,,,,,2.0,0.0,Brown,1627759.0
231,PT04M55.00S,2021-02-10T03:58:19.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,86.81011826544021,47.372855392156865,1610612738,36,36,2021-02-10T03:58:23Z,2270000,-13.0,71.0,1,right,MISS T. Thompson 7' Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,7.27,Missed,,,,,,,,,,,,,,,,,,
232,PT04M53.00S,2021-02-10T03:58:21.2Z,2,REGULAR,rebound,defensive,[],203903,,,1610612762,36,36,2021-02-10T03:58:23Z,2280000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,231.0,1.0,1.0,0.0,,,,,,,,,,,,,,
233,PT04M43.00S,2021-02-10T03:58:31.7Z,2,REGULAR,3pt,Jump Shot,[],1628378,29.122864651773984,78.01011029411765,1610612762,36,36,2021-02-10T03:58:36Z,2290000,-140.0,221.0,1,left,MISS D. Mitchell 26' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,26.19,Missed,,,,,,,,,,,,,,,,,,
234,PT04M39.00S,2021-02-10T03:58:35.7Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,36,36,2021-02-10T03:58:36Z,2300000,,,0,,G. Williams REBOUND (Off:0 Def:3),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,233.0,3.0,3.0,0.0,,,,,,,,,,,,,,
235,PT04M27.00S,2021-02-10T03:58:50.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.09526938239159,44.18658088235294,1610612738,36,38,2021-02-10T03:58:58Z,2310000,-29.0,41.0,1,right,J. Brown driving Layup (18 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,5.0,Made,,,,,18.0,,,,,,,,,,,,,
236,PT04M27.00S,2021-02-10T03:58:53.3Z,2,REGULAR,foul,personal,['1freethrow'],203903,,,1610612738,36,38,2021-02-10T03:58:59Z,2320000,,,0,,J. Clarkson shooting personal FOUL (2 PF) (Brown 1 FT),"[203903, 1627759]",1610612762.0,UTA,shooting,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,1188.0,,,,,,2.0,0.0,Brown,1627759.0
238,PT04M27.00S,2021-02-10T03:59:05.8Z,2,REGULAR,substitution,out,[],203903,,,1610612738,36,38,2021-02-10T03:59:35Z,2340000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
239,PT04M27.00S,2021-02-10T03:59:05.8Z,2,REGULAR,substitution,out,[],202324,,,1610612738,36,38,2021-02-10T03:59:35Z,2350000,,,0,,SUB out: D. Favors,[202324],1610612762.0,UTA,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
240,PT04M27.00S,2021-02-10T03:59:05.8Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,36,38,2021-02-10T03:59:35Z,2360000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
241,PT04M27.00S,2021-02-10T03:59:05.8Z,2,REGULAR,substitution,in,[],204060,,,1610612738,36,38,2021-02-10T03:59:35Z,2370000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
242,PT04M27.00S,2021-02-10T03:59:05.8Z,2,REGULAR,substitution,in,[],203497,,,1610612738,36,38,2021-02-10T03:59:35Z,2380000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
243,PT04M27.00S,2021-02-10T03:59:05.8Z,2,REGULAR,substitution,in,[],1628464,,,1610612738,36,38,2021-02-10T03:59:35Z,2390000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
244,PT04M27.00S,2021-02-10T03:59:34.3Z,2,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,36,38,2021-02-10T03:59:34Z,2400000,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,
245,PT04M24.00S,2021-02-10T03:59:37.3Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,36,38,2021-02-10T03:59:36Z,2410000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:3),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,244.0,3.0,3.0,0.0,,,,,,,,,,,,,,
246,PT04M15.00S,2021-02-10T03:59:50.5Z,2,REGULAR,foul,personal,[],202689,,,1610612762,36,38,2021-02-10T04:00:06Z,2420000,,,0,,K. Walker personal FOUL (1 PF),"[202689, 203497]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,2529.0,,,,,,1.0,0.0,Gobert,203497.0
248,PT04M15.00S,2021-02-10T03:59:57.2Z,2,REGULAR,substitution,out,[],201952,,,1610612762,36,38,2021-02-10T04:00:00Z,2440000,,,0,,SUB out: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
249,PT04M15.00S,2021-02-10T03:59:57.2Z,2,REGULAR,substitution,in,[],1628369,,,1610612762,36,38,2021-02-10T04:00:00Z,2450000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M04.00S,2021-02-10T04:00:21.2Z,2,REGULAR,3pt,Jump Shot,[],204060,25.706307490144546,82.91207107843137,1610612762,36,38,2021-02-10T04:00:27Z,2460000,-165.0,189.0,1,left,MISS J. Ingles 25' 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,
251,PT04M02.00S,2021-02-10T04:00:23.2Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,36,38,2021-02-10T04:00:27Z,2470000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,
252,PT04M02.00S,2021-02-10T04:00:25.9Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,36,38,2021-02-10T04:00:25Z,2480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT03M58.00S,2021-02-10T04:00:44.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],204060,17.95335085413929,93.94148284313727,1610612762,39,38,2021-02-10T04:02:45Z,2490000,-220.0,116.0,1,left,J. Ingles 24' 3PT pullup (9 PTS) (R. Gobert 1 AST),"[204060, 203497]",1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,24.86,Made,,,,,9.0,R. Gobert,203497.0,1.0,,,,,,,,,,
255,PT03M57.00S,2021-02-10T04:00:50.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,39,38,2021-02-10T04:00:50Z,2510000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT03M41.00S,2021-02-10T04:04:27.2Z,2,REGULAR,2pt,Jump Shot,[],202689,79.58278580814718,79.48069852941177,1610612738,39,38,2021-02-10T04:04:34Z,2520000,147.0,139.0,1,right,MISS K. Walker 20' pullup Shot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,20.29,Missed,,,,,,,,,,,,,,,,,,
257,PT03M37.00S,2021-02-10T04:04:31.2Z,2,REGULAR,rebound,defensive,[],1626220,,,1610612762,39,38,2021-02-10T04:04:34Z,2530000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,256.0,2.0,2.0,0.0,,,,,,,,,,,,,,
258,PT03M31.00S,2021-02-10T04:04:37.0Z,2,REGULAR,3pt,Jump Shot,[],1626220,26.62614980289093,18.45128676470588,1610612762,42,38,2021-02-10T04:04:43Z,2540000,158.0,198.0,1,left,R. O'Neale 25' 3PT  (6 PTS) (D. Mitchell 3 AST),"[1626220, 1628378]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,25.3,Made,,,,,6.0,D. Mitchell,1628378.0,3.0,,,,,,,,,,
260,PT03M16.00S,2021-02-10T04:04:51.7Z,2,REGULAR,2pt,Jump Shot,[],202689,79.188567674113,18.206188725490197,1610612738,42,38,2021-02-10T04:04:58Z,2560000,-159.0,143.0,1,right,MISS K. Walker 21' step back Shot,[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,21.39,Missed,,,,,,,,,,,,,,,,,,
261,PT03M12.00S,2021-02-10T04:04:55.7Z,2,REGULAR,rebound,defensive,[],204060,,,1610612762,42,38,2021-02-10T04:04:58Z,2570000,,,0,,J. Ingles REBOUND (Off:0 Def:2),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,260.0,2.0,2.0,0.0,,,,,,,,,,,,,,
262,PT02M56.00S,2021-02-10T04:05:12.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],202711,6.783837056504599,49.82383578431372,1610612762,44,38,2021-02-10T04:05:19Z,2580000,1.0,11.0,1,left,B. Bogdanovic driving DUNK (4 PTS) (J. Ingles 2 AST),"[202711, 204060]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,1.13,Made,,,,,4.0,J. Ingles,204060.0,2.0,,,,,,,,,,
264,PT02M34.00S,2021-02-10T04:05:33.3Z,2,REGULAR,3pt,Jump Shot,[],1628464,84.83902759526939,96.39246323529412,1610612738,44,41,2021-02-10T04:05:38Z,2600000,232.0,90.0,1,right,D. Theis 24' 3PT  (6 PTS) (J. Tatum 2 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,24.88,Made,,,,,6.0,J. Tatum,1628369.0,2.0,,,,,,,,,,
266,PT02M07.00S,2021-02-10T04:06:01.9Z,2,REGULAR,3pt,Jump Shot,[],204060,24.52365308804205,7.421875,1610612762,44,41,2021-02-10T04:06:07Z,2620000,213.0,178.0,1,left,MISS J. Ingles 27' pullup 3PT,[204060],1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,27.75,Missed,,,,,,,,,,,,,,,,,,
267,PT02M03.00S,2021-02-10T04:06:05.9Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,44,41,2021-02-10T04:06:07Z,2630000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,266.0,4.0,3.0,1.0,,,,,,,,,,,,,,
268,PT01M56.00S,2021-02-10T04:06:12.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.72339027595268,54.23560049019608,1610612738,44,43,2021-02-10T04:06:16Z,2640000,21.0,16.0,1,right,J. Tatum driving Layup (4 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.65,Made,,,,,4.0,,,,,,,,,,,,,
269,PT01M43.00S,2021-02-10T04:06:28.6Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612762,44,43,2021-02-10T04:06:36Z,2650000,,,0,,J. Brown personal FOUL (1 PF) (Ingles 2 FT),"[1627759, 204060]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,2148.0,,,,,,1.0,0.0,Ingles,204060.0
271,PT01M43.00S,2021-02-10T04:07:02.1Z,2,REGULAR,freethrow,1 of 2,[],204060,,,1610612762,45,43,2021-02-10T04:07:02Z,2670000,,,0,,J. Ingles Free Throw 1 of 2 (10 PTS),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
