actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
46,PT08M42.00S,2021-05-30T23:10:22.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,15,9,2021-05-30T23:10:22Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M32.00S,2021-05-30T23:10:34.7Z,1,REGULAR,3pt,Jump Shot,[],202681,32.40801576872536,31.44148284313725,1610612751,15,9,2021-05-30T23:11:00Z,470000,93.0,252.0,1,left,MISS K. Irving 26' step back 3PT,[202681],1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,26.86,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M28.00S,2021-05-30T23:10:38.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,15,9,2021-05-30T23:10:44Z,480000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,
49,PT08M28.00S,2021-05-30T23:10:41.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,15,9,2021-05-30T23:10:41Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M20.00S,2021-05-30T23:11:17.8Z,1,REGULAR,3pt,Jump Shot,[],203095,66.44218134034165,36.34344362745098,1610612738,15,9,2021-05-30T23:11:39Z,500000,-68.0,263.0,1,right,MISS E. Fournier 27' step back 3PT,[203095],1610612738.0,BOS,step back,,,Fournier,E. Fournier,,,,,27.16,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M19.00S,2021-05-30T23:11:18.8Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612738,15,9,2021-05-30T23:11:31Z,510000,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,,,,,
52,PT08M19.00S,2021-05-30T23:11:24.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629641,94.40999984741211,50.0,1610612738,17,9,2021-05-30T23:11:38Z,520000,0.0,0.0,1,right,R. Langford tip DUNK (2 PTS),[1629641],1610612738.0,BOS,tip,,,Langford,R. Langford,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
53,PT08M03.00S,2021-05-30T23:11:34.0Z,1,REGULAR,2pt,Jump Shot,[],201142,21.76412614980289,35.36305147058824,1610612751,17,11,2021-05-30T23:11:43Z,530000,73.0,152.0,1,left,K. Durant 16' pullup Jump Shot (2 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,16.88,Made,2.0,,,,,,,,,,,,,,,,,,
54,PT07M44.00S,2021-05-30T23:11:56.1Z,1,REGULAR,foul,personal,['2freethrow'],203925,,,1610612738,17,11,2021-05-30T23:12:03Z,540000,,,0,,J. Harris shooting personal FOUL (2 PF) (Fournier 2 FT),"[203925, 203095]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,101284.0,2.0,0.0,Fournier,203095.0,,,
56,PT07M44.00S,2021-05-30T23:12:21.5Z,1,REGULAR,freethrow,1 of 2,[],203095,,,1610612738,18,11,2021-05-30T23:12:21Z,560000,,,0,,E. Fournier Free Throw 1 of 2 (1 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
57,PT07M44.00S,2021-05-30T23:12:38.6Z,1,REGULAR,freethrow,2 of 2,[],203095,,,1610612738,19,11,2021-05-30T23:12:38Z,570000,,,0,,E. Fournier Free Throw 2 of 2 (2 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
58,PT07M39.00S,2021-05-30T23:12:49.3Z,1,REGULAR,foul,personal,[],202684,,,1610612751,19,11,2021-05-30T23:13:09Z,580000,,,0,,T. Thompson personal FOUL (1 PF),"[202684, 201142]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Durant,201142.0,,,
60,PT07M35.00S,2021-05-30T23:13:18.2Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612751,19,11,2021-05-30T23:13:26Z,600000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Durant 2 FT),"[1628369, 201142]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Durant,201142.0,,,
62,PT07M35.00S,2021-05-30T23:13:42.6Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,19,12,2021-05-30T23:13:42Z,620000,,,0,,K. Durant Free Throw 1 of 2 (3 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
63,PT07M35.00S,2021-05-30T23:14:03.3Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,19,13,2021-05-30T23:14:03Z,630000,,,0,,K. Durant Free Throw 2 of 2 (4 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
