actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
38,PT08M04.00S,2021-03-24T23:50:35.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201572,90.09526938239159,50.80422794117647,1610612749,15,12,2021-03-24T23:50:44Z,380000,4.0,41.0,1,right,B. Lopez putback Layup (7 PTS),[201572],1610612749.0,MIL,putback,,,Lopez,B. Lopez,,,,,4.08,Made,7.0,,,,,,,,,,,,,,,,,
39,PT07M51.00S,2021-03-24T23:50:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,10.988830486202366,49.08854166666667,1610612738,15,12,2021-03-24T23:50:53Z,390000,5.0,51.0,1,left,MISS K. Walker driving reverse Layup,[202689],1610612738.0,BOS,driving reverse,,,Walker,K. Walker,,,,,5.1,Missed,,,,,,,,,,,,,,,,,,
40,PT07M48.00S,2021-03-24T23:50:52.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,15,12,2021-03-24T23:55:27Z,400000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,
41,PT07M44.00S,2021-03-24T23:50:58.9Z,1,REGULAR,3pt,Jump Shot,[],201950,71.30420499342969,19.431678921568626,1610612749,15,12,2021-03-24T23:53:36Z,410000,-153.0,217.0,1,right,MISS J. Holiday 26' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,
42,PT07M42.00S,2021-03-24T23:51:00.9Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,15,12,2021-03-24T23:53:36Z,420000,,,0,,K. Middleton REBOUND (Off:1 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,41.0,3.0,2.0,1.0,,,,,,,,,,
61,PT07M37.00S,2021-03-24T23:51:02.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,72.7496714848883,17.47089460784314,1610612749,15,12,2021-03-24T23:56:18Z,430000,-163.0,204.0,1,right,MISS J. Holiday 26' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,
64,PT07M37.00S,2021-03-24T23:51:02.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,12,2021-03-24T23:56:18Z,437500,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,
44,PT07M27.00S,2021-03-24T23:51:06.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.14126149802891,25.666360294117652,1610612738,15,12,2021-03-24T23:57:11Z,440000,122.0,231.0,1,left,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,
45,PT07M26.00S,2021-03-24T23:51:07.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,15,12,2021-03-24T23:57:33Z,450000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,
46,PT07M12.00S,2021-03-24T23:51:28.6Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",201572,91.14651773981603,41.00030637254902,1610612749,17,12,2021-03-24T23:57:45Z,460000,-45.0,31.0,1,right,B. Lopez driving Hook (9 PTS),[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,5.45,Made,9.0,,,,,,,,,,,,,,,,,
47,PT07M01.00S,2021-03-24T23:51:43.5Z,1,REGULAR,foul,personal,[],203507,,,1610612738,17,12,2021-03-24T23:52:06Z,470000,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 203935]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Smart,203935.0,,,
49,PT07M01.00S,2021-03-24T23:51:52.5Z,1,REGULAR,substitution,out,[],201950,,,1610612738,17,12,2021-03-24T23:51:57Z,490000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M01.00S,2021-03-24T23:51:52.5Z,1,REGULAR,substitution,in,[],1626192,,,1610612738,17,12,2021-03-24T23:51:57Z,500000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M49.00S,2021-03-24T23:52:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.273981603153747,36.09834558823529,1610612738,17,12,2021-03-24T23:58:31Z,510000,70.0,82.0,1,left,MISS J. Brown 10' floating Shot,[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,10.73,Missed,,,,,,,,,,,,,,,,,,
52,PT06M46.00S,2021-03-24T23:52:19.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,17,12,2021-03-24T23:52:21Z,520000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,51.0,3.0,3.0,0.0,,,,,,,,,,
53,PT06M45.00S,2021-03-24T23:52:22.5Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,17,12,2021-03-24T23:52:30Z,530000,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,201246.0,,,,,1.0,,
54,PT06M45.00S,2021-03-24T23:52:32.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,17,12,2021-03-24T23:52:32Z,540000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M21.00S,2021-03-24T23:56:17.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,11.383048620236531,97.12775735294117,1610612738,17,15,2021-03-24T23:56:24Z,550000,-236.0,55.0,1,left,J. Brown 24' 3PT  (10 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.18,Made,10.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
66,PT06M06.00S,2021-03-24T23:56:32.7Z,1,REGULAR,2pt,Jump Shot,[],203114,93.9060446780552,29.235600490196077,1610612749,19,15,2021-03-24T23:56:37Z,570000,-104.0,5.0,1,right,K. Middleton 10' turnaround fadeaway Jump Shot (5 PTS),[203114],1610612749.0,MIL,turnaround fadeaway,,,Middleton,K. Middleton,,,,,10.39,Made,5.0,,,,,,,,,,,,,,,,,
