actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
64,PT07M12.00S,2021-05-05T23:20:59.3Z,1,REGULAR,2pt,Jump Shot,[],1628407,78.53153745072274,48.353247549019606,1610612753,6,15,2021-05-05T23:21:05Z,640000,-8.0,149.0,1,right,D. Bacon 14' pullup Jump Shot (2 PTS),[1628407],1610612753.0,ORL,pullup,,,Bacon,D. Bacon,,,,,14.95,Made,,,,,2.0,,,,,,,,,,,,,,
65,PT06M55.00S,2021-05-05T23:21:16.6Z,1,REGULAR,3pt,Jump Shot,[],203095,33.327858081471746,37.07873774509804,1610612738,6,15,2021-05-05T23:22:29Z,650000,65.0,261.0,1,left,MISS E. Fournier 26' pullup 3PT,[203095],1610612738.0,BOS,pullup,,,Fournier,E. Fournier,,,,,26.87,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M53.00S,2021-05-05T23:21:18.6Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,6,15,2021-05-05T23:21:21Z,660000,,,0,,M. Bamba REBOUND (Off:0 Def:3),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,65.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
67,PT06M44.00S,2021-05-05T23:21:27.5Z,1,REGULAR,turnover,bad pass,[],1628407,,,1610612753,6,15,2021-05-05T23:21:32Z,670000,,,0,,D. Bacon bad pass TURNOVER (1 TO),"[1628407, 202689]",1610612753.0,ORL,,,,Bacon,D. Bacon,,,,,,,,,,,,,,,,,1.0,,,,Walker,202689.0,,,
68,PT06M44.00S,2021-05-05T23:21:27.5Z,1,REGULAR,steal,,[],202689,,,1610612738,6,15,2021-05-05T23:21:29Z,680000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M41.00S,2021-05-05T23:21:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202689,7.966491458607096,48.84344362745098,1610612738,6,17,2021-05-05T23:21:37Z,690000,6.0,22.0,1,left,K. Walker running Layup (12 PTS),[202689],1610612738.0,BOS,running,,,Walker,K. Walker,,,,,2.31,Made,,,,,12.0,,,,,,,,,,,,,,
70,PT06M30.00S,2021-05-05T23:21:41.5Z,1,REGULAR,turnover,bad pass,[],1626184,,,1610612753,6,17,2021-05-05T23:21:47Z,700000,,,0,,C. Randle bad pass TURNOVER (1 TO),"[1626184, 1629057]",1610612753.0,ORL,,,,Randle,C. Randle,,,,,,,,,,,,,,,,,1.0,,,,Williams III,1629057.0,,,
71,PT06M30.00S,2021-05-05T23:21:41.5Z,1,REGULAR,steal,,[],1629057,,,1610612738,6,17,2021-05-05T23:21:43Z,710000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M27.00S,2021-05-05T23:21:45.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629057,8.09789750328515,47.61795343137255,1610612738,6,19,2021-05-05T23:23:24Z,720000,12.0,24.0,1,left,R. Williams III running reverse Layup (2 PTS),[1629057],1610612738.0,BOS,running reverse,,,Williams III,R. Williams III,,,,,2.64,Made,,,,,2.0,,,,,,,,,,,,,,
73,PT06M27.00S,2021-05-05T23:21:50.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,6,19,2021-05-05T23:21:50Z,730000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
