actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
42,PT08M48.00S,2021-02-14T18:14:46.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629021,19.136005256241788,59.62775735294118,1610612764,4,4,2021-02-14T18:14:52Z,420000,-48.0,127.0,1,left,MISS M. Wagner 13' turnaround Hook,[1629021],1610612764.0,WAS,turnaround,,,Wagner,M. Wagner,,,,,,,,,,13.62,Missed,,,,,,,,,,,,,
43,PT08M46.00S,2021-02-14T18:14:48.4Z,1,REGULAR,rebound,offensive,[],201566,,,1610612764,4,4,2021-02-14T18:14:48Z,430000,,,0,,R. Westbrook REBOUND (Off:1 Def:1),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,,
44,PT08M45.00S,2021-02-14T18:14:49.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629021,9.937582128777924,49.08854166666667,1610612764,6,4,2021-02-14T18:14:55Z,440000,5.0,41.0,1,left,M. Wagner cutting DUNK (4 PTS) (R. Westbrook 2 AST),"[1629021, 201566]",1610612764.0,WAS,cutting,,,Wagner,M. Wagner,,,,,,,,,,4.12,Made,4.0,R. Westbrook,201566.0,2.0,,,,,,,,,
46,PT08M30.00S,2021-02-14T18:15:05.1Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,6,4,2021-02-14T18:15:12Z,460000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1629726]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,,,Mathews,1629726.0
47,PT08M30.00S,2021-02-14T18:15:05.1Z,1,REGULAR,steal,,[],1629726,,,1610612764,6,4,2021-02-14T18:15:08Z,470000,,,0,,G. Mathews STEAL (1 STL),[1629726],1610612764.0,WAS,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M28.00S,2021-02-14T18:15:10.9Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612764,6,4,2021-02-14T18:15:19Z,480000,,,0,,D. Theis shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1628464, 1629060]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,200833.0,1.0,0.0,Hachimura,1629060.0,,,,,,,,,,,,,,,
50,PT08M28.00S,2021-02-14T18:15:41.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629060,,,1610612764,7,4,2021-02-14T18:15:41Z,500000,,,0,,R. Hachimura Free Throw 1 of 2 (1 PTS),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
51,PT08M28.00S,2021-02-14T18:16:05.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629060,,,1610612764,8,4,2021-02-14T18:16:05Z,510000,,,0,,R. Hachimura Free Throw 2 of 2 (2 PTS),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
52,PT08M13.00S,2021-02-14T18:16:22.3Z,1,REGULAR,2pt,Jump Shot,[],202689,86.5473061760841,29.480698529411764,1610612738,8,4,2021-02-14T18:16:26Z,520000,-103.0,74.0,1,right,MISS K. Walker 12' pullup Shot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,12.65,Missed,,,,,,,,,,,,,
53,PT08M09.00S,2021-02-14T18:16:26.3Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,8,4,2021-02-14T18:16:26Z,530000,,,0,,B. Beal REBOUND (Off:0 Def:2),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,
54,PT08M04.00S,2021-02-14T18:16:29.4Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,8,4,2021-02-14T18:16:34Z,540000,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1628369]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,1.0,,,Tatum,1628369.0
55,PT08M04.00S,2021-02-14T18:16:29.4Z,1,REGULAR,steal,,[],1628369,,,1610612738,8,4,2021-02-14T18:16:32Z,550000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M59.00S,2021-02-14T18:16:35.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202689,96.66557161629436,43.20618872549019,1610612738,8,6,2021-02-14T18:16:43Z,560000,-34.0,-21.0,1,right,K. Walker driving reverse Layup (2 PTS) (J. Tatum 1 AST),"[202689, 1628369]",1610612738.0,BOS,driving reverse,,,Walker,K. Walker,,,,,,,,,,4.01,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,
58,PT07M43.00S,2021-02-14T18:16:51.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629060,8.886333771353483,60.36305147058824,1610612764,10,6,2021-02-14T18:16:55Z,580000,-52.0,31.0,1,left,R. Hachimura 6' cutting DUNK (4 PTS) (M. Wagner 1 AST),"[1629060, 1629021]",1610612764.0,WAS,cutting,,,Hachimura,R. Hachimura,,,,,,,,,,6.04,Made,4.0,M. Wagner,1629021.0,1.0,,,,,,,,,
60,PT07M26.00S,2021-02-14T18:17:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.5407358738502,60.853247549019606,1610612738,10,8,2021-02-14T18:17:14Z,600000,54.0,27.0,1,right,J. Brown 6' driving Layup (4 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,6.06,Made,4.0,,,,,,,,,,,,
61,PT07M13.00S,2021-02-14T18:17:21.0Z,1,REGULAR,3pt,Jump Shot,[],1629021,27.414586070959263,16.980698529411764,1610612764,10,8,2021-02-14T18:17:26Z,610000,165.0,205.0,1,left,MISS M. Wagner 26' 3PT,[1629021],1610612764.0,WAS,,,,Wagner,M. Wagner,,,,,,,,,,26.34,Missed,,,,,,,,,,,,,
62,PT07M09.00S,2021-02-14T18:17:25.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,8,2021-02-14T18:17:26Z,620000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,
63,PT06M55.00S,2021-02-14T18:17:39.4Z,1,REGULAR,3pt,Jump Shot,[],1628400,97.19119579500656,95.90226715686273,1610612738,10,8,2021-02-14T18:17:45Z,630000,230.0,-26.0,1,right,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,23.1,Missed,,,,,,,,,,,,,
64,PT06M50.00S,2021-02-14T18:17:44.4Z,1,REGULAR,rebound,defensive,[],201566,,,1610612764,10,8,2021-02-14T18:17:45Z,640000,,,0,,R. Westbrook REBOUND (Off:1 Def:2),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,63.0,3.0,2.0,1.0,,,,,
65,PT06M47.00S,2021-02-14T18:17:47.9Z,1,REGULAR,3pt,Jump Shot,[],203078,7.440867279894875,97.37285539215686,1610612764,13,8,2021-02-14T18:17:53Z,650000,-237.0,17.0,1,left,B. Beal 3PT  (5 PTS) (R. Westbrook 3 AST),"[203078, 201566]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,23.75,Made,5.0,R. Westbrook,201566.0,3.0,,,,,,,,,
