actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
77,PT04M48.00S,2021-03-23T01:22:36.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,6.783837056504599,47.61795343137255,1610612738,16,21,2021-03-23T01:22:39Z,770000,12.0,11.0,1,left,MISS D. Theis cutting DUNK - blocked,"[1628464, 1628960]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,1.64,Missed,,,,,,,,,,,,,,,,,Allen,1628960.0,
89,PT04M48.00S,2021-03-23T01:22:36.1Z,1,REGULAR,block,,[],1628960,,,1610612738,16,21,2021-03-23T01:25:51Z,775000,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612763.0,MEM,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M45.00S,2021-03-23T01:22:39.1Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612763,16,21,2021-03-23T01:22:39Z,780000,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612763.0,MEM,,,,Allen,G. Allen,,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,
79,PT04M41.00S,2021-03-23T01:22:42.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628960,69.85873850197109,22.863051470588236,1610612763,16,21,2021-03-23T01:22:50Z,790000,-136.0,231.0,1,right,MISS G. Allen 26' pullup 3PT,[1628960],1610612763.0,MEM,pullup,,,Allen,G. Allen,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M35.00S,2021-03-23T01:22:48.7Z,1,REGULAR,rebound,offensive,[],203937,,,1610612763,16,21,2021-03-23T01:22:48Z,800000,,,0,,K. Anderson REBOUND (Off:1 Def:2),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,79.0,3.0,2.0,1.0,,,,,,,,,,,
81,PT04M32.00S,2021-03-23T01:22:51.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629634,84.70762155059133,45.90226715686275,1610612763,16,21,2021-03-23T01:22:56Z,810000,-20.0,91.0,1,right,MISS B. Clarke 9' floating Shot,[1629634],1610612763.0,MEM,floating,,,Clarke,B. Clarke,,,,,9.35,Missed,,,,,,,,,,,,,,,,,,,
82,PT04M29.00S,2021-03-23T01:22:54.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,16,21,2021-03-23T01:22:56Z,820000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,,
83,PT04M20.00S,2021-03-23T01:23:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,9.411957950065702,34.13756127450981,1610612738,16,21,2021-03-23T01:23:07Z,830000,79.0,36.0,1,left,MISS J. Brown 8' floating Shot - blocked,"[1627759, 203937]",1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,8.71,Missed,,,,,,,,,,,,,,,,,Anderson,203937.0,
84,PT04M20.00S,2021-03-23T01:23:04.1Z,1,REGULAR,block,,[],203937,,,1610612738,16,21,2021-03-23T01:23:05Z,840000,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M18.00S,2021-03-23T01:23:06.1Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,16,21,2021-03-23T01:23:07Z,850000,,,0,,K. Anderson REBOUND (Off:1 Def:3),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,83.0,4.0,3.0,1.0,,,,,,,,,,,
