actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
52,PT07M56.00S,2021-04-07T23:46:32.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,8,2021-04-07T23:46:38Z,510000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,
53,PT07M54.00S,2021-04-07T23:46:38.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,91.67214191852825,54.23560049019608,1610612738,6,8,2021-04-07T23:46:46Z,520000,21.0,26.0,1,right,J. Brown running finger roll Layup (4 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,running finger roll,,,Brown,J. Brown,,,,,,,,,,Made,4.0,,,,,3.34,M. Smart,203935.0,1.0,,,,,,
55,PT07M54.00S,2021-04-07T23:46:45.3Z,1,REGULAR,foul,personal,['1freethrow'],203901,,,1610612738,6,8,2021-04-07T23:46:53Z,540000,,,0,,E. Payton shooting personal FOUL (1 PF) (Brown 1 FT),"[203901, 1627759]",1610612752.0,NYK,shooting,,,Payton,E. Payton,,,,,1151.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
57,PT07M54.00S,2021-04-07T23:47:00.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627759,,,1610612738,6,8,2021-04-07T23:47:08Z,560000,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,,,,,,,,,,
58,PT07M54.00S,2021-04-07T23:47:00.3Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,6,8,2021-04-07T23:47:08Z,570000,,,0,,N. Noel REBOUND (Off:0 Def:2),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,
59,PT07M28.00S,2021-04-07T23:47:23.9Z,1,REGULAR,3pt,Jump Shot,[],203493,12.697109067017081,2.7650122549019605,1610612752,6,8,2021-04-07T23:47:30Z,580000,236.0,67.0,1,left,MISS R. Bullock 24' 3PT,[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,Missed,,,,,,24.55,,,,,,,,,
60,PT07M24.00S,2021-04-07T23:47:27.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,8,2021-04-07T23:47:27Z,590000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT07M20.00S,2021-04-07T23:47:31.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,73.40670170827858,85.36305147058823,1610612738,6,8,2021-04-07T23:47:41Z,600000,177.0,197.0,1,right,MISS J. Brown 26' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,26.51,,,,,,,,,
62,PT07M18.00S,2021-04-07T23:47:33.5Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,6,8,2021-04-07T23:47:41Z,610000,,,0,,N. Noel REBOUND (Off:0 Def:3),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,61.0,3.0,3.0,0.0,,,,,,,,,,
63,PT07M06.00S,2021-04-07T23:47:46.5Z,1,REGULAR,2pt,Jump Shot,[],203944,20.367936925098554,65.53308823529412,1610612752,6,10,2021-04-07T23:47:52Z,620000,-78.0,139.0,1,left,J. Randle 15' fadeaway Jump Shot (2 PTS),[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,,,,,,Made,2.0,,,,,15.92,,,,,,,,,
64,PT06M59.00S,2021-04-07T23:47:59.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,6,10,2021-04-07T23:47:59Z,630000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M59.00S,2021-04-07T23:50:12.1Z,1,REGULAR,substitution,out,[],1629641,,,1610612738,6,10,2021-04-07T23:50:45Z,640000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M59.00S,2021-04-07T23:50:12.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,6,10,2021-04-07T23:50:45Z,650000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M49.00S,2021-04-07T23:51:07.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,84.23127463863338,33.04610906862745,1610612738,6,10,2021-04-07T23:51:15Z,660000,-85.0,96.0,1,right,MISS J. Tatum 12' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,12.79,,,,,,,,,
68,PT06M46.00S,2021-04-07T23:51:10.6Z,1,REGULAR,rebound,defensive,[],203493,,,1610612752,6,10,2021-04-07T23:51:15Z,670000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612752.0,NYK,,,,Bullock,R. Bullock,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,
69,PT06M42.00S,2021-04-07T23:51:15.6Z,1,REGULAR,turnover,lost ball,[],203901,,,1610612752,6,10,2021-04-07T23:51:22Z,680000,,,0,,E. Payton lost ball TURNOVER (2 TO),"[203901, 1627759]",1610612752.0,NYK,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,2.0,,,Brown,1627759.0,
70,PT06M42.00S,2021-04-07T23:51:15.6Z,1,REGULAR,steal,,[],1627759,,,1610612738,6,10,2021-04-07T23:51:17Z,690000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2021-04-07T23:51:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,89.96386333771353,56.68658088235294,1610612738,6,10,2021-04-07T23:51:31Z,700000,33.0,42.0,1,right,MISS J. Brown driving finger roll Layup,[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,,5.35,,,,,,,,,
72,PT06M31.00S,2021-04-07T23:51:26.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,6,10,2021-04-07T23:51:31Z,710000,,,0,,R. Williams III REBOUND (Off:4 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,71.0,5.0,1.0,4.0,,,,,,,,,,
