actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
53,PT06M49.00S,2021-03-28T01:19:29.3Z,1,REGULAR,2pt,Jump Shot,[],1629652,76.69185282522996,54.23560049019608,1610612760,14,4,2021-03-28T01:19:35Z,520000,21.0,167.0,1,right,MISS L. Dort 16' Jump Shot,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,16.79,Missed,,,,,,,,,,,,,,,,,,
54,PT06M47.00S,2021-03-28T01:19:31.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,14,4,2021-03-28T01:19:35Z,530000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT06M28.00S,2021-03-28T01:19:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.389618922470433,46.63756127450981,1610612738,14,4,2021-03-28T01:20:56Z,540000,17.0,8.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.84,Missed,,,,,,,,,,,,,,,,,,
56,PT06M27.00S,2021-03-28T01:19:53.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,14,4,2021-03-28T01:20:56Z,550000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,55.0,3.0,2.0,1.0,,,,,,,,,,,,,,
57,PT06M27.00S,2021-03-28T01:19:59.9Z,1,REGULAR,foul,personal,['2freethrow'],1629676,,,1610612738,14,4,2021-03-28T01:20:08Z,560000,,,0,,I. Roby shooting personal FOUL (1 PF) (Williams III 2 FT),"[1629676, 1629057]",1610612760.0,OKC,shooting,,,Roby,I. Roby,,,,,,,,,,,,,,,1151.0,1.0,0.0,Williams III,1629057.0,,,,,
59,PT06M27.00S,2021-03-28T01:20:19.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629057,,,1610612738,14,5,2021-03-28T01:20:19Z,580000,,,0,,R. Williams III Free Throw 1 of 2 (1 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
60,PT06M27.00S,2021-03-28T01:20:20.5Z,1,REGULAR,substitution,out,[],1629650,,,1610612738,14,5,2021-03-28T01:20:26Z,590000,,,0,,SUB out: M. Brown,[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M27.00S,2021-03-28T01:20:20.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,14,5,2021-03-28T01:20:26Z,600000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M27.00S,2021-03-28T01:20:20.5Z,1,REGULAR,substitution,in,[],1629660,,,1610612738,14,5,2021-03-28T01:20:26Z,610000,,,0,,SUB in: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M27.00S,2021-03-28T01:20:20.5Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,14,5,2021-03-28T01:20:26Z,620000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
