actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
184,PT09M06.00S,2021-02-25T01:13:25.8Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,50,29,2021-02-25T01:13:29Z,1840000,,,0,,J. Collins REBOUND (Off:1 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,183.0,,,,,,,2.0,1.0,1.0,,,,,,,,
185,PT08M54.00S,2021-02-25T01:13:38.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,5.995400788436268,49.57873774509804,1610612737,52,29,2021-02-25T01:13:43Z,1850000,2.0,4.0,1,left,J. Collins reverse Layup (9 PTS) (S. Hill 1 AST),"[1628381, 203524]",1610612737.0,ATL,reverse,,,Collins,J. Collins,,,,,0.44,Made,,9.0,S. Hill,203524.0,1.0,,,,,,,,,,,,,
187,PT08M39.00S,2021-02-25T01:13:52.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,92.9862023653088,47.61795343137255,1610612738,52,29,2021-02-25T01:13:57Z,1870000,-12.0,13.0,1,right,MISS P. Pritchard driving Layup,[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,1.79,Missed,,,,,,,,,,,,,,,,,,
188,PT08M36.00S,2021-02-25T01:13:55.9Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,52,29,2021-02-25T01:15:12Z,1880000,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,187.0,,,,,,,3.0,2.0,1.0,,,,,,,,
189,PT08M30.00S,2021-02-25T01:14:01.9Z,2,REGULAR,3pt,Jump Shot,[],1628381,31.750985545335087,51.294424019607845,1610612737,52,29,2021-02-25T01:14:06Z,1890000,-6.0,246.0,1,left,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,
190,PT08M27.00S,2021-02-25T01:14:04.9Z,2,REGULAR,rebound,defensive,[],1630174,,,1610612738,52,29,2021-02-25T01:14:06Z,1900000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,189.0,,,,,,,1.0,1.0,0.0,,,,,,,,
191,PT08M20.00S,2021-02-25T01:14:11.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,93.51182654402102,49.82383578431372,1610612738,52,29,2021-02-25T01:17:19Z,1910000,-1.0,8.0,1,right,MISS T. Thompson Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,0.85,Missed,,,,,,,,,,,,,,,,,,
192,PT08M16.00S,2021-02-25T01:14:15.6Z,2,REGULAR,rebound,offensive,[],202684,,,1610612738,52,29,2021-02-25T01:14:17Z,1920000,,,0,,T. Thompson REBOUND (Off:4 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,191.0,,,,,,,4.0,0.0,4.0,,,,,,,,
193,PT08M16.00S,2021-02-25T01:14:15.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,94.40999984741211,50.0,1610612738,52,31,2021-02-25T01:14:15Z,1930000,0.0,0.0,1,right,T. Thompson tip Layup (6 PTS),[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,0.0,Made,,6.0,,,,,,,,,,,,,,,,
194,PT08M05.00S,2021-02-25T01:14:27.3Z,2,REGULAR,turnover,bad pass,[],201568,,,1610612737,52,31,2021-02-25T01:14:33Z,1940000,,,0,,D. Gallinari bad pass TURNOVER (1 TO),"[201568, 1630202]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,1.0,Pritchard,1630202.0
195,PT08M05.00S,2021-02-25T01:14:27.3Z,2,REGULAR,steal,,[],1630202,,,1610612738,52,31,2021-02-25T01:14:29Z,1950000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
196,PT08M03.00S,2021-02-25T01:14:31.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630202,93.77463863337714,50.314031862745104,1610612738,52,33,2021-02-25T01:14:39Z,1960000,2.0,6.0,1,right,P. Pritchard running Layup (2 PTS),[1630202],1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,0.62,Made,,2.0,,,,,,,,,,,,,,,,
197,PT08M03.00S,2021-02-25T01:14:40.1Z,2,REGULAR,foul,personal,['1freethrow'],200765,,,1610612738,52,33,2021-02-25T01:15:01Z,1970000,,,0,,R. Rondo shooting personal FOUL (1 PF) (Pritchard 1 FT),"[200765, 1630202]",1610612737.0,ATL,shooting,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Pritchard,1630202.0,,,
199,PT08M03.00S,2021-02-25T01:14:44.8Z,2,REGULAR,substitution,out,[],203524,,,1610612738,52,33,2021-02-25T01:14:52Z,1990000,,,0,,SUB out: S. Hill,[203524],1610612737.0,ATL,,,,Hill,S. Hill,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M03.00S,2021-02-25T01:14:44.8Z,2,REGULAR,substitution,in,[],203503,,,1610612738,52,33,2021-02-25T01:14:52Z,2000000,,,0,,SUB in: T. Snell,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M03.00S,2021-02-25T01:15:01.8Z,2,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630202,,,1610612738,52,34,2021-02-25T01:15:01Z,2010000,,,0,,P. Pritchard Free Throw 1 of 1 (3 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
202,PT07M50.00S,2021-02-25T01:15:14.5Z,2,REGULAR,turnover,bad pass,[],1628989,,,1610612737,52,34,2021-02-25T01:15:19Z,2020000,,,0,,K. Huerter bad pass TURNOVER (1 TO),"[1628989, 202684]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,1.0,Thompson,202684.0
203,PT07M50.00S,2021-02-25T01:15:14.5Z,2,REGULAR,steal,,[],202684,,,1610612738,52,34,2021-02-25T01:15:17Z,2030000,,,0,,T. Thompson STEAL (1 STL),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M39.00S,2021-02-25T01:15:24.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,80.23981603153744,65.51011029411765,1610612738,52,34,2021-02-25T01:15:29Z,2040000,78.0,133.0,1,right,MISS J. Tatum 15' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,15.42,Missed,,,,,,,,,,,,,,,,,,
205,PT07M35.00S,2021-02-25T01:15:28.7Z,2,REGULAR,rebound,defensive,[],203503,,,1610612737,52,34,2021-02-25T01:15:29Z,2050000,,,0,,T. Snell REBOUND (Off:0 Def:2),[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,204.0,,,,,,,2.0,2.0,0.0,,,,,,,,
209,PT07M31.00S,2021-02-25T01:15:45.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,52,34,2021-02-25T01:15:45Z,2090000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M31.00S,2021-02-25T01:15:49.9Z,2,REGULAR,substitution,out,[],1630202,,,1610612737,52,34,2021-02-25T01:15:53Z,2100000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M31.00S,2021-02-25T01:15:49.9Z,2,REGULAR,substitution,in,[],201952,,,1610612737,52,34,2021-02-25T01:15:53Z,2110000,,,0,,SUB in: J. Teague,[201952],1610612738.0,BOS,,,,Teague,J. Teague,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M22.00S,2021-02-25T01:16:10.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,18.347568988173457,51.53952205882353,1610612737,52,34,2021-02-25T02:49:39Z,2120000,-8.0,120.0,1,left,MISS K. Huerter 12' pullup Shot,[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,12.02,Missed,,,,,,,,,,,,,,,,,,
213,PT07M18.00S,2021-02-25T01:16:14.0Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,52,34,2021-02-25T01:16:21Z,2130000,,,0,,T. Thompson REBOUND (Off:4 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,212.0,,,,,,,5.0,1.0,4.0,,,,,,,,
214,PT07M09.00S,2021-02-25T01:16:22.7Z,2,REGULAR,3pt,Jump Shot,[],1628369,66.70499342969777,48.59834558823529,1610612738,52,34,2021-02-25T01:16:29Z,2140000,-7.0,260.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,
215,PT07M07.00S,2021-02-25T01:16:24.7Z,2,REGULAR,rebound,defensive,[],200765,,,1610612737,52,34,2021-02-25T01:16:29Z,2150000,,,0,,R. Rondo REBOUND (Off:0 Def:1),[200765],1610612737.0,ATL,,,,Rondo,R. Rondo,,,,,,,214.0,,,,,,,1.0,1.0,0.0,,,,,,,,
216,PT06M57.00S,2021-02-25T01:16:35.2Z,2,REGULAR,3pt,Jump Shot,[],201568,26.757555847568987,23.353247549019606,1610612737,55,34,2021-02-25T01:16:40Z,2160000,133.0,199.0,1,left,D. Gallinari 3PT  (17 PTS) (T. Snell 2 AST),"[201568, 203503]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,23.95,Made,,17.0,T. Snell,203503.0,2.0,,,,,,,,,,,,,
218,PT06M41.00S,2021-02-25T01:16:52.7Z,2,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612738,55,34,2021-02-25T01:17:13Z,2180000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Nesmith 2 FT),"[1628989, 1630174]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Nesmith,1630174.0,,,
220,PT06M41.00S,2021-02-25T01:17:18.3Z,2,REGULAR,freethrow,1 of 2,[],1630174,,,1610612738,55,34,2021-02-25T01:17:41Z,2200000,,,0,,MISS A. Nesmith Free Throw 1 of 2,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Missed,,,,,,,,,,,,,,,,,,
221,PT06M41.00S,2021-02-25T01:17:18.3Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,55,34,2021-02-25T01:17:41Z,2210000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,
222,PT06M41.00S,2021-02-25T01:17:21.0Z,2,REGULAR,substitution,out,[],200765,,,1610612738,55,34,2021-02-25T01:17:25Z,2220000,,,0,,SUB out: R. Rondo,[200765],1610612737.0,ATL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M41.00S,2021-02-25T01:17:21.0Z,2,REGULAR,substitution,in,[],1629027,,,1610612738,55,34,2021-02-25T01:17:25Z,2230000,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M41.00S,2021-02-25T01:17:18.3Z,2,REGULAR,freethrow,2 of 2,[],1630174,,,1610612738,55,34,2021-02-25T01:17:41Z,2240000,,,0,,MISS A. Nesmith Free Throw 2 of 2,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,Missed,,,,,,,,,,,,,,,,,,
225,PT06M38.00S,2021-02-25T01:17:21.3Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,55,34,2021-02-25T01:17:41Z,2250000,,,0,,J. Collins REBOUND (Off:1 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,224.0,,,,,,,4.0,3.0,1.0,,,,,,,,
226,PT06M18.00S,2021-02-25T01:18:00.2Z,2,REGULAR,3pt,Jump Shot,[],201568,44.36596583442839,55.951286764705884,1610612737,58,34,2021-02-25T01:18:08Z,2260000,-30.0,365.0,1,left,D. Gallinari 36' 3PT  (20 PTS) (T. Snell 3 AST),"[201568, 203503]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,36.57,Made,,20.0,T. Snell,203503.0,3.0,,,,,,,,,,,,,
228,PT05M56.00S,2021-02-25T01:18:21.6Z,2,REGULAR,3pt,Jump Shot,[],1630174,75.3777923784494,86.34344362745098,1610612738,58,37,2021-02-25T01:18:27Z,2280000,182.0,179.0,1,right,A. Nesmith 25' 3PT  (5 PTS) (G. Williams 1 AST),"[1630174, 1629684]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,25.5,Made,,5.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,
230,PT05M40.00S,2021-02-25T01:18:37.3Z,2,REGULAR,3pt,Jump Shot,[],1629027,37.00722733245729,38.549325980392155,1610612737,58,37,2021-02-25T01:18:41Z,2300000,57.0,295.0,1,left,MISS T. Young 30' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,30.09,Missed,,,,,,,,,,,,,,,,,,
231,PT05M37.00S,2021-02-25T01:18:40.3Z,2,REGULAR,rebound,offensive,[],203503,,,1610612737,58,37,2021-02-25T01:18:41Z,2310000,,,0,,T. Snell REBOUND (Off:1 Def:2),[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,230.0,,,,,,,3.0,2.0,1.0,,,,,,,,
232,PT05M37.00S,2021-02-25T01:18:42.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203503,16.507884362680684,39.03952205882353,1610612737,58,37,2021-02-25T01:18:45Z,2320000,55.0,103.0,1,left,MISS T. Snell 11' Jump Shot,[203503],1610612737.0,ATL,,,,Snell,T. Snell,,,,,11.64,Missed,,,,,,,,,,,,,,,,,,
233,PT05M35.00S,2021-02-25T01:18:44.0Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,58,37,2021-02-25T01:18:45Z,2330000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,232.0,,,,,,,1.0,1.0,0.0,,,,,,,,
234,PT05M29.00S,2021-02-25T01:18:54.1Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,58,37,2021-02-25T01:18:54Z,2340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT05M29.00S,2021-02-25T01:18:59.3Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,58,37,2021-02-25T01:19:05Z,2350000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
236,PT05M29.00S,2021-02-25T01:18:59.3Z,2,REGULAR,substitution,out,[],1630174,,,1610612738,58,37,2021-02-25T01:19:05Z,2360000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M29.00S,2021-02-25T01:18:59.3Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,58,37,2021-02-25T01:19:05Z,2370000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M29.00S,2021-02-25T01:18:59.3Z,2,REGULAR,substitution,in,[],1629750,,,1610612738,58,37,2021-02-25T01:19:05Z,2380000,,,0,,SUB in: J. Green,[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M17.00S,2021-02-25T01:19:23.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,79.71419185282524,44.18658088235294,1610612738,58,37,2021-02-25T01:49:15Z,2390000,-29.0,138.0,1,right,MISS G. Williams 14' driving floating Shot,[1629684],1610612738.0,BOS,driving floating,,,Williams,G. Williams,,,,,14.12,Missed,,,,,,,,,,,,,,,,,,
240,PT05M12.00S,2021-02-25T01:19:28.4Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,58,37,2021-02-25T01:26:37Z,2400000,,,0,,J. Collins REBOUND (Off:1 Def:4),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,239.0,,,,,,,5.0,4.0,1.0,,,,,,,,
241,PT05M04.00S,2021-02-25T01:19:36.8Z,2,REGULAR,3pt,Jump Shot,[],201568,33.85348226018397,78.74540441176471,1610612737,61,37,2021-02-25T01:19:41Z,2410000,-144.0,266.0,1,left,D. Gallinari 30' 3PT  (23 PTS) (T. Young 4 AST),"[201568, 1629027]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,30.21,Made,,23.0,T. Young,1629027.0,4.0,,,,,,,,,,,,,
243,PT04M50.00S,2021-02-25T01:19:50.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201952,86.81011826544021,48.59834558823529,1610612738,61,39,2021-02-25T01:19:56Z,2430000,-7.0,71.0,1,right,J. Teague 7' driving floating Jump Shot (5 PTS),[201952],1610612738.0,BOS,driving floating,,,Teague,J. Teague,,,,,7.18,Made,,5.0,,,,,,,,,,,,,,,,
244,PT04M49.00S,2021-02-25T01:19:57.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,61,39,2021-02-25T01:19:57Z,2440000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT04M33.00S,2021-02-25T01:23:02.1Z,2,REGULAR,3pt,Jump Shot,[],1629027,36.21879106438896,43.69638480392157,1610612737,61,39,2021-02-25T01:23:08Z,2450000,32.0,288.0,1,left,MISS T. Young 28' step back 3PT - blocked,"[1629027, 1629684]",1610612737.0,ATL,step back,,,Young,T. Young,,,,,28.97,Missed,,,,,,Williams,1629684.0,,,,,,,,,,,
246,PT04M33.00S,2021-02-25T01:23:02.1Z,2,REGULAR,block,,[],1629684,,,1610612737,61,39,2021-02-25T01:23:04Z,2460000,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
247,PT04M30.00S,2021-02-25T01:23:05.1Z,2,REGULAR,rebound,defensive,[],202684,,,1610612738,61,39,2021-02-25T01:23:08Z,2470000,,,0,,T. Thompson REBOUND (Off:4 Def:2),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,245.0,,,,,,,6.0,2.0,4.0,,,,,,,,
248,PT04M25.00S,2021-02-25T01:23:09.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",201952,81.68528252299606,46.392463235294116,1610612738,61,39,2021-02-25T01:23:17Z,2480000,-18.0,120.0,1,right,MISS J. Teague 12' driving floating Shot,[201952],1610612738.0,BOS,driving floating,,,Teague,J. Teague,,,,,12.1,Missed,,,,,,,,,,,,,,,,,,
249,PT04M21.00S,2021-02-25T01:23:13.5Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,61,39,2021-02-25T01:23:13Z,2490000,,,0,,J. Collins REBOUND (Off:1 Def:5),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,248.0,,,,,,,6.0,5.0,1.0,,,,,,,,
250,PT04M05.00S,2021-02-25T01:23:29.3Z,2,REGULAR,turnover,bad pass,[],201568,,,1610612737,61,39,2021-02-25T01:23:34Z,2500000,,,0,,D. Gallinari bad pass TURNOVER (2 TO),"[201568, 1629750]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,2.0,Green,1629750.0
251,PT04M05.00S,2021-02-25T01:23:29.3Z,2,REGULAR,steal,,[],1629750,,,1610612738,61,39,2021-02-25T01:23:31Z,2510000,,,0,,J. Green STEAL (1 STL),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
252,PT04M03.00S,2021-02-25T01:23:32.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629750,92.85479632063075,50.06893382352941,1610612738,61,41,2021-02-25T01:23:37Z,2520000,0.0,15.0,1,right,J. Green running Layup (2 PTS),[1629750],1610612738.0,BOS,running,,,Green,J. Green,,,,,1.47,Made,,2.0,,,,,,,,,,,,,,,,
253,PT04M02.00S,2021-02-25T01:23:44.5Z,2,REGULAR,stoppage,other,[],0,,,1610612737,61,41,2021-02-25T01:23:44Z,2530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT03M46.00S,2021-02-25T01:24:04.6Z,2,REGULAR,foul,personal,[],1629750,,,1610612737,61,41,2021-02-25T01:24:11Z,2540000,,,0,,J. Green personal FOUL (1 PF),"[1629750, 201568]",1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Gallinari,201568.0,,,
256,PT03M32.00S,2021-02-25T01:24:37.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,61,41,2021-02-25T01:24:37Z,2560000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT03M28.00S,2021-02-25T01:24:54.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,7.30946123521682,43.20618872549019,1610612737,63,41,2021-02-25T01:24:59Z,2570000,34.0,16.0,1,left,T. Young driving floating Jump Shot (19 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,3.77,Made,,19.0,,,,,,,,,,,,,,,,
258,PT03M12.00S,2021-02-25T01:25:11.2Z,2,REGULAR,3pt,Jump Shot,[],1627759,77.34888304862024,10.363051470588236,1610612738,63,41,2021-02-25T01:25:18Z,2580000,-198.0,160.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,
259,PT03M06.00S,2021-02-25T01:25:17.2Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612737,63,41,2021-02-25T01:25:18Z,2590000,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,258.0,,,,,,,2.0,2.0,0.0,,,,,,,,
260,PT02M59.00S,2021-02-25T01:25:29.1Z,2,REGULAR,foul,personal,[],202684,,,1610612737,63,41,2021-02-25T01:25:42Z,2600000,,,0,,T. Thompson personal FOUL (1 PF),"[202684, 1629027]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Young,1629027.0,,,
262,PT02M56.00S,2021-02-25T01:25:51.1Z,2,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1629750,,,1610612737,63,41,2021-02-25T01:26:34Z,2620000,,,0,,J. Green shooting personal FOUL (2 PF) (Young 3 FT),"[1629750, 1629027]",1610612738.0,BOS,shooting,,,Green,J. Green,,,,,,,,,,,,,,,,,1627963.0,2.0,0.0,Young,1629027.0,,,
264,PT02M56.00S,2021-02-25T01:26:35.8Z,2,REGULAR,freethrow,1 of 3,[],1629027,,,1610612737,64,41,2021-02-25T01:26:35Z,2640000,,,0,,T. Young Free Throw 1 of 3 (20 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,20.0,,,,,,,,,,,,,,,,
265,PT02M56.00S,2021-02-25T01:26:46.9Z,2,REGULAR,freethrow,2 of 3,[],1629027,,,1610612737,64,41,2021-02-25T01:26:46Z,2650000,,,0,,MISS T. Young Free Throw 2 of 3,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Missed,,,,,,,,,,,,,,,,,,
266,PT02M56.00S,2021-02-25T01:26:46.9Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,64,41,2021-02-25T01:26:46Z,2660000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,265.0,,,,,,,,,,,,,,,,,
267,PT02M56.00S,2021-02-25T01:26:49.1Z,2,REGULAR,substitution,out,[],1628381,,,1610612737,64,41,2021-02-25T01:26:56Z,2670000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
268,PT02M56.00S,2021-02-25T01:26:49.1Z,2,REGULAR,substitution,in,[],203991,,,1610612737,64,41,2021-02-25T01:26:56Z,2680000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
269,PT02M56.00S,2021-02-25T01:27:21.8Z,2,REGULAR,foul,technical,"['inpenalty', '1freethrow']",203935,,,1610612737,64,41,2021-02-25T01:27:37Z,2690000,,,0,,M. Smart technical FOUL (1 Tech),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1627963.0,0.0,1.0,,,,,
270,PT02M56.00S,2021-02-25T01:27:38.7Z,2,REGULAR,freethrow,1 of 1,[],201568,,,1610612737,65,41,2021-02-25T01:27:38Z,2700000,,,0,,D. Gallinari technical Free Throw 1 of 1 (24 PTS),[201568],1610612737.0,ATL,technical,,,Gallinari,D. Gallinari,,,,,,Made,,24.0,,,,,,,,,,,,,,,,
271,PT02M56.00S,2021-02-25T01:27:42.3Z,2,REGULAR,freethrow,3 of 3,[],1629027,,,1610612737,66,41,2021-02-25T01:27:42Z,2710000,,,0,,T. Young Free Throw 3 of 3 (21 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,Made,,21.0,,,,,,,,,,,,,,,,
272,PT02M51.00S,2021-02-25T01:27:47.7Z,2,REGULAR,foul,personal,[],203503,,,1610612738,66,41,2021-02-25T01:27:55Z,2720000,,,0,,T. Snell personal FOUL (1 PF),"[203503, 201952]",1610612737.0,ATL,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,1627963.0,1.0,0.0,Teague,201952.0,,,
274,PT02M46.00S,2021-02-25T01:28:10.8Z,2,REGULAR,3pt,Jump Shot,[],1627759,70.12155059132719,31.686580882352942,1610612738,66,41,2021-02-25T01:28:15Z,2740000,-92.0,228.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,
275,PT02M42.00S,2021-02-25T01:28:14.8Z,2,REGULAR,rebound,defensive,[],203991,,,1610612737,66,41,2021-02-25T01:28:15Z,2750000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,274.0,,,,,,,3.0,3.0,0.0,,,,,,,,
