actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
52,PT07M40.00S,2021-03-31T23:51:06.3Z,1,REGULAR,steal,,[],1627759,,,1610612738,5,11,2021-03-31T23:51:07Z,510000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M35.00S,2021-03-31T23:51:11.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,91.27792378449409,48.84344362745098,1610612738,5,11,2021-03-31T23:51:22Z,520000,-6.0,29.0,1,right,MISS J. Tatum running Layup - blocked,"[1628369, 1626196]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,3.01,Missed,,,,,,,,,Richardson,1626196.0,,,,,,,,
54,PT07M35.00S,2021-03-31T23:51:11.2Z,1,REGULAR,block,,[],1626196,,,1610612738,5,11,2021-03-31T23:51:13Z,530000,,,0,,J. Richardson BLOCK (1 BLK),[1626196],1610612742.0,DAL,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M34.00S,2021-03-31T23:51:12.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,11,2021-03-31T23:51:22Z,540000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
56,PT07M34.00S,2021-03-31T23:51:15.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,5,11,2021-03-31T23:51:15Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M34.00S,2021-03-31T23:51:20.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,5,11,2021-03-31T23:51:20Z,560000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M26.00S,2021-03-31T23:54:51.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,91.01511169513797,58.892463235294116,1610612738,5,11,2021-03-31T23:55:15Z,580000,44.0,32.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,5.48,Missed,,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2021-03-31T23:54:55.9Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,5,11,2021-03-31T23:55:15Z,600000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,59.0,1.0,0.0,1.0,,,,,,,,,,,,,,
62,PT07M22.00S,2021-03-31T23:54:57.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,94.40999984741211,50.0,1610612738,7,11,2021-03-31T23:54:57Z,610000,0.0,0.0,1,right,J. Brown tip Layup (5 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Made,,,,,5.0,,,,,,,,,,,,,
63,PT07M01.00S,2021-03-31T23:55:19.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,33.196452036793694,20.412071078431374,1610612742,7,11,2021-04-01T00:00:59Z,620000,148.0,260.0,1,left,MISS D. Finney-Smith 29' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,29.87,Missed,,,,,,,,,,,,,,,,,,
64,PT07M00.00S,2021-03-31T23:55:20.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,7,11,2021-04-01T00:02:03Z,630000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,
74,PT07M00.00S,2021-03-31T23:55:42.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612742,7,11,2021-04-01T00:01:10Z,645000,,,0,,DAL shot clock Team TURNOVER,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,2529.0,,,,
66,PT06M40.00S,2021-03-31T23:55:54.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202689,73.9323258869908,47.372855392156865,1610612738,7,11,2021-03-31T23:59:02Z,650000,-13.0,193.0,1,right,MISS K. Walker 19' pullup Shot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,19.29,Missed,,,,,,,,,,,,,,,,,,
67,PT06M36.00S,2021-03-31T23:55:58.7Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,7,11,2021-03-31T23:56:04Z,660000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M26.00S,2021-03-31T23:56:07.9Z,1,REGULAR,3pt,Jump Shot,[],204001,33.196452036793694,57.176776960784316,1610612742,7,11,2021-03-31T23:56:13Z,670000,-36.0,260.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,
69,PT06M23.00S,2021-03-31T23:56:10.9Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,7,11,2021-03-31T23:56:13Z,680000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,,,,,,
