actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
612,PT06M25.00S,2021-04-29T01:33:12.3Z,4,REGULAR,turnover,out-of-bounds,[],1629682,,,1610612738,102,96,2021-04-29T01:33:20Z,5950000,,,0,,T. Waters bad pass out-of-bounds TURNOVER (3 TO),[1629682],1610612738.0,BOS,bad pass,,,Waters,T. Waters,,,,,,,,,,,,,,202035.0,,,,,,,,3.0,,
613,PT06M25.00S,2021-04-29T01:33:22.8Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,102,96,2021-04-29T01:33:22Z,5960000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,PT06M15.00S,2021-04-29T01:36:27.6Z,4,REGULAR,foul,personal,['2freethrow'],1629682,,,1610612766,102,96,2021-04-29T01:36:43Z,5970000,,,0,,T. Waters shooting personal FOUL (4 PF) (Graham 2 FT),"[1629682, 1628984]",1610612738.0,BOS,shooting,,,Waters,T. Waters,,,,,,,,,,,,,,1155.0,4.0,0.0,Graham,1628984.0,,,,,,
616,PT06M15.00S,2021-04-29T01:37:05.0Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1628984,,,1610612766,102,97,2021-04-29T01:37:05Z,5990000,,,0,,D. Graham Free Throw 1 of 2 (24 PTS),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,Made,,,,,,,24.0,,,,,,,,,,,
617,PT06M15.00S,2021-04-29T01:37:06.1Z,4,REGULAR,substitution,out,[],1629682,,,1610612766,102,97,2021-04-29T01:37:10Z,6000000,,,0,,SUB out: T. Waters,[1629682],1610612738.0,BOS,,,,Waters,T. Waters,,,,,,,,,,,,,,,,,,,,,,,,
618,PT06M15.00S,2021-04-29T01:37:06.1Z,4,REGULAR,substitution,in,[],1630202,,,1610612766,102,97,2021-04-29T01:37:10Z,6010000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
619,PT06M15.00S,2021-04-29T01:37:29.2Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1628984,,,1610612766,102,98,2021-04-29T01:37:29Z,6020000,,,0,,D. Graham Free Throw 2 of 2 (25 PTS),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,Made,,,,,,,25.0,,,,,,,,,,,
620,PT05M55.00S,2021-04-29T01:37:50.6Z,4,REGULAR,3pt,Jump Shot,[],1627759,32.670827858081466,66.73560049019608,1610612738,105,98,2021-04-29T01:37:55Z,6030000,-84.0,255.0,1,left,J. Brown 26' 3PT  (34 PTS) (J. Tatum 7 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.8,Made,,,,,,,34.0,,,,,,J. Tatum,1628369.0,7.0,,,
622,PT05M34.00S,2021-04-29T01:38:11.4Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,90.62089356110381,59.62775735294118,1610612766,105,98,2021-04-29T01:38:22Z,6050000,48.0,36.0,1,right,MISS M. Bridges driving DUNK,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,5.99,Missed,,,,,,,,,,,,,,,,,,
623,PT05M32.00S,2021-04-29T01:38:13.4Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,105,98,2021-04-29T01:38:16Z,6060000,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,622.0,7.0,6.0,1.0,,,,,,,,,,,,,,
624,PT05M23.00S,2021-04-29T01:38:24.6Z,4,REGULAR,3pt,Jump Shot,[],1627759,22.946780551905388,92.47089460784314,1610612738,105,98,2021-04-29T01:38:33Z,6070000,-212.0,163.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,
625,PT05M21.00S,2021-04-29T01:38:26.6Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612766,105,98,2021-04-29T01:38:33Z,6080000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,624.0,,,,,,,,,,,,,,,,,
626,PT05M21.00S,2021-04-29T01:38:30.1Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,105,98,2021-04-29T01:38:30Z,6090000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,PT05M11.00S,2021-04-29T01:38:48.6Z,4,REGULAR,3pt,Jump Shot,[],1628984,64.07687253613666,56.44148284313726,1610612766,105,98,2021-04-29T01:38:53Z,6100000,32.0,285.0,1,right,MISS D. Graham 28' pullup 3PT,[1628984],1610612766.0,CHA,pullup,,,Graham,D. Graham,,,,,28.7,Missed,,,,,,,,,,,,,,,,,,
628,PT05M09.00S,2021-04-29T01:38:50.6Z,4,REGULAR,rebound,defensive,[],1627759,,,1610612738,105,98,2021-04-29T01:38:53Z,6110000,,,0,,J. Brown REBOUND (Off:2 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,627.0,7.0,5.0,2.0,,,,,,,,,,,,,,
629,PT04M58.00S,2021-04-29T01:39:05.8Z,4,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612738,105,98,2021-04-29T01:39:15Z,6120000,,,0,,M. Bridges shooting personal FOUL (3 PF) (Tatum 2 FT),"[1628970, 1628369]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,1155.0,3.0,0.0,Tatum,1628369.0,,,,,,
