actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
62,PT05M30.00S,2021-04-30T23:51:10.8Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612759,10,20,2021-04-30T23:51:19Z,610000,,,0,,J. Tatum shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1628369, 201942]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,DeRozan,201942.0,,,
64,PT05M30.00S,2021-04-30T23:51:31.0Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612759,10,21,2021-04-30T23:51:50Z,630000,,,0,,D. DeRozan Free Throw 1 of 2 (3 PTS),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
65,PT05M30.00S,2021-04-30T23:51:31.0Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612759,10,21,2021-04-30T23:51:50Z,640000,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M28.00S,2021-04-30T23:51:33.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,21,2021-04-30T23:51:50Z,650000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,
67,PT05M12.00S,2021-04-30T23:52:07.5Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,10,21,2021-04-30T23:52:14Z,660000,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1.0,,,,,,1179.0,,,,,,,
68,PT04M59.00S,2021-04-30T23:52:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,90.88370565045992,55.70618872549019,1610612759,10,23,2021-04-30T23:53:05Z,670000,29.0,33.0,1,right,J. Poeltl cutting finger roll Layup (6 PTS) (D. Murray 2 AST),"[1627751, 1627749]",1610612759.0,SAS,cutting finger roll,,,Poeltl,J. Poeltl,,,,,4.38,Made,6.0,,,,,,,,D. Murray,1627749.0,2.0,,,,,,,,
70,PT04M59.00S,2021-04-30T23:52:43.1Z,1,REGULAR,foul,personal,['1freethrow'],202684,,,1610612759,10,23,2021-04-30T23:52:52Z,690000,,,0,,T. Thompson shooting personal FOUL (1 PF) (Poeltl 1 FT),"[202684, 1627751]",1610612738.0,BOS,shooting,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Poeltl,1627751.0,,,
72,PT04M59.00S,2021-04-30T23:53:05.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627751,,,1610612759,10,23,2021-04-30T23:53:09Z,710000,,,0,,MISS J. Poeltl Free Throw 1 of 1,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,,
73,PT04M57.00S,2021-04-30T23:53:07.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,23,2021-04-30T23:53:09Z,720000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT04M48.00S,2021-04-30T23:53:14.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,8.492115637319317,42.96109068627451,1610612738,12,23,2021-05-01T00:03:16Z,730000,35.0,27.0,1,left,J. Tatum cutting DUNK (12 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,4.45,Made,12.0,,,,,,,,M. Smart,203935.0,1.0,,,,,,,,
76,PT04M24.00S,2021-04-30T23:53:47.0Z,1,REGULAR,3pt,Jump Shot,[],201988,94.56307490144546,96.8826593137255,1610612759,12,26,2021-05-01T00:02:15Z,750000,234.0,-1.0,1,right,P. Mills 3PT  (3 PTS) (D. DeRozan 2 AST),"[201988, 201942]",1610612759.0,SAS,,,,Mills,P. Mills,,,,,23.44,Made,3.0,,,,,,,,D. DeRozan,201942.0,2.0,,,,,,,,
78,PT04M01.00S,2021-04-30T23:54:02.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,11.12023653088042,66.49050245098039,1610612738,12,26,2021-04-30T23:58:40Z,770000,-82.0,52.0,1,left,MISS J. Tatum 9' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,9.75,Missed,,,,,,,,,,,,,,,,,,,
79,PT03M59.00S,2021-04-30T23:54:04.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,12,26,2021-04-30T23:54:06Z,780000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,
80,PT03M50.00S,2021-04-30T23:54:14.1Z,1,REGULAR,3pt,Jump Shot,[],201988,68.80749014454665,25.314031862745097,1610612759,12,26,2021-04-30T23:54:24Z,790000,-123.0,241.0,1,right,MISS P. Mills 27' 3PT,[201988],1610612759.0,SAS,,,,Mills,P. Mills,,,,,27.05,Missed,,,,,,,,,,,,,,,,,,,
81,PT03M49.00S,2021-04-30T23:54:15.1Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,12,26,2021-04-30T23:54:24Z,800000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
