actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
52,PT07M44.00S,2021-05-19T01:08:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,7.30946123521682,57.666973039215684,1610612764,10,7,2021-05-19T01:08:58Z,510000,-38.0,16.0,1,left,MISS B. Beal driving reverse Layup - blocked,"[203078, 1628369]",1610612764.0,WAS,driving reverse,,,Beal,B. Beal,,,,,,4.16,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,
68,PT07M44.00S,2021-05-19T01:08:48.2Z,1,REGULAR,block,,[],1628369,,,1610612764,10,7,2021-05-19T01:11:54Z,515000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M41.00S,2021-05-19T01:08:51.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,10,7,2021-05-19T01:12:03Z,520000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,
54,PT07M36.00S,2021-05-19T01:08:55.4Z,1,REGULAR,turnover,lost ball,[],202689,,,1610612738,10,7,2021-05-19T01:10:34Z,530000,,,0,,K. Walker lost ball TURNOVER (1 TO),"[202689, 201566]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,1.0,,,,,,,,,,,,,,,,,,Westbrook,201566.0
55,PT07M36.00S,2021-05-19T01:08:55.4Z,1,REGULAR,steal,,[],201566,,,1610612764,10,7,2021-05-19T01:08:58Z,540000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M31.00S,2021-05-19T01:09:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203458,7.178055190538765,43.69638480392157,1610612764,10,7,2021-05-19T01:09:12Z,550000,32.0,15.0,1,left,MISS A. Len driving Layup,[203458],1610612764.0,WAS,driving,,,Len,A. Len,,,,,,3.49,Missed,,,,,,,,,,,,,,,,,
57,PT07M26.00S,2021-05-19T01:09:05.6Z,1,REGULAR,rebound,offensive,[],201566,,,1610612764,10,7,2021-05-19T01:09:05Z,560000,,,0,,R. Westbrook REBOUND (Off:1 Def:3),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,56.0,4.0,3.0,1.0,,,,,,,,,,,,,
58,PT07M26.00S,2021-05-19T01:09:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201566,5.590000152587891,50.0,1610612764,10,7,2021-05-19T01:09:05Z,570000,0.0,0.0,1,left,MISS R. Westbrook tip Layup,[201566],1610612764.0,WAS,tip,,,Westbrook,R. Westbrook,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
59,PT07M25.00S,2021-05-19T01:09:07.4Z,1,REGULAR,rebound,offensive,[],203458,,,1610612764,10,7,2021-05-19T01:09:07Z,580000,,,0,,A. Len REBOUND (Off:2 Def:1),[203458],1610612764.0,WAS,,,,Len,A. Len,,,,,,,,58.0,3.0,1.0,2.0,,,,,,,,,,,,,
60,PT07M23.00S,2021-05-19T01:09:09.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203458,9.017739816031538,37.8140318627451,1610612764,10,7,2021-05-19T01:09:29Z,590000,61.0,32.0,1,left,MISS A. Len 6' tip DUNK,[203458],1610612764.0,WAS,tip,,,Len,A. Len,,,,,,6.89,Missed,,,,,,,,,,,,,,,,,
61,PT07M21.00S,2021-05-19T01:09:11.4Z,1,REGULAR,rebound,offensive,[],201566,,,1610612764,10,7,2021-05-19T01:09:17Z,600000,,,0,,R. Westbrook REBOUND (Off:2 Def:3),[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,,,60.0,5.0,3.0,2.0,,,,,,,,,,,,,
62,PT07M20.00S,2021-05-19T01:09:11.6Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201566,16.376478318002626,25.314031862745097,1610612764,10,7,2021-05-19T01:09:20Z,610000,123.0,101.0,1,left,MISS R. Westbrook 15' Jump Shot,[201566],1610612764.0,WAS,,,,Westbrook,R. Westbrook,,,,,,15.97,Missed,,,,,,,,,,,,,,,,,
63,PT07M16.00S,2021-05-19T01:09:15.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,10,7,2021-05-19T01:09:20Z,620000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,
64,PT07M05.00S,2021-05-19T01:09:29.8Z,1,REGULAR,foul,personal,[],1629060,,,1610612738,10,7,2021-05-19T01:09:36Z,630000,,,0,,R. Hachimura personal FOUL (2 PF),"[1629060, 202689]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,1179.0,2.0,0.0,Walker,202689.0,,
66,PT07M05.00S,2021-05-19T01:09:38.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,7,2021-05-19T01:09:38Z,650000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
